Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Bolboforma reticulata,Bolboforma spinosa,Bolboforma pseudohystrix,Bolboforma laevis,Bolboforma compressispinosa,Bolboforma badenensis,Bolboforma voeringensis,Bolboforma compressibadenensis,Bolboforma aculeata,Bolboforma subfragori,Bolboforma fragori,Bolboforma clodiusi,Bolboforma metzmacheri,Bolboforma c. costairregularis,Comment
  SR,                 ,                 ,B. metzmacheri    ,              ,104, 642,C, 16,H, 4,  74.00,    125.7400,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                        ,R                ,                           ,                     ,                       ,                              ,                   ,                     ,                  ,                   ,R                     ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,C, 17,H, 1,  72.00,    130.7200,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                        ,                 ,                           ,                     ,                       ,R                             ,                   ,                     ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,C, 17,H, 2,  72.00,    132.2200,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                        ,R                ,                           ,                     ,                       ,                              ,                   ,A                    ,A                 ,R                  ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,C, 17,H, 3,  72.00,    133.7200,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                        ,C                ,                           ,                     ,                       ,                              ,                   ,A                    ,A                 ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,C, 17,H, 5,  72.00,    135.5400,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                        ,C                ,                           ,                     ,                       ,                              ,                   ,                     ,A                 ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,C, 17,H, 6,  72.00,    137.0400,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,A                 ,R                       ,A                ,R                          ,                     ,                       ,                              ,R                  ,C                    ,A                 ,R                  ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. compressispinosa,              ,104, 642,C, 17,H,CC,  13.00,    138.6400,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,R                 ,                        ,R                ,A                          ,                     ,                       ,                              ,                   ,                     ,R                 ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. compressispinosa,              ,104, 642,C, 18,H, 1,  78.00,    140.2800,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                        ,                 ,A                          ,                     ,                       ,                              ,                   ,                     ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. compressispinosa,              ,104, 642,C, 18,H, 2,  78.00,    141.7800,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,R                 ,                        ,R                ,R                          ,                     ,                       ,                              ,                   ,                     ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. compressispinosa,              ,104, 642,C, 18,H, 3,  78.00,    143.2800,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,R                 ,                        ,                 ,                           ,                     ,                       ,                              ,                   ,                     ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. compressispinosa,              ,104, 642,C, 18,H, 4,  78.00,    144.7800,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                  ,                        ,                 ,A                          ,                     ,                       ,                              ,                   ,                     ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. compressispinosa,              ,104, 642,C, 18,H, 5,  78.00,    146.2800,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,R                 ,                        ,                 ,A                          ,                     ,                       ,                              ,                   ,                     ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. compressispinosa,              ,104, 642,C, 18,H, 6,  78.00,    147.7800,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,R                 ,                        ,                 ,                           ,                     ,                       ,                              ,                   ,                     ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. compressispinosa,              ,104, 642,C, 18,H,CC,  10.00,    148.0100,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,A                 ,C                       ,                 ,A                          ,                     ,                       ,                              ,                   ,C                    ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. compressispinosa,              ,104, 642,C, 19,H, 1,  68.00,    149.6800,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,A                 ,                        ,R                ,A                          ,                     ,                       ,                              ,                   ,R                    ,R                 ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. compressispinosa,              ,104, 642,C, 19,H, 2,  68.00,    151.1800,Qvale    ,Bolboforms                                   ,               ,                  ,R                    ,A                 ,C                       ,C                ,A                          ,R                    ,                       ,                              ,                   ,                     ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. reticulata     ,              ,104, 642,C, 19,H, 3,  64.00,    152.6400,Qvale    ,Bolboforms                                   ,               ,                  ,A                    ,A                 ,C                       ,C                ,C                          ,C                    ,                       ,                              ,C                  ,                     ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. reticulata     ,              ,104, 642,C, 19,H, 4,  68.00,    154.1800,Qvale    ,Bolboforms                                   ,               ,                  ,A                    ,C                 ,                        ,A                ,A                          ,C                    ,                       ,                              ,                   ,                     ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. reticulata     ,              ,104, 642,C, 19,H, 5,  68.00,    155.6800,Qvale    ,Bolboforms                                   ,               ,                  ,A                    ,C                 ,C                       ,R                ,A                          ,A                    ,R                      ,                              ,                   ,                     ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. reticulata     ,              ,104, 642,C, 19,H, 6,  68.00,    157.1800,Qvale    ,Bolboforms                                   ,               ,                  ,C                    ,                  ,A                       ,                 ,A                          ,C                    ,C                      ,C                             ,                   ,                     ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. reticulata     ,              ,104, 642,C, 19,H, 7,  46.00,    158.4600,Qvale    ,Bolboforms                                   ,               ,                  ,A                    ,                  ,C                       ,                 ,R                          ,C                    ,                       ,                              ,                   ,                     ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. reticulata     ,              ,104, 642,C, 19,H,CC,  46.00,    159.0300,Qvale    ,Bolboforms                                   ,               ,                  ,A                    ,A                 ,A                       ,R                ,A                          ,C                    ,                       ,                              ,                   ,                     ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. reticulata     ,              ,104, 642,C, 20,H, 1,  72.00,    159.2200,Qvale    ,Bolboforms                                   ,               ,                  ,C                    ,                  ,                        ,                 ,                           ,                     ,                       ,                              ,                   ,                     ,                  ,                   ,                      ,                              ,table reconstructed from diagram; ODP Leg 104 SR Chapter 27 Table 3 p 490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
