Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
363-U1482A-8H-CC-PAL-NANNO,0,5,69.74,69.79,NN19,TDJ - C. macintyrei present; small Gephyrocapsa 'oceanica' dominate gephyrocapsa; C. pelagicus present,G [P33],D,A,,,A,,C,F,R,,,,,,,R,,F,P,F,,,,F,,,,,,,,,F,,,,,,F,P,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,8,H,CC,PAL,a34b0348b91542bc27d4c479098cc29b
363-U1482A-9H-2-W 75/75-NANNO,0,0,71.65,71.65,,AGSF - Gephyrocapsa >4 um absent; D. brouweri most probably reworked,,,,,A,,,C,,,,,,,,,F,,,P,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,9,H,2,W,d914c7dbbb39c4c2a32a489274c29369
363-U1482A-9H-4-W 75/75-NANNO,0,0,74.65,74.65,,AGSF - sample has common occurrence of Pontosphaera and Helicosphaera; D. brouweri probably reworked; Gephyrocapsa >4 um absent,,,,,A,,,C,,,,,,,,,,,,P,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,9,H,4,W,45eb5ca016025e65aa02a1d95761008a
363-U1482A-9H-6-W 75/75-NANNO,0,0,77.69,77.69,,AGSF - Discoasters (D. pentaradiatus and D. brouweri) observed most probably reworked. Other reworked taxa include Sphenolithus spp. ; C. macintyrei not observed in the sample,,,,,A,C,,C,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,9,H,6,W,38f58c23531c081f44670916e8e981cd
363-U1482A-9H-CC-PAL-NANNO,0,5,79.25,79.3,NN19,"TDJ - No discoaster, dominated by small Gephyrocapsa; no C. macintyrei",G [P33],D,A,,,A,,C,F,,,,,,,,,,F,x,C,,,,,,,,,,,,P,F,P,,,,,P,P,,,C,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,9,H,CC,PAL,0fc09ff5fcc86a2de7b0f20ffff8634d
363-U1482A-10H-2-W 75/75-NANNO,0,0,81.15,81.15,,AGSF - Discoaster fragments present (D brouweri and D pentaradiatus); Gephyrocapsa 3 to 4 um present although some could slightly exceed 4 um in size; C. macintyrei consistently present - best estimate of top of C. mac.,,,,,A,P,,C,,,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,10,H,2,W,35d44e8c4505a720178083e540a61e23
363-U1482A-10H-4-W 75/75-NANNO,0,0,84.18,84.18,,AGSF - reworked forms include Sphenolithus; Gephyrocapsa >4 um absent!!; TDJ - C. macintyrei is present frequent,,,,,C,,,C,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,10,H,4,W,12a70f601ecdeb65d2e5b3b7d3480092
363-U1482A-10H-6-W 75/75-NANNO,0,0,87.22,87.22,,"AGSF - Reworked Discoasters (D. berggrenii/D. quinqueramus), fragments present as well, Sphenolithus spp. ; H sellii not observed in sample",,,,,C,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,10,H,6,W,2d32bb8a097fb18538a876d9770df7e3
363-U1482A-10H-CC-PAL-NANNO,0,5,88.91,88.96,NN19,TDJ - 1 C. macintyrei; 1 reworked Discoaster; seemingly few Gephyrocapsa - dominated by Pseudoemiliania; double checked again - in 10H-4 there are frequent C. macintyrei - in this core catcher very rare (?reworked - 1 specimen).,G [P33],D,A,,,F,F,F,A,,,,,,,,P,,R,P,F,,,,C,R,,,,,,,,,C,,,,,R,,,,C,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,10,H,CC,PAL,656ab79e83a313e23c90e9d626bd93e4
363-U1482A-11H-2-W 75/75-NANNO,0,0,90.65,90.65,,agsf - reworked taxa - Sphenolithus,,,,,C,,,C,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,11,H,2,W,12179aa55f2209d5e4cabe6c405b2f7b
363-U1482A-11H-4-W 75/75-NANNO,0,0,93.65,93.65,,"AGSF - reworked taxa include Cretaceous forms, Sphenolithus, Amuarolithus and Discoasters",,,,,,,,C,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,11,H,4,W,6faeb03793fc9d57cc2a54457caa0dd2
363-U1482A-11H-6-W 75/75-NANNO,0,0,96.66,96.66,,"AGSF - reworked Discoasters? some are well preserved, others fragmented",,,,,F,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,11,H,6,W,4ef8971db09425aef36d89538b07a178
363-U1482A-11H-CC-PAL-NANNO,0,5,98.07,98.12,NN19,TDJ - no primary discoasters - some reworked (?) fragments,M [P33],D,A,,,,A,F,F,,,,,,,,,,R,,F,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,11,H,CC,PAL,8b4e8f5c13f85a4888ae6200ed082c49
363-U1482A-12H-2-W 75/75-NANNO,0,0,100.16,100.16,,"TDJ - D. brouweri frequent; Discoaster ""airplane""!",,,,,F,,,C,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,12,H,2,W,7902aba2552e40305d9d0d8d57487684
363-U1482A-12H-4-W 75/75-NANNO,0,0,103.17,103.17,,TDJ - D. brouweri common; 1 (reworked?) D. pentaradiatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,12,H,4,W,dec1cd3c352428ce1734f30c14b7a123
363-U1482A-12H-6-W 75/75-NANNO,0,0,106.19,106.19,,TDJ - D. brouweri common; D. triradiatus present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,12,H,6,W,a18ee7250f0eb09760fbf2917f85d418
363-U1482A-12H-CC-PAL-NANNO,0,5,107.79,107.84,NN18,"TDJ - D. brouweri present; D. ""airplane"" present; 1 reworked D. pentaradiatus",M [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,12,H,CC,PAL,5d6929ea0a31e6eb85432b9006058f7b
363-U1482A-13H-2-W 75/75-NANNO,0,0,109.65,109.65,,TDJ - D. pentaradiatus frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,13,H,2,W,bb8729e2eaf18dc9993f48c210bc8141
363-U1482A-13H-4-W 75/75-NANNO,0,0,112.67,112.67,,TDJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,13,H,4,W,34bf0579b7be448ec5ff673a31b55e5f
363-U1482A-13H-6-W 75/75-NANNO,0,0,115.69,115.69,,TDJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,13,H,6,W,4ed292b71e8fc3ab93168bf761b5ab84
363-U1482A-13H-CC-PAL-NANNO,0,5,117.47,117.52,NN17,TDJ - D. pentaradiatus present,M [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,13,H,CC,PAL,f8a907a13193f5b99dbe92bff657309e
363-U1482A-14H-2-W 75/75-NANNO,0,0,119.15,119.15,,TDJ - 1 no D. surculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,14,H,2,W,bc5a723b1cb0fa74d00087d005c3923c
363-U1482A-14H-4-W 75/75-NANNO,0,0,122.17,122.17,,TDJ - D. surculus present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,14,H,4,W,7755544f90a414d9c160fb2a64471bcb
363-U1482A-14H-6-W 75/75-NANNO,0,0,125.18,125.18,,TDJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,14,H,6,W,d2d8f6a3575281ad6fdd2472f66225f2
363-U1482A-14H-CC-PAL-NANNO,0,5,126.82,126.87,NN17,TDJ - D. pentaradiatus; Cl. subdistichus present (? reworking but well preserved),M [P33],D,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,14,H,CC,PAL,5e11a9bd60797e59866160a3bb2402e4
363-U1482A-15H-2-W 75/75-NANNO,0,0,128.65,128.65,,TDJ - sphenoliths not present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,15,H,2,W,69a17e015736c3fa87b764cc8d7a0398
363-U1482A-15H-4-W 75/75-NANNO,0,0,131.62,131.62,,TDJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,15,H,4,W,adf4d92f66fa4ccc3728651c2ec833e5
363-U1482A-15H-6-W 75/75-NANNO,0,0,134.63,134.63,,TDJ - sphenoliths not present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,15,H,6,W,5d8eec41bd8aa56a204576ff3e7f3a43
363-U1482A-15H-CC-PAL-NANNO,0,5,136.2,136.25,NN16,LB-D.tam&surc; TDJ - very rare Sphenolith (1 specimen) LB found more; no pseudoumbilicus,M [P33],D,A,,,,A,A,,,,A,,,,,,,,F,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,F,,F,C,R,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,15,H,CC,PAL,d570b2d8b8365fdbd73021e6f693f234
363-U1482A-16H-2-W 75/75-NANNO,0,0,138.15,138.15,,TDJ - no sphenoliths,G [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,16,H,2,W,4789a3c1712fde72c17c511f34670817
363-U1482A-16H-4-W 75/75-NANNO,0,0,141.16,141.16,,TDJ - no sphenoliths,G [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,16,H,4,W,582c879b1052bc1f5800ea0ac2f8078e
363-U1482A-16H-6-W 75/75-NANNO,0,0,144.18,144.18,,TDJ - no sphenoliths,G [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,16,H,6,W,a22ad0510ddd36312aa177f6f11b51cf
363-U1482A-16H-CC-PAL-NANNO,0,5,145.9,145.95,NN15,"LB Sabies;TDJ - no R. pseudo >5um, Sphenoliths very very rare",M [P33],D,A,,,,,F,C,,X,A,,,,,,,,C,,,,,C,,,,,R,,,,,,,,,,C,,,,,,,R,,,,,,x,,,,F,,C,A,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,16,H,CC,PAL,598cb2ebb12acec4ba0dde1332dfc315
363-U1482A-17H-2-W 75/75-NANNO,0,0,147.65,147.65,,TDJ - S. abies present!,G [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,17,H,2,W,2db06e4c0e17c5f06a36e5ddb9c5528b
363-U1482A-17H-4-W 75/75-NANNO,0,0,150.66,150.66,,TDJ - Sphenoliths no R. pseudo,G [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,17,H,4,W,f3e77893e8156c6ea50c912a839e5ce4
363-U1482A-17H-6-W 75/75-NANNO,0,0,153.69,153.69,,TDJ - Sphenoliths; no R. pseudo,G [P33],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,17,H,6,W,bd22e1d17a5a53bead28a9a2ee47fae1
363-U1482A-17H-CC-PAL-NANNO,0,5,155.32,155.37,NN14,"LB Rpseu&Sabies; TDJ - ""Few"" R. pseudo - noticeable bigger than 5um, and distinct in size present; LB reports Amaurolithus but TDJ only sees Ceratolithus cristatus",M [P33],D,C,,A,,,F,C,,F,A,,,,,,,,C,,,,,C,,,,,F,,,,,,,,,,P,,,,,,,P,,R,,,,C,,,,C,,C,A,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,17,H,CC,PAL,f028f8e260ee554dee944e89d0ab6bf1
363-U1482A-18H-CC-PAL-nanno,0,5,164.76,164.81,NN14,LB_Amaurolithus; TDJ only see Ceratolithus,M [P33],D,A,,,,,C,R,,A,A,,,,,,,,C,,,,,F,,,,,C,,,,,,,,,,F,,,,,,,,,R,,,,A,,,,R,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,18,H,CC,PAL,5ee9159e8cc4466d8deffb15df3171aa
363-U1482A-19H-CC-PAL-NANNO,0,5,174.29,174.34,NN13,LB Dbroweri<<; C. atlanticus; TDJ - just seeing lots of C. cristatus,M [P33],D,A,,,,,,,,,,,,,,,,,C,,,,,F,,,,,C,,,,,,,,,,F,,,,,,,,R,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,atlantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,19,H,CC,PAL,3aa61c47fc12ade8e4293a899a8d7b3f
363-U1482A-20H-CC-PAL-NANNO,0,5,183.89,183.94,NN12,LB C.acutus,,,C,,,,,,,,,,,,,,,,,,,,,,F,,,,,C,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,20,H,CC,PAL,96f2318e0d2aeea58b63b37c2895672e
363-U1482A-21H-2-W 75/75-NANNO,0,0,185.65,185.65,,LB no Amaur.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,21,H,2,W,8d38cff3ccb137803fb509b1e98b501b
363-U1482A-21H-4-W 75/75-NANNO,0,0,188.68,188.68,,LB A.delicatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,21,H,4,W,7030f86b03fd56c336b20ec5226e09ce
363-U1482A-21H-6-W 75/75-NANNO,0,0,191.7,191.7,,LB no Amaur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1482,A,21,H,6,W,4b85cb50af2b86634a0fb52ebce68742
