Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylatractus universus	Spongotrochus glacialis	Sphaeropyle langii	Lychnocanoma nipponica sakaii	Lamprocyrtis nigriniae	Lamprocyrtis neoheteroporos	Dictyophimus crisiae	Cycladophora davisiana davisiana	Cycladophora craspedota	Cycladophora bicincta	Clathrocyclas bicornis	Ceratospyris hyperborea	Botryostrobus tumidulus	Stylacontarium acquilonium	Pterocanium korotnevi	Siphostichartus scalaris	Botryostrobus aquilonaris	Actinomma popofskii	Stylochlamidium  venustum	Amphimelissa setosa	Comment
  IR	                 	                 	S. universus      	              	167	1019	C	 12	X	CC	  13.00	    111.1900	Caulet   	Radiolarians                                 	R              	G                 	                      	+                      	+                 	                             	                      	                           	                    	+                               	+                      	+                    	                      	+                      	                       	                          	                     	                        	+                        	                   	                         	                   	from IR. Ch 13. Table 7.

  IR	                 	                 	S. universus      	              	167	1019	C	 15	X	CC	  13.00	    141.0700	Caulet   	Radiolarians                                 	R              	M                 	                      	                       	                  	+                            	                      	                           	                    	+                               	                       	+                    	                      	+                      	                       	                          	                     	                        	                         	                   	                         	                   	from IR. Ch 13. Table 7.

  IR	                 	                 	S. universus      	              	167	1019	C	 16	X	CC	  32.00	    149.3900	Caulet   	Radiolarians                                 	R              	G                 	                      	+                      	+                 	+                            	+                     	                           	                    	+                               	                       	                     	                      	                       	                       	+                         	+                    	                        	                         	+                  	                         	                   	from IR. Ch 13. Table 7.

  IR	                 	                 	S. universus      	              	167	1019	C	 18	X	CC	  87.00	    168.6700	Caulet   	Radiolarians                                 	A              	G                 	+                     	+                      	+                 	+                            	+                     	                           	+                   	+                               	                       	                     	                      	+                      	+                      	+                         	+                    	+                       	+                        	                   	                         	                   	from IR. Ch 13. Table 7.

  IR	                 	                 	S. universus      	              	167	1019	C	 19	X	CC	  40.00	    177.1600	Caulet   	Radiolarians                                 	R              	M                 	+                     	                       	                  	+                            	                      	                           	+                   	+                               	                       	+                    	                      	+                      	                       	                          	                     	                        	                         	                   	                         	                   	from IR. Ch 13. Table 7.

  IR	                 	                 	S. universus      	              	167	1019	C	 20	X	CC	  42.00	    186.1800	Caulet   	Radiolarians                                 	R              	M                 	                      	                       	                  	                             	                      	                           	                    	+                               	                       	+                    	                      	                       	+                      	                          	                     	                        	                         	                   	                         	                   	from IR. Ch 13. Table 7.

  IR	                 	                 	S. universus      	              	167	1019	C	 21	X	CC	  30.00	    199.4300	Caulet   	Radiolarians                                 	R              	M                 	                      	                       	                  	+                            	+                     	                           	                    	+                               	                       	+                    	+                     	                       	                       	+                         	+                    	                        	                         	                   	                         	                   	from IR. Ch 13. Table 7.

  IR	                 	                 	S. universus      	              	167	1019	C	 23	X	CC	  75.00	    215.3200	Caulet   	Radiolarians                                 	R              	M                 	                      	                       	                  	                             	+                     	+                          	                    	                                	                       	                     	                      	                       	                       	                          	                     	                        	                         	                   	                         	                   	from IR. Ch 13. Table 7.

  IR	                 	                 	S. universus      	              	167	1019	C	 24	X	CC	  24.00	    224.4900	Caulet   	Radiolarians                                 	R              	G                 	                      	+                      	                  	                             	+                     	+                          	                    	+                               	                       	+                    	+                     	+                      	                       	                          	                     	                        	                         	                   	                         	                   	from IR. Ch 13. Table 7.

  IR	                 	                 	S. universus      	              	167	1019	C	 25	X	CC	  37.00	    237.2400	Caulet   	Radiolarians                                 	C              	G                 	                      	+                      	                  	                             	+                     	+                          	+                   	+                               	+                      	+                    	+                     	                       	+                      	                          	                     	                        	                         	                   	                         	                   	from IR. Ch 13. Table 7.

  IR	                 	                 	S. universus      	              	167	1019	C	 26	X	CC	  38.00	    247.2700	Caulet   	Radiolarians                                 	C              	G                 	+                     	+                      	+                 	+                            	+                     	+                          	+                   	+                               	+                      	+                    	+                     	+                      	+                      	                          	                     	                        	                         	                   	                         	                   	from IR. Ch 13. Table 7.

