Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia inflata,Globoconella cf. inflata,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Globigerina quinqueloba,Globigerina bulloides,Globigerina cf. bulloides,Globorotalia crassaformis,Globigerinita glutinata,Globorotalia crassula,Truncorotalia truncatulinoides,Orbulina universa,Neogloboquadrina dutertrei,Globigerina apertura,Globorotalia hexagonus,Globigerina aequilateralis,Comment
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  1,H, 3, 107.00,      4.0700,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                   ,                        ,R                                      ,                                     ,                    ,R                      ,R                    ,R                        ,R                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  1,H, 3, 127.00,      4.2700,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                   ,                        ,R                                      ,                                     ,                    ,                       ,                     ,R                        ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  1,H, 4, 110.00,      5.6000,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                        ,R                                      ,                                     ,                    ,                       ,                     ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  1,H, 5,  83.00,      6.8300,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,R                   ,                        ,                                       ,                                     ,                    ,                       ,                     ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  1,H, 6,  69.00,      8.1900,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,C                   ,                        ,C                                      ,R                                    ,                    ,R                      ,F                    ,C                        ,R                        ,                       ,                     ,                              ,                 ,                          ,R                   ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  1,H,CC,  32.00,      8.6400,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,F                   ,                        ,R                                      ,R                                    ,R                   ,                       ,R                    ,R                        ,R                        ,                       ,                     ,                              ,R                ,                          ,R                   ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  2,H, 2,  62.00,     10.7200,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,F                   ,                        ,F                                      ,R                                    ,                    ,                       ,C                    ,R                        ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  2,H, 3, 130.00,     12.9000,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                   ,                        ,R                                      ,R                                    ,                    ,R                      ,F                    ,F                        ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  2,H, 5,  70.00,     15.3000,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,C                   ,                        ,                                       ,                                     ,R                   ,R                      ,F                    ,                         ,                         ,                       ,                     ,R                             ,F                ,                          ,C                   ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 863,A,  2,H,CC,  42.00,     18.7700,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,F                   ,                        ,R                                      ,R                                    ,R                   ,                       ,C                    ,R                        ,                         ,                       ,                     ,                              ,R                ,                          ,R                   ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,141, 863,A,  3,H, 1,  18.00,     18.2800,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,F                   ,                        ,R                                      ,                                     ,                    ,F                      ,C                    ,R                        ,R                        ,                       ,                     ,                              ,R                ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,141, 863,A,  3,H, 2,  89.00,     20.4900,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                        ,R                                      ,R                                    ,                    ,R                      ,                     ,                         ,R                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 863,A,  3,H, 3, 124.00,     22.3400,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                        ,                                       ,R                                    ,                    ,R                      ,C                    ,R                        ,                         ,                       ,                     ,                              ,F                ,R                         ,R                   ,R                     ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 863,A,  3,H, 4,  16.00,     22.7600,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,R                   ,                        ,                                       ,                                     ,R                   ,F                      ,C                    ,F                        ,                         ,                       ,                     ,R                             ,F                ,R                         ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 863,A,  3,H, 4, 114.00,     23.7400,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,F                   ,                        ,R                                      ,R                                    ,R                   ,F                      ,A                    ,R                        ,R                        ,                       ,                     ,R                             ,C                ,R                         ,R                   ,R                     ,R                         ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  3,H,CC,  72.00,     26.7200,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                   ,                        ,R                                      ,R                                    ,R                   ,R                      ,R                    ,R                        ,R                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  4,H, 1,  17.00,     27.7700,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,F                   ,                        ,                                       ,F                                    ,                    ,R                      ,F                    ,                         ,R                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  4,H, 1, 114.00,     28.7400,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,R                   ,                        ,R                                      ,R                                    ,                    ,                       ,R                    ,                         ,R                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  4,H, 2,  12.00,     29.2200,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,F                   ,                        ,F                                      ,                                     ,                    ,R                      ,                     ,C                        ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  4,H,CC,  43.00,     31.6600,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                   ,                        ,                                       ,R                                    ,                    ,                       ,F                    ,F                        ,R                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  5,H, 1, 130.00,     38.4000,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                   ,                        ,                                       ,                                     ,                    ,                       ,R                    ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  5,H, 2,  71.00,     39.3100,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                   ,                        ,                                       ,R                                    ,R                   ,R                      ,                     ,R                        ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  5,H, 3,  16.00,     40.2600,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,R                   ,                        ,R                                      ,R                                    ,                    ,F                      ,                     ,                         ,R                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  5,H,CC,  40.00,     40.7300,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,F                   ,                        ,                                       ,                                     ,                    ,                       ,R                    ,                         ,R                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  6,H, 1,  65.00,     47.2500,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,C                   ,                        ,R                                      ,                                     ,                    ,F                      ,                     ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  6,H,CC,  55.00,     50.0000,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,F                   ,                        ,R                                      ,R                                    ,R                   ,                       ,F                    ,                         ,                         ,                       ,                     ,                              ,R                ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  7,X, 1,  57.00,     56.6700,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                        ,F                                      ,                                     ,                    ,R                      ,R                    ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,deformed specimens; different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  7,X, 2,  69.00,     58.2900,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                        ,R                                      ,                                     ,R                   ,                       ,                     ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  7,X, 4, 138.00,     61.9800,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,F                   ,                        ,                                       ,                                     ,                    ,R                      ,C                    ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,R                   ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  7,X, 5,  88.00,     62.9800,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,F                   ,                        ,                                       ,                                     ,                    ,                       ,R                    ,C                        ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  7,X,CC,  62.00,     64.2200,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                   ,                        ,R                                      ,R                                    ,                    ,R                      ,F                    ,R                        ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  8,X, 1, 137.00,     66.8700,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                        ,                                       ,                                     ,                    ,                       ,R                    ,C                        ,R                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 863,A,  8,X, 3,   3.00,     68.5300,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,F                   ,                        ,R                                      ,R                                    ,                    ,                       ,C                    ,                         ,                         ,R                      ,                     ,R                             ,                 ,R                         ,R                   ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 863,A,  8,X, 4,  65.00,     70.6500,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,F                   ,                        ,                                       ,R                                    ,R                   ,                       ,A                    ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 863,A,  8,X,CC,  39.00,     71.7500,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,A                   ,                        ,                                       ,                                     ,                    ,                       ,C                    ,                         ,R                        ,                       ,                     ,R                             ,R                ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  9,X, 1,  54.00,     75.9400,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,F                   ,                        ,R                                      ,                                     ,                    ,                       ,F                    ,R                        ,F                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  9,X,CC,  16.00,     76.3100,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,R                   ,                        ,F                                      ,                                     ,                    ,                       ,R                    ,                         ,                         ,                       ,R                    ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A,  9,X,CC,  31.00,     76.4600,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,R                   ,                        ,F                                      ,F                                    ,R                   ,R                      ,C                    ,R                        ,F                        ,                       ,R                    ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 14,X,CC,  42.00,    125.7200,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                   ,                        ,                                       ,                                     ,                    ,                       ,                     ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 16,X,CC,  36.00,    143.3600,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                   ,                        ,                                       ,                                     ,                    ,                       ,R                    ,                         ,R                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 20,X,CC,  32.00,    181.9200,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                   ,                        ,                                       ,                                     ,                    ,                       ,                     ,                         ,R                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 21,X, 1,  15.00,    191.4500,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                        ,R                                      ,                                     ,                    ,                       ,                     ,R                        ,                         ,                       ,R                    ,                              ,                 ,                          ,                    ,                      ,                          ,different colors; from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 21,X,CC,  47.00,    192.2700,Spiegler ,Planktonic Foraminifers                      ,R              ,P                 ,                    ,                        ,R                                      ,                                     ,                    ,                       ,                     ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 23,X,CC,  40.00,    211.0000,Spiegler ,Planktonic Foraminifers                      ,R              ,P                 ,                    ,                        ,R                                      ,                                     ,                    ,                       ,                     ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 24,X, 1,   3.00,    220.3300,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                   ,                        ,R                                      ,                                     ,                    ,                       ,                     ,                         ,                         ,R                      ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 24,X,CC,  56.00,    221.4300,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                   ,                        ,R                                      ,                                     ,                    ,                       ,                     ,R                        ,R                        ,R                      ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 25,X, 2,  20.00,    230.5300,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                   ,                        ,                                       ,R                                    ,                    ,                       ,                     ,                         ,                         ,                       ,R                    ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 25,X,CC,  38.00,    231.3200,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                   ,                        ,F                                      ,F                                    ,                    ,                       ,                     ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 26,X, 1,  50.00,    240.0000,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,F                   ,R                       ,R                                      ,R                                    ,                    ,                       ,                     ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 26,X,CC,  37.00,    240.9300,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                   ,                        ,R                                      ,R                                    ,R                   ,                       ,R                    ,                         ,R                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 27,X, 1,  29.00,    249.4900,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                   ,R                       ,                                       ,                                     ,R                   ,F                      ,                     ,C                        ,R                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 27,X,CC,  33.00,    250.4500,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                   ,                        ,R                                      ,                                     ,                    ,                       ,R                    ,R                        ,                         ,R                      ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 27,X,CC,  48.00,    250.6000,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                   ,R                       ,R                                      ,R                                    ,R                   ,                       ,                     ,R                        ,R                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 28,X, 1,  91.00,    259.7100,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                   ,R                       ,                                       ,                                     ,                    ,                       ,R                    ,R                        ,R                        ,R                      ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 28,X,CC,  15.00,    260.2100,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,R                   ,R                       ,                                       ,                                     ,                    ,                       ,R                    ,                         ,                         ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,141, 863,A, 28,X,CC,  45.00,    260.5100,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                        ,R                                      ,R                                    ,                    ,                       ,                     ,                         ,R                        ,                       ,                     ,                              ,                 ,                          ,                    ,                      ,                          ,from Leg 141 SR; Chapter 14; Table 10; p. 208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
