Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tristix spp.,Tristix excavata,Spiroplectinella excolata,Rhizammina spp.,Ramulina spp.,Protosangularia albiana,Praedorothia praehauteriviana,Pleurostomella spp.,Nodosaria spp.,Marssonella oxycona,Marginulina inaequalis,Lenticulina spp.,Hanzawaia sp.,Gyroidinoides infracretaceus,Gyroidinoides globosa,Gaudryina spp.,Dorothia spp.,Dentalina spp.,Conorotalites aptiensis,Astacolus spp.,Tritaxia gaultina,Tritaxa spp.,Protosangularia cenomaniana,Osangularia sp.,Tritaxia rugolosa,Tritaxia globulifera,Osangularia plummerae,Oridorsalis umbonatus,Nuttallides truempyi,Hanzawaia compressa,Gyroidinoides spp.,Gavelinella sp.,Aragonia velascoensis,Anomalinoides spp.,Quadrimorphina allomorphinoides,Pullenia jarvisi,Nuttallinella florealis,Marssonella trochoides,Conorbinoides hillebrandti,Bulimina spp.,Aragonia ouezzanensis,Spiroplectammina sp.,Spiroplectammina jarvisi,Sliterella lobulata,Gaudryina pyramidata,Spiroplectammina spectabilis,Pyramidina szajnochae,Pullenia cretacea,Buliminella grata,Pseudoclavulina rugolosa,Stilostomella spp.,Bulimina velascoensis,Bulimina trinitatensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,B, 18,H,CC,  12.00,    152.3400,benthics ,Benthic Foraminifers                         ,R              ,M                 ,            ,                ,                         ,               ,             ,                       ,                             ,                   ,T             ,                   ,                      ,R               ,             ,                            ,                     ,              ,             ,R             ,                       ,              ,                 ,            ,                           ,               ,                 ,                    ,F                    ,R                    ,R                   ,                   ,R                 ,               ,F                    ,R                 ,T                              ,                ,                       ,R                     ,                          ,T            ,                     ,                    ,T                       ,                   ,R                   ,T                           ,                     ,                 ,                 ,                        ,                  ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,B, 20,H,CC,  19.00,    168.9800,benthics ,Benthic Foraminifers                         ,F              ,M                 ,            ,                ,                         ,               ,             ,                       ,                             ,                   ,T             ,                   ,                      ,R               ,             ,                            ,R                    ,              ,             ,              ,                       ,              ,R                ,R           ,                           ,               ,                 ,                    ,C                    ,F                    ,                    ,                   ,                  ,               ,                     ,                  ,                               ,                ,                       ,F                     ,                          ,T            ,                     ,T                   ,+                       ,C                  ,C                   ,                            ,                     ,                 ,                 ,                        ,                  ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,B, 21,H,CC,   6.00,    173.5300,benthics ,Benthic Foraminifers                         ,R              ,M                 ,            ,                ,                         ,               ,             ,                       ,                             ,T                  ,T             ,                   ,                      ,R               ,             ,                            ,                     ,              ,             ,R             ,                       ,              ,                 ,R           ,                           ,               ,                 ,                    ,C                    ,R                    ,T                   ,                   ,R                 ,               ,                     ,                  ,T                              ,T               ,T                      ,T                     ,R                         ,R            ,C                    ,                    ,                        ,                   ,                    ,                            ,                     ,                 ,                 ,                        ,                  ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,B, 24,H,CC,   7.00,    197.6100,benthics ,Benthic Foraminifers                         ,F              ,G                 ,+           ,                ,                         ,R              ,             ,+                      ,                             ,R                  ,T             ,R                  ,                      ,R               ,C            ,                            ,R                    ,T             ,R            ,R             ,C                      ,              ,                 ,R           ,                           ,+              ,T                ,R                   ,R                    ,R                    ,T                   ,+                  ,R                 ,T              ,T                    ,R                 ,                               ,                ,                       ,                      ,                          ,             ,                     ,                    ,                        ,                   ,                    ,                            ,                     ,                 ,                 ,                        ,                  ,                     ,                      ,disturved sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,B, 25,H,CC,   7.00,    199.9000,benthics ,Benthic Foraminifers                         ,A              ,M                 ,            ,R               ,R                        ,T              ,             ,C                      ,                             ,F                  ,              ,R                  ,R                     ,R               ,C            ,                            ,R                    ,T             ,+            ,R             ,                       ,T             ,T                ,R           ,R                          ,C              ,                 ,                    ,                     ,                     ,                    ,                   ,                  ,               ,                     ,                  ,                               ,                ,                       ,                      ,                          ,             ,                     ,                    ,                        ,                   ,                    ,                            ,                     ,                 ,                 ,                        ,                  ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,B, 27,H, 1,  25.00,    207.3500,benthics ,Benthic Foraminifers                         ,C              ,M                 ,+           ,T               ,R                        ,T              ,T            ,C                      ,R                            ,R                  ,R             ,R                  ,T                     ,R               ,A            ,R                           ,F                    ,F             ,F            ,F             ,R                      ,T             ,                 ,            ,                           ,               ,                 ,                    ,                     ,                     ,                    ,                   ,                  ,               ,                     ,                  ,                               ,                ,                       ,                      ,                          ,             ,                     ,                    ,                        ,                   ,                    ,                            ,                     ,                 ,                 ,                        ,                  ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
