Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Theocyrtis sp.	Stylacontarium bispiculum	Peripyramis sp.	Lychnocanoma babylonis	Lychnocanoma amphitrite	Lophocyrtis dumitricai	Eucyrtidium sp.  A	Druppatractus sp.	Dorcadospyris triceros	Cornutella profunda	Stylodictya sp.	Prunopyle tetrapila	Lychnocanoma sp.	Lophocyrtis longiventer	Lamprocyclas sp.	Eusyringium lagena	Eucyrtidium spinosum	Calocyclas? nakasekoi	Thecosphaera sp.	Spongodiscus sp.	Spongodiscus osculosus	Siphocampe sp.	Periphaena heliasteriscus	Lophophaena sp.	Lophocyrtis aspera	Larcopyle sp.	Eucyrtidium antiquum	Dicolocapsa microcephala	Corythomelissa horrida	Axoprunum pierinae	Albatrossium sp.	Actinomma sp.	Prunopyle hayesi	Larcospira sp.	Hexacontium sp.	Aphetocyrtis gnomabax	Prunopyle sp.	Amphistylus? sp.	Cyrtocapsella japonica	Stichocorys delmontensis	Phormocyrtis alexandrae	Liriospyris sp.	Dorcadospyris mahurangi	Cyrtocapsella tetrapera	Carpocanistrum sp.	Anthocyrtidium marieae	Stylosphaera timmsi	Lychnocanoma elongata	Lamprocyclas maritalis maritalis	Cyrtocapsella cornuta	Theocorys spongoconus	Phormocyrtis striata striata	Lophoconus biaurita (Form C)	Dorcadospyris alata	Solenosphaera sp.	Stichocorys wolffii	Stichocorys armata	Eucyrtidium sp.	Eucyrtidium punctatum	Carpocanopsis cingulata	Carpocanopsis bramlettei	Anthocyrtidium ehrenbergi	Periphaena decora	Eucyrtidium cienkowskii	Collosphaera sp.	Botryostrobus miralestensis	Comment

  IR	                 	                 	                  	              	181	1123	C	 22	X	CC	  23.00	    527.0600	rads     	Radiolarians                                 	T              	M                 	              	                         	               	                      	                       	                      	                  	                 	                      	                   	               	                   	                	                       	                	                  	                    	                     	                	                	                      	              	                         	               	                  	             	                    	                        	                      	                  	                	             	                	              	               	                     	             	                	T                     	                        	                       	               	                       	                       	                  	                      	                   	                     	                                	                     	                     	                            	                            	                   	                 	                   	                  	               	                     	                       	                        	                         	                 	                       	                	                           	       

  IR	                 	                 	                  	              	181	1123	C	 24	X	CC	  25.00	    546.2600	rads     	Radiolarians                                 	R              	P                 	              	F                        	T              	                      	                       	                      	                  	R                	                      	                   	R              	                   	R               	                       	                	                  	                    	                     	                	R               	                      	              	                         	               	                  	F            	                    	                        	                      	                  	                	             	                	              	               	                     	             	                	                      	                        	R                      	               	                       	                       	C                 	                      	                   	                     	                                	                     	T                    	T                           	T                           	R                  	                 	                   	                  	               	                     	                       	                        	                         	                 	                       	                	                           	       

  IR	                 	                 	                  	              	181	1123	C	 25	X	CC	  16.00	    555.7600	rads     	Radiolarians                                 	R              	G                 	              	                         	T              	                      	                       	                      	                  	R                	                      	                   	               	                   	                	                       	                	                  	                    	                     	                	                	                      	              	                         	               	                  	             	                    	                        	                      	                  	                	             	                	              	               	                     	             	                	R                     	                        	R                      	               	                       	C                      	F                 	                      	                   	                     	                                	T                    	                     	                            	                            	                   	                 	                   	                  	               	                     	                       	                        	                         	                 	                       	                	                           	       

  IR	                 	                 	                  	              	181	1123	C	 26	X	CC	  21.00	    565.2700	rads     	Radiolarians                                 	R              	M                 	              	T                        	               	                      	                       	                      	                  	T                	                      	                   	               	                   	                	                       	                	                  	                    	                     	                	                	                      	              	                         	               	                  	             	                    	                        	                      	                  	                	             	                	              	               	                     	             	                	                      	                        	T                      	               	                       	R                      	R                 	                      	R                  	T                    	T                               	                     	                     	                            	                            	                   	                 	                   	                  	               	                     	                       	                        	                         	                 	                       	                	                           	       

  IR	                 	                 	                  	              	181	1123	C	 27	X	CC	  24.00	    574.9600	rads     	Radiolarians                                 	F              	M                 	              	R                        	R              	                      	                       	                      	                  	R                	                      	                   	R              	                   	                	                       	T               	                  	                    	                     	                	R               	                      	              	                         	               	                  	             	                    	                        	                      	                  	                	R            	                	              	               	                     	             	                	                      	T                       	R                      	T              	R                      	C                      	R                 	T                     	                   	                     	                                	                     	                     	                            	                            	                   	                 	                   	                  	               	                     	                       	                        	                         	                 	                       	                	                           	       

  IR	                 	                 	                  	              	181	1123	C	 28	X	CC	   5.00	    583.7800	rads     	Radiolarians                                 	R              	P                 	              	R                        	               	                      	                       	                      	                  	T                	                      	                   	R              	                   	                	                       	                	                  	                    	                     	                	R               	                      	              	                         	               	                  	             	                    	                        	                      	                  	                	R            	                	              	               	                     	             	                	T                     	                        	                       	               	                       	                       	                  	                      	                   	                     	                                	                     	                     	                            	                            	                   	                 	                   	                  	               	                     	                       	                        	                         	                 	                       	                	                           	       

  IR	                 	                 	                  	              	181	1123	C	 29	X	CC	  29.00	    593.3100	rads     	Radiolarians                                 	A              	G                 	T             	A                        	T              	                      	                       	                      	                  	R                	R                     	                   	T              	T                  	                	F                      	                	                  	                    	                     	                	                	                      	              	T                        	               	                  	             	T                   	                        	                      	                  	                	A            	                	              	F              	R                    	R            	F               	                      	                        	                       	               	                       	                       	                  	                      	                   	                     	                                	                     	                     	                            	                            	                   	                 	                   	                  	               	                     	                       	                        	                         	                 	                       	                	                           	       

  IR	                 	                 	                  	              	181	1123	C	 30	X	CC	  15.00	    599.6400	rads     	Radiolarians                                 	A              	M                 	R             	F                        	R              	R                     	                       	R                     	                  	F                	T                     	                   	R              	R                  	                	R                      	                	                  	                    	                     	C               	R               	                      	R             	R                        	T              	R                 	F            	                    	                        	                      	                  	T               	             	T               	R             	C              	C                    	             	                	                      	                        	                       	               	                       	                       	                  	                      	                   	                     	                                	                     	                     	                            	                            	                   	                 	                   	                  	               	                     	                       	                        	                         	                 	                       	                	                           	       

  IR	                 	                 	                  	              	181	1123	C	 31	X	CC	   0.00	    611.0800	rads     	Radiolarians                                 	A              	VG                	              	A                        	F              	F                     	                       	                      	F                 	F                	                      	R                  	F              	                   	R               	A                      	                	                  	C                   	                     	A               	F               	R                     	R             	R                        	R              	F                 	R            	R                   	F                       	R                     	R                 	F               	A            	                	              	               	                     	             	                	                      	                        	                       	               	                       	                       	                  	                      	                   	                     	                                	                     	                     	                            	                            	                   	                 	                   	                  	               	                     	                       	                        	                         	                 	                       	                	                           	       

  IR	                 	                 	                  	              	181	1123	C	 32	X	CC	  43.00	    619.1100	rads     	Radiolarians                                 	A              	G                 	              	                         	R              	                      	A                      	                      	T                 	R                	R                     	                   	R              	R                  	R               	R                      	R               	T                 	T                   	R                    	                	                	                      	              	                         	               	                  	             	                    	                        	                      	                  	                	             	                	              	               	                     	             	                	                      	                        	                       	               	                       	                       	                  	                      	                   	                     	                                	                     	                     	                            	                            	                   	                 	                   	                  	               	                     	                       	                        	                         	                 	                       	                	                           	       

  IR	                 	                 	                  	              	181	1123	C	 33	X	CC	  25.00	    625.7600	rads     	Radiolarians                                 	A              	M                 	R             	F                        	R              	R                     	A                      	R                     	R                 	R                	R                     	R                  	               	                   	                	                       	                	                  	                    	                     	                	                	                      	              	                         	               	                  	             	                    	                        	                      	                  	                	             	                	              	               	                     	             	                	                      	                        	                       	               	                       	                       	                  	                      	                   	                     	                                	                     	                     	                            	                            	                   	                 	                   	                  	               	                     	                       	                        	                         	                 	                       	                	                           	       

