Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella gemma	Subbotina angiporoides	Porticulasphaera semiinvoluta	Globigerinatheka index	Subbotina linaperta	Paragloborotalia mayeri	Catapsydrax unicavus	Catapsydrax dissimilis	Zeaglobigerina connecta	Globorotalia incognita	Globoquadrina dehiscens	Zeaglobigerina woodi	Paragloborotalia opima nana	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis disjuncta	Globorotalia zealandica	Globorotalia praescitula	Globoquadrina baroemoenensis	Globigerinoides trilobus	Globigerina spp.	Globigerina praebulloides	Globorotalia miozea	Paragloborotalia bella	Catapsydrax stainforthi	Globorotalia praemenardii	Zeaglobigerina nepenthes	Orbulina universa	Neogloboquadrina pachyderma	Globorotalia miotumida conoidea	Globorotalia miotumida	Globoquadrina venezuelana	Comment
  IR	                 	                 	                  	              	181	1123	C	 23	X	CC	  28.00	    536.7100	forams   	Planktonic Foraminifers                      	R              	M                 	                	                      	                             	                      	                   	                       	                    	D                     	P                      	R                     	R                      	                    	                           	                              	                             	                       	                        	                            	                        	                	                         	                   	                      	                       	                         	                        	                 	                           	                               	                      	                         	       

  IR	                 	                 	                  	Po            	181	1123	C	 25	X	 2	  32.00	    548.0200	forams   	Planktonic Foraminifers                      	C              	M                 	                	                      	                             	                      	                   	                       	                    	A                     	R                      	P                     	R                      	R                   	F                          	                              	                             	                       	                        	                            	                        	                	                         	                   	                      	                       	                         	                        	                 	                           	                               	                      	                         	       

  IR	                 	                 	                  	              	181	1123	C	 27	X	CC	  24.00	    574.9600	forams   	Planktonic Foraminifers                      	R              	M                 	                	                      	                             	                      	                   	                       	                    	A                     	R                      	F                     	F                      	R                   	                           	                              	                             	                       	                        	                            	                        	                	                         	                   	                      	                       	                         	                        	                 	                           	                               	                      	                         	       

  IR	                 	Early Miocene    	Po                	Lw            	181	1123	C	 28	X	CC	   5.00	    583.7800	forams   	Planktonic Foraminifers                      	T              	M                 	                	                      	                             	                      	                   	                       	                    	D                     	F                      	P                     	P                      	                    	                           	                              	                             	                       	                        	                            	                        	                	                         	                   	                      	                       	                         	                        	                 	                           	                               	                      	                         	       

  IR	                 	Early Oligocene  	                  	Lwh           	181	1123	C	 29	X	CC	  29.00	    593.3100	forams   	Planktonic Foraminifers                      	C              	M                 	R               	A                     	                             	                      	                   	                       	                    	F                     	                       	                      	                       	                    	                           	                              	                             	                       	                        	                            	                        	                	                         	                   	                      	                       	                         	                        	                 	                           	                               	                      	                         	       

  IR	                 	                 	                  	              	181	1123	C	 30	X	CC	  15.00	    599.6400	forams   	Planktonic Foraminifers                      	               	                  	                	F                     	                             	                      	                   	R                      	P                   	                      	                       	                      	                       	                    	                           	                              	                             	                       	                        	                            	                        	                	                         	                   	                      	                       	                         	                        	                 	                           	                               	                      	                         	limestone

  IR	                 	                 	                  	              	181	1123	C	 31	X	CC	   0.00	    611.0800	forams   	Planktonic Foraminifers                      	F              	M                 	R               	R                     	R                            	F                     	R                  	                       	                    	                      	                       	                      	                       	                    	                           	                              	                             	                       	                        	                            	                        	                	                         	                   	                      	                       	                         	                        	                 	                           	                               	                      	                         	limestone

  IR	                 	                 	                  	              	181	1123	C	 32	X	CC	  43.00	    619.1100	forams   	Planktonic Foraminifers                      	               	P                 	                	F                     	R                            	F                     	                   	                       	                    	                      	                       	                      	                       	                    	                           	                              	                             	                       	                        	                            	                        	                	                         	                   	                      	                       	                         	                        	                 	                           	                               	                      	                         	       

  IR	                 	                 	                  	              	181	1123	C	 33	X	CC	  25.00	    625.7600	forams   	Planktonic Foraminifers                      	C              	P                 	R               	F                     	R                            	F                     	                   	                       	                    	                      	                       	                      	                       	                    	                           	                              	                             	                       	                        	                            	                        	                	                         	                   	                      	                       	                         	                        	                 	                           	                               	                      	                         	radiolarians ooze + fish teeth

