Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stephanopyxis turris	Paralia sulcata	Denticulopsis punctata var. hustedtii	Denticulopsis hustedtii	Delphineis novaecaesaraea	Asteromphalus undulatus	Thalassiosira grunowii	Rhizosolenia barboi	Coscinodiscus temperei var. delicata	Coscinodiscus temperei	Actinocyclus ellipticus	Cymatosira immunis	Coscinodiscus yabei	Actinocyclus ingens	Thalassionema nitzschioides	Roperia tesselata	Mediaria splendida	Rossiella paleacea	Craspedodiscus coscinodiscus	Azpeitia endoi	Actinocyclus tenellus	Paralia sulcata var. coronata	Hemidiscus cuneiformis	Thalassiosira lineata	Cavitatus jouseanus	Stephanopyxis grunowii	Coscinodiscus marginatus	Rhizosolenia praebarboi	Comment
  SR	                 	                 	                  	              	150	 903	A	 25	X	CC	  30.00	    210.6600	Burckle  	Diatoms                                      	C              	M                 	                    	               	                                     	                       	                         	                       	                      	                   	                                    	                      	                       	                  	                   	                   	                           	                 	C                 	                  	                            	              	                     	                             	                      	                     	                   	                      	C                       	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 32	X	CC	  33.00	    276.6300	Burckle  	Diatoms                                      	F              	M                 	                    	               	                                     	                       	                         	                       	                      	                   	                                    	                      	                       	                  	                   	                   	                           	                 	F                 	                  	                            	              	                     	                             	                      	R                    	                   	                      	F                       	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 48	X	CC	  29.00	    432.5300	Burckle  	Diatoms                                      	F              	M                 	F                   	               	                                     	R                      	                         	                       	                      	                   	                                    	                      	                       	                  	                   	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 49	X	CC	  34.00	    442.8300	Burckle  	Diatoms                                      	R              	P                 	R                   	               	                                     	                       	                         	                       	                      	                   	                                    	                      	                       	                  	                   	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 51	X	CC	  36.00	    462.0600	Burckle  	Diatoms                                      	C              	M                 	F                   	R              	                                     	R                      	                         	R                      	R                     	                   	                                    	                      	                       	                  	                   	                   	                           	                 	                  	                  	                            	R             	                     	                             	                      	                     	                   	R                     	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 52	X	 2	  20.00	    463.6000	Burckle  	Diatoms                                      	C              	M                 	                    	               	                                     	F                      	R                        	R                      	                      	                   	                                    	                      	                       	R                 	                   	                   	F                          	                 	                  	R                 	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 52	X	CC	  37.00	    471.7400	Burckle  	Diatoms                                      	F              	M                 	                    	               	                                     	                       	                         	                       	                      	                   	                                    	                      	                       	                  	                   	                   	F                          	                 	R                 	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 53	X	CC	  34.00	    481.1100	Burckle  	Diatoms                                      	C              	M                 	                    	R              	                                     	R                      	R                        	                       	R                     	                   	                                    	                      	R                      	                  	                   	                   	F                          	                 	R                 	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 55	X	CC	  30.00	    500.5400	Burckle  	Diatoms                                      	A              	G                 	                    	               	                                     	R                      	F                        	                       	R                     	                   	R                                   	                      	R                      	                  	                   	F                  	C                          	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 56	X	CC	  12.00	    506.5100	Burckle  	Diatoms                                      	F              	M                 	                    	               	                                     	                       	                         	                       	                      	                   	                                    	                      	                       	                  	                   	                   	F                          	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 57	X	CC	  29.00	    515.6100	Burckle  	Diatoms                                      	C              	M                 	                    	               	                                     	R                      	R                        	                       	R                     	                   	                                    	                      	                       	                  	                   	F                  	F                          	                 	                  	                  	                            	              	                     	                             	                      	R                    	R                  	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 58	X	CC	  35.00	    524.8800	Burckle  	Diatoms                                      	C              	P                 	                    	F              	                                     	R                      	F                        	                       	R                     	                   	                                    	R                     	                       	                  	                   	                   	F                          	                 	                  	                  	                            	              	R                    	R                            	R                     	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 59	X	 2	  20.00	    531.2000	Burckle  	Diatoms                                      	C              	M                 	                    	               	                                     	F                      	R                        	R                      	                      	                   	                                    	                      	                       	                  	                   	                   	                           	R                	F                 	                  	                            	R             	R                    	R                            	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 59	X	 3	  20.00	    532.7000	Burckle  	Diatoms                                      	C              	M                 	                    	               	                                     	R                      	R                        	R                      	R                     	                   	                                    	                      	                       	                  	                   	R                  	R                          	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 59	X	 4	  20.00	    534.2000	Burckle  	Diatoms                                      	C              	M                 	                    	               	                                     	R                      	F                        	                       	                      	                   	                                    	                      	                       	                  	                   	C                  	                           	                 	                  	                  	                            	R             	R                    	R                            	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 59	X	 5	  20.00	    535.7000	Burckle  	Diatoms                                      	C              	M                 	F                   	               	                                     	F                      	                         	                       	                      	                   	                                    	                      	                       	                  	                   	                   	R                          	                 	                  	                  	                            	R             	                     	R                            	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 59	X	 6	  20.00	    537.2000	Burckle  	Diatoms                                      	C              	M                 	F                   	               	                                     	R                      	F                        	                       	                      	                   	                                    	                      	                       	                  	                   	                   	R                          	                 	                  	                  	                            	R             	                     	R                            	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 59	X	 7	  20.00	    538.7000	Burckle  	Diatoms                                      	C              	M                 	                    	R              	                                     	F                      	R                        	R                      	                      	                   	                                    	                      	                       	                  	                   	R                  	R                          	                 	                  	                  	                            	              	R                    	R                            	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 59	X	CC	  36.00	    539.1500	Burckle  	Diatoms                                      	C              	P                 	F                   	               	                                     	R                      	                         	                       	                      	                   	                                    	                      	                       	                  	                   	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 60	X	 1	  20.00	    539.4000	Burckle  	Diatoms                                      	C              	G                 	F                   	R              	                                     	R                      	F                        	R                      	                      	                   	                                    	                      	                       	                  	                   	R                  	R                          	                 	                  	                  	                            	R             	R                    	                             	R                     	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 60	X	 2	  60.00	    541.3000	Burckle  	Diatoms                                      	C              	P/M               	                    	R              	R                                    	R                      	F                        	R                      	                      	                   	                                    	                      	                       	                  	                   	                   	R                          	                 	R                 	                  	                            	              	                     	R                            	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 60	X	 3	  20.00	    542.4000	Burckle  	Diatoms                                      	C              	M                 	F                   	F              	R                                    	R                      	R                        	                       	                      	                   	                                    	R                     	                       	                  	                   	R                  	R                          	                 	                  	                  	                            	              	                     	R                            	R                     	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 60	X	CC	  45.00	    549.0000	Burckle  	Diatoms                                      	R              	P                 	R                   	               	                                     	                       	                         	                       	                      	                   	                                    	R                     	                       	                  	                   	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 61	X	CC	  40.00	    558.8100	Burckle  	Diatoms                                      	F              	P                 	F                   	R              	                                     	R                      	R                        	                       	                      	                   	                                    	                      	                       	                  	                   	R                  	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 62	X	CC	  27.00	    568.0100	Burckle  	Diatoms                                      	C              	M                 	F                   	               	R                                    	R                      	R                        	R                      	                      	R                  	                                    	                      	                       	                  	                   	                   	R                          	                 	                  	                  	                            	              	R                    	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 63	X	CC	  38.00	    577.6100	Burckle  	Diatoms                                      	F-C            	M                 	F                   	R              	                                     	R                      	F                        	R                      	                      	R                  	                                    	                      	                       	                  	                   	                   	R                          	                 	                  	                  	                            	R             	R                    	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 64	X	 6	  60.00	    585.6000	Burckle  	Diatoms                                      	F              	M                 	F                   	R              	                                     	R                      	                         	R                      	R                     	                   	R                                   	                      	                       	                  	                   	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 64	X	CC	  33.00	    587.1900	Burckle  	Diatoms                                      	C              	M                 	                    	R              	                                     	R                      	R                        	                       	R                     	R                  	                                    	                      	                       	                  	                   	R                  	                           	                 	                  	R                 	R                           	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 65	X	 3	  20.00	    590.3000	Burckle  	Diatoms                                      	F              	P                 	F                   	               	                                     	R                      	                         	                       	                      	                   	R                                   	                      	                       	                  	                   	                   	                           	                 	R                 	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 65	X	 6	  20.00	    594.8000	Burckle  	Diatoms                                      	F              	P                 	F                   	               	                                     	R                      	                         	                       	                      	                   	                                    	                      	                       	                  	                   	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 65	X	CC	  38.00	    596.3600	Burckle  	Diatoms                                      	F              	P                 	F                   	               	                                     	R                      	R                        	R                      	                      	R                  	R                                   	                      	                       	                  	                   	R                  	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 66	X	CC	  18.00	    596.9800	Burckle  	Diatoms                                      	F              	M                 	F                   	               	R                                    	R                      	R                        	R                      	R                     	                   	R                                   	                      	                       	                  	R                  	                   	R                          	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 67	X	CC	  36.00	    615.9400	Burckle  	Diatoms                                      	F              	M                 	R                   	               	R                                    	F                      	R                        	R                      	                      	                   	R                                   	                      	                       	R                 	                   	R                  	R                          	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 68	X	CC	  33.00	    625.7000	Burckle  	Diatoms                                      	F              	M                 	F                   	               	R                                    	R                      	R                        	                       	                      	                   	R                                   	                      	R                      	                  	                   	                   	R                          	R                	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 69	X	CC	  37.00	    634.3100	Burckle  	Diatoms                                      	C              	M                 	R                   	R              	R                                    	C                      	                         	                       	                      	                   	R                                   	                      	                       	                  	                   	R                  	R                          	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 70	X	CC	  36.00	    644.6700	Burckle  	Diatoms                                      	F-C            	M                 	                    	               	T                                    	F                      	F                        	R                      	                      	                   	R                                   	                      	R                      	R                 	                   	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 71	X	CC	  36.00	    654.4700	Burckle  	Diatoms                                      	C              	M                 	F                   	R              	                                     	F                      	F                        	                       	                      	                   	R                                   	R                     	                       	                  	                   	F                  	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 72	X	CC	  36.00	    662.8700	Burckle  	Diatoms                                      	A              	M                 	A                   	               	                                     	F                      	F                        	R                      	                      	                   	                                    	                      	                       	                  	                   	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 73	X	CC	  32.00	    673.9800	Burckle  	Diatoms                                      	C              	M                 	F                   	               	                                     	F                      	R                        	R                      	                      	                   	                                    	                      	                       	R                 	R                  	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 74	X	CC	  34.00	    683.6300	Burckle  	Diatoms                                      	C-A            	M                 	A                   	               	                                     	F                      	R                        	                       	                      	                   	                                    	                      	                       	                  	                   	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 75	X	CC	  37.00	    692.8900	Burckle  	Diatoms                                      	C-A            	M                 	C                   	F              	                                     	F                      	F                        	R                      	R                     	R                  	R                                   	R                     	R                      	                  	                   	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

  SR	                 	                 	                  	              	150	 903	A	 76	X	CC	   8.00	    702.6600	Burckle  	Diatoms                                      	C              	M                 	C                   	R              	R                                    	R                      	R                        	R                      	                      	                   	                                    	                      	                       	                  	                   	                   	                           	                 	                  	                  	                            	              	                     	                             	                      	                     	                   	                      	                        	                       	from Leg 150 SR;Ch 2; Table 2; pp. 24-25

