Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Thoracosphaera spp.,Syracosphaera pulchra,Scapholithus fossilis,Rhabdosphaera clavigera,Reticulofenestra minutula (3-5 microns)  ,Reticulofenestra minuta (<3 microns),Pseudoemiliania lacunosa (round),Pseudoemiliania lacunosa (elliptical),Pontosphaera discopora,Helicosphaera carteri,Gephyrocapsa spp. (<3 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Gephyrocapsa oceanica (3-4 microns)  ,Gephyrocapsa caribbeanica (3-4 microns),Discoaster spp.,Dictyococcites productus,Coccolithus pelagicus,Coccolithus crassipons,Calcidiscus leptoporus,Pontosphaera japonica,Dictyococcites perplexus,Ceratolithus cristatus,Helicosphaera sellii,Calcidiscus macintyrei,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,149, 897,A,  4,R, 1,  17.00,     26.4700,Liu      ,Nannofossils                                 ,V              ,G                 ,C                      ,R                  ,C                    ,F                    ,C                      ,F                                        ,V                                   ,                                ,                                     ,                      ,F                    ,V                             ,C                                      ,F                                    ,                                       ,               ,A                       ,C                    ,C                     ,A                     ,                     ,R                       ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN20              ,              ,149, 897,A,  4,R, 1,  58.00,     26.8800,Liu      ,Nannofossils                                 ,V              ,G                 ,F                      ,R                  ,C                    ,F                    ,C                      ,F                                        ,V                                   ,                                ,                                     ,R                     ,C                    ,V                             ,F                                      ,C                                    ,C                                      ,               ,A                       ,F                    ,C                     ,A                     ,                     ,R                       ,R                     ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  4,R, 1, 128.00,     27.5800,Liu      ,Nannofossils                                 ,V              ,G                 ,F                      ,R                  ,C                    ,F                    ,R                      ,C                                        ,V                                   ,C                               ,A                                    ,                      ,C                    ,V                             ,F                                      ,C                                    ,C                                      ,               ,V                       ,F                    ,C                     ,A                     ,                     ,R                       ,                      ,                    ,r                     ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  4,R, 1, 135.00,     27.6500,Liu      ,Nannofossils                                 ,V              ,G                 ,F                      ,R                  ,C                    ,F                    ,R                      ,C                                        ,V                                   ,C                               ,A                                    ,F                     ,C                    ,V                             ,F                                      ,C                                    ,C                                      ,               ,A                       ,F                    ,F                     ,A                     ,R                    ,R                       ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  4,R, 2,   8.00,     27.8800,Liu      ,Nannofossils                                 ,V              ,G                 ,F                      ,R                  ,C                    ,F                    ,R                      ,C                                        ,V                                   ,C                               ,A                                    ,F                     ,C                    ,V                             ,F                                      ,C                                    ,C                                      ,               ,A                       ,F                    ,F                     ,A                     ,R                    ,R                       ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  4,R, 3,  92.00,     30.2200,Liu      ,Nannofossils                                 ,V              ,G                 ,R                      ,R                  ,C                    ,F                    ,F                      ,F                                        ,C                                   ,C                               ,A                                    ,R                     ,F                    ,C                             ,F                                      ,C                                    ,C                                      ,               ,V                       ,R                    ,R                     ,A                     ,                     ,                        ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  4,R, 3, 113.00,     30.4300,Liu      ,Nannofossils                                 ,V              ,G                 ,C                      ,R                  ,C                    ,F                    ,C                      ,F                                        ,A                                   ,C                               ,A                                    ,R                     ,C                    ,V                             ,F                                      ,C                                    ,C                                      ,               ,                        ,R                    ,R                     ,A                     ,R                    ,                        ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  4,R,CC,   8.00,     30.5600,Liu      ,Nannofossils                                 ,V              ,G                 ,F                      ,R                  ,F                    ,F                    ,F                      ,F                                        ,A                                   ,F                               ,A                                    ,R                     ,F                    ,A                             ,F                                      ,C                                    ,C                                      ,               ,V                       ,R                    ,C                     ,A                     ,                     ,                        ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  5,R, 1, 148.00,     37.4800,Liu      ,Nannofossils                                 ,V              ,G                 ,F                      ,R                  ,F                    ,F                    ,F                      ,F                                        ,A                                   ,F                               ,A                                    ,R                     ,F                    ,A                             ,F                                      ,C                                    ,C                                      ,               ,V                       ,R                    ,C                     ,A                     ,                     ,                        ,                      ,r                   ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  5,R, 2,  21.00,     37.7100,Liu      ,Nannofossils                                 ,V              ,G                 ,F                      ,R                  ,F                    ,F                    ,F                      ,A                                        ,A                                   ,F                               ,A                                    ,R                     ,F                    ,A                             ,F                                      ,C                                    ,C                                      ,               ,V                       ,R                    ,C                     ,A                     ,                     ,R                       ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  5,R, 2,  46.00,     37.9600,Liu      ,Nannofossils                                 ,V              ,G                 ,F                      ,R                  ,F                    ,F                    ,C                      ,F                                        ,A                                   ,C                               ,A                                    ,R                     ,C                    ,A                             ,F                                      ,C                                    ,C                                      ,               ,V                       ,R                    ,F                     ,A                     ,                     ,                        ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  5,R, 2,  80.00,     38.3000,Liu      ,Nannofossils                                 ,V              ,G                 ,F                      ,R                  ,F                    ,F                    ,F                      ,F                                        ,A                                   ,C                               ,A                                    ,R                     ,F                    ,A                             ,F                                      ,C                                    ,C                                      ,               ,V                       ,                     ,F                     ,A                     ,                     ,                        ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  5,R, 2, 136.00,     38.8600,Liu      ,Nannofossils                                 ,V              ,G                 ,                       ,R                  ,F                    ,                     ,F                      ,F                                        ,A                                   ,C                               ,A                                    ,                      ,F                    ,A                             ,F                                      ,C                                    ,C                                      ,               ,V                       ,                     ,F                     ,A                     ,                     ,                        ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  5,R, 3,  11.00,     39.1100,Liu      ,Nannofossils                                 ,V              ,G                 ,F                      ,R                  ,F                    ,                     ,R                      ,                                         ,V                                   ,F                               ,C                                    ,F                     ,F                    ,V                             ,F                                      ,F                                    ,F                                      ,               ,V                       ,F                    ,R                     ,C                     ,R                    ,R                       ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  5,R, 3,  32.00,     39.3200,Liu      ,Nannofossils                                 ,V              ,G                 ,C                      ,R                  ,F                    ,                     ,F                      ,                                         ,V                                   ,F                               ,A                                    ,F                     ,F                    ,V                             ,F                                      ,C                                    ,C                                      ,               ,A                       ,R                    ,R                     ,A                     ,R                    ,                        ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  5,R,CC,   9.00,     39.6600,Liu      ,Nannofossils                                 ,V              ,G                 ,R                      ,R                  ,F                    ,R                    ,R                      ,A                                        ,A                                   ,C                               ,A                                    ,F                     ,F                    ,A                             ,C                                      ,C                                    ,C                                      ,               ,A                       ,R                    ,F                     ,A                     ,                     ,                        ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  6,R, 1,  92.00,     46.5200,Liu      ,Nannofossils                                 ,V              ,G                 ,R                      ,R                  ,F                    ,                     ,F                      ,C                                        ,V                                   ,F                               ,A                                    ,F                     ,F                    ,V                             ,F                                      ,C                                    ,C                                      ,               ,C                       ,R                    ,F                     ,C                     ,R                    ,R                       ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  6,R, 2,  68.00,     47.7800,Liu      ,Nannofossils                                 ,V              ,G                 ,F                      ,R                  ,F                    ,                     ,F                      ,C                                        ,A                                   ,F                               ,A                                    ,R                     ,F                    ,A                             ,F                                      ,C                                    ,C                                      ,               ,V                       ,F                    ,C                     ,C                     ,R                    ,                        ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  6,R, 3,  47.00,     49.0700,Liu      ,Nannofossils                                 ,V              ,G                 ,F                      ,R                  ,F                    ,F                    ,F                      ,C                                        ,A                                   ,C                               ,A                                    ,R                     ,F                    ,V                             ,R                                      ,C                                    ,C                                      ,               ,A                       ,R                    ,R                     ,A                     ,R                    ,R                       ,R                     ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  6,R, 4, 149.00,     51.5900,Liu      ,Nannofossils                                 ,V              ,G                 ,R                      ,R                  ,R                    ,                     ,R                      ,A                                        ,A                                   ,R                               ,C                                    ,R                     ,F                    ,A                             ,R                                      ,C                                    ,C                                      ,r              ,A                       ,R                    ,F                     ,A                     ,                     ,                        ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  6,R, 5,   5.00,     51.6500,Liu      ,Nannofossils                                 ,V              ,G                 ,F                      ,R                  ,R                    ,R                    ,R                      ,C                                        ,C                                   ,                                ,                                     ,R                     ,F                    ,A                             ,F                                      ,C                                    ,C                                      ,               ,V                       ,R                    ,F                     ,A                     ,                     ,                        ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN19h             ,              ,149, 897,A,  6,R, 5,  56.00,     52.1600,Liu      ,Nannofossils                                 ,V              ,G                 ,F                      ,R                  ,F                    ,R                    ,F                      ,A                                        ,C                                   ,R                               ,C                                    ,R                     ,F                    ,C                             ,F                                      ,C                                    ,C                                      ,r              ,A                       ,F                    ,F                     ,A                     ,                     ,                        ,                      ,                    ,                      ,                 ,from 149 SR. Chapter 5. Table 2. page 150.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
