Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira yabei	Thalassionema nitzschioides	Synedra jouseana	Stephanopyxis turris	Rouxia californica	Rhizosolenia barboi	Paralia sulcata	Grammatophora spp.	Denticulopsis hustedtii	Coscinodiscus marginatus	Chaetoceros spp.	Aulacoseira granulata	Actinoptychus senarius	Thalassionema schraderi	Thalassionema hirosakiensis	Rhizosolenia styliformis	Rhizosolenia hebetata	Opephora martyi	Denticulopsis dimorpha	Coscinodiscus elegans	Azpeitia endoi	Thalassiosira manifesta	Denticulopsis katayamae	Cocconeis scutellum	Cocconeis costata	Actinocyclus ingens	Goniothecium tenue	Coscinodiscus symbolophorus	Coscinodiscus obscurus	Odontella aurita	Nitzschia rolandii	Nitzschia pliocena	Thalassiosira marujamica	Nitzschia spp.	Hemiaulus polymorphus	Asteromphalus robustus	Asterolampra marylandica	Rhizosolenia miocenica	Neodenticula kamtschatica	Diploneis interrupta	Thalassiosira temperei	Pseudopodosira elegans	Nitzschia reinholdii	Denticulopsis praedimorpha	Thalassiosira antiqua	Stephanopyxis spp.	Coscinodiscus stellaris	Coscinodiscus oculus-iridis	Thalassiosira nidulus	Cocconeis californica	Cosmiodiscus insignis	Actinocyclus octonarius	Thalassiosira jacksonii	Thalassiosira zabellinae	Actinocyclus curvatulus	Diploneis smithii	Thalassiosira oestrupii	Thalassiosira sp. 1	Navicula lyra	Denticulopsis hyalina	Delphineis surirella	Cymatosira debyi	Rhizosolenia alata	Cocconeis disculus	Thalassiosira trifulta	Thalassiosira lineata	Thalassiosira eccentrica	Thalassionema bacillaris	Nitzschia sicula	Navicula spp.	Diploneis coffeiformis	Achnanthes lanceolata	Thalassiothrix frauenfeldii	Thalassiosira plicata	Thalassiosira gravida	Eunotia spp.	Thalassiosira pacifica	Rossiella tatsunokuchiensis	Trachyneis aspera	Thalassiosira leptopus	Thalassiosira hyalina	Thalassiosira convexa	Rhopalodia gibberula	Rhaphoneis amphiceros	Navicula mutica	Mastogloia capitata	Gomphonema abbreviatum	Fragilaria construens	Epithemia turgida	Diploneis oculata	Cymbella sinensis	Cyclotella striata	Cocconeis placentula var. euglypta	Actinocyclus ochotensis	Achnanthes brevipes	Lithodesmium undulatum	Hemidiscus cuneiformis	Rhizosolenia setigera	Melosira albicans	Coscinodiscus marginatus (girdles)	Chaetoceros spores	Thalassiosira nordenskioeldii	Neodenticula koizumii	Diploneis bombus	Cymatotheca weissflogii	Nitzschia granulata	Rouxia sp.	Actinocyclus sp.	Coscinodiscus radiatus	Thalassiosira lacustris	Cocconeis pseudomarginatus	Bacterosira fragilis	Neodenticula seminae	Plagiogramma staurophorum	Navicula pygmaea	Cyclotella kutzingiana	Cyclotella antiqua	Porosira glacialis	Diploneis elliptica	Cocconeis fluminensis	Azpeitia nodulifer	Actinocyclus oculatus	Achnanthes diapar	Thalassiosira decipiens	Cyclotella styroleum	Rhizosolenia curvirostris	Gomphonema olivacium	Synedra ulna	Cyclotella chaetoceras	Roperia tesselata	Rhizosolenia bergonii	Gomphonema longiceps	Fragilaria leptostauron	Calloneis bacillum	Cymbella tumida	Pseudoeunotia doliolus	Pinnularia appendiculata	Gomphonema tergrstinum	Nitzschia fossilis	Nitzschia braarudii	Diploneis weissflogi	Biddulphia sinensis	Bacillaria paradoxa	Azpeitia tabularis	Comment

  SR	Quaternary       	                 	NPD 12            	              	127	 794	A	  2	H	 3	  44.00	     10.2400	Koizumi  	Diatoms                                      	               	                  	20                       	                   	8                          	                	10                  	                  	1                  	12             	1                 	r2                     	7                       	41              	                     	                      	                       	                           	1                       	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	r2                       	                    	                      	                      	                    	                          	r1                   	6                 	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	1                      	                   	             	                     	                    	                	                  	                  	3                     	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	1                	                 	1                 	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	r1                   	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	1                     	                  	                  	1                  	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	1                     	1                       	1                     	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Quaternary       	                 	R. curvirostris   	              	127	 794	A	  2	H	 5	  44.00	     13.2400	Koizumi  	Diatoms                                      	               	                  	                         	                   	8                          	                	4                   	r1                	2                  	2              	                  	r2                     	2                       	15              	4                    	                      	                       	                           	1                       	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	r2                       	                    	                      	                      	                    	                          	                     	3                 	                       	                           	                     	                     	                     	                       	r1                     	                        	1                      	                 	                       	                   	             	                     	                    	                	                  	                  	1                     	1                    	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	r1                   	                 	                       	                    	2                        	                    	            	                      	                 	                     	                    	                       	                  	1              	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Quaternary       	                 	R. curvirostris   	              	127	 794	A	  3	H	 1	  43.00	     16.7300	Koizumi  	Diatoms                                      	               	                  	                         	                   	2                          	                	1                   	                  	                   	               	                  	                       	                        	1               	2                    	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	r1                       	                    	                      	                      	                    	                          	                     	1                 	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	1                            	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	1                      	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Quaternary       	                 	R. curvirostris   	              	127	 794	A	  3	H	 3	  43.00	     19.7300	Koizumi  	Diatoms                                      	               	                  	3                        	                   	3                          	                	13                  	                  	                   	               	                  	                       	                        	197             	                     	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	1                    	                     	                       	                       	                        	8                      	                 	15                     	                   	             	                     	                    	                	                  	                  	41                    	                     	4                       	                        	                	             	                      	                     	2                          	                     	                     	            	1                     	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	1                   	108                 	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Quaternary       	                 	R. curvirostris   	              	127	 794	A	  3	H	 5	  43.00	     22.7300	Koizumi  	Diatoms                                      	               	                  	                         	                   	1                          	                	                    	                  	                   	               	                  	                       	                        	                	                     	                      	                       	                           	                        	                     	               	                      	1                    	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Quaternary       	                 	R. curvirostris   	              	127	 794	A	  4	H	 1	  44.00	     26.2400	Koizumi  	Diatoms                                      	               	                  	1                        	                   	20                         	                	23                  	                  	                   	6              	1                 	r1                     	3                       	112             	1                    	2                     	                       	                           	                        	1                    	               	                      	                     	              	                       	                       	1                  	                 	                   	                  	                           	                      	1               	                  	                  	                        	              	                     	1                     	                        	                      	r1                       	                    	                      	1                     	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	1                      	2                	4                      	                   	1            	r1                   	1                   	                	                  	                  	                      	                     	1                       	                        	                	             	                      	                     	1                          	                     	1                    	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	1                    	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	1               	                       	1                  	          	                	                      	                       	                          	                    	11                  	                         	                	1                     	                  	                  	                   	                     	                  	                     	                 	                       	                    	2                        	                    	1           	                      	1                	1                    	1                   	1                      	1                 	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Quaternary       	                 	R. curvirostris   	              	127	 794	A	  4	H	 3	  45.00	     29.2500	Koizumi  	Diatoms                                      	               	                  	1                        	                   	19                         	                	13                  	                  	                   	5              	1                 	r1                     	3                       	113             	                     	1                     	                       	                           	3                       	1                    	               	                      	                     	              	                       	                       	2                  	1                	                   	                  	                           	                      	1               	                  	                  	                        	              	                     	                      	                        	                      	r8                       	                    	                      	                      	                    	                          	                     	                  	                       	                           	1                    	                     	                     	                       	                       	                        	                       	                 	1                      	                   	             	                     	1                   	                	                  	                  	1                     	                     	                        	                        	                	             	                      	                     	                           	                     	2                    	            	                      	                           	1                	                      	                     	                     	                    	                     	               	                   	                      	1                    	                 	                 	                 	1                 	1                                 	                       	                   	                      	                      	                     	                 	                                  	                  	                             	r4                   	8               	                       	                   	          	                	                      	                       	                          	2                   	3                   	                         	                	                      	                  	1                 	1                  	                     	                  	                     	                 	                       	1                   	9                        	                    	1           	1                     	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Quaternary       	                 	R. curvirostris   	              	127	 794	A	  4	H	 5	  46.00	     32.2600	Koizumi  	Diatoms                                      	               	                  	1                        	                   	11                         	                	151                 	                  	                   	6              	                  	                       	                        	40              	                     	                      	                       	                           	                        	3                    	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	1                    	                     	                     	2                      	                       	                        	                       	                 	1                      	                   	             	                     	3                   	                	                  	                  	1                     	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	2                    	                 	                                  	                  	                             	r1                   	9               	                       	                   	          	                	                      	                       	                          	                    	2                   	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	4                        	1                   	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Quaternary       	                 	R. curvirostris   	              	127	 794	A	  4	H	 7	  45.00	     35.2500	Koizumi  	Diatoms                                      	               	                  	                         	                   	4                          	                	1                   	r1                	                   	               	                  	                       	                        	2               	1                    	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269
