Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thoracosphaera heimii,Sphenolithus stellatus,Sphenolithus radians,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus intercalaris,Scyphosphaera biarritzensis,Rhabdosphaera scabrosa,Rhabdosphaera pseudomorionum,Rhabdosphaera morionum,Pseudotriquetrorhabdulus inversus,Pontosphaera latoculata,Markalius inversus,Helicosphaera papillata,Helicosphaera compacta,Ericsonia formosa,Discoaster wemmelensis,Discoaster strictus,Discoaster septemradiatus,Discoaster lodoensis,Discoaster diastypus,Discoaster cruciformis,Discoaster bifax,Discoaster barbadiensis,Dictyococcites scrippsae,Coronocyclus nitescens,Coccolithus eopelagicus,Chiphragmalithus barbatus,Chiasmolithus solitus,Chiasmolithus oamaruensis,Chiasmolithus gigas,Chiasmolithus eograndis,Thoracosphaera saxea,Sphenolithus spiniger,Sphenolithus moriformis,Sphenolithus furcatolithoides,Semihololithus kerabyi,Scyphosphaera expansa,Scyphosphaera columella,Rhabdosphaera tenuis,Rhabdosphaera perlonga,Reticulofenestra dictyoda,Pontosphaera ocellata,Pontosphaera multipora,Pontosphaera formosa,Nannotetrina cristata,Lophodolithus acutus,Helicosphaera seminulum,Helicosphaera lophota,Helicosphaera dinesenii,Ericsonia obruta,Discoaster nonaradiatus,Discoaster martinii,Discoaster deflandrei,Cruciplacolithus tarquinius,Coronocyclus prionion,Chiasmolithus titus,Chiasmolithus nitidus,Chiasmolithus grandis,Chiasmolithus expansus,Campylosphaera dela,Zygrhablithus bijugatus,Transversopontis pulcheroides,Scyphosphaera tercisensis,Scapholithus fossilis,Neococcolithes dubius,Discoaster sublodoensis,Discoaster gemmifer,Coccolithus pelagicus,Chiasmolithus consuetus,Tribrachiatus bramlettei,Transversopontis pulcher,Toweius pertusus,Toweius gammation,Sphenolithus editus,Neococcolithes protenus,Lophodolithus nascens,Lophodolithus mochlophorus,Discoaster kuepperi,Discoaster binodosus,Cruciplacolithus cribellum,Umbellosphaera irregularis,Syracosphaera spp.,Scyphosphaera (unspecified taxon or taxa),Rhabdosphaera spp.,Reticulofenestra spp. (large),Pseudoemiliania lacunosa E,Pseudoemiliania lacunosa C,Oolithotus antillarum,Helicosphaera sellii,Helicosphaera carteri,Gephyrocapsa spp. (small),Gephyrocapsa spp. (large),Gephyrocapsa sp. 3,Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Emiliania huxleyi,Cyclolithus annulus,Calcidiscus macintyrei,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 873,B,  1,H, 2,  24.00,      1.4300,Erba     ,Nannofossils                                 ,               ,                  ,                     ,                      ,                    ,                          ,                         ,                         ,                           ,                      ,                            ,                      ,                                 ,                       ,                  ,                       ,                      ,                 ,                      ,                   ,                         ,                    ,                    ,                      ,                ,                       ,                        ,                      ,                       ,                         ,                     ,                         ,                   ,                       ,                    ,                     ,                       ,                             ,                      ,                     ,                       ,                    ,                      ,                         ,                     ,                      ,                    ,                     ,                    ,                       ,                     ,                       ,                ,                       ,                   ,                     ,                           ,                     ,                   ,                     ,                     ,                      ,                   ,                       ,                             ,                         ,.4%2                 ,                     ,                       ,                   ,.0%0                 ,                       ,                        ,                        ,                ,                 ,                   ,                       ,                     ,                          ,                   ,                    ,                          ,.0%0                      ,.6%3              ,.0%0                                     ,.2%1              ,.0%0                         ,7.6%39                    ,5.4%28                    ,.0%0                 ,.6%3                ,2.3%12               ,48.9%252                 ,2.9%15                   ,.0%0              ,11.3%58                   ,16.5%85                  ,.0%0             ,1.2%6              ,.0%0                  ,2.1%11                ,from Leg 144 SR; Ch 1; Table 5; p 18-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 873,B,  1,H, 2,  50.00,      1.6900,Erba     ,Nannofossils                                 ,               ,                  ,                     ,                      ,                    ,                          ,                         ,                         ,                           ,                      ,                            ,                      ,                                 ,                       ,                  ,                       ,                      ,                 ,                      ,                   ,                         ,                    ,                    ,                      ,                ,                       ,                        ,                      ,                       ,                         ,                     ,                         ,                   ,                       ,                    ,                     ,                       ,                             ,                      ,                     ,                       ,                    ,                      ,                         ,                     ,                      ,                    ,                     ,                    ,                       ,                     ,                       ,                ,                       ,                   ,                     ,                           ,                     ,                   ,                     ,                     ,                      ,                   ,                       ,                             ,                         ,.4%2                 ,                     ,                       ,                   ,.0%0                 ,                       ,                        ,                        ,                ,                 ,                   ,                       ,                     ,                          ,                   ,                    ,                          ,.2%1                      ,.0%0              ,.0%0                                     ,.0%0              ,.6%3                         ,22.7%116                  ,8.6%44                    ,.0%0                 ,.4%2                ,1.0%5                ,51.8%265                 ,.0%0                     ,.0%0              ,2.7%14                    ,10.2%52                  ,.0%0             ,.8%4               ,.0%0                  ,.8%4                  ,from Leg 144 SR; Ch 1; Table 5; p 18-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 873,B,  1,H, 2, 100.00,      2.1900,Erba     ,Nannofossils                                 ,               ,                  ,                     ,                      ,                    ,                          ,                         ,                         ,                           ,                      ,                            ,                      ,                                 ,                       ,                  ,                       ,                      ,                 ,                      ,                   ,                         ,                    ,                    ,                      ,                ,                       ,                        ,                      ,                       ,                         ,                     ,                         ,                   ,                       ,                    ,                     ,                       ,                             ,                      ,                     ,                       ,                    ,                      ,                         ,                     ,                      ,                    ,                     ,                    ,                       ,                     ,                       ,                ,                       ,                   ,                     ,                           ,                     ,                   ,                     ,                     ,                      ,                   ,                       ,                             ,                         ,.2%1                 ,                     ,                       ,                   ,.0%0                 ,                       ,                        ,                        ,                ,                 ,                   ,                       ,                     ,                          ,                   ,                    ,                          ,.2%1                      ,.9%5              ,.0%0                                     ,.8%4              ,.4%2                         ,18.8%101                  ,6.9%37                    ,.0%0                 ,.6%3                ,1.5%8                ,55.8%299                 ,.9%5                     ,.0%0              ,2.4%13                    ,9.0%48                   ,.0%0             ,.8%4               ,.0%0                  ,.9%5                  ,from Leg 144 SR; Ch 1; Table 5; p 18-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 873,B,  1,H, 3,   5.00,      2.6200,Erba     ,Nannofossils                                 ,               ,                  ,                     ,                      ,                    ,                          ,                         ,                         ,                           ,                      ,                            ,                      ,                                 ,                       ,                  ,                       ,                      ,                 ,                      ,                   ,                         ,                    ,                    ,                      ,                ,                       ,                        ,                      ,                       ,                         ,                     ,                         ,                   ,                       ,                    ,                     ,                       ,                             ,                      ,                     ,                       ,                    ,                      ,                         ,                     ,                      ,                    ,                     ,                    ,                       ,                     ,                       ,                ,                       ,                   ,                     ,                           ,                     ,                   ,                     ,                     ,                      ,                   ,                       ,                             ,                         ,.2%1                 ,                     ,                       ,                   ,.2%1                 ,                       ,                        ,                        ,                ,                 ,                   ,                       ,                     ,                          ,                   ,                    ,                          ,.2%1                      ,1.9%10            ,.0%0                                     ,1.4%7             ,.0%0                         ,15.9%82                   ,5.2%27                    ,.0%0                 ,.4%2                ,3.3%17               ,59.8%308                 ,3.3%17                   ,.0%0              ,1.4%7                     ,4.5%23                   ,.0%0             ,1.2%6              ,.0%0                  ,1.2%6                 ,from Leg 144 SR; Ch 1; Table 5; p 18-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 873,B,  1,H, 3,  50.00,      3.0700,Erba     ,Nannofossils                                 ,               ,                  ,                     ,                      ,                    ,                          ,                         ,                         ,                           ,                      ,                            ,                      ,                                 ,                       ,                  ,                       ,                      ,                 ,                      ,                   ,                         ,                    ,                    ,                      ,                ,                       ,                        ,                      ,                       ,                         ,                     ,                         ,                   ,                       ,                    ,                     ,                       ,                             ,                      ,                     ,                       ,                    ,                      ,                         ,                     ,                      ,                    ,                     ,                    ,                       ,                     ,                       ,                ,                       ,                   ,                     ,                           ,                     ,                   ,                     ,                     ,                      ,                   ,                       ,                             ,                         ,.6%3                 ,                     ,                       ,                   ,.0%0                 ,                       ,                        ,                        ,                ,                 ,                   ,                       ,                     ,                          ,                   ,                    ,                          ,.0%0                      ,.0%0              ,.0%0                                     ,.8%4              ,.0%0                         ,37.8%193                  ,11.2%57                   ,.0%0                 ,.4%2                ,1.8%9                ,37.2%190                 ,.6%3                     ,.0%0              ,2.9%15                    ,4.3%22                   ,.0%0             ,1.0%5              ,.0%0                  ,1.6%8                 ,from Leg 144 SR; Ch 1; Table 5; p 18-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 873,B,  1,H, 3, 100.00,      3.5700,Erba     ,Nannofossils                                 ,               ,                  ,                     ,                      ,                    ,                          ,                         ,                         ,                           ,                      ,                            ,                      ,                                 ,                       ,                  ,                       ,                      ,                 ,                      ,                   ,                         ,                    ,                    ,                      ,                ,                       ,                        ,                      ,                       ,                         ,                     ,                         ,                   ,                       ,                    ,                     ,                       ,                             ,                      ,                     ,                       ,                    ,                      ,                         ,                     ,                      ,                    ,                     ,                    ,                       ,                     ,                       ,                ,                       ,                   ,                     ,                           ,                     ,                   ,                     ,                     ,                      ,                   ,                       ,                             ,                         ,.0%0                 ,                     ,                       ,                   ,.0%0                 ,                       ,                        ,                        ,                ,                 ,                   ,                       ,                     ,                          ,                   ,                    ,                          ,.4%2                      ,.6%3              ,.4%2                                     ,.0%0              ,.0%0                         ,19.6%102                  ,17.1%89                   ,.4%2                 ,.6%3                ,4.0%21               ,42.5%221                 ,.0%0                     ,.0%0              ,4.2%22                    ,4.4%23                   ,.0%0             ,1.2%6              ,2.1%11                ,2.5%13                ,from Leg 144 SR; Ch 1; Table 5; p 18-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 873,B,  1,H, 4,   5.00,      4.0200,Erba     ,Nannofossils                                 ,               ,                  ,                     ,                      ,                    ,                          ,                         ,                         ,                           ,                      ,                            ,                      ,                                 ,                       ,                  ,                       ,                      ,                 ,                      ,                   ,                         ,                    ,                    ,                      ,                ,                       ,                        ,                      ,                       ,                         ,                     ,                         ,                   ,                       ,                    ,                     ,                       ,                             ,                      ,                     ,                       ,                    ,                      ,                         ,                     ,                      ,                    ,                     ,                    ,                       ,                     ,                       ,                ,                       ,                   ,                     ,                           ,                     ,                   ,                     ,                     ,                      ,                   ,                       ,                             ,                         ,.4%2                 ,                     ,                       ,                   ,1.4%7                ,                       ,                        ,                        ,                ,                 ,                   ,                       ,                     ,                          ,                   ,                    ,                          ,.0%0                      ,.6%3              ,.0%0                                     ,.4%2              ,.0%0                         ,33.8%175                  ,10.0%52                   ,.0%0                 ,.4%2                ,2.3%12               ,43.8%227                 ,.0%0                     ,.0%0              ,1.4%7                     ,1.9%10                   ,.0%0             ,.0%0               ,2.9%15                ,.8%4                  ,from Leg 144 SR; Ch 1; Table 5; p 18-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 873,B,  1,H, 4,  50.00,      4.4700,Erba     ,Nannofossils                                 ,               ,                  ,                     ,                      ,                    ,                          ,                         ,                         ,                           ,                      ,                            ,                      ,                                 ,                       ,                  ,                       ,                      ,                 ,                      ,                   ,                         ,                    ,                    ,                      ,                ,                       ,                        ,                      ,                       ,                         ,                     ,                         ,                   ,                       ,                    ,                     ,                       ,                             ,                      ,                     ,                       ,                    ,                      ,                         ,                     ,                      ,                    ,                     ,                    ,                       ,                     ,                       ,                ,                       ,                   ,                     ,                           ,                     ,                   ,                     ,                     ,                      ,                   ,                       ,                             ,                         ,.4%2                 ,                     ,                       ,                   ,.4%2                 ,                       ,                        ,                        ,                ,                 ,                   ,                       ,                     ,                          ,                   ,                    ,                          ,.0%0                      ,1.1%6             ,.2%1                                     ,.0%0              ,.0%0                         ,21.1%114                  ,19.1%103                  ,.6%3                 ,2.0%11              ,2.2%12               ,38.3%207                 ,.0%0                     ,.0%0              ,.0%0                      ,.2%1                     ,.0%0             ,10.2%55            ,2.8%15                ,1.3%7                 ,from Leg 144 SR; Ch 1; Table 5; p 18-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 873,B,  1,H, 4, 100.00,      4.9700,Erba     ,Nannofossils                                 ,               ,                  ,                     ,                      ,                    ,                          ,                         ,                         ,                           ,                      ,                            ,                      ,                                 ,                       ,                  ,                       ,                      ,                 ,                      ,                   ,                         ,                    ,                    ,                      ,                ,                       ,                        ,                      ,                       ,                         ,                     ,                         ,                   ,                       ,                    ,                     ,                       ,                             ,                      ,                     ,                       ,                    ,                      ,                         ,                     ,                      ,                    ,                     ,                    ,                       ,                     ,                       ,                ,                       ,                   ,                     ,                           ,                     ,                   ,                     ,                     ,                      ,                   ,                       ,                             ,                         ,.4%2                 ,                     ,                       ,                   ,1.5%8                ,                       ,                        ,                        ,                ,                 ,                   ,                       ,                     ,                          ,                   ,                    ,                          ,.4%2                      ,.9%5              ,.2%1                                     ,.4%2              ,.0%0                         ,22.2%120                  ,19.4%105                  ,.7%4                 ,2.2%12              ,1.9%10               ,38.9%210                 ,.0%0                     ,.0%0              ,.0%0                      ,.0%0                     ,.0%0             ,8.3%45             ,3.2%17                ,1.1%6                 ,from Leg 144 SR; Ch 1; Table 5; p 18-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP10              ,              ,144, 873,B,  8,N, 1,   0.00,     58.0000,Watkins  ,Nannofossils                                 ,A              ,G                 ,R                    ,                      ,C                   ,                          ,                         ,                         ,                           ,                      ,                            ,                      ,F                                ,                       ,                  ,                       ,                      ,C                ,                      ,                   ,R                        ,C                   ,                    ,R                     ,                ,                       ,                        ,                      ,                       ,                         ,F                    ,                         ,                   ,                       ,R                   ,                     ,A                      ,                             ,                      ,                     ,                       ,                    ,                      ,                         ,R                    ,                      ,                    ,                     ,                    ,R                      ,                     ,                       ,                ,                       ,                   ,                     ,                           ,R                    ,                   ,                     ,R                    ,                      ,F                  ,                       ,R                            ,                         ,                     ,R                    ,                       ,                   ,C                    ,                       ,R                       ,R                       ,R               ,F                ,F                  ,R                      ,R                    ,R                         ,C                  ,F                   ,R                         ,                          ,                  ,                                         ,                  ,                             ,                          ,                          ,                     ,                    ,                     ,                         ,                         ,                  ,                          ,                         ,                 ,                   ,                      ,                      ,from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP13b             ,              ,144, 873,B,  8,N, 1,   4.00,     58.0400,Watkins  ,Nannofossils                                 ,A              ,G                 ,                     ,                      ,F                   ,                          ,                         ,                         ,                           ,                      ,                            ,                      ,F                                ,                       ,                  ,                       ,                      ,C                ,                      ,                   ,                         ,                    ,                    ,                      ,                ,C                      ,                        ,                      ,                       ,                         ,F                    ,                         ,R                  ,                       ,R                   ,F                    ,A                      ,R                            ,                      ,                     ,R                      ,F                   ,                      ,C                        ,R                    ,R                     ,                    ,F                    ,                    ,R                      ,R                    ,R                      ,R               ,R                      ,R                  ,F                    ,?                          ,                     ,R                  ,R                    ,F                    ,R                     ,F                  ,R                      ,R                            ,R                        ,R                    ,R                    ,R                      ,R                  ,A                    ,R                      ,                        ,                        ,                ,                 ,                   ,                       ,                     ,                          ,                   ,                    ,                          ,                          ,                  ,                                         ,                  ,                             ,                          ,                          ,                     ,                    ,                     ,                         ,                         ,                  ,                          ,                         ,                 ,                   ,                      ,                      ,from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
