Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina dutertrei,Menardella menardii,Hastigerina siphonifera,Globorotaloides hexagona,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia scitula,Globorotalia hirsuta,Globorotalia crassaformis hessi,Globorotalia crassaformis,Globorotalia conglomerata,Globorotalia aequilaterus,Globoconella inflata,Globigerinoides trilobus,Globigerinoides sacculifer,Globigerinoides ruber (pink),Globigerinoides ruber,Globigerinoides quadrilobatus,Globigerinoides immaturus,Globigerinita glutinata,Globigerina quinqueloba,Globigerina bulloides,Beella digitata,Globorotalia tosaensis,Globorotalia menardii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1076,A,5,H,CC,40.00,43.4300,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,-                          ,3,A16,5,-                         ,                   ,                       ,                        ,-                  ,-                            ,-                   ,-                   ,+                              ,A23,-                        ,1,A11,1,4,6,7,2,-                        ,-                      ,2,A14,               ,                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1076,A,6,H,CC,21.00,52.8100,Christensen,Planktonic Foraminifers                      ,C              ,G                 ,8,6,7,4,8,                   ,                       ,5,-                  ,-                            ,-                   ,-                   ,-                              ,A17,-                        ,-                        ,8,-                       ,-                         ,2,A21,-                            ,-                        ,-                      ,-                      ,2,               ,                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,175,1076,A,7,H,CC,18.00,62.4900,Christensen,Planktonic Foraminifers                      ,C              ,VG                ,A10,                            ,D18,                                       ,3,                   ,                       ,                        ,                   ,1,                    ,                    ,                               ,                         ,                         ,                         ,                    ,1,1,A11,4,                             ,                         ,                       ,5,A9,               ,                      ,                     ,Very nice sample and quite similar assaemblage to coretop of 1075.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,175,1076,A,8,H,CC,32.00,71.8400,Christensen,Planktonic Foraminifers                      ,F              ,M                 ,A7,                            ,A5,                                       ,                          ,                   ,                       ,                        ,3,                             ,2,                    ,                               ,A5,                         ,2,                    ,                        ,                          ,A6,1,                             ,                         ,                       ,                       ,1,               ,                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1076,A,9,H,CC,24.00,81.5100,Christensen,Planktonic Foraminifers                      ,               ,                  ,+                          ,+                           ,+                ,+                                      ,+                         ,                   ,                       ,                        ,+                  ,+                            ,+                   ,+                   ,+                              ,+                        ,+                        ,+                        ,+                   ,+                       ,+                         ,+                           ,+                    ,+                            ,+                        ,+                      ,+                      ,+                    ,               ,                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,175,1076,A,10,H,CC,22.00,90.8900,Christensen,Planktonic Foraminifers                      ,R              ,P                 ,2,                            ,                 ,                                       ,                          ,                   ,                       ,                        ,                   ,                             ,                    ,                    ,                               ,1,                         ,                         ,                    ,                        ,                          ,1,                     ,                             ,                         ,                       ,                       ,                     ,               ,                      ,                     ,Dissolution fauna- only rare G. crassiformis and an occasional pink ruber- fecal express?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,175,1076,A,12,H,CC,26.00,109.8600,Christensen,Planktonic Foraminifers                      ,               ,                  ,A18,-                           ,9,4,A25,4,                       ,                        ,1,-                            ,1,-                   ,-                              ,3,-                        ,4,8,-                       ,-                         ,-                           ,A10,-                            ,-                        ,-                      ,-                      ,4,               ,                      ,                     ,nice faunaContains pyrite sticks.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1076,A,13,H,CC,22.00,119.8200,Christensen,Planktonic Foraminifers                      ,T              ,P                 ,D11,-                           ,A4,-                                      ,-                         ,                   ,2,-                       ,-                  ,                             ,-                   ,                    ,                               ,                         ,                         ,-                        ,3,3,-                         ,-                           ,2,                             ,                         ,                       ,                       ,A5,               ,-                     ,1,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1076,A,14,H,CC,22.00,129.1200,Christensen,Planktonic Foraminifers                      ,               ,                  ,A7,                            ,4,                                       ,2,2,3,2,4,                             ,                    ,                    ,                               ,1,                         ,                         ,                    ,6,A7,A13,D21,                             ,                         ,                       ,                       ,7,               ,                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1076,A,17,H,CC,21.00,157.8600,Christensen,Planktonic Foraminifers                      ,T              ,M                 ,2,                            ,D7,                                       ,2,                   ,A3,                        ,                   ,                             ,                    ,                    ,2,1,                         ,                         ,                    ,1,                          ,                            ,2,                             ,                         ,                       ,                       ,A3,               ,                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1076,A,19,H,CC,31.00,176.5800,Christensen,Planktonic Foraminifers                      ,               ,                  ,A16,-                           ,A19,3,-                         ,                   ,                       ,                        ,-                  ,-                            ,3,-                   ,-                              ,2,-                        ,2,A21,-                       ,-                         ,-                           ,A11,-                            ,-                        ,-                      ,-                      ,A16,               ,                      ,                     ,occasional pyrite; color has changed- it is not green anymore. Instead it is a dull gray brown.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1076,A,21,H,CC,33.00,195.9500,Christensen,Planktonic Foraminifers                      ,               ,                  ,A3,-                           ,D9,-                                      ,2,D8,-                      ,-                       ,2,-                            ,-                   ,-                   ,-                              ,-                        ,-                        ,-                        ,-                   ,A3,-                         ,-                           ,1,A3,-                        ,-                      ,-                      ,-                    ,-              ,                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1076,A,22,H,CC,23.00,204.9300,Christensen,Planktonic Foraminifers                      ,T              ,M                 ,6,                            ,                 ,                                       ,                          ,                   ,                       ,                        ,                   ,                             ,                    ,                    ,                               ,                         ,                         ,                         ,                    ,                        ,                          ,                            ,                     ,                             ,                         ,                       ,                       ,                     ,               ,                      ,                     ,       
