verbatim_name,name,"name to use (if different from ""name"")",name comment field,taxon_group,Comment,Unnamed: 6,normalized_name
Cruciplacolithus edwardsii,Cruciplacolithus edwardsii,,,nannofossils,,,Cruciplacolithus edwardsii
Cruciplacolithus frequens,Cruciplacolithus frequens,,,nannofossils,,,Cruciplacolithus frequens
Cruciplacolithus intermedius,Cruciplacolithus intermedius,,,nannofossils,,,Cruciplacolithus intermedius
Cruciplacolithus latipons,Cruciplacolithus latipons,,,nannofossils,,,Cruciplacolithus latipons
Cruciplacolithus primus,Cruciplacolithus primus,,,nannofossils,,,Cruciplacolithus primus
Cruciplacolithus spp.,Cruciplacolithus spp.,,,nannofossils,,,Cruciplacolithus spp.
Cruciplacolithus tenuis,Cruciplacolithus tenuis,,,nannofossils,,,Cruciplacolithus tenuis
Cryptococcolithus mediaperforate,Cryptococcolithus mediaperforate,Cryptococcolithus mediaperforatus,,nannofossils,,,Cryptococcolithus mediaperforatus
Cryptococcolithus mediaperforatus,Cryptococcolithus mediaperforatus,,,nannofossils,,,Cryptococcolithus mediaperforatus
Cyclagelosphaera margerelii,Cyclagelosphaera margerelii,,,nannofossils,,,Cyclagelosphaera margerelii
Cyclagelosphaera reinhardtii,Cyclagelosphaera reinhardtii,,,nannofossils,,,Cyclagelosphaera reinhardtii
Cyclagelosphaera spp.,Cyclagelosphaera spp.,,,nannofossils,,,Cyclagelosphaera spp.
Cyclicargolithus abisectus,Cyclicargolithus abisectus,,,nannofossils,,,Cyclicargolithus abisectus
Cyclicargolithus abisectus (11 µm),Cyclicargolithus abisectus (11 µm),Cyclicargolithus abisectus (11 microns),,nannofossils,,,Cyclicargolithus abisectus (11 microns)
Cyclicargolithus abisectus (>11 microns),Cyclicargolithus abisectus (>11 microns),,,nannofossils,,,Cyclicargolithus abisectus (>11 microns)
Cyclicargolithus floridanus,Cyclicargolithus floridanus,,,nannofossils,,,Cyclicargolithus floridanus
Cyclicargolithus floridanus (5-11µm),Cyclicargolithus floridanus (5-11µm),Cyclicargolithus floridanus (5-11microns),,nannofossils,,,Cyclicargolithus floridanus (5-11microns)
Cyclicargolithus floridanus small (<5µm),Cyclicargolithus floridanus small (<5µm),Cyclicargolithus floridanus small (<5 microns),,nannofossils,,,Cyclicargolithus floridanus small (<5 microns)
Cyclicargolithus luminis,Cyclicargolithus luminis,,,nannofossils,,,Cyclicargolithus luminis
Cyclicargolithus? luminis,Cyclicargolithus ? luminis,Cyclicargolithus ? luminis,,nannofossils,,,Cyclicargolithus ? luminis
Cylindralithus nudus,Cylindralithus nudus,,,nannofossils,,,Cylindralithus nudus
Cylindralithus sculptus,Cylindralithus sculptus,,,nannofossils,,,Cylindralithus sculptus
Cylindralithus serratus,Cylindralithus serratus,,,nannofossils,,,Cylindralithus serratus
Daktylethra punctulata,Daktylethra punctulata,,,nannofossils,,,Daktylethra punctulata
Diazomatolithus lehmanii,Diazomatolithus lehmanii,,,nannofossils,,,Diazomatolithus lehmanii
Dictyococcites (<3 microns),Dictyococcites (<3 microns),,,nannofossils,,,Dictyococcites (<3 microns)
Dictyococcites antarcticus,Dictyococcites antarcticus,,,nannofossils,,,Dictyococcites antarcticus
Dictyococcites bisectus,Dictyococcites bisectus,,,nannofossils,,,Dictyococcites bisectus
Dictyococcites bisectus (>10 microns),Dictyococcites bisectus (>10 microns),,,nannofossils,,,Dictyococcites bisectus (>10 microns)
Dictyococcites bisectus (>10 µm),Dictyococcites bisectus (>10 µm),Dictyococcites bisectus (>10 microns),,nannofossils,,,Dictyococcites bisectus (>10 microns)
Dictyococcites bisectus (>10µm),Dictyococcites bisectus (>10µm),Dictyococcites bisectus (>10 microns),,nannofossils,,,Dictyococcites bisectus (>10 microns)
Dictyococcites haqii,Dictyococcites haqii,,,nannofossils,,,Dictyococcites haqii
Dictyococcites perplexus,Dictyococcites perplexus,,,nannofossils,,,Dictyococcites perplexus
Dictyococcites productus,Dictyococcites productus,,,nannofossils,,,Dictyococcites productus
Dictyococcites scrippsae,Dictyococcites scrippsae,,,nannofossils,,,Dictyococcites scrippsae
Dictyococcites scrippsae (<10µm),Dictyococcites scrippsae (<10µm),Dictyococcites scrippsae (<10 microns),,nannofossils,,,Dictyococcites scrippsae (<10 microns)
Dictyococcites spp.,Dictyococcites spp.,,,nannofossils,,,Dictyococcites spp.
Dictyococcites spp. (<6 microns),Dictyococcites spp. (<6 microns),,,nannofossils,,,Dictyococcites spp. (<6 microns)
Dictyococcites spp. (medium),Dictyococcites spp. (medium),,,nannofossils,,,Dictyococcites spp. (medium)
Dictyococcites spp. (small),Dictyococcites spp. (small),,,nannofossils,,,Dictyococcites spp. (small)
"Discoaster ""six-rayed""","Discoaster ""six-rayed""",Discoaster <sp. six-rayed>,,nannofossils,,,Discoaster <sp. six-rayed>
Discoaster adamanteus,Discoaster adamanteus,,,nannofossils,,,Discoaster adamanteus
Discoaster altus,Discoaster altus,,,nannofossils,,,Discoaster altus
Discoaster anartios,Discoaster anartios,,,nannofossils,,,Discoaster anartios
Discoaster araneus,Discoaster araneus,,,nannofossils,,,Discoaster araneus
Discoaster asymetricus,Discoaster asymetricus,Discoaster asymmetricus,,nannofossils,,,Discoaster asymmetricus
Discoaster asymmetricus,Discoaster asymmetricus,,,nannofossils,,,Discoaster asymmetricus
Discoaster backmanii,Discoaster backmanii,,,nannofossils,,,Discoaster backmanii
Discoaster barbadiensis,Discoaster barbadiensis,,,nannofossils,,,Discoaster barbadiensis
Discoaster bellus,Discoaster bellus,,,nannofossils,,,Discoaster bellus
Discoaster bergenii,Discoaster bergenii,,,nannofossils,,,Discoaster bergenii
Discoaster berggrenii,Discoaster berggrenii,,,nannofossils,,,Discoaster berggrenii
Discoaster bifax,Discoaster bifax,,,nannofossils,,,Discoaster bifax
Discoaster binodosus,Discoaster binodosus,,,nannofossils,,,Discoaster binodosus
Discoaster blackstockae,Discoaster blackstockae,,,nannofossils,,,Discoaster blackstockae
Discoaster bollii,Discoaster bollii,,,nannofossils,,,Discoaster bollii
Discoaster braarudi,Discoaster braarudi,Discoaster braarudii,,nannofossils,,,Discoaster braarudii
Discoaster braarudii,Discoaster braarudii,,,nannofossils,,,Discoaster braarudii
Discoaster brouweri,Discoaster brouweri,,,nannofossils,,,Discoaster brouweri
Discoaster brouwerii,Discoaster brouwerii,Discoaster brouweri,,nannofossils,,,Discoaster brouweri
Discoaster broweri,Discoaster broweri,Discoaster brouweri,,nannofossils,,,Discoaster brouweri
Discoaster calcaris,Discoaster calcaris,,,nannofossils,,,Discoaster calcaris
Discoaster calculosus,Discoaster calculosus,,,nannofossils,,,Discoaster calculosus
Discoaster challengeri,Discoaster challengeri,,,nannofossils,,,Discoaster challengeri
Discoaster challengerii,Discoaster challengerii,Discoaster challengeri,,nannofossils,,,Discoaster challengeri
Discoaster deflandrei,Discoaster deflandrei,,,nannofossils,,,Discoaster deflandrei
Discoaster deflandrei (small),Discoaster deflandrei (small),Discoaster deflandrei,Discoaster deflandrei (small),nannofossils,,,Discoaster deflandrei
Discoaster delicatus,Discoaster delicatus,,,nannofossils,,,Discoaster delicatus
Discoaster diastypus,Discoaster diastypus,,,nannofossils,,,Discoaster diastypus
Discoaster distinctus,Discoaster distinctus,,,nannofossils,,,Discoaster distinctus
Discoaster druggii,Discoaster druggii,,,nannofossils,,,Discoaster druggii
Discoaster druggii (< 15 microns),Discoaster druggii (< 15 microns),Discoaster druggii,Discoaster druggii (< 15 microns),nannofossils,,,Discoaster druggii
Discoaster elegans,Discoaster elegans,,,nannofossils,,,Discoaster elegans
Discoaster exilis,Discoaster exilis,,,nannofossils,,,Discoaster exilis
Discoaster falcatus,Discoaster falcatus,,,nannofossils,,,Discoaster falcatus
Discoaster gr. variabilis,Discoaster gr. variabilis,Discoaster variabilis group,,nannofossils,,,Discoaster variabilis group
Discoaster hamatus,Discoaster hamatus,,,nannofossils,,,Discoaster hamatus
Discoaster hamatus/bellus,Discoaster hamatus/bellus,Discoaster hamatus-bellus,,nannofossils,,this is some sort of intergrade of two species,Discoaster hamatus-bellus
Discoaster intercalaris,Discoaster intercalaris,,,nannofossils,,,Discoaster intercalaris
Discoaster kuepperi,Discoaster kuepperi,,,nannofossils,,,Discoaster kuepperi
Discoaster kugleri,Discoaster kugleri,,,nannofossils,,,Discoaster kugleri
Discoaster kuglerii,Discoaster kuglerii,Discoaster kugleri,,nannofossils,,,Discoaster kugleri
Discoaster lenticularis,Discoaster lenticularis,,,nannofossils,,,Discoaster lenticularis
Discoaster lodoensis,Discoaster lodoensis,,,nannofossils,,,Discoaster lodoensis
Discoaster loeblichii,Discoaster loeblichii,,,nannofossils,,,Discoaster loeblichii
Discoaster mahmoudii,Discoaster mahmoudii,,,nannofossils,,,Discoaster mahmoudii
Discoaster mediosus,Discoaster mediosus,,,nannofossils,,,Discoaster mediosus
Discoaster mendomobensis,Discoaster mendomobensis,,,nannofossils,,,Discoaster mendomobensis
Discoaster mohleri,Discoaster mohleri,,,nannofossils,,,Discoaster mohleri
Discoaster moorei,Discoaster moorei,,,nannofossils,,,Discoaster moorei
Discoaster moori,Discoaster moori,Discoaster moorei,,nannofossils,,,Discoaster moorei
Discoaster multiradiatus,Discoaster multiradiatus,,,nannofossils,,,Discoaster multiradiatus
Discoaster musicus,Discoaster musicus,,,nannofossils,,,Discoaster musicus
Discoaster neohamatus,Discoaster neohamatus,,,nannofossils,,,Discoaster neohamatus
Discoaster neorectus,Discoaster neorectus,,,nannofossils,,,Discoaster neorectus
Discoaster nobilis,Discoaster nobilis,,,nannofossils,,,Discoaster nobilis
Discoaster nodifer,Discoaster nodifer,,,nannofossils,,,Discoaster nodifer
Discoaster ornatus,Discoaster ornatus,,,nannofossils,,,Discoaster ornatus
Discoaster pacificus,Discoaster pacificus,,,nannofossils,,,Discoaster pacificus
Discoaster paelikei,Discoaster paelikei,,,nannofossils,,,Discoaster paelikei
Discoaster pansus,Discoaster pansus,,,nannofossils,,,Discoaster pansus
Discoaster pentaradiatus,Discoaster pentaradiatus,,,nannofossils,,,Discoaster pentaradiatus
Discoaster petaliformis,Discoaster petaliformis,,,nannofossils,,,Discoaster petaliformis
Discoaster prepentaradiatus,Discoaster prepentaradiatus,,,nannofossils,,,Discoaster prepentaradiatus
Discoaster quadramus,Discoaster quadramus,,,nannofossils,,,Discoaster quadramus
Discoaster quinqueramus,Discoaster quinqueramus,,,nannofossils,,,Discoaster quinqueramus
Discoaster quintatus,Discoaster quintatus,,,nannofossils,,,Discoaster quintatus
Discoaster saipanensis,Discoaster saipanensis,,,nannofossils,,,Discoaster saipanensis
Discoaster salisburgensis,Discoaster salisburgensis,,,nannofossils,,,Discoaster salisburgensis
