verbatim_name,name,"name to use (if different from ""name"")",name comment field,taxon_group,Comment,notes,Any taxon above genus,genus modifier,genus name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,comments,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,normalized_name
Biscutum constans,Biscutum constans,,,nannofossils,,,,,Biscutum,,constans,,,,,88397.0,Biscutum constans,species,Biscutum constans
Biscutum coronum,Biscutum coronum,,,nannofossils,,,,,Biscutum,,coronum,,,,,88396.0,Biscutum coronum,species,Biscutum coronum
Biscutum dissimilis,Biscutum dissimilis,,,nannofossils,,,,,Biscutum,,dissimilis,,,,,88392.0,Biscutum dissimilis,species,Biscutum dissimilis
Biscutum ellipticum,Biscutum ellipticum,,,nannofossils,,,,,Biscutum,,ellipticum,,,,,88386.0,Biscutum ellipticum,species,Biscutum ellipticum
Biscutum magnum,Biscutum magnum,,,nannofossils,,,,,Biscutum,,magnum,,,,,88378.0,Biscutum magnum,species,Biscutum magnum
Biscutum spp.,Biscutum spp.,,,nannofossils,,,,,Biscutum,,spp.,,,,,87829.0,Biscutum,genus,Biscutum spp.
Biscutum ubiquens,Biscutum ubiquens,,,nannofossils,,,,,Biscutum,,ubiquens,,,,,87829.0,Biscutum,genus,Biscutum ubiquens
Blackites amplus bases,Blackites amplus bases,Blackites amplus,Blackites amplus bases,nannofossils,,,,,Blackites,,amplus,,,,Blackites amplus bases,424333.0,Blackites,genus,Blackites amplus
Blackites creber,Blackites creber,,,nannofossils,,,,,Blackites,,creber,,,,,424333.0,Blackites,genus,Blackites creber
Blackites gladius,Blackites gladius,,,nannofossils,,,,,Blackites,,gladius,,,,,424333.0,Blackites,genus,Blackites gladius
Blackites herculesii,Blackites herculesii,,,nannofossils,,,,,Blackites,,herculesii,,,,,424333.0,Blackites,genus,Blackites herculesii
Blackites inflatus,Blackites inflatus,,,nannofossils,,,,,Blackites,,inflatus,,,,,424333.0,Blackites,genus,Blackites inflatus
Blackites spinosus,Blackites spinosus,,,nannofossils,,,,,Blackites,,spinosus,,,,,424333.0,Blackites,genus,Blackites spinosus
Blackites spp.,Blackites spp.,,,nannofossils,,,,,Blackites,,spp.,,,,,424333.0,Blackites,genus,Blackites spp.
Blackites tenuis,Blackites tenuis,,,nannofossils,,,,,Blackites,,tenuis,,,,,424333.0,Blackites,genus,Blackites tenuis
Bomolithus elegans,Bomolithus elegans,,,nannofossils,,,,,Bomolithus,,elegans,,,,,424304.0,Bomolithus,genus,Bomolithus elegans
Bomolithus megastypus,Bomolithus megastypus,,,nannofossils,,,,,Bomolithus,,megastypus,,,,,424304.0,Bomolithus,genus,Bomolithus megastypus
Braarudosphaera bigelowii,Braarudosphaera bigelowii,,,nannofossils,,,,,Braarudosphaera,,bigelowii,,,,,88062.0,Braarudosphaera bigelowii,species,Braarudosphaera bigelowii
Bramietteius serraculoides,Bramietteius serraculoides,Bramletteius serraculoides,,nannofossils,,,,,Bramletteius,,serraculoides,,,,,424048.0,Bramletteius,genus,Bramletteius serraculoides
Bramletteius serraculoides,Bramletteius serraculoides,,,nannofossils,,,,,Bramletteius,,serraculoides,,,,,424048.0,Bramletteius,genus,Bramletteius serraculoides
Broinsonia enormis,Broinsonia enormis,,,nannofossils,,,,,Broinsonia,,enormis,,,,,88176.0,Broinsonia enormis,species,Broinsonia enormis
Broinsonia furtiva,Broinsonia furtiva,,,nannofossils,,,,,Broinsonia,,furtiva,,,,,88175.0,Broinsonia furtiva,species,Broinsonia furtiva
Broinsonia galloisii,Broinsonia galloisii,,,nannofossils,,,,,Broinsonia,,galloisii,,,,,88173.0,Broinsonia galloisii,species,Broinsonia galloisii
Broinsonia parca constricta,Broinsonia parca constricta,,,nannofossils,,,,,Broinsonia,,parca,,constricta,,,88784.0,Broinsonia parca constricta,subspecies,Broinsonia parca constricta
Broinsonia parca parca,Broinsonia parca parca,,,nannofossils,,,,,Broinsonia,,parca,,parca,,,88786.0,Broinsonia parca parca,subspecies,Broinsonia parca parca
Broinsonia parca ssp expansa,Broinsonia parca ssp expansa,,,nannofossils,,,,,Broinsonia,,parca,,expansa,,Broinsonia parca ssp expansa,87792.0,Broinsonia,genus,Broinsonia parca ssp expansa
Broinsonia signata,Broinsonia signata,,,nannofossils,,,,,Broinsonia,,signata,,,,,88168.0,Broinsonia signata,species,Broinsonia signata
Broinsonia viriosa,Broinsonia viriosa,,,nannofossils,,,,,Broinsonia,,viriosa,,,,,88165.0,Broinsonia viriosa,species,Broinsonia viriosa
Calcicalathina alta,Calcicalathina alta,,,nannofossils,,,,,Calcicalathina,,alta,,,,,88546.0,Calcicalathina alta,species,Calcicalathina alta
Calcidiscus carlae,Calcidiscus carlae,,,nannofossils,,,,,Calcidiscus,,carlae,,,,,255405.0,Calcidiscus,genus,Calcidiscus carlae
Calcidiscus leptoporus,Calcidiscus leptoporus,,,nannofossils,,,,,Calcidiscus,,leptoporus,,,,,255406.0,Calcidiscus leptoporus,species,Calcidiscus leptoporus
Calcidiscus leptoporus (5-8 microns),Calcidiscus leptoporus (5-8 microns),,,nannofossils,,,,,Calcidiscus,,leptoporus,,,5-8 microns,,255406.0,Calcidiscus leptoporus,species,Calcidiscus leptoporus (5-8 microns)
Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (<5 microns),,,nannofossils,,,,,Calcidiscus,,leptoporus,,,<5 microns,,255406.0,Calcidiscus leptoporus,species,Calcidiscus leptoporus (<5 microns)
Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (>8 micron),,,nannofossils,,,,,Calcidiscus,,leptoporus,,,>8 microns,,255406.0,Calcidiscus leptoporus,species,Calcidiscus leptoporus (>8 micron)
Calcidiscus macintyrei,Calcidiscus macintyrei,,,nannofossils,,,,,Calcidiscus,,macintyrei,,,,,366220.0,Calcidiscus macintyrei,species,Calcidiscus macintyrei
Calcidiscus mcintyrei,Calcidiscus mcintyrei,Calcidiscus macintyrei,,nannofossils,,,,,Calcidiscus,,macintyrei,,,,,366220.0,Calcidiscus macintyrei,species,Calcidiscus macintyrei
Calcidiscus pacificanus,Calcidiscus pacificanus,,,nannofossils,,,,,Calcidiscus,,pacificanus,,,,,255405.0,Calcidiscus,genus,Calcidiscus pacificanus
Calcidiscus pataecus,Calcidiscus pataecus,,,nannofossils,,,,,Calcidiscus,,pataecus,,,,,255405.0,Calcidiscus,genus,Calcidiscus pataecus
Calcidiscus premacintyrei,Calcidiscus premacintyrei,,,nannofossils,,,,,Calcidiscus,,premacintyrei,,,,,255405.0,Calcidiscus,genus,Calcidiscus premacintyrei
Calcidiscus protoannulus,Calcidiscus protoannulus,,,nannofossils,,,,,Calcidiscus,,protoannulus,,,,,255405.0,Calcidiscus,genus,Calcidiscus protoannulus
Calcidiscus quadriperforatus,Calcidiscus quadriperforatus,,,nannofossils,,,,,Calcidiscus,,quadriperforatus,,,,,255405.0,Calcidiscus,genus,Calcidiscus quadriperforatus
Calcidiscus spp.,Calcidiscus spp.,,,nannofossils,,,,,Calcidiscus,,spp.,,,,,255405.0,Calcidiscus,genus,Calcidiscus spp.
Calcidiscus tropicus,Calcidiscus tropicus,,,nannofossils,,,,,Calcidiscus,,tropicus,,,,,255405.0,Calcidiscus,genus,Calcidiscus tropicus
Calcidiscus tropicus +grill,Calcidiscus tropicus +grill,Calcidiscus tropicus,Calcidiscus tropicus +grill,nannofossils,,,,,Calcidiscus,,tropicus,,,,Calcidiscus tropicus +grill,255405.0,Calcidiscus,genus,Calcidiscus tropicus
Calciosolenia aperta,Calciosolenia aperta,,,nannofossils,,,,,Calciosolenia,,aperta,,,,,87842.0,Calciosolenia,genus,Calciosolenia aperta
Calciosolenia brasiliensis,Calciosolenia brasiliensis,,,nannofossils,,,,,Calciosolenia,,brasiliensis,,,,,87842.0,Calciosolenia,genus,Calciosolenia brasiliensis
Calciosolenia fossilis,Calciosolenia fossilis,,,nannofossils,,,,,Calciosolenia,,fossilis,,,,,88451.0,Calciosolenia fossilis,species,Calciosolenia fossilis
Calciosolenia murrayi,Calciosolenia murrayi,,,nannofossils,,,,,Calciosolenia,,murrayi,,,,,87842.0,Calciosolenia,genus,Calciosolenia murrayi
Calciosolenia sp.,Calciosolenia sp.,,,nannofossils,,,,,Calciosolenia,,sp.,,,,,87842.0,Calciosolenia,genus,Calciosolenia sp.
Calciosolenia spp.,Calciosolenia spp.,,,nannofossils,,,,,Calciosolenia,,spp.,,,,,87842.0,Calciosolenia,genus,Calciosolenia spp.
Calculites obscurus,Calculites obscurus,,,nannofossils,,,,,Calculites,,obscurus,,,,,88116.0,Calculites obscurus,species,Calculites obscurus
Calculites spp.,Calculites spp.,,,nannofossils,,,,,Calculites,,spp.,,,,,179195.0,Calculites,genus,Calculites spp.
Campylosphaera dela,Campylosphaera dela,,,nannofossils,,,,,Campylosphaera,,dela,,,,,424050.0,Campylosphaera,genus,Campylosphaera dela
Campylosphaera eodela,Campylosphaera eodela,,,nannofossils,,,,,Campylosphaera,,eodela,,,,,424050.0,Campylosphaera,genus,Campylosphaera eodela
Catinaster calyculus,Catinaster calyculus,,,nannofossils,,,,,Catinaster,,calyculus,,,,,319905.0,Catinaster,genus,Catinaster calyculus
Catinaster coalitus,Catinaster coalitus,,,nannofossils,,,,,Catinaster,,coalitus,,,,,319905.0,Catinaster,genus,Catinaster coalitus
Catinaster mexicanus,Catinaster mexicanus,,,nannofossils,,,,,Catinaster,,mexicanus,,,,,319905.0,Catinaster,genus,Catinaster mexicanus
Catinaster spp.,Catinaster spp.,,,nannofossils,,,,,Catinaster,,spp.,,,,,319905.0,Catinaster,genus,Catinaster spp.
Ceratolithina copis,Ceratolithina copis,,,nannofossils,,,,,Ceratolithina,,copis,,,,,87923.0,Ceratolithina copis,species,Ceratolithina copis
Ceratolithina naturalisteplateauensis,Ceratolithina naturalisteplateauensis,,,nannofossils,,,,,Ceratolithina,,naturalisteplateauensis,,,,,87919.0,Ceratolithina naturalisteplateauensis,species,Ceratolithina naturalisteplateauensis
Ceratolithoides,Ceratolithoides,Ceratolithoides sp.,,nannofossils,,,,,Ceratolithoides,,sp.,,,,,87731.0,Ceratolithoides,genus,Ceratolithoides sp.
Ceratolithoides kamptneri,Ceratolithoides kamptneri,,,nannofossils,,,,,Ceratolithoides,,kamptneri,,,,,87912.0,Ceratolithoides kamptneri,species,Ceratolithoides kamptneri
Ceratolithoides spp.,Ceratolithoides spp.,,,nannofossils,,,,,Ceratolithoides,,spp.,,,,,87731.0,Ceratolithoides,genus,Ceratolithoides spp.
Ceratolithus acutus,Ceratolithus acutus,,,nannofossils,,,,,Ceratolithus,,acutus,,,,,424499.0,Ceratolithus,genus,Ceratolithus acutus
Ceratolithus armatus,Ceratolithus armatus,,,nannofossils,,,,,Ceratolithus,,armatus,,,,,424499.0,Ceratolithus,genus,Ceratolithus armatus
Ceratolithus armatus (acutus),Ceratolithus armatus (acutus),Ceratolithus armatus,Ceratolithus armatus (acutus),nannofossils,,,,,Ceratolithus,,armatus,,,,Ceratolithus armatus (acutus),424499.0,Ceratolithus,genus,Ceratolithus armatus
Ceratolithus atlanticus,Ceratolithus atlanticus,,,nannofossils,,,,,Ceratolithus,,atlanticus,,,,,424499.0,Ceratolithus,genus,Ceratolithus atlanticus
Ceratolithus cristatus,Ceratolithus cristatus,,,nannofossils,,,,,Ceratolithus,,cristatus,,,,,424499.0,Ceratolithus,genus,Ceratolithus cristatus
Ceratolithus cristatus (rugosus),Ceratolithus cristatus (rugosus),Ceratolithus cristatus,Ceratolithus cristatus (rugosus),nannofossils,,,,,Ceratolithus,,cristatus,,,,Ceratolithus cristatus (rugosus),424499.0,Ceratolithus,genus,Ceratolithus cristatus
Ceratolithus cristatus var. telesmus,Ceratolithus cristatus var. telesmus,,,nannofossils,,,,,Ceratolithus,,cristatus,var.,telesmus,,,424499.0,Ceratolithus,genus,Ceratolithus cristatus var. telesmus
Ceratolithus larrymayeri,Ceratolithus larrymayeri,,,nannofossils,,,,,Ceratolithus,,larrymayeri,,,,,424499.0,Ceratolithus,genus,Ceratolithus larrymayeri
Ceratolithus rugosus,Ceratolithus rugosus,,,nannofossils,,,,,Ceratolithus,,rugosus,,,,,424499.0,Ceratolithus,genus,Ceratolithus rugosus
Ceratolithus simplex,Ceratolithus simplex,,,nannofossils,,,,,Ceratolithus,,simplex,,,,,424499.0,Ceratolithus,genus,Ceratolithus simplex
Ceratolithus spp.,Ceratolithus spp.,,,nannofossils,,,,,Ceratolithus,,spp.,,,,,424499.0,Ceratolithus,genus,Ceratolithus spp.
Ceratolithus telesmus,Ceratolithus telesmus,,,nannofossils,,,,,Ceratolithus,,telesmus,,,,,424499.0,Ceratolithus,genus,Ceratolithus telesmus
Ceratolithus tricorniculatus,Ceratolithus tricorniculatus,,,nannofossils,,,,,Ceratolithus,,tricorniculatus,,,,,424499.0,Ceratolithus,genus,Ceratolithus tricorniculatus
Chiasmolithus altus,Chiasmolithus altus,,,nannofossils,,,,,Chiasmolithus,,altus,,,,,424051.0,Chiasmolithus,genus,Chiasmolithus altus
Chiasmolithus bidens,Chiasmolithus bidens,,,nannofossils,,,,,Chiasmolithus,,bidens,,,,,424051.0,Chiasmolithus,genus,Chiasmolithus bidens
Chiasmolithus californicus (>13µm),Chiasmolithus californicus (>13µm),Chiasmolithus californicus (>13 microns),,nannofossils,,,,,Chiasmolithus,,californicus,,,>13 microns,,424051.0,Chiasmolithus,genus,Chiasmolithus californicus (>13 microns)
Chiasmolithus consuetus,Chiasmolithus consuetus,,,nannofossils,,,,,Chiasmolithus,,consuetus,,,,,424051.0,Chiasmolithus,genus,Chiasmolithus consuetus
Chiasmolithus danicus,Chiasmolithus danicus,,,nannofossils,,,,,Chiasmolithus,,danicus,,,,,424051.0,Chiasmolithus,genus,Chiasmolithus danicus
Chiasmolithus expansus,Chiasmolithus expansus,,,nannofossils,,,,,Chiasmolithus,,expansus,,,,,424051.0,Chiasmolithus,genus,Chiasmolithus expansus
Chiasmolithus gigas,Chiasmolithus gigas,,,nannofossils,,,,,Chiasmolithus,,gigas,,,,,424051.0,Chiasmolithus,genus,Chiasmolithus gigas
Chiasmolithus grandis,Chiasmolithus grandis,,,nannofossils,,,,,Chiasmolithus,,grandis,,,,,424051.0,Chiasmolithus,genus,Chiasmolithus grandis
Chiasmolithus nitidus,Chiasmolithus nitidus,,,nannofossils,,,,,Chiasmolithus,,nitidus,,,,,424051.0,Chiasmolithus,genus,Chiasmolithus nitidus
Chiasmolithus oamaruensis,Chiasmolithus oamaruensis,,,nannofossils,,,,,Chiasmolithus,,oamaruensis,,,,,424051.0,Chiasmolithus,genus,Chiasmolithus oamaruensis
Chiasmolithus solitus,Chiasmolithus solitus,,,nannofossils,,,,,Chiasmolithus,,solitus,,,,,424051.0,Chiasmolithus,genus,Chiasmolithus solitus
Chiasmolithus spp.,Chiasmolithus spp.,,,nannofossils,,,,,Chiasmolithus,,spp.,,,,,424051.0,Chiasmolithus,genus,Chiasmolithus spp.
Chiasmolithus titus,Chiasmolithus titus,,,nannofossils,,,,,Chiasmolithus,,titus,,,,,424051.0,Chiasmolithus,genus,Chiasmolithus titus
Chiastozygus,Chiastozygus,Chiastozygus sp.,,nannofossils,,,,,Chiastozygus,,sp.,,,,,87867.0,Chiastozygus,genus,Chiastozygus sp.
Chiastozygus litterarius,Chiastozygus litterarius,,,nannofossils,,,,,Chiastozygus,,litterarius,,,,,88617.0,Chiastozygus litterarius,species,Chiastozygus litterarius
Chiastozygus garrisonii,Chiastozygus garrisonii,,,nannofossils,,,,,Chiastozygus,,garrisonii,,,,,88619.0,Chiastozygus garrisonii,species,Chiastozygus garrisonii
Chiastozygus platyrhethus,Chiastozygus platyrhethus,,,nannofossils,,,,,Chiastozygus,,platyrhethus,,,,,88616.0,Chiastozygus platyrhethus,species,Chiastozygus platyrhethus
Chiphragmolithus acanothodes,Chiphragmolithus acanothodes,Chiphragmalithus acanthodes,,nannofossils,,,,,Chiphragmalithus,,acanthodes,,,,,87685.0,Chiphragmalithus,genus,Chiphragmalithus acanthodes
Chiphragmolithus acanthodes,Chiphragmolithus acanthodes,Chiphragmalithus acanthodes,,nannofossils,,,,,Chiphragmalithus,,acanthodes,,,,,87685.0,Chiphragmalithus,genus,Chiphragmalithus acanthodes
Chiphragmolithus armatus,Chiphragmolithus armatus,Chiphragmalithus armatus,,nannofossils,,,,,Chiphragmalithus,,armatus,,,,,87685.0,Chiphragmalithus,genus,Chiphragmalithus armatus
Chiphragmolithus barbatus,Chiphragmolithus barbatus,Chiphragmalithus barbatus,,nannofossils,,,,,Chiphragmalithus,,barbatus,,,,,87685.0,Chiphragmalithus,genus,Chiphragmalithus barbatus
Chiphragmolithus calathus,Chiphragmolithus calathus,Chiphragmalithus calathus,,nannofossils,,,,,Chiphragmalithus,,calathus,,,,,87685.0,Chiphragmalithus, genus,Chiphragmalithus calathus
Clausicoccus fenestratus,Clausicoccus fenestratus,,,nannofossils,,,,,Clausicoccus,,fenestratus,,,,,424053.0,Clausicoccus,genus,Clausicoccus fenestratus
Clausicoccus spp.,Clausicoccus spp.,,,nannofossils,,,,,Clausicoccus,,spp.,,,,,424053.0,Clausicoccus,genus,Clausicoccus spp.
Clausicoccus subdistichus,Clausicoccus subdistichus,,,nannofossils,,,,,Clausicoccus,,subdistichus,,,,,424053.0,Clausicoccus,genus,Clausicoccus subdistichus
Clausicoccus vanheckiae,Clausicoccus vanheckiae,,,nannofossils,,,,,Clausicoccus,,vanheckiae,,,,,424053.0,Clausicoccus,genus,Clausicoccus vanheckiae
Coccolithus abisectus,Coccolithus abisectus,,,nannofossils,,,,,Coccolithus,,abisectus,,,,,87684.0,Coccolithus,genus,Coccolithus abisectus
Coccolithus braarudii,Coccolithus braarudii,,,nannofossils,,,,,Coccolithus,,braarudii,,,,,87684.0,Coccolithus,genus,Coccolithus braarudii
Coccolithus cachaoi,Coccolithus cachaoi,,,nannofossils,,,,,Coccolithus,,cachaoi,,,,,87684.0,Coccolithus,genus,Coccolithus cachaoi
Coccolithus crassus,Coccolithus crassus,,,nannofossils,,,,,Coccolithus,,crassus,,,,,87684.0,Coccolithus,genus,Coccolithus crassus
Coccolithus eopelagicus,Coccolithus eopelagicus,,,nannofossils,,,,,Coccolithus,,eopelagicus,,,,,87684.0,Coccolithus,genus,Coccolithus eopelagicus
Coccolithus eopelagicus ( >14µm),Coccolithus eopelagicus ( >14µm),Coccolithus eopelagicus ( >14 microns),,nannofossils,,,,,Coccolithus,,eopelagicus,,, >14 microns,,87684.0,Coccolithus,genus,Coccolithus eopelagicus ( >14 microns)
Coccolithus formosus,Coccolithus formosus,,,nannofossils,,,,,Coccolithus,,formosus,,,,,87684.0,Coccolithus,genus,Coccolithus formosus
Coccolithus gigas,Coccolithus gigas,,,nannofossils,,,,,Coccolithus,,gigas,,,,,87684.0,Coccolithus,genus,Coccolithus gigas
Coccolithus miopelagicus,Coccolithus miopelagicus,,,nannofossils,,,,,Coccolithus,,miopelagicus,,,,,87684.0,Coccolithus,genus,Coccolithus miopelagicus
Coccolithus pelagicus,Coccolithus pelagicus,,,nannofossils,,,,,Coccolithus,,pelagicus,,,,,255403.0,Coccolithus pelagicus,species,Coccolithus pelagicus
Coccolithus pelagicus (w/bar),Coccolithus pelagicus (w/bar),,,nannofossils,,,,,Coccolithus,,pelagicus,,,,Coccolithus pelagicus (w/bar),255403.0,Coccolithus pelagicus,species,Coccolithus pelagicus (w/bar)
Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. azorinus,,,nannofossils,,,,,Coccolithus,,pelagicus,,azorinus,,Coccolithus pelagicus spp. azorinus,255403.0,Coccolithus pelagicus,species,Coccolithus pelagicus spp. azorinus
Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus spp. braarudii,,,nannofossils,,,,,Coccolithus,,pelagicus,,braarudii,,Coccolithus pelagicus spp. braarudii,255403.0,Coccolithus pelagicus,species,Coccolithus pelagicus spp. braarudii
Coccolithus pelagicus ssp. pelagicus,Coccolithus pelagicus ssp. pelagicus,,,nannofossils,,,,,Coccolithus,,pelagicus,,pelagicus,,Coccolithus pelagicus ssp. pelagicus,87684.0,Coccolithus,genus,Coccolithus pelagicus ssp. pelagicus
Coccolithus spp.,Coccolithus spp.,,,nannofossils,,,,,Coccolithus,,spp.,,,,,87684.0,Coccolithus,genus,Coccolithus spp.
Corollithion kennedyi,Corollithion kennedyi,,,nannofossils,,,,,Corollithion,,kennedyi,,,,,88494.0,Corollithion kennedyi,species,Corollithion kennedyi
Coronocyclas nitescens,Coronocyclas nitescens,Coronocyclus nitescens,,nannofossils,,,,,Coronocyclus,,nitescens,,,,,424279.0,Coronocyclus,genus,Coronocyclus nitescens
Coronocyclus bramlettei,Coronocyclus bramlettei,,,nannofossils,,,,,Coronocyclus,,bramlettei,,,,,424279.0,Coronocyclus,genus,Coronocyclus bramlettei
Coronocyclus nitescens,Coronocyclus nitescens,,,nannofossils,,,,,Coronocyclus,,nitescens,,,,,424279.0,Coronocyclus,genus,Coronocyclus nitescens
Coronocyclus nitescens (circular),Coronocyclus nitescens (circular),Coronocyclus nitescens,Coronocyclus nitescens (circular),nannofossils,,,,,Coronocyclus,,nitescens,,,,Coronocyclus nitescens (circular),424279.0,Coronocyclus,genus,Coronocyclus nitescens
Coronocyclus nitescens (elliptical),Coronocyclus nitescens (elliptical),Coronocyclus nitescens,Coronocyclus nitescens (elliptical),nannofossils,,,,,Coronocyclus,,nitescens,,,,Coronocyclus nitescens (elliptical),424279.0,Coronocyclus,genus,Coronocyclus nitescens
Coronocyclus prionion,Coronocyclus prionion,,,nannofossils,,,,,Coronocyclus,,prionion,,,,,424279.0,Coronocyclus,genus,Coronocyclus prionion
Coronocyclus spp.,Coronocyclus spp.,,,nannofossils,,,,,Coronocyclus,,spp.,,,,,424279.0,Coronocyclus,genus,Coronocyclus spp.
