taxon,taxon_group,name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,normalized_name
Planularia crepidula,benthic foraminifera,,,,,
Stephanodiscus astraea minutula,diatoms,,,,,
Coccolithus subdistichus,nannofossils,,,,,
Nodosaria holoserica,benthic foraminifera,,,,,
Miogypsina sp.,benthic foraminifera,,1861.0,Miogypsina,genus,
Euodia semicircularia,diatoms,,,,,
Transversopontis latus,nannofossils,,,,,
Pyrgo ovata,benthic foraminifera,,,,,
Thecosphaera radians,radiolarians,,,,,
Discoaster enormis,nannofossils,,,,,
Fissurina fimbriata,benthic foraminifera,,202124.0,Fissurina fimbriata,species,
Navicula directa,diatoms,,,,,
Orthorhabdus sp.,nannofossils,,424460.0,Orthorhabdus,genus,
Cibicidoides ungerianus,benthic foraminifera,,,,,
Reticulofenestra cuspis,nannofossils,,,,,
Stichocorys coronata,radiolarians,,,,,
Cannopilus heptacanthus antarctica,silicoflagellates,,,,,
Stephanopyxis simonseni,diatoms,,382622.0,Stephanopyxis simonseni,species,
Eulepidina ephippioides,benthic foraminifera,,,,,
Biscutum blackii,nannofossils,,,,,
Globorotalia angulosa,planktic foraminfera,,,,,
Elphidium clavatum,benthic foraminifera,,,,,
Cassidulina reflexa,benthic foraminifera,,,,,
Hamamelidaceae,pollen,,52846.0,Hamamelidaceae,family,
Pseudohastigerina spp.,planktic foraminfera,,,,,
Proteacidites symphonemoides,pollen,,,,,
Cribrostomoides nitidus,benthic foraminifera,,,,,
Navicula udintsevii,diatoms,,,,,
Yosidaia sp.,diatoms,,,,,
Actinoptychus undulatus s. l.,diatoms,,,,,
Actinocyclus octonarius crassa,diatoms,,,,,
Globorotalia cultrata,planktic foraminfera,,,,,
Pinnularia subcapitata,diatoms,,,,,
Cocconeis disculoides,diatoms,,,,,
Lithostrobus sp.,radiolarians,,561.0,Lithostrobus,genus,
Theocotyle cryptocephala conica,radiolarians,,,,,
Globorotalia menardi fimbriata,planktic foraminfera,,,,,
Corbisema inermis inermis,silicoflagellates,,,,,
Bulimina striata mexicana,benthic foraminifera,,,,,
Globigerina ciperoensis angustiumbilicata,planktic foraminfera,,,,,
Amphimorphina lessonii,benthic foraminifera,,,,,
Dendrospyris fragoides,radiolarians,,,,,
Scapholithus rhombiformis,nannofossils,,,,,
Theocorys phyzella,radiolarians,,152646.0,Theocorys phyzella,species,
Globorotalia insolita,planktic foraminfera,,,,,
Globigerina praebulloides praebulloides,planktic foraminfera,,,,,
Fibrocysta radiata,dinoflagellates,,323994.0,Fibrocysta radiata,species,
Sceptroneis propinqua,diatoms,,,,,
Rhaphoneis angustata,diatoms,,387106.0,Rhaphoneis angustata,species,
Cibicidoides tholus,benthic foraminifera,,,,,
Parhabdolithus regularis,nannofossils,,,,,
Melosira sulcata siberica,diatoms,,,,,
Eponides bollii,benthic foraminifera,,,,,
Globigerina juvenilis,planktic foraminfera,,,,,
Coscinodiscus vetustissimus,diatoms,,387038.0,Coscinodiscus vetustissimus,species,
Planularia carribeana,benthic foraminifera,,,,,
Globigerinoides trilobus trilobus,planktic foraminfera,,82230.0,Globigerinoides trilobus trilobus,subspecies,
Naviculopsis minor,silicoflagellates,,,,,
Dentogolbigerina altispira globosa,planktic foraminfera,,,,,
Kozloviella meniscosa,diatoms,,,,,
Rectuvigerina ongelyi,benthic foraminifera,,,,,
Discolithina punctosa,nannofossils,,,,,
Leptodinium sp.,dinoflagellates,,277222.0,Leptodinium,genus,
Spongaster klingi,radiolarians,,,,,
Globorotalia gemma,planktic foraminfera,,422379.0,Globorotalia gemma,species,
Coscinodiscus circumspectus,diatoms,,,,,
Sceptroneis caducea,diatoms,,,,,
Adercotryma sp.,benthic foraminifera,,774.0,Adercotryma,genus,
Asterolampra tela,diatoms,,,,,
Wetzeliella astra,dinoflagellates,,,,,
Amphipternis clava,radiolarians,,,,,
Oleaceae,pollen,,54728.0,Oleaceae,family,
Stylosphaera coronata sabaca,radiolarians,,,,,
Amphisphaera cristata,radiolarians,,,,,
Sethophormis pentalactis,radiolarians,,,,,
Pontocythere subjaponica,ostracod,,,,,
Uvigerina gemmaeformis,benthic foraminifera,,,,,
Pulleniatina obliquiloculata praecursor,planktic foraminfera,,,,,
Buliminella beaumonti-grata,benthic foraminifera,,,,,
Cladogramma conicum campanulatum,diatoms,,,,,
Rhizosolenia hebetata semispina,diatoms,,,,,
Spongopyle insolita,radiolarians,,165508.0,Spongopyle insolita,species,
Dacrydiumites lawsonii,pollen,,,,,
Graminidites media,pollen,,252684.0,Graminidites media,species,
Aragonina velascoensis,benthic foraminifera,,,,,
Corbisema glezerae,silicoflagellates,,,,,
Trifarina danvillensis,benthic foraminifera,,,,,
Scyphosphaera turris,nannofossils,,,,,
Vallacerta hannai,silicoflagellates,,,,,
Globorotalia zealandica incognita,planktic foraminfera,,,,,
Cruciplacolithus sp.,nannofossils,,87683.0,Cruciplacolithus,genus,
Globorotalia tosaensis truncatulinoides,planktic foraminfera,,,,,
Turborotalita parkerae,planktic foraminfera,,,,,
Subbotina gortanii gortanii,planktic foraminfera,,,,,
Planomalina messinae,planktic foraminfera,,,,,
Theocampe amphora,radiolarians,,,,,
Amaurolithus bizzarus,nannofossils,,,,,
Rouxia diploneis,diatoms,,,,,
Coscinodiscus excentricus leasareolatus,diatoms,,,,,
Podocyrtis helenae,radiolarians,,,,,
Phyllocladidites mawsonii,pollen,,251908.0,Phyllocladidites mawsonii,species,
Cyclonephelium reticulosum,dinoflagellates,,,,,
Globorotalia perclara,planktic foraminfera,,,,,
Theocampe eos,radiolarians,,,,,
Epistominella naraensis,benthic foraminifera,,,,,
Nodosaria macneili,benthic foraminifera,,,,,
Globorotalia crassula conomiozea,planktic foraminfera,,,,,
Impagidinium aliferum,dinoflagellates,,,,,
Lithapium mitra,radiolarians,,,,,
Dictyocha crux,silicoflagellates,,98650.0,Dictyocha crux,species,
Discoaster martinii,nannofossils,,,,,
Tribrachiatus nunnii,nannofossils,,,,,
Oolithotus antillarum,nannofossils,,,,,
Globigerina selli,planktic foraminfera,,,,,
Lycopodiaceae,pollen,,54755.0,Lycopodiaceae,family,
Nitzschia atlantica,diatoms,,,,,
Cyclicargolithus sp.,nannofossils,,366219.0,Cyclicargolithus,genus,
Subbotina sp.,planktic foraminfera,,2631.0,Subbotina,genus,
Uvigerina ciperana,benthic foraminifera,,,,,
Ellipsopolymorphina brevis,benthic foraminifera,,,,,
Truncorotaloides pseudotopilensis,planktic foraminfera,,,,,
Clavigerinella sp.,planktic foraminfera,,1121.0,Clavigerinella,genus,
Helicopontosphaera euphratis,nannofossils,,,,,
Emiliania annula,nannofossils,,,,,
Amphipyndax sp.,radiolarians,,414.0,Amphipyndax,genus,
Corbisema recta,silicoflagellates,,,,,
Globorotalia pseudokugleri,planktic foraminfera,,,,,
Orbulina beckmanni,planktic foraminfera,,,,,
Bulimina spicata,benthic foraminifera,,,,,
Globorotalia aragonensis,planktic foraminfera,,,,,
Rhizosphaera antarcticum,radiolarians,,,,,
Globigerinoides glutinata,planktic foraminfera,,,,,
Cassidulina spinifera,benthic foraminifera,,,,,
Corbisema disymmetrica angulata,silicoflagellates,,,,,
Stephonopyxis superba trispinosa,diatoms,,,,,
Lipmanella sp.,radiolarians,,432664.0,Lipmanella,genus,
Grommatophora arctica,diatoms,,,,,
Cyclolithella kariana,nannofossils,,,,,
Calocycloma costum,radiolarians,,,,,
Rhabdolithis ellida,radiolarians,,,,,
Cibicidoides madrugaensis,benthic foraminifera,,,,,
Stainforthia loeblichi,benthic foraminifera,,,,,
Trinacria anissimowii,diatoms,,,,,
Hantkenina australis,planktic foraminfera,,,,,
Cribrohantkenina sp.,planktic foraminfera,,1188.0,Cribrohantkenina,genus,
Catapsydrax ciperoensis,planktic foraminfera,,,,,
Cocconeis antiqua,diatoms,,,,,
Stephanodiscus hantzschii,diatoms,,,,,
Guttulina trigonula,benthic foraminifera,,,,,
Globigerina turgida,planktic foraminfera,,,,,
Asteromphalus hiltonianus,diatoms,,,,,
Lithastrinus floralis,nannofossils,,87987.0,Lithastrinus floralis,species,
Thalassiosira subsalina,diatoms,,,,,
Lepidocyclina undosa,benthic foraminifera,,,,,
Siphocampe elizabethae,radiolarians,,,,,
Nodogenerina rohri,benthic foraminifera,,,,,
Globorotalia velascoensis,planktic foraminfera,,,,,
Turborotalia mayeri,planktic foraminfera,,,,,
Globigerina soldadoensis,planktic foraminfera,,,,,
Discolithina fimbriata,nannofossils,,,,,
Cyrtophormis armata,radiolarians,,,,,
Planulina mexicana,benthic foraminifera,,,,,
Syracosphaera decussata,nannofossils,,,,,
Fibrocysta fusiforma,dinoflagellates,,,,,
Geraniaceae,pollen,,55600.0,Geraniaceae,family,
Botryocyrtis quinaria,radiolarians,,,,,
Tetralithus trifidus,nannofossils,,87945.0,Tetralithus trifidus,species,
Quinqueloculina vulgaris,benthic foraminifera,,,,,
Alabamina polita,benthic foraminifera,,,,,
Eatonicysta ursulae,dinoflagellates,,,,,
Ophthalmidium acutimargo,benthic foraminifera,,,,,
Globorotalia conoidea s. l.,planktic foraminfera,,,,,
Corbisema neoparallela,silicoflagellates,,,,,
Skeletonema subantarctica,diatoms,,,,,
Cassigerinella eoceanica,planktic foraminfera,,,,,
Amphicoryna scalaris sagamiensis,benthic foraminifera,,,,,
Cyclococcolithus luminis,nannofossils,,,,,
Lagena rutschi,benthic foraminifera,,,,,
Thalmannammina recurvoides,benthic foraminifera,,,,,
Lagena williamsoni,benthic foraminifera,,,,,
Gyroidina quinqueloba,benthic foraminifera,,,,,
Pontosphaera excelsa,nannofossils,,,,,
Cordosphaeridium uncinispinosum,dinoflagellates,,,,,
Rhaphoneis cocconeides,diatoms,,,,,
Fissurina comata,benthic foraminifera,,,,,
Theocamptra corona,radiolarians,,,,,
Globigerina praebulloides group,planktic foraminfera,,,,,
Cenosphaera megachile,radiolarians,,,,,
Stilostomella nuttalli,benthic foraminifera,,,,,
Globobulimina barbata,benthic foraminifera,,,,,
Islandiella teretis,benthic foraminifera,,,,,
Amphora robusta,diatoms,,,,,
Blackites spinulus,nannofossils,,,,,
Globigerina primitiva,planktic foraminfera,,,,,
Reophax guttifer,benthic foraminifera,,,,,
Globorotalia incompta,planktic foraminfera,,,,,
Katahiraia aspera,diatoms,,,,,
Planorotalites eugubinus,planktic foraminfera,,,,,
Bulimina consanguinea,benthic foraminifera,,,,,
Desmospyris anthocyrtoides,radiolarians,,,,,
Lagena laevigata,benthic foraminifera,,202104.0,Lagena laevigata,species,
Neococcolithes losasnensis,nannofossils,,,,,
Lamptonium incohatum,radiolarians,,,,,
Nannotetrina sp.,nannofossils,,424341.0,Nannotetrina,genus,
Saracenaria acutauricularis,benthic foraminifera,,,,,
Verticillata hexacantha,radiolarians,,,,,
Stilostomella midwayensis,benthic foraminifera,,,,,
Catinaster sp.,nannofossils,,319905.0,Catinaster,genus,
Ommatartus ceratospyris,radiolarians,,,,,
Filisphaera filifera,dinoflagellates,,,,,
Lyramula sp.,silicoflagellates,,71285.0,Lyramula,genus,
Peridinium trochoideum,dinoflagellates,,,,,
Saracenaria schenki,benthic foraminifera,,,,,
Actinocyclus radionovae,diatoms,,,,,
Gaudryina pseudocollinsi,benthic foraminifera,,,,,
Peripyramis magnifica,radiolarians,,,,,
Lampterium chalara,radiolarians,,,,,
Druppatractus acquilonus,radiolarians,,,,,
Pseudohastigerina barbadoensis,planktic foraminfera,,,,,
Coscinodiscus rhombicus,diatoms,,,,,
Pleurostomella elliptica,benthic foraminifera,,,,,
Siphotextularia catenata,benthic foraminifera,,,,,
Spiroplectammina haetungensis,benthic foraminifera,,,,,
Nodosaria hispida,benthic foraminifera,,153332.0,Nodosaria hispida,species,
Nitzschia claviceps,diatoms,,,,,
Opephoneis martyii,diatoms,,,,,
Nodosaria perversa,benthic foraminifera,,,,,
Globorotalia menardii ungulata,planktic foraminfera,,,,,
Pterotheca capreolus,diatoms,,,,,
Globigerinita praestainforthi,planktic foraminfera,,,,,
Ehrenbergina gibbera,benthic foraminifera,,,,,
Eucoronis hertwigii,radiolarians,,,,,
Sphaeroidinella seminulina,planktic foraminfera,,422360.0,Sphaeroidinella seminulina,species,
Crassapontosphaera jonesii,nannofossils,,,,,
Rhaphoneis parallelica,diatoms,,,,,
Epistominella subperuviana,benthic foraminifera,,,,,
Clathrocyclas semeles,radiolarians,,,,,
Reophax pilulifer,benthic foraminifera,,351872.0,Reophax pilulifer,species,
Vulvulina mexicana,benthic foraminifera,,,,,
Globigerina daubjergensis,planktic foraminfera,,,,,
Bulimina fusiformis-gibba,benthic foraminifera,,,,,
Haplophragmoides indentatus,benthic foraminifera,,,,,
Globigerina ouachitaensis ciperoensis,planktic foraminfera,,,,,
Brizalina argentea,benthic foraminifera,,,,,
Stylosphaera hispida,radiolarians,,,,,
Pterocyoticlius barbadense,radiolarians,,,,,
Lycopodiumsporites eminulus,pollen,,309535.0,Lycopodiumsporites eminulus,species,
Trifarina cuneata,benthic foraminifera,,,,,
Druppatractus variabilis,radiolarians,,,,,
Globigerinoides fragilis,planktic foraminfera,,,,,
Podocyrtis argulus,radiolarians,,,,,
Cyclolithella rotunda,nannofossils,,,,,
Corbisema navicula constricta,silicoflagellates,,,,,
Stylodictya gracilis,radiolarians,,,,,
Eucampia balaustium,diatoms,,,,,
Cassidulina bradyi,benthic foraminifera,,,,,
Toweius bisulcus,nannofossils,,,,,
Naviculopsis constricta,silicoflagellates,,,,,
Anomalina spissiformis,benthic foraminifera,,,,,
Quinqueloculina triangularis,benthic foraminifera,,351908.0,Quinqueloculina triangularis,species,
Delphineis penelliptica,diatoms,,,,,
Nodosaria pseudoinconstans,benthic foraminifera,,,,,
Globigerina bulloides s.l.,planktic foraminfera,,,,,
Polypodiisporites undulatus,pollen,,,,,
Coscinodiscus kolbei,diatoms,,,,,
Diploneis incurvata,diatoms,,,,,
Sceptroneis praecaducea,diatoms,,,,,
Gomphonema augur,diatoms,,,,,
Ehrenbergina spinossissima,benthic foraminifera,,,,,
Sphaeroidinellopsis subdehiscens subdehiscens,planktic foraminfera,,,,,
Robulus plummerae,benthic foraminifera,,,,,
Fursenkoina sandiegoensis,benthic foraminifera,,,,,
Dictyocha sp.,silicoflagellates,,71284.0,Dictyocha,genus,
Bulimina arkadelphiana midwayensis,benthic foraminifera,,,,,
Dictyocha delicata,silicoflagellates,,,,,
Sigmoilina sp.,benthic foraminifera,,2523.0,Sigmoilina,genus,
Druppatractus sp.,radiolarians,,116.0,Druppatractus,genus,
Dictyocha fibula asymmetricus,silicoflagellates,,,,,
Platycystidia sp.,dinoflagellates,,336767.0,Platycystidia,genus,
Mimosaceae,pollen,,257017.0,Mimosaceae,family,
Reticulofenestra bisecta bisecta,nannofossils,,,,,
Dictyococcites abisectus,nannofossils,,,,,
Drimys sp.,pollen,,319898.0,Drimys,genus,
Lagena hexagona,benthic foraminifera,,354821.0,Lagena hexagona,species,
Cytheropteron eremitum,ostracod,,,,,
Pterocanium praetextum eucolpum,radiolarians,,,,,
Podocyrtis coronatus,radiolarians,,,,,
Astostrobus elegans,radiolarians,,,,,
Pulleniatina obliquiloculata primalis,planktic foraminfera,,,,,
Discoaster lidzii,nannofossils,,,,,
Bolivina thalmani,benthic foraminifera,,,,,
Truncorotaloides pseudodubius,planktic foraminfera,,,,,
Hemiaulus bipons,diatoms,,,,,
Ostracoda indent.,ostracod,,,,,
Lithomesites pecten,phytoliths,,,,,
Adnatosphaeridium vittatum,dinoflagellates,,,,,
Bolivina marginata,benthic foraminifera,,354877.0,Bolivina marginata,species,
Globorotalia planoconica,planktic foraminfera,,,,,
Globigerina microcellulosa,planktic foraminfera,,,,,
Discoaster perplexus,nannofossils,,,,,
Stichopterygium anomalum,radiolarians,,,,,
Hornibrookina australis,nannofossils,,,,,
Globigerinoides mitra var. b,planktic foraminfera,,,,,
Helicopontosphaera sp.,nannofossils,,424493.0,Helicopontosphaera,genus,
Gyroidina acuta,benthic foraminifera,,,,,
Gaudryina laevigata,benthic foraminifera,,351891.0,Gaudryina laevigata,species,
Ceratolithoides aculeus,nannofossils,,87917.0,Ceratolithoides aculeus,species,
Corocalyptra emmae,radiolarians,,,,,
Vallacerta tumidula,silicoflagellates,,,,,
Stylatractus santaennae,radiolarians,,,,,
Stilostomella pomuligera,benthic foraminifera,,,,,
Lithocarpium sp.,radiolarians,,555.0,Lithocarpium,genus,
Corbisema triacantha mediana,silicoflagellates,,,,,
Valvulineria malagaensis,benthic foraminifera,,,,,
Ellipsodimorphina sp.,benthic foraminifera,,1333.0,Ellipsodimorphina,genus,
Dictyocha aspera aspera,silicoflagellates,,,,,
Corbisema hastata incohata,silicoflagellates,,,,,
Textularia earlandi,benthic foraminifera,,,,,
Tricolpites alveolatus,pollen,,,,,
Cibicides lobatus,benthic foraminifera,,,,,
Dictyophimus archipilium,radiolarians,,,,,
Pontosphaera alborensis,nannofossils,,,,,
Coccolithus doronicoides,nannofossils,,,,,
Fissurina spinosa,benthic foraminifera,,,,,
Spirocyrtis subtilis,radiolarians,,,,,
Subbotina spiralis,planktic foraminfera,,,,,
Theocampe pirum,radiolarians,,,,,
Dyocibicides perforata,benthic foraminifera,,,,,
Tetralithus gothicus,nannofossils,,87948.0,Tetralithus gothicus,species,
Turborotalia humerosa humerosa,planktic foraminfera,,,,,
Clavulina anglica,benthic foraminifera,,,,,
Saipanetta sp.,ostracod,,,,,
Theocyrtis redondoensis,radiolarians,,,,,
Tubulifloridites antipodica,pollen,,252806.0,Tubulifloridites antipodica,species,
Pseudorutilaria monomembranacea,diatoms,,,,,
Plectina nuttalli,benthic foraminifera,,,,,
Turborotalia praecentralis,planktic foraminfera,,,,,
Cytherella volgata,ostracod,,,,,
Globorotalia parkerae,planktic foraminfera,,,,,
Hemiaulus subacutus,diatoms,,,,,
Sigmomorphina trinitatensis,benthic foraminifera,,,,,
Globorotalia peripheroronda forma alpha,planktic foraminfera,,,,,
Rectuvigerina vesca,benthic foraminifera,,,,,
Turborotalia peripheroronda,planktic foraminfera,,,,,
Globorotalia archaeomenardii,planktic foraminfera,,,,,
Globorotalia multiloba,planktic foraminfera,,,,,
Melosira distans,diatoms,,,,,
Cyrtophormis dominasinensis,radiolarians,,,,,
Nannocorbis challengeri,nannofossils,,,,,
Desmospyris haysi,radiolarians,,,,,
Globoquadrina altispira occlusa,planktic foraminfera,,,,,
Gaudryina bentonensis,benthic foraminifera,,,,,
Stichodiscus kittonianus,diatoms,,,,,
Oroscena sp.,radiolarians,,,,,
Umbelliferae,pollen,,55741.0,Umbelliferae,family,
Praeglobotruncana petaloidea,planktic foraminfera,,,,,
Globigerina yeguaensis,planktic foraminfera,,,,,
Actinocyclus lanceolatus,diatoms,,,,,
Cussia sp.,diatoms,,82153.0,Cussia,genus,
Rouxia oligocaenica,diatoms,,,,,
Taxus,pollen,,206223.0,Taxus,genus,
Bogorovia praepaleacea,diatoms,,,,,
Brachycythere sp.,ostracod,,23949.0,Brachycythere,genus,
Cyclicargolithus neogammation,nannofossils,,,,,
Planorotalites pseudoscitulus,planktic foraminfera,,,,,
Lychnocanoma anacolum,radiolarians,,,,,
Globigerinoides conglobatus canimarensis,planktic foraminfera,,,,,
Recurvoides pseudosymmetricus,benthic foraminifera,,,,,
Globigerinoides praeprimordius,planktic foraminfera,,,,,
Coscinodixcus symbolophorus var.,diatoms,,,,,
Hemiaulus disimilis,diatoms,,,,,
Surirella ovalis,diatoms,,,,,
Cyclampterium leptetrum,radiolarians,,,,,
Paralia sulcata crenulata radiata,diatoms,,,,,
Stylosphaera santaneannae,radiolarians,,,,,
Pseudorocella corona,silicoflagellates,,,,,
Mesocena triodon,silicoflagellates,,,,,
Asterigerina guraboensis,benthic foraminifera,,,,,
Globorotalia suterae,planktic foraminfera,,,,,
Psilatricolporites operculatus,pollen,,250563.0,Psilatricolporites operculatus,species,
Borraginaceae,pollen,,,,,
Discoaster aster,nannofossils,,,,,
Thalassiosira tabularis,diatoms,,,,,
Mesocena schulzii,silicoflagellates,,,,,
Psychospyris parva,radiolarians,,,,,
Neogloboquadrina atlantica,planktic foraminfera,,422465.0,Neogloboquadrina atlantica,species,
Nitzschia aequatorialis,diatoms,,,,,
Acarinina rotundimarginata,planktic foraminfera,,,,,
Eggerella propinqua,benthic foraminifera,,,,,
Cyclotella meneghiniana pluripunctata,diatoms,,,,,
Asterocyclina matanzensis,benthic foraminifera,,393209.0,Asterocyclina matanzensis,species,
Distephanus crux scutulatus,silicoflagellates,,,,,
Asterocyclina sp.,benthic foraminifera,,905.0,Asterocyclina,genus,
Rhizosolenia praealata,diatoms,,,,,
Clathrocycloma parcum,radiolarians,,,,,
Impagidinium sp.,dinoflagellates,,276906.0,Impagidinium,genus,
Odontella septentrionala,diatoms,,,,,
Eusyringium striata,radiolarians,,,,,
Ebriopsis antiqua,ebridians,,,,,
Osangularia rugosa,benthic foraminifera,,,,,
Rhodospyris tricornis,radiolarians,,,,,
Gavelinella velascoensis,benthic foraminifera,,,,,
Lenticulina rosetta,benthic foraminifera,,,,,
Prunopyle frakesi,radiolarians,,,,,
Dictyocha messanensis aculeata,silicoflagellates,,,,,
Coscinodiscus wailesii,diatoms,,,,,
Mesocena binonaria,silicoflagellates,,,,,
Paijenborchella cymbula,ostracod,,,,,
Hanzawaia mexicana,benthic foraminifera,,,,,
Neomonoceratina microreticulata,ostracod,,,,,
Globorotalia siakensis,planktic foraminfera,,,,,
Lenticulina dicampyla,benthic foraminifera,,,,,
Globorotalia multiloculata,planktic foraminfera,,,,,
Lepidocyclina canellei,benthic foraminifera,,,,,
Globigerapsis kugleri,planktic foraminfera,,,,,
Globigerina eggeri multilobata,planktic foraminfera,,,,,
Globigerina pseudovenezuelana,planktic foraminfera,,,,,
Placozygus sigmoides,nannofossils,,,,,
Pseudoparrella bradyana,benthic foraminifera,,,,,
Biddulphia moholensis,diatoms,,,,,
Entapium chaenapium,radiolarians,,,,,
Dictyocha neonautica,silicoflagellates,,,,,
Acanthodiscus ornatus,diatoms,,,,,
Marsipella sp.,benthic foraminifera,,1814.0,Marsipella,genus,
Cyclococcolithina reticulata,nannofossils,,,,,
Bekoma demissa,radiolarians,,,,,
Uvigerina hollicki,benthic foraminifera,,,,,
Ceratospyris muelleri,radiolarians,,,,,
Luehea sp.,pollen,,,,,
Graminae,pollen,,,,,
Globorotalia gigantea,planktic foraminfera,,,,,
Rhabdothorax serratus,nannofossils,,,,,
Nematosphaeropsis balcombiana,dinoflagellates,,411345.0,Nematosphaeropsis balcombiana,species,
Rhizosolenia pokrovskajae,diatoms,,,,,
Labyrinthodinium truncatum,dinoflagellates,,,,,
Helicosphaera perch-nielsenasiae,nannofossils,,,,,
Turborotalia sp.,planktic foraminfera,,2739.0,Turborotalia,genus,
Globorotalia explicationis,planktic foraminfera,,422395.0,Globorotalia explicationis,species,
Liradiscus bipolaris,diatoms,,,,,
Bolivina advena striatella,benthic foraminifera,,,,,
Cyclococcolithus leptoporus,nannofossils,,,,,
