Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stilostomella antillea	Pullenia subcarinata	Pullenia bulloides	Oridorsalis umbonatus	Nuttallides umbonifera	Lagena spp.	Heronallenia crosbyi	Hanzawaia spp.	Gyroidina spp.	Gyroidina soldanii	Gavelinopsis cf. prageri	Fissurina spp.	Eponides weddellensis	Epistominella exigua	Eggerella bradyi	Cibicidoides mundulus	Cassidulina subglobosa	Cassidulina laevigata	Bulimina alazanensis	Bolivinita trunctum	Bolivina pseudoplicata	Turrila spp.	Trifarina angulosa	Tosaia hanzawai	Stilostomella spp.	Siphotextularia rolshauseni	Nonion spp.	Neoconorbina spp.	Fursenkoina pontoni	Elphidium spp.	Discorbinella spp.	Brizalina spathulata	Bolivinita spp.	Bolivina inflata	Pleurostomella spp.	Oolina spp.	Lenticulina spp.	Lamarckina spp.	Dentalina spp.	Bulimina spp.	Quinqueloculina seminulum	Nonion barleeanum	Hopkinsina spp.	Gyroidina polius	Fursenkoina fusiformis	Cibicidoides robertsonianus	Uvigerina spp.	Miliolid taxa	Florilus spp.	Bolivina pygmaea	Sigmoilina tenuis	Globobulimina auriculata	Eponides tumidulus	Stilostomella bradyi	Stetsonia arctica	Quinqueloculina stalkeri	Pyrgo williamsoni	Gyroidina orbicularis	Cibicides wuellerstorfi	Trifarina fluens	Nonion auriculata	Gavelinopsis translucens	Bulimina marginata	Bolivina decussata	Valvulineria arctica	Patellina corrugata	Elphidium excavatum	Discorbis spp.	Brizalina lowmani	Bolivina subspinescens	Astrononion gallowayi	Anomalina globulosa	Glabratella spp.	Gavelinopsis lobatulus	Elphidium crispum	Cibicides lobatulus	Nonionella atlantica	Spiroloculina spp.	Brizalina pseudopunctata	Haynesina orbiculare	Epistominella takayanagii	Elphidium discoidale	Ammodiscoides japonicus	Ophthalmidium pusillum	Planulina ariminensis	Nonionella turgida	Cassidulina spp.	Bolivina arctica	Valvulineria laevigata	Fursenkoina pauciloculata	Pseudopolymorphina novangliae	Karreriella bradyi	Pyrgo murrhyna	Buliminella elegantissima	Elphidium poeyanum	Cyclogyra involvens	Brizalina subaenariensis	Uvigerina peregrina	Elphidium advenum	Planorbulina mediterreansis	Eoeponides pulchella	Elphidium gunteri	Elphidium galvestonense	Ammobaculites agglutinans	Rosalina columbiensis	Glabratella wrightii	Anomalina spp.	Ammonia beccarii	Bulimina striata	Sigmoilopsis schlumbergeri	Quinqueloculina agglutinans	Hoeglundina elegans	Triloculina tricarinata	Textularia conica	Rosalina floridana	Hyalina balthica	Comment

  SR	                 	                 	                  	              	149	 898	A	  1	H	 4	   7.00	      4.5700	Collins  	Benthic Foraminifers                         	               	                  	                      	.9%                 	                  	                     	.9%                   	           	                    	              	              	.6%               	                        	.3%           	                     	.3%                 	                	                     	3.4%                  	28.1%                	                    	                   	.9%                   	            	                  	.3%            	                  	                           	           	                 	                   	              	                  	24.1%               	               	                	                   	           	                	               	              	             	.9%                      	.9%              	               	                	.6%                   	.6%                        	              	             	             	.3%             	                 	                        	                  	                    	                 	                        	.3%              	                     	.6%                    	7.5%            	                 	.3%                     	9.7%              	                  	                    	                   	1.3%               	              	.9%              	                      	                     	                   	                	                      	.6%              	3.4%               	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	5.9%               	.3%              	                           	                    	                 	                       	                         	                     	                    	              	2.8%            	.9%             	                          	.3%                        	                   	                       	.3%              	.3%               	.3%             	34133 Total individuals/10 cm3. 0.6% Reworked foraminifers. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  1	H	 6	   1.00	      7.5100	Collins  	Benthic Foraminifers                         	               	                  	                      	4.7%                	                  	                     	.8%                   	           	                    	              	              	3.1%              	                        	2.4%          	10.2%                	3.1%                	                	                     	8.3%                  	6.3%                 	                    	                   	                      	            	                  	               	                  	.4%                        	           	                 	                   	              	                  	7.9%                	               	                	                   	           	                	               	              	             	.4%                      	.4%              	               	                	19.3%                 	                           	              	             	             	                	                 	                        	                  	                    	2.4%             	.4%                     	.4%              	                     	2.0%                   	4.7%            	                 	                        	1.2%              	2.4%              	9.4%                	                   	                   	              	                 	                      	                     	4.3%               	                	                      	                 	                   	                    	                  	2.8%                    	                    	                         	                    	                       	                      	                     	                  	1.2%            	.4%             	.4%                   	                         	                             	                  	              	                         	                  	                   	                        	.4%                	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	.4%                    	                 	                  	                	7389 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  2	H	 2	 139.00	     12.0900	Collins  	Benthic Foraminifers                         	               	                  	                      	                    	                  	                     	                      	           	                    	              	              	                  	                        	              	7.7%                 	                    	                	                     	7.7%                  	23.1%                	                    	                   	7.7%                  	            	                  	               	                  	                           	           	                 	                   	              	                  	                    	               	                	                   	           	                	               	              	             	                         	                 	               	                	23.1%                 	                           	              	             	             	                	                 	                        	                  	                    	                 	                        	                 	                     	                       	15.4%           	                 	                        	                  	                  	                    	                   	7.7%               	              	                 	                      	                     	7.7%               	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	11 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  2	H	 3	  36.00	     12.5600	Collins  	Benthic Foraminifers                         	               	                  	                      	.8%                 	                  	12.5%                	.8%                   	.8%        	                    	              	              	7.5%              	                        	3.3%          	6.7%                 	2.5%                	                	                     	3.3%                  	                     	                    	                   	                      	            	                  	               	                  	6.7%                       	           	                 	                   	              	                  	1.7%                	               	                	                   	.8%        	                	               	              	             	                         	                 	               	                	10.0%                 	                           	              	             	             	                	                 	                        	4.2%              	                    	3.3%             	                        	                 	                     	1.7%                   	                	                 	                        	                  	                  	1.7%                	                   	                   	              	                 	                      	                     	27.5%              	                	                      	                 	4.2%               	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	100 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  2	H	 3	  96.00	     13.1600	Collins  	Benthic Foraminifers                         	               	                  	                      	.9%                 	1.5%              	4.2%                 	2.1%                  	           	                    	              	              	2.1%              	                        	1.2%          	.6%                  	2.4%                	.6%             	2.4%                 	5.2%                  	9.1%                 	                    	                   	                      	            	                  	1.2%           	                  	.3%                        	           	                 	                   	              	                  	3.9%                	               	                	                   	.3%        	                	               	.3%           	             	.3%                      	7.0%             	               	                	.9%                   	.3%                        	              	             	             	                	                 	                        	                  	.6%                 	                 	                        	                 	                     	11.5%                  	10.3%           	                 	                        	9.7%              	                  	                    	                   	                   	              	                 	                      	                     	.3%                	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	.6%           	                         	                  	                   	                        	16.4%              	                 	                           	                    	                 	                       	                         	                     	                    	              	                	.9%             	1.8%                      	                           	.3%                	                       	                 	                  	                	14080 Total individuals/10 cm3. 0.6% Reworked foraminifers. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  2	H	 4	  64.00	     14.3400	Collins  	Benthic Foraminifers                         	               	                  	                      	4.0%                	                  	7.0%                 	7.7%                  	.3%        	                    	              	              	2.0%              	                        	1.0%          	2.7%                 	15.1%               	                	                     	3.0%                  	                     	                    	                   	                      	            	                  	.3%            	                  	.7%                        	           	                 	                   	              	                  	                    	               	                	                   	.7%        	                	               	.3%           	             	.3%                      	                 	               	                	34.9%                 	                           	              	             	             	                	                 	                        	3.0%              	                    	.3%              	1.3%                    	                 	                     	.7%                    	1.0%            	                 	                        	                  	1.7%              	                    	                   	                   	              	4.7%             	.3%                   	                     	3.7%               	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	3.0%              	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	3973 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  2	H	 4	  90.00	     14.6000	Collins  	Benthic Foraminifers                         	               	                  	                      	4.6%                	                  	26.3%                	.9%                   	3.7%       	                    	              	              	.9%               	                        	3.1%          	.6%                  	                    	3.1%            	                     	5.6%                  	                     	                    	                   	                      	            	                  	               	                  	3.1%                       	           	                 	                   	              	                  	1.2%                	               	                	                   	2.5%       	.3%             	               	.3%           	             	.3%                      	                 	               	                	9.6%                  	                           	              	             	             	                	                 	                        	7.4%              	                    	5.0%             	4.6%                    	1.2%             	.3%                  	5.6%                   	                	                 	                        	.3%               	1.2%              	                    	                   	                   	              	                 	                      	                     	7.1%               	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	.6%                   	                     	.3%               	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	248 from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  3	H	 1	  68.00	     19.3800	Collins  	Benthic Foraminifers                         	               	                  	                      	2.8%                	                  	1.1%                 	                      	           	                    	              	              	.4%               	                        	3.2%          	6.0%                 	1.4%                	                	                     	29.3%                 	11.7%                	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	15.2%               	               	                	                   	.4%        	                	               	.7%           	             	.4%                      	                 	               	                	2.5%                  	                           	              	             	             	.4%             	                 	                        	                  	                    	                 	                        	                 	                     	.7%                    	2.1%            	                 	                        	3.9%              	4.9%              	.4%                 	                   	                   	.4%           	                 	                      	.7%                  	1.1%               	                	.4%                   	                 	7.8%               	                    	                  	                        	                    	.7%                      	                    	                       	                      	                     	                  	.4%             	                	                      	                         	                             	                  	              	                         	1.4%              	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	10977 from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  3	H	 2	  14.00	     20.3400	Collins  	Benthic Foraminifers                         	               	                  	                      	4.0%                	                  	1.6%                 	2.0%                  	           	                    	              	              	6.8%              	                        	3.6%          	1.2%                 	16.8%               	.8%             	1.6%                 	11.2%                 	7.2%                 	                    	                   	                      	            	                  	2.0%           	                  	.4%                        	           	                 	                   	              	                  	11.6%               	               	                	                   	           	                	               	              	             	                         	.4%              	               	                	4.0%                  	                           	              	             	             	                	                 	                        	1.2%              	                    	6.8%             	                        	1.6%             	.8%                  	3.2%                   	1.2%            	                 	                        	2.0%              	2.8%              	                    	                   	                   	              	                 	                      	                     	3.6%               	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	.4%                   	                     	                  	                	                	                      	                         	                             	                  	.8%           	                         	                  	                   	                        	                   	                 	                           	.4%                 	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	2000 from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  3	H	 3	  55.00	     22.2700	Collins  	Benthic Foraminifers                         	               	                  	                      	7.6%                	1.4%              	14.1%                	3.4%                  	1.7%       	                    	              	              	7.6%              	                        	3.4%          	                     	1.4%                	.3%             	                     	20.6%                 	                     	                    	                   	                      	            	                  	1.7%           	                  	1.0%                       	           	                 	                   	              	                  	                    	               	                	                   	           	                	               	              	             	2.7%                     	1.7%             	               	                	6.5%                  	.3%                        	              	             	             	                	                 	                        	7.9%              	                    	7.9%             	                        	2.7%             	                     	2.7%                   	                	                 	                        	                  	                  	                    	                   	                   	              	.3%              	                      	                     	2.4%               	                	                      	                 	                   	                    	.3%               	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	1194 from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  3	H	 4	  15.00	     23.3700	Collins  	Benthic Foraminifers                         	               	                  	                      	12.3%               	1.5%              	7.7%                 	6.9%                  	.4%        	                    	              	              	5.7%              	                        	2.7%          	.4%                  	17.6%               	                	                     	19.9%                 	                     	                    	                   	                      	            	                  	.4%            	                  	1.5%                       	           	                 	                   	              	                  	                    	               	                	                   	2.3%       	.4%             	               	              	             	                         	1.1%             	               	                	2.3%                  	                           	              	             	             	                	                 	                        	4.6%              	                    	3.4%             	1.1%                    	.4%              	                     	.4%                    	                	.8%              	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	6.1%               	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	1740 from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  3	H	 5	  20.00	     24.9200	Collins  	Benthic Foraminifers                         	               	                  	                      	1.6%                	                  	.8%                  	                      	           	                    	              	              	1.6%              	                        	.8%           	2.4%                 	2.4%                	                	                     	29.8%                 	7.9%                 	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	9.9%                	               	                	                   	           	                	               	.8%           	             	                         	                 	               	                	1.2%                  	                           	              	             	             	1.2%            	                 	                        	.8%               	                    	                 	                        	                 	                     	8.3%                   	9.5%            	                 	1.2%                    	4.4%              	5.2%              	                    	                   	                   	.8%           	3.2%             	                      	.8%                  	                   	                	                      	                 	                   	                    	                  	.8%                     	                    	1.6%                     	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	3.2%               	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	29324 from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  3	H	 6	 118.00	     27.4000	Collins  	Benthic Foraminifers                         	               	                  	                      	8.8%                	                  	4.2%                 	11.5%                 	1.5%       	                    	              	              	2.7%              	                        	1.5%          	                     	22.1%               	.8%             	                     	21.8%                 	.8%                  	                    	                   	                      	            	                  	2.7%           	                  	1.1%                       	           	                 	                   	              	                  	                    	               	                	                   	.4%        	                	               	              	             	3.1%                     	.8%              	               	                	                      	                           	              	             	             	                	                 	                        	7.3%              	                    	                 	                        	                 	                     	1.9%                   	.4%             	                 	                        	.4%               	                  	                    	                   	                   	              	                 	                      	                     	6.1%               	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	.4%           	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	699 from 149 SR. Chapter 9. Table 1. pages 221-228.
