Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cibicidoides spp.,Vulvulina spinosa,Stilostomella spp.,Pullenia spp.,Oridorsalis umbonatus,Hanzawaia ammophila,Cibicidoides praemundulus,Anomalinoides globulosus,Uvigerina spp.,Nodosariid taxa,Gyroidinoides soldanii,Globocassidulina subglobosa,Pleurostomella spp.,Bolivina spp.,Patellina corrugata,Trifarina spp.,Tritaxa spp.,Stilostomella subspinosa,Sphaeroidina bulloides,Siphonina tenuicarinata,Rectuvigerina striata,Astrononion pusillum,Planulina wuellerstorfi,Lenticulina spp.,Laticarinina pauperata,Cibicidoides mundulus,Bulimina spp.,Uvigerina hispidocostata,Textularia spp.,Sigmoilopsis schlumbergeri,Bulimina aculeata,Anomalinoides spp.,Sigmoilina obesa,Miliolids species,Loxostomoides spp.,Hoeglundina elegans,Martinottiella communis,Elphidium spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1134,A, 12,H,CC,  11.00,    108.3500,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,                 ,                 ,R                 ,R            ,R                    ,                   ,                         ,                        ,              ,R              ,                      ,                           ,                   ,             ,                   ,              ,            ,                        ,                      ,R                      ,F                    ,                    ,F                      ,                ,R                     ,F                    ,             ,                        ,               ,                          ,                 ,                  ,                ,                 ,                  ,                   ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1134,A, 16,X,CC,  30.00,    137.7100,Holbourn ,Benthic Foraminifers                         ,R              ,G                 ,                 ,                 ,                  ,             ,                     ,                   ,                         ,                        ,              ,               ,                      ,R                          ,                   ,             ,                   ,              ,            ,                        ,R                     ,R                      ,R                    ,                    ,F                      ,R               ,R                     ,F                    ,             ,                        ,               ,                          ,                 ,                  ,                ,                 ,                  ,                   ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1134,A, 17,X,CC,  31.00,    144.1700,Holbourn ,Benthic Foraminifers                         ,R              ,G                 ,                 ,R                ,                  ,             ,                     ,                   ,                         ,                        ,              ,               ,                      ,R                          ,                   ,             ,                   ,R             ,            ,R                       ,R                     ,R                      ,F                    ,                    ,F                      ,R               ,R                     ,F                    ,R            ,                        ,               ,                          ,                 ,                  ,                ,                 ,                  ,                   ,                       ,              ,Redeposited shallow-water taxa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1134,A, 21,X,CC,  47.00,    176.5800,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,                 ,R                ,                  ,             ,                     ,F                  ,                         ,                        ,              ,R              ,                      ,                           ,                   ,R            ,F                  ,              ,R           ,R                       ,R                     ,R                      ,R                    ,R                   ,                       ,                ,                      ,                     ,             ,                        ,               ,                          ,                 ,                  ,                ,                 ,                  ,                   ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1134,A, 25,X,CC,  34.00,    215.1900,Holbourn ,Benthic Foraminifers                         ,C              ,G                 ,C                ,                 ,                  ,             ,                     ,                   ,                         ,                        ,              ,               ,                      ,                           ,                   ,A            ,R                  ,F             ,            ,                        ,                      ,                       ,                     ,                    ,                       ,                ,                      ,                     ,             ,                        ,               ,                          ,                 ,                  ,                ,                 ,                  ,                   ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1134,A, 27,X,CC,  34.00,    238.6400,Holbourn ,Benthic Foraminifers                         ,F              ,G                 ,                 ,R                ,F                 ,R            ,R                    ,F                  ,F                        ,                        ,              ,               ,R                     ,                           ,                   ,R            ,R                  ,              ,            ,                        ,                      ,                       ,                     ,                    ,                       ,                ,                      ,                     ,             ,                        ,               ,                          ,                 ,                  ,                ,                 ,                  ,                   ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1134,A, 29,X,CC,  18.00,    253.0800,Holbourn ,Benthic Foraminifers                         ,F              ,G                 ,                 ,R                ,F                 ,R            ,R                    ,F                  ,F                        ,                        ,              ,               ,                      ,                           ,                   ,R            ,                   ,              ,            ,                        ,                      ,                       ,                     ,                    ,                       ,                ,                      ,                     ,             ,                        ,               ,                          ,                 ,                  ,                ,                 ,                  ,                   ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1134,A, 31,X,CC,   0.00,    272.5600,Holbourn ,Benthic Foraminifers                         ,F              ,G                 ,                 ,R                ,F                 ,R            ,R                    ,F                  ,F                        ,                        ,              ,               ,                      ,                           ,R                  ,R            ,                   ,              ,            ,                        ,                      ,                       ,                     ,                    ,                       ,                ,                      ,                     ,             ,                        ,               ,                          ,                 ,                  ,                ,                 ,                  ,                   ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1134,A, 35,X,CC,   0.00,    310.9300,Holbourn ,Benthic Foraminifers                         ,F              ,G                 ,                 ,R                ,F                 ,R            ,R                    ,F                  ,F                        ,R                       ,              ,               ,                      ,                           ,                   ,             ,                   ,              ,            ,                        ,                      ,                       ,                     ,                    ,                       ,                ,                      ,                     ,             ,                        ,               ,                          ,                 ,                  ,                ,                 ,                  ,                   ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1134,A, 39,X,CC,  31.00,    351.6400,Holbourn ,Benthic Foraminifers                         ,F              ,G                 ,                 ,R                ,F                 ,R            ,R                    ,F                  ,F                        ,F                       ,R             ,R              ,R                     ,R                          ,                   ,             ,                   ,              ,            ,                        ,                      ,                       ,                     ,                    ,                       ,                ,                      ,                     ,             ,                        ,               ,                          ,                 ,                  ,                ,                 ,                  ,                   ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1134,A, 40,X,CC,  31.00,    361.9100,Holbourn ,Benthic Foraminifers                         ,F              ,G                 ,                 ,R                ,R                 ,R            ,R                    ,F                  ,F                        ,R                       ,              ,               ,                      ,                           ,                   ,             ,                   ,              ,            ,                        ,                      ,                       ,                     ,                    ,                       ,                ,                      ,                     ,             ,                        ,               ,                          ,                 ,                  ,                ,                 ,                  ,                   ,                       ,              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1134,A, 41,X,CC,  20.00,    368.4000,Holbourn ,Benthic Foraminifers                         ,C              ,P                 ,C                ,                 ,                  ,             ,                     ,                   ,                         ,                        ,              ,               ,                      ,                           ,                   ,             ,                   ,              ,            ,                        ,                      ,                       ,                     ,                    ,                       ,                ,                      ,                     ,             ,                        ,               ,                          ,                 ,                  ,                ,                 ,                  ,                   ,                       ,              ,Abraded and undeterminable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
