Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera mirabilis	Syracosphaera pulchra	Syracosphaera clava	Scapholithus fossilis	Rhabdosphaera clavigera	Pontosphaera sp.	Oolithotus fragilis	Helicosphaera kamptneri	Hayaster perplexus	Gephyrocapsa spp. small (<3.5 microns)	Gephyrocapsa spp. (large >5.5 microns)	Gephyrocapsa oceanica (4-5.5 microns)  	Dictyococcites sp.	Calcidiscus leptoporus	Umbellosphaera irregularis	Pontosphaera japonica	Emiliania huxleyi	Discosphaera tubifera	Discoaster sp.	Ceratolithus cristatus	Amaurolithus sp.	Cyclicargolithus floridanus	Discoaster deflandrei	Sphenolithus moriformis	Sphenolithus abies/neoabies	Reticulofenestra sp.	Pseudoemiliania lacunosa	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster brouweri	Comment
  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  1	H	 3	 116.00	      4.1600	Staerker 	Nannofossils                                 	R              	G                 	A                        	A                    	                   	C                    	C                      	S               	A                  	C                      	S                 	V                                     	                                      	C                                      	C                 	C                     	S                         	S                    	S                	S                    	rR            	R                     	                	rS                         	rR                   	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  2	H	 2	  29.00	      6.1900	Staerker 	Nannofossils                                 	R              	G                 	A                        	A                    	                   	C                    	C                      	S               	A                  	C                      	S                 	V                                     	                                      	C                                      	C                 	C                     	S                         	S                    	                 	S                    	rR            	R                     	                	rS                         	                     	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  2	H	 2	 130.00	      7.2000	Staerker 	Nannofossils                                 	R              	G                 	A                        	A                    	                   	C                    	C                      	S               	C                  	C                      	S                 	V                                     	                                      	C                                      	C                 	C                     	S                         	S                    	                 	S                    	rR            	R                     	                	rS                         	                     	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  2	H	 3	  38.00	      7.7800	Staerker 	Nannofossils                                 	R              	G                 	A                        	C                    	                   	C                    	C                      	S               	A                  	C                      	S                 	A                                     	                                      	C                                      	C                 	C                     	S                         	S                    	                 	S                    	rR            	R                     	                	rS                         	                     	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  2	H	 3	 130.00	      8.7000	Staerker 	Nannofossils                                 	R              	G                 	A                        	C                    	                   	C                    	C                      	S               	A                  	C                      	S                 	A                                     	                                      	C                                      	C                 	C                     	S                         	S                    	S                	R                    	rR            	R                     	                	rS                         	                     	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  2	H	 4	  38.00	      9.2800	Staerker 	Nannofossils                                 	R              	G                 	A                        	C                    	                   	C                    	C                      	S               	A                  	C                      	C                 	A                                     	                                      	C                                      	C                 	C                     	S                         	R                    	S                	R                    	rR            	R                     	                	rS                         	                     	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  2	H	 4	 110.00	     10.0000	Staerker 	Nannofossils                                 	R              	F                 	A                        	C                    	                   	C                    	C                      	S               	A                  	C                      	C                 	A                                     	                                      	C                                      	C                 	C                     	S                         	R                    	R                	R                    	rR            	R                     	                	rS                         	                     	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  2	H	 5	  41.00	     10.8100	Staerker 	Nannofossils                                 	R              	G                 	A                        	C                    	                   	C                    	C                      	S               	A                  	C                      	C                 	A                                     	                                      	C                                      	C                 	C                     	S                         	R                    	S                	R                    	rR            	R                     	                	rR                         	                     	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  2	H	 5	 125.00	     11.6500	Staerker 	Nannofossils                                 	R              	G                 	C                        	C                    	                   	C                    	C                      	S               	C                  	C                      	C                 	A                                     	S                                     	C                                      	C                 	C                     	S                         	                     	R                	R                    	rR            	R                     	                	                           	                     	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  2	H	 6	  50.00	     12.4000	Staerker 	Nannofossils                                 	R              	G                 	C                        	A                    	                   	S                    	C                      	S               	C                  	S                      	C                 	A                                     	S                                     	C                                      	C                 	C                     	S                         	R                    	S                	R                    	rR            	R                     	                	                           	                     	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  3	H	 1	  40.00	      6.8000	Staerker 	Nannofossils                                 	R              	G                 	C                        	A                    	                   	C                    	C                      	S               	C                  	C                      	C                 	V                                     	S                                     	A                                      	A                 	C                     	S                         	R                    	S                	R                    	rR            	R                     	                	                           	                     	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  3	H	 2	  40.00	      8.3000	Staerker 	Nannofossils                                 	R              	G                 	C                        	A                    	                   	C                    	C                      	S               	C                  	C                      	C                 	V                                     	S                                     	C                                      	A                 	C                     	S                         	R                    	S                	R                    	rR            	R                     	                	                           	                     	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  3	H	 3	  40.00	      9.8000	Staerker 	Nannofossils                                 	R              	G                 	C                        	A                    	                   	C                    	C                      	S               	C                  	C                      	C                 	V                                     	S                                     	C                                      	A                 	C                     	S                         	R                    	C                	R                    	rR            	R                     	                	                           	                     	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  3	H	 4	  40.00	     11.3000	Staerker 	Nannofossils                                 	R              	G                 	C                        	A                    	                   	C                    	C                      	S               	C                  	C                      	S                 	V                                     	S                                     	C                                      	A                 	C                     	S                         	R                    	S                	C                    	rR            	                      	rR              	                           	                     	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  3	H	 5	  40.00	     12.8000	Staerker 	Nannofossils                                 	R              	G                 	C                        	A                    	                   	C                    	C                      	S               	C                  	C                      	S                 	V                                     	S                                     	C                                      	A                 	C                     	S                         	R                    	C                	S                    	              	                      	                	                           	                     	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  3	H	 6	  40.00	     14.3000	Staerker 	Nannofossils                                 	R              	F                 	A                        	A                    	R                  	C                    	C                      	S               	C                  	C                      	C                 	A                                     	C                                     	C                                      	A                 	C                     	                          	                     	                 	                     	              	                      	                	                           	                     	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

  SR	                 	Late Pleistocene 	                  	CN15          	134	 831	A	  3	H	 7	  39.00	     15.7900	Staerker 	Nannofossils                                 	R              	F                 	C                        	C                    	R                  	C                    	C                      	S               	C                  	C                      	C                 	A                                     	C                                     	C                                      	A                 	C                     	                          	                     	                 	                     	              	                      	                	                           	                     	                       	                           	                    	                        	                       	                        	                   	from ODP Leg 134 SR Chapter 10 Table 3 p 195

