Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina pachyderma (sinistral)	Globigerina bulloides	Globigerinita minuta	Turborotalita quinqueloba	Globorotalia scitula	Globigerinita glutinata	Globigerinita uvula	Orbulina universa	Neogloboquadrina dutertrei	Comment
  IR	Late Pleistocene 	                 	CD4               	              	139	 857	C	  4	R	CC	   3.00	     76.1300	Brunner  	Planktonic Foraminifers                      	A              	G                 	R                                    	A                                      	A                    	R                   	R                        	R                   	                       	R                  	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	Late Pleistocene 	                 	CD4               	              	139	 857	C	  5	R	 1	  24.00	     82.3400	Brunner  	Planktonic Foraminifers                      	F              	P                 	                                     	+                                      	+                    	                    	                         	                    	                       	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	Late Pleistocene 	                 	CD4               	              	139	 857	C	  5	R	CC	   0.00	     82.6400	Brunner  	Planktonic Foraminifers                      	F              	M                 	                                     	F                                      	F                    	                    	R                        	R                   	R                      	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	Late Pleistocene 	                 	CD4               	              	139	 857	C	  6	R	 2	  86.00	     88.5600	Brunner  	Planktonic Foraminifers                      	A              	M                 	                                     	A                                      	A                    	+                   	A                        	                    	+                      	+                  	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	Late Pleistocene 	                 	CD4               	              	139	 857	C	  6	R	CC	   8.00	     89.4200	Brunner  	Planktonic Foraminifers                      	R              	P                 	                                     	R                                      	                     	                    	                         	                    	                       	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	Late Pleistocene 	                 	CD4               	              	139	 857	C	  8	R	CC	  10.00	    105.0000	Brunner  	Planktonic Foraminifers                      	F              	M                 	                                     	F                                      	F                    	                    	R                        	                    	R                      	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	Late Pleistocene 	                 	CD4               	              	139	 857	C	  9	R	 1	  62.00	    115.1200	Brunner  	Planktonic Foraminifers                      	R              	P                 	                                     	+                                      	+                    	                    	                         	                    	                       	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	Late Pleistocene 	                 	CD4               	              	139	 857	C	  9	R	CC	  13.00	    115.7900	Brunner  	Planktonic Foraminifers                      	R              	M                 	                                     	R                                      	R                    	                    	                         	                    	                       	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	Late Pleistocene 	                 	CD4               	              	139	 857	C	 10	R	 1	  33.00	    124.4300	Brunner  	Planktonic Foraminifers                      	R              	P                 	                                     	+                                      	                     	                    	                         	                    	                       	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	Late Pleistocene 	                 	CD4               	              	139	 857	C	 10	R	CC	  12.00	    125.0600	Brunner  	Planktonic Foraminifers                      	F              	P                 	                                     	F                                      	                     	R                   	                         	                    	                       	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	Late Pleistocene 	                 	CD4               	              	139	 857	C	 11	R	 1	  52.00	    134.3200	Brunner  	Planktonic Foraminifers                      	R              	P                 	                                     	+                                      	                     	                    	                         	                    	                       	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	Late Pleistocene 	                 	CD4               	              	139	 857	C	 12	R	CC	   0.00	    146.1500	Brunner  	Planktonic Foraminifers                      	C              	P                 	R                                    	C                                      	C                    	                    	R                        	R                   	R                      	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	                 	                 	CD4               	              	139	 857	C	 13	R	CC	  12.00	    157.3100	Brunner  	Planktonic Foraminifers                      	R              	P                 	                                     	R                                      	                     	                    	                         	                    	                       	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	                 	                 	CD4               	              	139	 857	C	 14	R	CC	  16.00	    166.0700	Brunner  	Planktonic Foraminifers                      	F              	P                 	                                     	R                                      	R                    	R                   	                         	                    	                       	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	                 	                 	CD4               	              	139	 857	C	 16	R	CC	   8.00	    182.9900	Brunner  	Planktonic Foraminifers                      	R              	P                 	                                     	R                                      	                     	                    	                         	                    	                       	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	                 	                 	CD4               	              	139	 857	C	 17	R	CC	  10.00	    195.5200	Brunner  	Planktonic Foraminifers                      	R              	P                 	R                                    	R                                      	                     	+                   	                         	                    	                       	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	                 	                 	CD4               	              	139	 857	C	 18	R	CC	  17.00	    205.0000	Brunner  	Planktonic Foraminifers                      	R              	P                 	                                     	                                       	R                    	                    	                         	                    	                       	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	                 	                 	CD4               	              	139	 857	C	 19	R	CC	  23.00	    214.2300	Brunner  	Planktonic Foraminifers                      	R              	P                 	R                                    	                                       	                     	                    	                         	                    	                       	                   	                 	                          	Zone assignment uncertain; from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	                 	                 	                  	              	139	 857	C	 33	R	CC	  12.00	    336.6200	Brunner  	Planktonic Foraminifers                      	R              	P                 	                                     	R                                      	R                    	                    	                         	                    	                       	                   	                 	                          	from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

  IR	                 	                 	                  	              	139	 857	C	 40	R	CC	   7.00	    367.9400	Brunner  	Planktonic Foraminifers                      	A              	                  	A                                    	                                       	                     	                    	                         	                    	                       	                   	                 	                          	from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323

