Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Turborotalita quinqueloba,Globigerina bulloides,Globigerinita uvula minuta,Globigerinita glutinata,Neogloboquadrina pachyderma (dextral),Globigerinita uvula uvula,Globorotalia scitula,Globigerinoides ruber,Comment
  IR,                 ,                 ,                  ,              ,169,1038,I,  4,H, 2, 112.00,     29.4200,Brunner  ,Planktonic Foraminifers                      ,R              ,                  ,                                       ,R                        ,                     ,                          ,R                      ,                                     ,R                        ,                    ,                     ,"Abundant framboidal pyrite, vascular plant debris, mica, radiolarians, diatoms including Arachnoidiscus, thin-walled neritic benthonic foraminifers, yellow pine pollen"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,169,1038,I,  5,H,CC,  22.00,     46.2600,Brunner  ,Planktonic Foraminifers                      ,C              ,P                 ,C                                      ,                         ,C                    ,                          ,                       ,R                                    ,                         ,                    ,                     ,"Mineral sand with mica, green earthy mineral,  E. smithi fauna, black and clear volcanic glass, common benthonic foraminifers"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,169,1038,I,  7,H, 1,  17.00,     55.4700,Brunner  ,Planktonic Foraminifers                      ,R              ,                  ,                                       ,R                        ,                     ,                          ,                       ,                                     ,                         ,                    ,                     ,"Almost nothing in the sand size fraction. Dominated by framboidal pyrite,  a few mineral grains (gypsum?), orange pine pollen"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,169,1038,I,  9,X,CC,   8.00,     78.1900,Brunner  ,Planktonic Foraminifers                      ,C              ,P                 ,C                                      ,                         ,C                    ,                          ,                       ,R                                    ,                         ,                    ,                     ,"Sand-size lithified lumps of silt and clay with white frosting cement, mica including brown, brown and crusted foraminifers"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,169,1038,I, 11,X,CC,  27.00,    102.8300,Brunner  ,Planktonic Foraminifers                      ,R              ,P                 ,                                       ,R                        ,R                    ,                          ,                       ,                                     ,                         ,                    ,                     ,"Extraordinary number of Globobulimina pacifica. Some are flattened and some are sugary. Some are brown. Pyritized and blackened organic matter, lithified silt lumps, mica"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,169,1038,I, 28,X,CC,  16.00,    263.5800,Brunner  ,Planktonic Foraminifers                      ,R              ,                  ,R                                      ,                         ,                     ,R                         ,R                      ,                                     ,R                        ,                    ,                     ,"Mica dominates with framboidal pyrite, blackened organic matter, brown pine pollen, a little very fine mineral sand"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,169,1038,I, 30,X,CC,  32.00,    279.7600,Brunner  ,Planktonic Foraminifers                      ,C              ,P                 ,C                                      ,                         ,C                    ,                          ,                       ,R                                    ,                         ,                    ,                     ,"Micaceous very fine sand with planktonic foraminifers and framboidal pyrite, trace of blackened organic matter"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,169,1038,I, 31,X,CC,  29.00,    293.5700,Brunner  ,Planktonic Foraminifers                      ,R              ,                  ,R                                      ,                         ,                     ,                          ,                       ,                                     ,                         ,                    ,                     ,"Blackened organic matter, framboidal pyrite, a little mica and very fine sand grains, dominated by sand-size lumps made of silt and clay, a few flattened and yellow benthonic foraminifers"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,169,1038,I, 32,X,CC,  34.00,    299.9000,Brunner  ,Planktonic Foraminifers                      ,R              ,P                 ,                                       ,R                        ,                     ,R                         ,                       ,                                     ,                         ,                    ,                     ,"Very little in sand size fraction. Abundant mica, framboidal pyritized material possibly molds of planktonic foraminifers, very black organic(?) material, very fine mineral sand"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,169,1038,I, 33,X,CC,  23.00,    314.2600,Brunner  ,Planktonic Foraminifers                      ,R              ,P                 ,R                                      ,                         ,R                    ,                          ,R                      ,                                     ,                         ,                    ,                     ,"Blackened and pyritized organic matter,  silt and clay lumps that are very fine sand-size, a few grains of mineral sand including mica, framboidal pyrite molds of  planktonic foraminifers, one flattened and discolored planktonic foraminifer"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,169,1038,I, 36,X,CC,  13.00,    336.6100,Brunner  ,Planktonic Foraminifers                      ,R              ,                  ,                                       ,                         ,                     ,R                         ,                       ,                                     ,                         ,                    ,                     ,"Pyritized tubes, pyritized and blackened organic debris, mica and several mineral grains, silt and clay lumps of very fine sand size, tiny gastropod shell, several flattened and yellow Fursenkoina"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,169,1038,I, 38,X,CC,  26.00,    355.8100,Brunner  ,Planktonic Foraminifers                      ,R              ,P                 ,R                                      ,R                        ,R                    ,                          ,                       ,                                     ,                         ,                    ,                     ,"Very fine sand size lumps of silt and clay, pyritized and blackened organic debris, mica, yellow and flattened Fursenkoina"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,169,1038,I, 41,X,CC,  15.00,    388.3300,Brunner  ,Planktonic Foraminifers                      ,R              ,P                 ,R                                      ,                         ,                     ,                          ,                       ,                                     ,                         ,                    ,                     ,"Silt and clay lumps of very fine sand size, framboidal pyrite, blackened organic debris, mica, trace of very fine mineral sand, brown pollen"
,,,,,,,,,,,,,,,,,,,,,,,,,,
