Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Praeconocaryomma spp.,Praeconocaryomma sp. aff. P. prisca,Parvicingula sp. D,Parvicingula sp. B,Eucyrtis micropora,Holocryptocanium barbui,Eusyringium sp. A,Xitus spp.,Eusyringium sp. D,Eucyrtis hanni,Archaeodictyomitra brouweri var. alpha,Parvicingulid sp. D,Stephanastrum orbiculare,Parvicingulid sp. C,Foremanella diamphidia hipposidericus,Archaeodictyomitra brouweri s.l.,Acaeniotyle diaphorogona,Parvicingula malleola,Archaeodictyomitra spp. (slender group),Archaeodictyomitra brouweri gamma,Sethocapsa leiostraca,Acaeniotyle umbilicata,Archaeodictyomitra sp. A,Comment
  SR,                 ,                 ,                  ,              ,123, 766,A, 24,R,CC,   9.00,    221.4900,Baumgartner,Radiolarians                                 ,C              ,G                 ,                     ,                                   ,                  ,                  ,T                 ,                       ,T                ,          ,                 ,              ,T                                     ,T                  ,T                       ,T                  ,T                                    ,T                               ,T                       ,                     ,                                       ,                                 ,                     ,                      ,                        ,from ODP Leg 123 SR Chapter 15 Table 4 p 307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 766,A, 25,R,CC,  16.00,    230.6800,Baumgartner,Radiolarians                                 ,C              ,G                 ,                     ,                                   ,                  ,T                 ,                  ,                       ,                 ,          ,                 ,              ,                                      ,T                  ,                        ,                   ,                                     ,                                ,                        ,                     ,                                       ,                                 ,                     ,                      ,                        ,from ODP Leg 123 SR Chapter 15 Table 4 p 307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 766,A, 26,R,CC,   0.00,    243.6600,Baumgartner,Radiolarians                                 ,F              ,P                 ,                     ,                                   ,                  ,T                 ,T                 ,T                      ,                 ,          ,                 ,              ,T                                     ,                   ,                        ,                   ,                                     ,                                ,                        ,                     ,                                       ,                                 ,                     ,                      ,                        ,from ODP Leg 123 SR Chapter 15 Table 4 p 307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 766,A, 28,R,CC,  10.00,    267.9100,Baumgartner,Radiolarians                                 ,F              ,M                 ,                     ,                                   ,                  ,                  ,                  ,                       ,                 ,T         ,A                ,T             ,                                      ,                   ,                        ,                   ,                                     ,                                ,                        ,                     ,                                       ,                                 ,                     ,                      ,                        ,from ODP Leg 123 SR Chapter 15 Table 4 p 307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 766,A, 29,R,CC,  10.00,    274.8100,Baumgartner,Radiolarians                                 ,F              ,M                 ,                     ,                                   ,                  ,                  ,T                 ,T                      ,T                ,          ,                 ,              ,                                      ,                   ,                        ,                   ,                                     ,                                ,                        ,                     ,                                       ,                                 ,                     ,                      ,                        ,from ODP Leg 123 SR Chapter 15 Table 4 p 307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 766,A, 49,R, 3,  92.00,    465.4200,Baumgartner,Radiolarians                                 ,R              ,M                 ,T                    ,T                                  ,T                 ,T                 ,T                 ,                       ,                 ,          ,                 ,              ,                                      ,                   ,                        ,                   ,                                     ,                                ,                        ,                     ,                                       ,                                 ,                     ,                      ,                        ,from ODP Leg 123 SR Chapter 15 Table 4 p 307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,123, 766,A, 49,R, 4,  23.00,    466.2300,Baumgartner,Radiolarians                                 ,F              ,M                 ,T                    ,T                                  ,T                 ,T                 ,T                 ,                       ,                 ,          ,                 ,              ,                                      ,                   ,                        ,                   ,                                     ,                                ,                        ,                     ,                                       ,                                 ,                     ,                      ,                        ,from ODP Leg 123 SR Chapter 15 Table 4 p 307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
