Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys wolffii,Stichocorys delmontensis,Siphostichartus corona,Lithopera thornburgi,Diartus petterssoni,Cyrtocapsella japonica,Carpocanopsis cristata,Calocycletta caepa,Botryostrobus miralestensis,Stichocorys johnsoni,Diartus hughesi,Solenosphaera omnitubus omnitubus,Stichocorys peregrina,Theocorythium vetulum,Stylatractus universus,Phormostichoartus fistula,Phormostichoartus doliolum,Lychnodictyum audax,Didymocyrtis penultima,Anthocyrtidium pliocenica,Anthocyrtidium jenghisi,Pterocanium prismatium,Spongaster tetras,Amphirhopalum ypsilon,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Theocalyptra davisiana,Pterocorys minythorax,Anthocyrtidium angulare,Theocorythium trachelium trachelium,Lamprocyrtis nigriniae,Collosphaera tuberosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 850,B,  2,H, 6, 110.00,     21.1000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,                     ,-                    ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,R                ,R                    ,                        ,R                          ,R                     ,R                    ,R                      ,R                                  ,R                     ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 850,B,  2,H,CC,   7.00,     22.1500,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,                     ,-                    ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,R                ,R                    ,                        ,-                          ,R                     ,R                    ,R                      ,R                                  ,R                     ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 850,B,  3,H, 2, 110.00,     24.6000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,                     ,F                    ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,R                ,R                    ,-                       ,R                          ,R                     ,R                    ,R                      ,R                                  ,-                     ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 850,B,  3,H, 4, 105.00,     27.5500,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,                     ,F                    ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,R                ,R                    ,-                       ,R                          ,R                     ,R                    ,R                      ,R                                  ,-                     ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 850,B,  3,H, 6, 110.00,     30.6000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,                     ,F                    ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,R                ,R                    ,R                       ,R                          ,R                     ,R                    ,R                      ,-                                  ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 850,B,  3,H,CC,  15.00,     31.7300,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,                     ,F                    ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,-                     ,R                ,R                    ,R                       ,R                          ,R                     ,-                    ,R                      ,-                                  ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 850,B,  4,H, 2, 110.00,     34.1000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,                     ,F                    ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                     ,R                ,R                    ,R                       ,R                          ,R                     ,-                    ,-                      ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 850,B,  4,H, 4, 110.00,     37.1000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,                     ,F                    ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                     ,R                ,R                    ,R                       ,R                          ,R                     ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 850,B,  4,H, 6, 110.00,     40.1000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,                     ,F                    ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,R                     ,R                ,R                    ,R                       ,R                          ,R                     ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 850,B,  4,H,CC,  21.00,     41.5600,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,                     ,F                    ,R                     ,                         ,                          ,                   ,                      ,                         ,                       ,-                     ,R                ,R                    ,-                       ,R                          ,R                     ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 850,B,  5,H, 4, 110.00,     46.6000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,                     ,F                    ,R                     ,                         ,                          ,                   ,                      ,                         ,R                      ,R                     ,R                ,R                    ,R                       ,R                          ,R                     ,                     ,                       ,                                   ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 850,B,  5,H, 6, 110.00,     49.6000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,                     ,F                    ,R                     ,                         ,                          ,                   ,                      ,                         ,R                      ,R                     ,R                ,R                    ,R                       ,R                          ,R                     ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 850,B,  5,H,CC,  23.00,     51.0600,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,-                    ,F                    ,R                     ,                         ,                          ,                   ,                      ,                         ,R                      ,R                     ,R                ,R                    ,R                       ,R                          ,-                     ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 850,B,  6,H, 2, 110.00,     53.1000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,R                    ,F                    ,R                     ,                         ,                          ,                   ,                      ,                         ,R                      ,R                     ,R                ,R                    ,R                       ,R                          ,-                     ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 850,B,  6,H, 6, 110.00,     59.1000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,F                    ,F                    ,R                     ,-                        ,                          ,                   ,                      ,-                        ,R                      ,R                     ,R                ,R                    ,R                       ,-                          ,                      ,                     ,                       ,                                   ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 850,B,  6,H,CC,  21.00,     60.5700,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,F                    ,R                    ,R                     ,-                        ,                          ,                   ,                      ,R                        ,R                      ,R                     ,R                ,-                    ,-                       ,-                          ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 850,B,  7,H, 4, 110.00,     65.6000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,F                    ,R                    ,R                     ,-                        ,                          ,                   ,                      ,R                        ,R                      ,R                     ,R                ,R                    ,-                       ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 850,B,  7,H,CC,  24.00,     70.0800,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,C                    ,R                    ,R                     ,R                        ,                          ,-                  ,                      ,R                        ,R                      ,R                     ,R                ,R                    ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 850,B,  8,H, 2, 110.00,     72.1000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,F                    ,F                    ,R                     ,-                        ,-                         ,R                  ,                      ,R                        ,R                      ,R                     ,R                ,R                    ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P doliolum(RN10M95,              ,138, 850,B,  8,H, 4, 110.00,     75.1000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,C                    ,R                    ,R                     ,R                        ,R                         ,R                  ,                      ,R                        ,R                      ,R                     ,R                ,-                    ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P doliolum(RN10M95,              ,138, 850,B,  8,H,CC,  22.00,     79.5800,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,C                    ,R                    ,R                     ,R                        ,R                         ,R                  ,-                     ,R                        ,R                      ,R                     ,R                ,-                    ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B,  9,H, 2, 110.00,     81.6000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,C                    ,F                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,R                     ,-                ,-                    ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B,  9,H, 4, 110.00,     84.6000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,C                    ,F                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,R                     ,-                ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B,  9,H,CC,  24.00,     89.0500,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,C                    ,F                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,R                     ,-                ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B, 10,H, 2, 110.00,     91.1000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,C                    ,R                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,R                     ,-                ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B, 10,H, 4, 110.00,     94.1000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,C                    ,R                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,R                     ,-                ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B, 10,H,CC,  16.00,     98.4800,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,                                 ,C                    ,R                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,R                     ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B, 11,X, 2, 110.00,    100.6000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,-                                ,C                    ,R                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,R                     ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B, 11,X, 4, 110.00,    103.6000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,-                                ,C                    ,R                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,-                     ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B, 11,X,CC,  22.00,    106.8800,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,-                                ,C                    ,R                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,R                     ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,Uncertain identity of P. prismatium; from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B, 12,X, 4, 110.00,    113.1000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,-                                ,C                    ,R                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,-                     ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B, 12,X,CC,  18.00,    116.9700,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,-                                ,C                    ,R                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,-                     ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B, 13,X, 2, 110.00,    119.7000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,-                                ,C                    ,R                    ,R                     ,R                        ,R                         ,R                  ,F                     ,R                        ,R                      ,                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B, 13,X, 4, 110.00,    122.7000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,-                                ,C                    ,-                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B, 13,X, 6, 112.00,    125.7200,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,-                                ,C                    ,R                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B, 13,X,CC,  22.00,    126.7100,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,R                                ,C                    ,R                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B, 14,X, 4, 110.00,    132.4000,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,R                                ,C                    ,-                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B, 14,X,CC,  17.00,    136.3500,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,R                                ,C                    ,-                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 850,B, 15,X, 4, 108.00,    141.9800,Moore    ,Radiolarians                                 ,A              ,G                 ,                   ,                        ,                      ,                    ,                   ,                      ,                      ,                  ,                           ,                    ,               ,R                                ,C                    ,-                    ,R                     ,R                        ,R                         ,R                  ,R                     ,R                        ,R                      ,                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
