Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Micula staurophora,Eiffellithus turriseiffelii,Ceratolithoides aculeus,Micula murus,Ceratolithoides kamptneri,Ericsonia robusta,Cruciplacolithus tenuis,Chiasmolithus danicus,Fasciculithus tympaniformis,Discoaster multiradiatus,Zygrhablithus bijugatus,Toweius gammation,Sphenolithus radians,Sphenolithus editus,Ericsonia subdisticha,Ericsonia formosa,Discoaster lodoensis,Campylosphaera dela,Discoaster tanii,Discoaster sublodoensis,Discoaster kuepperi,Discoaster barbadiensis,Chiasmolithus grandis,Chiasmolithus consuetus,Sphenolithus pseudoradians,Reticulofenestra dictyoda,Nannotetrina fulgens,Discoaster saipanensis,Sphenolithus predistentus,Reticulofenestra umbilica,Dictyococcites bisectus,Cyclicargolithus floridanus,Sphenolithus distentus,Discoaster deflandrei,Sphenolithus ciperoensis,Cyclicargolithus abisectus,Reticulofenestra pseudoumbilicus,Discoaster tamalis,Discoaster surculus,Amaurolithus spp.,Helicosphaera sellii,Discoaster pentaradiatus,Discoaster brouweri,Gephyrocapsa oceanica,Discoaster asymmetricus,Pseudoemiliania lacunosa,Gephyrocapsa parallela,Gephyrocapsa margerelii,Gephyrocapsa caribbeanica,Gephyrocapsa (small),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10a             ,CN10a         ,198,1211,B,  5,H,CC,  18.00,     44.4900,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,                           ,                       ,            ,                         ,                 ,                       ,                     ,                           ,                        ,                       ,                 ,                    ,                   ,                     ,                 ,                    ,                   ,                ,                       ,                   ,                       ,                     ,                       ,                          ,                         ,                    ,                      ,                         ,                         ,                       ,                           ,                      ,                     ,                        ,                          ,F                               ,C                 ,C                  ,F                ,                    ,                        ,                   ,                     ,                       ,                        ,                      ,                       ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP19              ,CP19          ,198,1211,B,  6,H,CC,  15.00,     53.8800,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,                           ,                       ,            ,                         ,                 ,                       ,                     ,                           ,                        ,                       ,                 ,                    ,                   ,                     ,                 ,                    ,                   ,                ,                       ,                   ,                       ,                     ,                       ,                          ,                         ,                    ,                      ,                         ,C                        ,                       ,C                          ,F                     ,C                    ,F                       ,F                         ,                                ,                  ,                   ,                 ,                    ,                        ,                   ,                     ,                       ,                        ,                      ,                       ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP19              ,CP19          ,198,1211,B,  7,H,CC,  11.00,     63.1700,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,                           ,                       ,            ,                         ,                 ,                       ,                     ,                           ,                        ,                       ,                 ,                    ,                   ,                     ,                 ,                    ,                   ,C               ,                       ,                   ,                       ,                     ,                       ,                          ,                         ,                    ,                      ,C                        ,                         ,                       ,A                          ,                      ,C                    ,C                       ,                          ,                                ,                  ,                   ,                 ,                    ,                        ,                   ,                     ,                       ,                        ,                      ,                       ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP18              ,CP18          ,198,1211,B,  8,H,CC,   8.00,     73.0300,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,                           ,                       ,            ,                         ,                 ,                       ,                     ,                           ,                        ,                       ,                 ,                    ,                   ,                     ,                 ,                    ,                   ,C               ,                       ,                   ,                       ,                     ,                       ,C                         ,                         ,                    ,                      ,C                        ,                         ,A                      ,A                          ,C                     ,C                    ,                        ,                          ,                                ,                  ,                   ,                 ,                    ,                        ,                   ,                     ,                       ,                        ,                      ,                       ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP15              ,CP15          ,198,1211,B,  9,H,CC,   6.00,     81.8700,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,                           ,                       ,            ,                         ,                 ,                       ,                     ,                           ,                        ,                       ,                 ,                    ,                   ,                     ,                 ,                    ,                   ,F               ,                       ,                   ,R                      ,                     ,                       ,F                         ,                         ,                    ,R                     ,F                        ,C                        ,A                      ,A                          ,                      ,                     ,                        ,                          ,                                ,                  ,                   ,                 ,                    ,                        ,                   ,                     ,                       ,                        ,                      ,                       ,                         ,                    ,I. recurvus common
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1211,B, 10,H,CC,  11.00,     91.8300,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,                           ,                       ,            ,                         ,                 ,                       ,                     ,                           ,                        ,R                      ,                 ,C                   ,                   ,                     ,                 ,                    ,F                  ,                ,                       ,                   ,F                      ,F                    ,                       ,R                         ,A                        ,F                   ,F                     ,                         ,                         ,                       ,                           ,                      ,                     ,                        ,                          ,                                ,                  ,                   ,                 ,                    ,                        ,                   ,                     ,                       ,                        ,                      ,                       ,                         ,                    ,CP13 is the age of this sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP12              ,CP12          ,198,1211,B, 11,H,CC,  10.00,    100.7800,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,                           ,                       ,            ,                         ,                 ,                       ,                     ,                           ,                        ,A                      ,F                ,C                   ,C                  ,R                    ,C                ,C                   ,C                  ,R               ,R                      ,C                  ,C                      ,R                    ,F                      ,                          ,                         ,                    ,                      ,                         ,                         ,                       ,                           ,                      ,                     ,                        ,                          ,                                ,                  ,                   ,                 ,                    ,                        ,                   ,                     ,                       ,                        ,                      ,                       ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP11              ,CP11          ,198,1211,B, 12,H,CC,  11.00,    110.7500,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,                           ,                       ,            ,                         ,                 ,                       ,                     ,                           ,                        ,A                      ,F                ,F                   ,C                  ,F                    ,F                ,R                   ,C                  ,                ,                       ,                   ,                       ,                     ,                       ,                          ,                         ,                    ,                      ,                         ,                         ,                       ,                           ,                      ,                     ,                        ,                          ,                                ,                  ,                   ,                 ,                    ,                        ,                   ,                     ,                       ,                        ,                      ,                       ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP8               ,CP8           ,198,1211,B, 13,H,CC,  11.00,    120.3900,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,                           ,                       ,            ,                         ,                 ,                       ,                     ,C                          ,C                       ,                       ,                 ,                    ,                   ,                     ,                 ,                    ,                   ,                ,                       ,                   ,                       ,                     ,                       ,                          ,                         ,                    ,                      ,                         ,                         ,                       ,                           ,                      ,                     ,                        ,                          ,                                ,                  ,                   ,                 ,                    ,                        ,                   ,                     ,                       ,                        ,                      ,                       ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP3               ,CP3           ,198,1211,B, 14,H,CC,  15.00,    129.6800,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,                           ,                       ,            ,                         ,F                ,F                      ,R                    ,                           ,                        ,                       ,                 ,                    ,                   ,                     ,                 ,                    ,                   ,                ,                       ,                   ,                       ,                     ,                       ,                          ,                         ,                    ,                      ,                         ,                         ,                       ,                           ,                      ,                     ,                        ,                          ,                                ,                  ,                   ,                 ,                    ,                        ,                   ,                     ,                       ,                        ,                      ,                       ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CC26              ,CC26          ,198,1211,B, 15,H,CC,  11.00,    139.3900,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,C                          ,                       ,C           ,F                        ,                 ,                       ,                     ,                           ,                        ,                       ,                 ,                    ,                   ,                     ,                 ,                    ,                   ,                ,                       ,                   ,                       ,                     ,                       ,                          ,                         ,                    ,                      ,                         ,                         ,                       ,                           ,                      ,                     ,                        ,                          ,                                ,                  ,                   ,                 ,                    ,                        ,                   ,                     ,                       ,                        ,                      ,                       ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CC25              ,CC25          ,198,1211,B, 16,H,CC,  12.00,    148.9500,nannos   ,Nannofossils                                 ,A              ,G                 ,                  ,C                          ,C                      ,R           ,                         ,                 ,                       ,                     ,                           ,                        ,                       ,                 ,                    ,                   ,                     ,                 ,                    ,                   ,                ,                       ,                   ,                       ,                     ,                       ,                          ,                         ,                    ,                      ,                         ,                         ,                       ,                           ,                      ,                     ,                        ,                          ,                                ,                  ,                   ,                 ,                    ,                        ,                   ,                     ,                       ,                        ,                      ,                       ,                         ,                    ,CC25c
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CC25              ,CC25          ,198,1211,B, 17,H,CC,  16.00,    158.3300,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,F                          ,F                      ,F           ,                         ,                 ,                       ,                     ,                           ,                        ,                       ,                 ,                    ,                   ,                     ,                 ,                    ,                   ,                ,                       ,                   ,                       ,                     ,                       ,                          ,                         ,                    ,                      ,                         ,                         ,                       ,                           ,                      ,                     ,                        ,                          ,                                ,                  ,                   ,                 ,                    ,                        ,                   ,                     ,                       ,                        ,                      ,                       ,                         ,                    ,CC25c
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CC25              ,CC25          ,198,1211,B, 18,H,CC,   7.00,    162.9700,nannos   ,Nannofossils                                 ,A              ,M                 ,                  ,F                          ,F                      ,            ,                         ,                 ,                       ,                     ,                           ,                        ,                       ,                 ,                    ,                   ,                     ,                 ,                    ,                   ,                ,                       ,                   ,                       ,                     ,                       ,                          ,                         ,                    ,                      ,                         ,                         ,                       ,                           ,                      ,                     ,                        ,                          ,                                ,                  ,                   ,                 ,                    ,                        ,                   ,                     ,                       ,                        ,                      ,                       ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CC25              ,CC24          ,198,1211,B, 19,H,CC,  12.00,    172.2100,nannos   ,Nannofossils                                 ,A              ,M                 ,C                 ,                           ,                       ,            ,                         ,                 ,                       ,                     ,                           ,                        ,                       ,                 ,                    ,                   ,                     ,                 ,                    ,                   ,                ,                       ,                   ,                       ,                     ,                       ,                          ,                         ,                    ,                      ,                         ,                         ,                       ,                           ,                      ,                     ,                        ,                          ,                                ,                  ,                   ,                 ,                    ,                        ,                   ,                     ,                       ,                        ,                      ,                       ,                         ,                    ,questionable R.levis and M. murus here
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
