Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina sp.,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina dutertrei,Globorotalia menardii,Globorotalia inflata,Globigerinoides sp.,Globigerinoides ruber,Globigerina spp.,Globigerina quinqueloba,Globigerina bulloides umbilicata,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  2,H, 1,  79.00,     10.0900,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,2                                      ,188                                  ,13                        ,0                    ,0                   ,1                  ,9                    ,0               ,0                      ,4                               ,84                   ,Other taxa = 0; Total count = 301; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  2,H, 2,  79.00,     11.5900,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,112                                    ,51                                   ,2                         ,0                    ,0                   ,0                  ,0                    ,1               ,15                     ,4                               ,94                   ,Other taxa = 5; Total count = 284; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  2,H, 3,  79.00,     13.0900,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,10                                     ,2                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,8                      ,0                               ,14                   ,Other taxa = 0; Total count = 34; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  2,H,CC,  21.00,     14.3100,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,124                                    ,65                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,2               ,5                      ,5                               ,99                   ,Other taxa = 0; Total count = 300; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  3,H, 1,  80.00,     19.1000,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,221                                    ,9                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,9                      ,0                               ,1                    ,Other taxa =1 ; Total count = 241; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  3,H, 2, 105.00,     20.8500,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,18                                     ,1                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,0                      ,0                               ,0                    ,Other taxa = 0; Total count = 19; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  3,H, 3,  80.00,     22.1000,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,316                                    ,1                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,4                      ,0                               ,0                    ,Other taxa = 0; Total count = 321; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  3,H, 4,  86.00,     23.6600,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,193                                    ,6                                    ,1                         ,0                    ,0                   ,0                  ,0                    ,1               ,42                     ,0                               ,4                    ,Other taxa = 3; Total count = 250; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  3,H, 5,  79.00,     25.0900,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,9                                      ,0                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,0                      ,0                               ,1                    ,Other taxa = 0; Total count = 10; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  3,H, 6,  83.00,     26.6300,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,308                                    ,12                                   ,1                         ,0                    ,0                   ,0                  ,0                    ,4               ,2                      ,0                               ,0                    ,Other taxa = 0; Total count = 327; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  3,H,CC,  21.00,     27.0800,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,201                                    ,39                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,23              ,26                     ,0                               ,5                    ,Other taxa = 0; Total count = 294; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  4,H, 1,  80.00,     28.1000,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,23                                     ,231                                  ,5                         ,0                    ,0                   ,0                  ,1                    ,0               ,13                     ,0                               ,10                   ,Other taxa = 0; Total count = 283; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  4,H, 2,  80.00,     29.6000,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,203                                    ,29                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,0                      ,0                               ,94                   ,Other taxa = 0; Total count = 326; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  4,H, 3,  84.00,     31.1400,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,128                                    ,20                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,8               ,32                     ,1                               ,107                  ,Other taxa = 6; Total count = 303; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  4,H, 4,  76.00,     32.5600,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,0                                      ,0                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,0                      ,0                               ,0                    ,Other taxa = 0; Total count = 0; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  4,H, 5,  80.00,     34.1000,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,44                                     ,141                                  ,6                         ,0                    ,0                   ,0                  ,2                    ,0               ,20                     ,1                               ,17                   ,Other taxa = 2; Total count = 233; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  4,H,CC,  21.00,     34.6500,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,83                                     ,149                                  ,0                         ,0                    ,0                   ,0                  ,0                    ,4               ,9                      ,1                               ,37                   ,Other taxa = 0; Total count = 292; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  5,H, 1,  78.00,     37.4800,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,58                                     ,31                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,7                      ,0                               ,166                  ,Other taxa = 0; Total count = 262; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  5,H, 2, 107.00,     39.2700,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,35                                     ,5                                    ,1                         ,0                    ,0                   ,1                  ,1                    ,10              ,18                     ,1                               ,162                  ,Other taxa = 0; Total count = 234; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  5,H, 3, 106.00,     40.7600,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,131                                    ,15                                   ,1                         ,0                    ,0                   ,0                  ,0                    ,1               ,47                     ,1                               ,130                  ,Other taxa =1 ; Total count = 327; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  5,H, 4, 108.00,     42.2800,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,158                                    ,16                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,5               ,24                     ,1                               ,112                  ,Other taxa = 4; Total count = 320; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  5,H, 5,  78.00,     43.4800,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,14                                     ,10                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,1               ,8                      ,0                               ,306                  ,Other taxa =1 ; Total count = 340; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  5,H, 6,  77.00,     44.9700,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,13                                     ,8                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,71              ,214                    ,0                               ,0                    ,Other taxa = 0; Total count = 306; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  5,H, 7,  77.00,     46.4700,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,35                                     ,21                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,52              ,88                     ,4                               ,97                   ,Other taxa = 0; Total count = 297; 346f rom ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  5,H,CC,  28.00,     46.9100,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,23                                     ,20                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,222             ,54                     ,4                               ,23                   ,Other taxa = 0; Total count = 346; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  6,H, 2,  98.00,     48.6800,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,180                                    ,15                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,0                      ,1                               ,124                  ,Other taxa = 0; Total count = 320; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  6,H, 3, 105.00,     50.2500,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,68                                     ,27                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,0                      ,0                               ,3                    ,Other taxa = 0; Total count = 98; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  6,H, 4,   9.00,     50.7900,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,60                                     ,165                                  ,3                         ,0                    ,0                   ,0                  ,0                    ,1               ,15                     ,0                               ,56                   ,Other taxa = 0; Total count = 300; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  6,H, 5,  10.00,     52.3000,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,78                                     ,4                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,0                      ,0                               ,6                    ,Other taxa = 0; Total count = 88; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  6,H,CC,  19.00,     56.0600,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,251                                    ,7                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,6                      ,3                               ,45                   ,Other taxa =1 ; Total count = 313; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  7,H, 1,  83.00,     56.5300,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,223                                    ,12                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,1               ,27                     ,1                               ,40                   ,Other taxa = 0; Total count = 304; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  7,H, 2,  41.00,     57.2500,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,154                                    ,56                                   ,0                         ,0                    ,0                   ,0                  ,3                    ,2               ,22                     ,3                               ,53                   ,Other taxa = 0; Total count = 293; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  7,H, 3,  66.00,     59.0000,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,5                                      ,0                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,1                      ,0                               ,0                    ,Other taxa = 0; Total count = 6; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  7,H, 4,  68.00,     60.5200,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,147                                    ,22                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,18                     ,4                               ,119                  ,Other taxa = 0; Total count = 310; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  7,H, 5,  43.00,     61.7700,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,223                                    ,32                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,4                      ,0                               ,22                   ,Other taxa = 0; Total count = 281; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  7,H, 6,  58.00,     63.4200,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,215                                    ,7                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,0                      ,0                               ,50                   ,Other taxa = 0; Total count = 272; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  7,H, 8,  65.00,     66.4900,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,188                                    ,32                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,4                      ,0                               ,83                   ,Other taxa = 0; Total count = 307; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  7,H,CC,  27.00,     67.0300,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,258                                    ,29                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,2                      ,0                               ,39                   ,Other taxa = 2; Total count = 330; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 2, 108.00,     66.6800,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,185                                    ,63                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,1               ,5                      ,0                               ,42                   ,Other taxa = 0; Total count = 296; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 3, 108.00,     68.1800,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,214                                    ,45                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,9               ,2                      ,0                               ,40                   ,Other taxa =1 ; Total count = 311; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 4,  45.00,     69.0500,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,157                                    ,66                                   ,2                         ,0                    ,0                   ,0                  ,0                    ,0               ,10                     ,5                               ,55                   ,Other taxa = 0; Total count = 295; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 5, 108.00,     71.1800,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,165                                    ,54                                   ,2                         ,0                    ,1                   ,0                  ,0                    ,2               ,23                     ,0                               ,52                   ,Other taxa = 3; Total count = 302; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 6, 108.00,     72.6800,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,211                                    ,67                                   ,3                         ,0                    ,0                   ,0                  ,2                    ,27              ,7                      ,0                               ,49                   ,Other taxa = 2; Total count = 368; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 7, 108.00,     74.1800,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,22                                     ,290                                  ,11                        ,0                    ,0                   ,0                  ,0                    ,0               ,1                      ,0                               ,25                   ,Other taxa = 0; Total count = 349; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H, 8,  69.00,     75.2900,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,26                                     ,197                                  ,2                         ,0                    ,0                   ,3                  ,11                   ,14              ,22                     ,0                               ,4                    ,Other taxa = 9; Total count = 288; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  8,H,CC,  32.00,     75.8400,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,234                                    ,15                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,3               ,12                     ,0                               ,41                   ,Other taxa = 0; Total count = 305; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 1,  80.00,     75.6000,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,65                                     ,20                                   ,0                         ,0                    ,0                   ,1                  ,0                    ,0               ,14                     ,46                              ,160                  ,Other taxa = 4; Total count = 310; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 2,  80.00,     77.0000,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,243                                    ,48                                   ,3                         ,0                    ,0                   ,0                  ,0                    ,0               ,38                     ,0                               ,6                    ,Other taxa = 13; Total count = 351; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 3,  80.00,     78.3600,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,176                                    ,90                                   ,0                         ,0                    ,0                   ,0                  ,1                    ,2               ,13                     ,4                               ,16                   ,Other taxa =1 ; Total count = 303; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 4,  79.00,     79.8500,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,197                                    ,42                                   ,3                         ,0                    ,0                   ,0                  ,0                    ,6               ,24                     ,3                               ,48                   ,Other taxa = 4; Total count = 327; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 5,  87.00,     81.4300,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,150                                    ,67                                   ,0                         ,1                    ,0                   ,0                  ,19                   ,16              ,43                     ,0                               ,31                   ,Other taxa = 0; Total count = 327;from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 6,  80.00,     82.8600,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,161                                    ,56                                   ,0                         ,0                    ,0                   ,0                  ,3                    ,9               ,29                     ,0                               ,73                   ,Other taxa = 9; Total count = 340;from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H, 7,  80.00,     84.2300,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,14                                     ,1                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,0                      ,0                               ,0                    ,Other taxa = 0; Total count = 15; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A,  9,H,CC,  35.00,     84.7200,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,14                                     ,0                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,0                      ,112                             ,185                  ,Other taxa = 3; Total count = 314; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 10,H, 1,  47.00,     84.8700,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,216                                    ,22                                   ,6                         ,4                    ,0                   ,0                  ,1                    ,25              ,15                     ,0                               ,20                   ,Other taxa = 4; Total count = 313; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 10,H, 2,  90.00,     85.9200,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,0                                      ,0                                    ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,0                      ,0                               ,0                    ,Other taxa = 0; Total count = 0; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,A, 10,H, 3,  90.00,     87.4200,Kheradyar,Planktonic Foraminifers                      ,               ,                  ,0               ,305                                    ,16                                   ,0                         ,0                    ,0                   ,0                  ,0                    ,0               ,0                      ,0                               ,1                    ,Other taxa = 0; Total count = 322; from ODP Legs 127&128 SR Chapter 27 Table 1 p 462-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
