Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Syracosphaera sp.,Sphenolithus abies,Scyphosphaera sp. (base),Scyphosphaera campanula,Scyphosphaera apsteinii,Scyphosphaera amphora,Reticulofenestra sp. (small),Reticulofenestra pseudoumbilicus,Lithostromation perdurum,Discolithina multipora,Discolithina callosa,Discoaster brouweri,Cyclococcolithus rotula,Cyclococcolithus macintyrei,Cyclococcolithus leptoporus,Coccosphaera (unspecified taxon),Coccolithus pelagicus,Scyphosphaera intermedia,Rhabdosphaera procera,Helicosphaera carteri,Discoaster variabilis,Discoaster hamatus,Braarudosphaera bigelowii,Coccolithus miopelagicus,Discoaster calcaris,Discoaster neohamatus,Gephyrocapsa sp.,Discoaster tamalis,Discoaster sp. cf. D. surculus,Helicosphaera sellii,Discoaster surculus,Syracosphaera pulchra,Gephyrocapsa oceanica,Gephyrocapsa aperta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,NN16              ,              ,112, 684,A,  4,H,CC,  33.00,     33.9900,Martini  ,Nannofossils                                 ,               ,P                 ,                 ,                  ,                        ,                       ,                       ,                     ,                            ,                                ,                        ,                      ,                    ,                   ,                       ,                           ,R                          ,                                ,R                    ,                        ,                     ,                     ,                     ,                  ,                         ,                        ,                   ,                     ,F               ,                  ,                              ,R                   ,R                  ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,NN16              ,              ,112, 684,A,  5,H, 4,  81.00,     39.1100,Martini  ,Nannofossils                                 ,               ,P                 ,                 ,                  ,                        ,                       ,                       ,                     ,                            ,                                ,                        ,                      ,                    ,                   ,                       ,                           ,F                          ,                                ,C                    ,                        ,                     ,R                    ,                     ,                  ,                         ,                        ,                   ,                     ,A               ,                  ,                              ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,NN16              ,              ,112, 684,A,  5,H,CC,  15.00,     43.3100,Martini  ,Nannofossils                                 ,               ,P                 ,                 ,                  ,                        ,                       ,                       ,                     ,                            ,                                ,                        ,                      ,                    ,R                  ,                       ,R                          ,R                          ,                                ,R                    ,                        ,                     ,R                    ,                     ,                  ,                         ,                        ,                   ,                     ,C               ,                  ,                              ,R                   ,R                  ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,NN16              ,              ,112, 684,A,  6,H, 3,  98.00,     47.2800,Martini  ,Nannofossils                                 ,               ,P                 ,                 ,                  ,                        ,                       ,                       ,                     ,                            ,                                ,                        ,                      ,                    ,F                  ,                       ,R                          ,F                          ,                                ,F                    ,                        ,                     ,R                    ,                     ,                  ,                         ,                        ,                   ,                     ,F               ,R                 ,                              ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,NN16              ,              ,112, 684,A,  6,H, 4,  75.00,     48.5500,Martini  ,Nannofossils                                 ,               ,P                 ,                 ,                  ,                        ,                       ,                       ,                     ,                            ,                                ,                        ,                      ,                    ,F                  ,                       ,                           ,R                          ,                                ,R                    ,                        ,                     ,                     ,                     ,                  ,                         ,                        ,                   ,                     ,F               ,R                 ,R                             ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,NN9               ,              ,112, 684,A,  7,H, 6,  80.00,     61.1000,Martini  ,Nannofossils                                 ,               ,P/M               ,                 ,R                 ,                        ,                       ,                       ,                     ,C                           ,A                               ,                        ,                      ,                    ,R                  ,                       ,                           ,                           ,R                               ,C                    ,                        ,                     ,                     ,F                    ,R                 ,                         ,                        ,R                  ,                     ,                ,                  ,                              ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,NN9               ,              ,112, 684,A,  8,H, 1,   9.00,     62.3900,Martini  ,Nannofossils                                 ,               ,P/M               ,                 ,R                 ,                        ,                       ,                       ,                     ,A                           ,C                               ,R                       ,                      ,R                   ,                   ,                       ,                           ,                           ,                                ,F                    ,                        ,                     ,                     ,R                    ,R                 ,                         ,                        ,                   ,                     ,                ,                  ,                              ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,NN9               ,              ,112, 684,A,  8,H, 2,  50.00,     64.3000,Martini  ,Nannofossils                                 ,               ,P/M               ,                 ,R                 ,R                       ,                       ,                       ,R                    ,A                           ,A                               ,R                       ,                      ,R                   ,R                  ,R                      ,R                          ,                           ,                                ,F                    ,                        ,                     ,                     ,F                    ,                  ,F                        ,R                       ,R                  ,                     ,                ,                  ,                              ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,NN9               ,              ,112, 684,A,  8,H, 3,  58.00,     65.8800,Martini  ,Nannofossils                                 ,               ,P/M               ,                 ,R                 ,                        ,R                      ,                       ,                     ,A                           ,C                               ,R                       ,                      ,                    ,R                  ,                       ,F                          ,                           ,R                               ,F                    ,                        ,                     ,R                    ,R                    ,                  ,F                        ,                        ,                   ,R                    ,                ,                  ,                              ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,NN9               ,              ,112, 684,A,  8,H, 4,  88.00,     67.6800,Martini  ,Nannofossils                                 ,               ,M                 ,                 ,R                 ,R                       ,R                      ,                       ,                     ,A                           ,A                               ,R                       ,                      ,F                   ,R                  ,                       ,R                          ,                           ,                                ,F                    ,                        ,                     ,R                    ,                     ,                  ,                         ,                        ,                   ,                     ,                ,                  ,                              ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,NN9               ,              ,112, 684,A,  8,H, 5,  66.00,     68.9600,Martini  ,Nannofossils                                 ,               ,P/M               ,                 ,R                 ,R                       ,                       ,                       ,                     ,C                           ,C                               ,                        ,R                     ,R                   ,                   ,R                      ,R                          ,R                          ,R                               ,F                    ,                        ,                     ,R                    ,R                    ,                  ,                         ,                        ,                   ,                     ,                ,                  ,                              ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,NN9               ,              ,112, 684,A,  8,H,CC,   5.00,     69.5300,Martini  ,Nannofossils                                 ,               ,P/M               ,                 ,F                 ,R                       ,                       ,                       ,                     ,A                           ,C                               ,R                       ,                      ,                    ,                   ,R                      ,R                          ,R                          ,R                               ,R                    ,                        ,                     ,R                    ,R                    ,                  ,                         ,                        ,                   ,                     ,                ,                  ,                              ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,NN9               ,              ,112, 684,A,  9,X, 1,  48.00,     70.0800,Martini  ,Nannofossils                                 ,               ,P/M               ,                 ,R                 ,                        ,                       ,                       ,                     ,A                           ,A                               ,R                       ,                      ,R                   ,R                  ,                       ,R                          ,R                          ,R                               ,F                    ,                        ,                     ,F                    ,                     ,R                 ,                         ,                        ,R                  ,R                    ,                ,                  ,                              ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,NN9               ,              ,112, 684,A,  9,X,CC,  17.00,     71.8100,Martini  ,Nannofossils                                 ,               ,P/M               ,                 ,R                 ,                        ,                       ,                       ,                     ,A                           ,A                               ,R                       ,                      ,                    ,R                  ,                       ,R                          ,R                          ,R                               ,R                    ,                        ,R                    ,R                    ,                     ,                  ,                         ,R                       ,                   ,                     ,                ,                  ,                              ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,NN9               ,              ,112, 684,A, 10,X,CC,  15.00,     79.2500,Martini  ,Nannofossils                                 ,               ,P/M               ,                 ,R                 ,R                       ,                       ,                       ,                     ,C                           ,A                               ,R                       ,                      ,                    ,R                  ,                       ,R                          ,R                          ,R                               ,R                    ,                        ,R                    ,F                    ,                     ,                  ,                         ,R                       ,R                  ,                     ,                ,                  ,                              ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,NN9               ,              ,112, 684,A, 11,X,CC,   0.00,     88.6000,Martini  ,Nannofossils                                 ,               ,P/M               ,                 ,R                 ,                        ,                       ,                       ,                     ,C                           ,A                               ,R                       ,C                     ,                    ,R                  ,                       ,R                          ,                           ,R                               ,F                    ,                        ,R                    ,F                    ,                     ,R                 ,                         ,R                       ,                   ,                     ,                ,                  ,                              ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,NN9               ,              ,112, 684,A, 12,X,CC,  15.00,     98.2500,Martini  ,Nannofossils                                 ,               ,P/M               ,                 ,R                 ,R                       ,                       ,R                      ,                     ,A                           ,A                               ,                        ,R                     ,R                   ,R                  ,                       ,R                          ,R                          ,F                               ,F                    ,                        ,                     ,F                    ,                     ,                  ,                         ,R                       ,                   ,                     ,                ,                  ,                              ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,NN9               ,              ,112, 684,A, 13,X,CC,  25.00,    107.8500,Martini  ,Nannofossils                                 ,               ,M                 ,R                ,R                 ,F                       ,R                      ,F                      ,                     ,C                           ,A                               ,R                       ,                      ,F                   ,R                  ,F                      ,R                          ,F                          ,F                               ,R                    ,R                       ,R                    ,R                    ,R                    ,R                 ,F                        ,                        ,                   ,                     ,                ,                  ,                              ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,NN9               ,              ,112, 684,A, 14,X,CC,  15.00,    117.2500,Martini  ,Nannofossils                                 ,               ,M                 ,R                ,R                 ,R                       ,R                      ,R                      ,R                    ,A                           ,A                               ,F                       ,C                     ,F                   ,R                  ,R                      ,R                          ,F                          ,F                               ,F                    ,                        ,                     ,                     ,                     ,                  ,                         ,                        ,                   ,                     ,                ,                  ,                              ,                    ,                   ,                     ,                     ,                   ,from ODP Leg 112 SR Chapter 14 Table 7 p 229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
