Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria sp.cf. V.depressa,Valvulineria sp.cf. V.compressa,Stilostomella sp.,Galliherina uvigerinaformis,Fursenkoina glabra,Buliminella subfusiformis,Bulimina sp.,Brizalina girardensis,Bolivinellina pacifica,Bolivina vaughani,Bolivina sp. cf. B. adventa,Takayanagia delicata,Pseudoparrella subperuviana,Cibicides sp.,Buliminella elegantissima,Robulus sp. cf. C. americana,Nonion obducum,Epistominella smithi,Brizalina imbricata,Buliminella elegantissima limbosa,Uvigerina peregrina dirupta,Uvigerina auberiana,Takayanagia asanoi,Suggrunda eckisi,Rutherfordoides cornuta,Pseudoparrella sandiegoensis,Proxifrons advena,Praeglobobulimina spinescens,Plectofrondicularia californica,Nonionoides basispinatus,Gyroidina rothwelli,Globobulimina ovula,Fursenkoina bramlettei,Eilohedra levicula,Cassidulina sp. cf. C. modeloensis,Cassidulina cushmani,Bulimina alazanensis,Brizalina spissa,Brizalina pseudobeyrichi,Brizalina interjuncta bicostata,Bolivinita minuta,Bolivina sinuata,Bolivina costata,Planulina limbata,Nonionella sp.,Nonion sp.,Hansenisca altiformis,Globocassidulina cf. lomitensis,Bulimina striata mexicana,Brizalina argentea,Angulogerina sp.,Valvulineria californica,Uvigerina sp.,Uvigerina asperula,Cassidelina nodosa,Uvigerina ? semitrigona,Uvigerina striata,Epistominella afueraensis,Cassidulina sp. aff. C. detierraensis,Cassidulina pulchella,Cassidulina detierraensis,Cancris inflatus,Brizalina interjuncta,Bolivinellina humilis,Bolivina plicata,Pullenia subcarinata,Planulina ornata,Hanzawaia nitidula,Gyroidina sp.,Globocassidulina quadrata,Globocassidulina californica,Cancris auricula,Angulogerina carinata bradyana,Nonionella miocenica stella,Globobulimina pacifica,Buliminella curta var. basispinata,Alexanderina viejoensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,112, 684,A,  4,H, 4,  58.00,     29.3800,Resig    ,Benthic Foraminifers                         ,               ,                  ,                              ,                               ,T                ,                           ,                  ,17                       ,            ,                     ,                      ,                 ,                           ,                    ,5                          ,             ,                         ,                            ,              ,2                   ,                   ,                                 ,25                         ,                   ,18                ,                ,T                      ,                            ,T                ,T                           ,T                              ,                        ,T                  ,                   ,                      ,                  ,                                  ,23                  ,                    ,1               ,                        ,                               ,1                ,T               ,2               ,                 ,1             ,1         ,                     ,                               ,                         ,                  ,2               ,                        ,             ,                  ,                  ,                       ,                 ,                         ,                                     ,                     ,                         ,                ,                     ,                     ,                ,                    ,                ,                  ,             ,                         ,                            ,                ,                              ,                           ,                      ,                                  ,                       ,count=264 from ODP Leg 112 SR Chapter 16 Table 4 p 272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,112, 684,A,  4,H,CC,  33.00,     33.9900,Resig    ,Benthic Foraminifers                         ,               ,                  ,                              ,                               ,                 ,                           ,                  ,6                        ,            ,                     ,8                     ,                 ,                           ,                    ,4                          ,             ,                         ,                            ,              ,6                   ,                   ,                                 ,20                         ,                   ,1                 ,                ,                       ,                            ,                 ,                            ,1                              ,                        ,                   ,                   ,T                     ,1                 ,                                  ,35                  ,                    ,3               ,                        ,                               ,4                ,2               ,2               ,                 ,2             ,          ,                     ,T                              ,1                        ,                  ,1               ,T                       ,1            ,1                 ,T                 ,                       ,                 ,                         ,                                     ,                     ,                         ,                ,                     ,                     ,                ,                    ,                ,                  ,             ,                         ,                            ,                ,                              ,                           ,                      ,                                  ,                       ,count=449 from ODP Leg 112 SR Chapter 16 Table 4 p 272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,112, 684,A,  5,H, 2,  58.00,     35.8800,Resig    ,Benthic Foraminifers                         ,               ,                  ,                              ,                               ,                 ,                           ,                  ,2                        ,            ,                     ,3                     ,                 ,                           ,                    ,T                          ,             ,                         ,                            ,              ,5                   ,                   ,                                 ,11                         ,                   ,                  ,                ,1                      ,                            ,1                ,T                           ,                               ,3                       ,                   ,                   ,                      ,4                 ,                                  ,44                  ,T                   ,2               ,T                       ,T                              ,17               ,                ,2               ,                 ,              ,          ,                     ,                               ,                         ,                  ,5               ,                        ,             ,                  ,                  ,                       ,                 ,                         ,                                     ,                     ,                         ,                ,                     ,                     ,                ,                    ,                ,                  ,             ,                         ,                            ,                ,                              ,                           ,                      ,                                  ,                       ,count=382 from ODP Leg 112 SR Chapter 16 Table 4 p 272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,112, 684,A,  5,H,CC,  15.00,     43.3100,Resig    ,Benthic Foraminifers                         ,               ,                  ,                              ,                               ,T                ,                           ,                  ,7                        ,            ,                     ,11                    ,                 ,                           ,                    ,8                          ,             ,T                        ,                            ,              ,12                  ,                   ,                                 ,20                         ,T                  ,1                 ,T               ,T                      ,2                           ,T                ,1                           ,1                              ,                        ,T                  ,T                  ,1                     ,3                 ,                                  ,15                  ,1                   ,3               ,T                       ,1                              ,2                ,T               ,9               ,T                ,1             ,T         ,T                    ,T                              ,T                        ,T                 ,                ,                        ,             ,                  ,                  ,                       ,                 ,                         ,                                     ,                     ,                         ,                ,                     ,                     ,                ,                    ,                ,                  ,             ,                         ,                            ,                ,                              ,                           ,                      ,                                  ,                       ,count=474 from ODP Leg 112 SR Chapter 16 Table 4 p 272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,112, 684,A,  6,H, 2,  98.00,     45.7800,Resig    ,Benthic Foraminifers                         ,               ,                  ,                              ,                               ,T                ,                           ,                  ,3                        ,            ,                     ,1                     ,                 ,                           ,                    ,1                          ,T            ,                         ,                            ,              ,11                  ,                   ,                                 ,39                         ,T                  ,T                 ,T               ,T                      ,2                           ,1                ,T                           ,T                              ,1                       ,T                  ,T                  ,T                     ,1                 ,T                                 ,27                  ,1                   ,1               ,2                       ,T                              ,2                ,T               ,5               ,                 ,              ,          ,                     ,                               ,                         ,                  ,                ,                        ,             ,                  ,                  ,                       ,                 ,                         ,                                     ,                     ,                         ,                ,                     ,                     ,                ,                    ,                ,                  ,             ,                         ,                            ,                ,                              ,                           ,                      ,                                  ,                       ,count=415 from ODP Leg 112 SR Chapter 16 Table 4 p 272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,112, 684,A,  8,H, 1,  65.00,     62.9500,Resig    ,Benthic Foraminifers                         ,               ,                  ,1                             ,1                              ,                 ,T                          ,                  ,86                       ,T           ,                     ,1                     ,5                ,2                          ,1                   ,T                          ,             ,                         ,T                           ,T             ,                    ,T                  ,1                                ,                           ,                   ,                  ,                ,                       ,                            ,                 ,                            ,                               ,                        ,                   ,                   ,                      ,                  ,                                  ,                    ,                    ,                ,                        ,                               ,                 ,                ,                ,                 ,              ,          ,                     ,                               ,                         ,                  ,                ,                        ,             ,                  ,                  ,                       ,                 ,                         ,                                     ,                     ,                         ,                ,                     ,                     ,                ,                    ,                ,                  ,             ,                         ,                            ,                ,                              ,                           ,                      ,                                  ,                       ,count=523 from ODP Leg 112 SR Chapter 16 Table 4 p 272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,112, 684,A,  8,H,CC,   5.00,     69.5300,Resig    ,Benthic Foraminifers                         ,               ,                  ,2                             ,2                              ,                 ,T                          ,                  ,77                       ,T           ,                     ,15                    ,3                ,T                          ,T                   ,T                          ,             ,T                        ,T                           ,T             ,T                   ,T                  ,                                 ,                           ,                   ,                  ,                ,                       ,                            ,                 ,                            ,                               ,                        ,                   ,                   ,                      ,                  ,                                  ,                    ,                    ,                ,                        ,                               ,                 ,                ,                ,                 ,              ,          ,                     ,                               ,                         ,                  ,                ,                        ,             ,                  ,                  ,                       ,                 ,                         ,                                     ,                     ,                         ,                ,                     ,                     ,                ,                    ,                ,                  ,             ,                         ,                            ,                ,                              ,                           ,                      ,                                  ,                       ,count=415 from ODP Leg 112 SR Chapter 16 Table 4 p 272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,112, 684,A,  9,X,CC,  17.00,     71.8100,Resig    ,Benthic Foraminifers                         ,               ,                  ,3                             ,16                             ,                 ,T                          ,T                 ,27                       ,1           ,                     ,32                    ,16               ,4                          ,                    ,                           ,             ,                         ,T                           ,T             ,                    ,                   ,                                 ,                           ,                   ,                  ,                ,                       ,                            ,                 ,                            ,                               ,                        ,                   ,                   ,                      ,                  ,                                  ,                    ,                    ,                ,                        ,                               ,                 ,                ,                ,                 ,              ,          ,                     ,                               ,                         ,                  ,                ,                        ,             ,                  ,                  ,                       ,                 ,                         ,                                     ,                     ,                         ,                ,                     ,                     ,                ,                    ,                ,                  ,             ,                         ,                            ,                ,                              ,                           ,                      ,                                  ,                       ,count=368 from ODP Leg 112 SR Chapter 16 Table 4 p 272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,112, 684,A, 10,X,CC,  15.00,     79.2500,Resig    ,Benthic Foraminifers                         ,               ,                  ,1                             ,5                              ,                 ,T                          ,1                 ,56                       ,T           ,                     ,9                     ,17               ,5                          ,5                   ,                           ,             ,                         ,T                           ,T             ,                    ,                   ,                                 ,                           ,                   ,                  ,                ,                       ,                            ,                 ,                            ,                               ,                        ,                   ,                   ,                      ,                  ,                                  ,                    ,                    ,                ,                        ,                               ,                 ,                ,                ,                 ,              ,          ,                     ,                               ,                         ,                  ,                ,                        ,             ,                  ,                  ,                       ,                 ,                         ,                                     ,                     ,                         ,                ,                     ,                     ,                ,                    ,                ,                  ,             ,                         ,                            ,                ,                              ,                           ,                      ,                                  ,                       ,count=265 from ODP Leg 112 SR Chapter 16 Table 4 p 272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,112, 684,A, 11,X,CC,   0.00,     88.6000,Resig    ,Benthic Foraminifers                         ,               ,                  ,4                             ,1                              ,                 ,T                          ,                  ,51                       ,1           ,                     ,7                     ,13               ,17                         ,1                   ,1                          ,1            ,1                        ,                            ,              ,                    ,                   ,                                 ,                           ,                   ,                  ,                ,                       ,                            ,                 ,                            ,                               ,                        ,                   ,                   ,                      ,                  ,                                  ,                    ,                    ,                ,                        ,                               ,                 ,                ,                ,                 ,              ,          ,                     ,                               ,                         ,                  ,                ,                        ,             ,                  ,                  ,                       ,                 ,                         ,                                     ,                     ,                         ,                ,                     ,                     ,                ,                    ,                ,                  ,             ,                         ,                            ,                ,                              ,                           ,                      ,                                  ,                       ,count=210 from ODP Leg 112 SR Chapter 16 Table 4 p 272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,112, 684,A, 13,X,CC,  25.00,    107.8500,Resig    ,Benthic Foraminifers                         ,               ,                  ,1                             ,1                              ,T                ,T                          ,1                 ,48                       ,4           ,T                    ,3                     ,32               ,9                          ,                    ,                           ,             ,                         ,                            ,              ,                    ,                   ,                                 ,                           ,                   ,                  ,                ,                       ,                            ,                 ,                            ,                               ,                        ,                   ,                   ,                      ,                  ,                                  ,                    ,                    ,                ,                        ,                               ,                 ,                ,                ,                 ,              ,          ,                     ,                               ,                         ,                  ,                ,                        ,             ,                  ,                  ,                       ,                 ,                         ,                                     ,                     ,                         ,                ,                     ,                     ,                ,                    ,                ,                  ,             ,                         ,                            ,                ,                              ,                           ,                      ,                                  ,                       ,count=256 from ODP Leg 112 SR Chapter 16 Table 4 p 272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
