Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera rotula,Umbilicosphaera jafari,Sphenolithus moriformis,Sphenolithus abies,Reticulofenestra pseudoumbilica(5-7microns),Reticulofenestra pseudoumbilica (>7microns),Reticulofenestra minuta,Reticulofenestra haqii,Discoaster surculus,Discoaster pansus,Discoaster challengeri,Discoaster berggrenii,Discoaster bellus,Coccolithus pelagicus,Calcidiscus leptoporus,Helicosphaera carteri,Discoaster variabilis,Discoaster quinqueramus,Discoaster exilis,Discoaster bergenii,Sphenolithus spp.,Discoaster spp.,Helicosphaera orientalis,Calcidiscus tropicus,Helicosphaera stalis,Reticulofenestra (pseudobar),Minylitha convallis,Florisphaera profunda,Discoaster pentaradiatus,Discoaster brouweri,Discoaster loeblichii,Triquetrorhabdulus rugosus,Amaurolithus spp.,Amaurolithus primus,Sphenolithus grandis,Coccolithus pelagicus (with bar),Amaurolithus amplificus,Pontosphaera multipora,Helicosphaera intermedia,Amaurolithus tricorniculatus,Calcidiscus macintyrei,Syracosphaera spp.,Pseudoemiliania ovata,Gephyrocapsa spp. (small),Amaurolithus delicatus,Helicosphaera sellii,Discoaster altus,Reticulofenestra minutula,Pontosphaera discopora,Triquetrorhabdulus rioi,Pontosphaera japonica,Scapholithus fossilis,Braarudosphaera bigelowii,Discoaster asymmetricus,Discoaster kugleri,Ceratolithus cristatus,Scyphosphaera spp.,Rhabdosphaera clavigera,Umbilicosphaera hulburtiana,Discoaster triradiatus,Ceratolithus cristatus var. telesmus,Umbilicosphaera sibogae var. sibogae,Umbilicosphaera sibogae var. foliosa,Gephyrocapsa muellerae,Helicosphaera carteri var. walichii,Discoaster tamalis,Pseudoemiliania lacunosa,Cyclolithus annulus,Syracosphaera pulchra,Gephyrocapsa spp. (large),Umbellosphaera tenuis,Umbellosphaera irregularis,Rhabdosphaera clavigera var. stylifera,Neosphaera coccolithomorpha,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A,  5,H,CC,  21.00,     41.4600,Boeckel  ,Nannofossils                                 ,C              ,G                 ,F                     ,                      ,                       ,                  ,                                           ,                                           ,C                      ,                      ,                   ,                 ,                      ,                     ,                 ,                     ,C                     ,R                    ,                     ,                       ,                 ,                   ,                 ,               ,                        ,                    ,                    ,                            ,                   ,A                    ,C                       ,R                  ,                     ,                          ,                 ,                   ,                    ,R                               ,                       ,                      ,                        ,                            ,R                     ,                  ,F                    ,A                        ,                      ,R                   ,R               ,F                        ,R                     ,                       ,R                    ,                     ,                         ,R                      ,                  ,                      ,                  ,C                      ,F                          ,                      ,                                    ,                                    ,                                    ,A                     ,                                   ,                  ,F                       ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A,  6,H, 7,  68.00,     50.5800,Boeckel  ,Nannofossils                                 ,C              ,G                 ,R                     ,                      ,                       ,                  ,                                           ,                                           ,                       ,                      ,                   ,                 ,                      ,                     ,                 ,R                    ,C                     ,                     ,                     ,                       ,                 ,                   ,C                ,               ,                        ,                    ,                    ,C                           ,                   ,A                    ,C                       ,                   ,                     ,                          ,                 ,                   ,                    ,                                ,                       ,F                     ,                        ,                            ,C                     ,F                 ,C                    ,A                        ,                      ,R                   ,                ,C                        ,                      ,                       ,F                    ,F                    ,                         ,                       ,                  ,F                     ,                  ,                       ,                           ,                      ,                                    ,                                    ,                                    ,A                     ,                                   ,                  ,                        ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A,  7,H,CC,  28.00,     57.5200,Boeckel  ,Nannofossils                                 ,C              ,G                 ,C                     ,                      ,                       ,                  ,                                           ,C                                          ,                       ,                      ,                   ,                 ,                      ,                     ,                 ,                     ,C                     ,                     ,R                    ,                       ,                 ,                   ,                 ,               ,                        ,                    ,                    ,                            ,                   ,A                    ,C                       ,F                  ,                     ,                          ,                 ,                   ,                    ,                                ,                       ,                      ,F                       ,                            ,F                     ,                  ,C                    ,D                        ,                      ,                    ,                ,                         ,                      ,                       ,                     ,                     ,                         ,F                      ,                  ,R                     ,                  ,R                      ,                           ,                      ,                                    ,C                                   ,                                    ,A                     ,                                   ,                  ,F                       ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A,  8,H,CC,   0.00,     65.5900,Boeckel  ,Nannofossils                                 ,C              ,G                 ,R                     ,                      ,                       ,                  ,                                           ,F                                          ,F                      ,                      ,R                  ,                 ,                      ,                     ,                 ,                     ,C                     ,                     ,R                    ,                       ,                 ,                   ,C                ,               ,                        ,                    ,                    ,                            ,                   ,A                    ,R                       ,R                  ,                     ,                          ,                 ,                   ,                    ,R                               ,                       ,                      ,                        ,                            ,R                     ,                  ,                     ,D                        ,                      ,                    ,                ,                         ,                      ,                       ,                     ,                     ,R                        ,                       ,                  ,R                     ,                  ,                       ,                           ,                      ,                                    ,                                    ,                                    ,A                     ,                                   ,                  ,                        ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A,  9,X,CC,  36.00,     75.1600,Boeckel  ,Nannofossils                                 ,C              ,G                 ,C                     ,                      ,                       ,                  ,F                                          ,R                                          ,                       ,                      ,                   ,                 ,                      ,                     ,                 ,                     ,R                     ,                     ,R                    ,                       ,                 ,                   ,C                ,               ,                        ,                    ,                    ,                            ,                   ,A                    ,F                       ,C                  ,                     ,                          ,                 ,                   ,                    ,R                               ,                       ,                      ,                        ,                            ,R                     ,                  ,A                    ,A                        ,                      ,                    ,                ,                         ,                      ,                       ,R                    ,                     ,                         ,R                      ,                  ,R                     ,                  ,                       ,                           ,                      ,                                    ,                                    ,                                    ,A                     ,R                                  ,                  ,C                       ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A, 11,X,CC,  35.00,     94.3900,Boeckel  ,Nannofossils                                 ,F              ,M                 ,C                     ,                      ,                       ,                  ,F                                          ,C                                          ,C                      ,C                     ,                   ,                 ,                      ,                     ,                 ,                     ,F                     ,                     ,R                    ,                       ,                 ,                   ,C                ,F              ,                        ,                    ,                    ,                            ,                   ,A                    ,F                       ,R                  ,                     ,                          ,                 ,                   ,                    ,                                ,                       ,                      ,                        ,                            ,R                     ,R                 ,C                    ,A                        ,                      ,                    ,                ,                         ,                      ,                       ,                     ,                     ,                         ,R                      ,                  ,R                     ,                  ,                       ,                           ,                      ,                                    ,                                    ,                                    ,A                     ,                                   ,                  ,C                       ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A, 12,X,CC,  22.00,    103.3300,Boeckel  ,Nannofossils                                 ,               ,G                 ,                      ,                      ,                       ,                  ,                                           ,                                           ,                       ,                      ,R                  ,                 ,                      ,                     ,                 ,                     ,C                     ,                     ,R                    ,F                      ,                 ,                   ,R                ,               ,                        ,                    ,                    ,                            ,                   ,A                    ,R                       ,F                  ,                     ,                          ,                 ,                   ,                    ,                                ,                       ,                      ,                        ,                            ,R                     ,                  ,C                    ,A                        ,                      ,                    ,                ,                         ,                      ,                       ,R                    ,                     ,                         ,                       ,                  ,                      ,                  ,                       ,                           ,                      ,                                    ,                                    ,                                    ,C                     ,                                   ,                  ,C                       ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A, 13,X,CC,  40.00,    113.4000,Boeckel  ,Nannofossils                                 ,C              ,G                 ,C                     ,                      ,                       ,R                 ,                                           ,R                                          ,                       ,F                     ,R                  ,                 ,                      ,                     ,                 ,F                    ,F                     ,F                    ,R                    ,R                      ,                 ,                   ,                 ,               ,                        ,F                   ,                    ,                            ,                   ,A                    ,F                       ,F                  ,                     ,                          ,                 ,                   ,                    ,C                               ,                       ,F                     ,                        ,                            ,F                     ,                  ,C                    ,A                        ,                      ,R                   ,F               ,                         ,                      ,                       ,                     ,                     ,F                        ,R                      ,                  ,                      ,                  ,                       ,                           ,                      ,                                    ,                                    ,                                    ,A                     ,F                                  ,R                 ,                        ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A, 14,X, 4,  75.00,    118.8500,Boeckel  ,Nannofossils                                 ,C              ,P                 ,                      ,                      ,                       ,C                 ,C                                          ,                                           ,A                      ,A                     ,F                  ,                 ,                      ,                     ,                 ,F                    ,C                     ,F                    ,                     ,                       ,                 ,                   ,                 ,               ,                        ,F                   ,                    ,                            ,                   ,A                    ,C                       ,F                  ,                     ,                          ,                 ,                   ,                    ,                                ,                       ,                      ,                        ,                            ,C                     ,                  ,                     ,A                        ,C                     ,                    ,                ,                         ,                      ,                       ,                     ,                     ,                         ,F                      ,                  ,                      ,                  ,                       ,                           ,                      ,                                    ,                                    ,                                    ,                      ,F                                  ,                  ,                        ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A, 14,X,CC,  42.00,    123.5700,Boeckel  ,Nannofossils                                 ,F              ,P                 ,                      ,                      ,                       ,                  ,C                                          ,C                                          ,A                      ,A                     ,F                  ,                 ,                      ,                     ,                 ,                     ,C                     ,C                    ,F                    ,                       ,                 ,                   ,                 ,C              ,                        ,C                   ,                    ,                            ,                   ,A                    ,C                       ,F                  ,                     ,                          ,F                ,                   ,                    ,                                ,                       ,                      ,                        ,                            ,C                     ,                  ,C                    ,                         ,                      ,                    ,                ,                         ,                      ,                       ,                     ,                     ,                         ,                       ,                  ,F                     ,                  ,                       ,                           ,                      ,                                    ,                                    ,                                    ,                      ,                                   ,                  ,                        ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A, 15,X,CC,  15.00,    132.7900,Boeckel  ,Nannofossils                                 ,C              ,M                 ,F                     ,                      ,                       ,                  ,F                                          ,C                                          ,A                      ,                      ,                   ,                 ,                      ,                     ,                 ,                     ,C                     ,F                    ,                     ,                       ,                 ,                   ,C                ,               ,                        ,                    ,                    ,                            ,                   ,A                    ,                        ,                   ,                     ,                          ,                 ,                   ,                    ,                                ,                       ,                      ,                        ,                            ,F                     ,C                 ,C                    ,C                        ,                      ,                    ,                ,C                        ,                      ,                       ,                     ,                     ,                         ,                       ,                  ,                      ,                  ,F                      ,                           ,                      ,                                    ,C                                   ,R                                   ,R                     ,                                   ,                  ,                        ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A, 16,X,CC,  37.00,    142.1500,Boeckel  ,Nannofossils                                 ,C              ,G                 ,                      ,                      ,                       ,                  ,                                           ,C                                          ,A                      ,C                     ,F                  ,                 ,                      ,                     ,                 ,                     ,C                     ,                     ,F                    ,                       ,                 ,                   ,C                ,               ,                        ,C                   ,                    ,                            ,                   ,                     ,F                       ,                   ,                     ,                          ,                 ,                   ,                    ,                                ,                       ,                      ,                        ,                            ,C                     ,                  ,C                    ,A                        ,                      ,                    ,                ,A                        ,                      ,                       ,                     ,                     ,                         ,F                      ,                  ,C                     ,                  ,                       ,                           ,                      ,                                    ,                                    ,                                    ,                      ,                                   ,                  ,                        ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A, 17,X, 3,  75.00,    145.9500,Boeckel  ,Nannofossils                                 ,C              ,P                 ,                      ,                      ,                       ,                  ,C                                          ,F                                          ,D                      ,A                     ,C                  ,F                ,                      ,                     ,                 ,                     ,                      ,                     ,                     ,                       ,                 ,                   ,                 ,               ,                        ,                    ,                    ,                            ,                   ,A                    ,C                       ,F                  ,                     ,                          ,                 ,                   ,                    ,                                ,                       ,                      ,                        ,F                           ,                      ,                  ,                     ,                         ,                      ,                    ,                ,                         ,                      ,                       ,                     ,                     ,                         ,                       ,                  ,C                     ,                  ,                       ,                           ,                      ,                                    ,                                    ,                                    ,                      ,                                   ,                  ,                        ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A, 17,X,CC,  16.00,    150.7100,Boeckel  ,Nannofossils                                 ,C              ,P                 ,                      ,                      ,                       ,                  ,                                           ,C                                          ,A                      ,C                     ,F                  ,                 ,                      ,                     ,                 ,                     ,F                     ,                     ,                     ,                       ,                 ,                   ,C                ,               ,                        ,                    ,                    ,                            ,                   ,A                    ,C                       ,R                  ,                     ,                          ,                 ,                   ,                    ,                                ,                       ,                      ,                        ,                            ,                      ,                  ,                     ,C                        ,                      ,                    ,                ,C                        ,                      ,                       ,F                    ,                     ,                         ,                       ,                  ,F                     ,                  ,                       ,                           ,                      ,                                    ,C                                   ,                                    ,                      ,                                   ,                  ,                        ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A, 18,X, 3,  75.00,    154.4100,Boeckel  ,Nannofossils                                 ,C              ,M                 ,C                     ,C                     ,                       ,C                 ,F                                          ,                                           ,A                      ,A                     ,F                  ,                 ,                      ,                     ,                 ,                     ,                      ,C                    ,F                    ,                       ,                 ,                   ,                 ,               ,                        ,                    ,                    ,                            ,                   ,A                    ,C                       ,F                  ,                     ,                          ,                 ,                   ,                    ,C                               ,                       ,                      ,                        ,                            ,                      ,                  ,                     ,C                        ,F                     ,                    ,                ,                         ,                      ,                       ,C                    ,                     ,                         ,                       ,                  ,                      ,                  ,                       ,                           ,                      ,                                    ,                                    ,                                    ,                      ,                                   ,                  ,                        ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A, 18,X,CC,  38.00,    158.5400,Boeckel  ,Nannofossils                                 ,C              ,M                 ,R                     ,                      ,                       ,                  ,C                                          ,C                                          ,A                      ,A                     ,R                  ,                 ,                      ,                     ,                 ,R                    ,C                     ,R                    ,F                    ,R                      ,                 ,                   ,C                ,F              ,                        ,                    ,                    ,                            ,                   ,A                    ,                        ,                   ,                     ,                          ,                 ,                   ,                    ,                                ,                       ,                      ,                        ,                            ,                      ,                  ,                     ,A                        ,                      ,                    ,                ,                         ,                      ,                       ,                     ,                     ,                         ,                       ,                  ,                      ,                  ,                       ,                           ,                      ,                                    ,F                                   ,                                    ,                      ,                                   ,                  ,                        ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A, 19,X,CC,  20.00,    168.4900,Boeckel  ,Nannofossils                                 ,C              ,M                 ,                      ,                      ,                       ,                  ,F                                          ,C                                          ,A                      ,C                     ,R                  ,                 ,                      ,                     ,                 ,                     ,C                     ,                     ,R                    ,                       ,                 ,                   ,R                ,               ,                        ,                    ,                    ,                            ,                   ,A                    ,R                       ,R                  ,                     ,                          ,R                ,                   ,                    ,R                               ,                       ,R                     ,                        ,                            ,R                     ,                  ,                     ,A                        ,                      ,                    ,                ,C                        ,                      ,                       ,R                    ,                     ,                         ,                       ,                  ,                      ,                  ,                       ,                           ,                      ,                                    ,R                                   ,                                    ,                      ,                                   ,                  ,                        ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A, 20,X,CC,  27.00,    176.6500,Boeckel  ,Nannofossils                                 ,C              ,M                 ,R                     ,                      ,                       ,                  ,                                           ,F                                          ,A                      ,A                     ,R                  ,                 ,                      ,                     ,                 ,                     ,F                     ,                     ,R                    ,                       ,                 ,                   ,F                ,               ,                        ,                    ,                    ,                            ,                   ,A                    ,F                       ,R                  ,                     ,                          ,                 ,                   ,                    ,                                ,                       ,F                     ,                        ,                            ,R                     ,                  ,                     ,A                        ,R                     ,                    ,                ,                         ,                      ,                       ,                     ,                     ,                         ,R                      ,                  ,                      ,                  ,                       ,R                          ,R                     ,R                                   ,                                    ,                                    ,                      ,                                   ,                  ,                        ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,A, 21,X,CC,  19.00,    188.7300,Boeckel  ,Nannofossils                                 ,C              ,G                 ,F                     ,                      ,                       ,F                 ,                                           ,F                                          ,D                      ,A                     ,C                  ,                 ,                      ,                     ,                 ,                     ,C                     ,C                    ,F                    ,                       ,                 ,                   ,                 ,               ,                        ,                    ,                    ,                            ,                   ,                     ,C                       ,                   ,                     ,                          ,                 ,                   ,                    ,C                               ,                       ,F                     ,                        ,                            ,F                     ,                  ,                     ,                         ,C                     ,                    ,                ,                         ,                      ,                       ,                     ,                     ,                         ,                       ,                  ,F                     ,F                 ,F                      ,                           ,                      ,                                    ,                                    ,                                    ,                      ,                                   ,                  ,                        ,                   ,                     ,                         ,                     ,                          ,                                      ,                           ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
