Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotaloides suteri	Globorotalia opima nana	Globorotalia mayeri/siakensis	Globoquadrina venezuelana	Globoquadrina sellii	Globoquadrina praedehiscens	Catapsydrax dissimilis	Sphaeroidinellopsis seminulina	Globoturborotalita nepenthes	Globorotalia tumida tumida	Sphaeroidinella dehiscens	Globorotalia limbata	Pulleniatina obliquiloculata	Globorotalia crassaformis	Neogloboquadrina humerosa	Neogloboquadrina dutertrei	Globorotalia tosaensis	Orbulina universa	Globorotalia scitula	Globoquadrina conglomerata	Globigerinoides quadrilobatus s.l.	Globigerinoides conglobatus	Globigerinella siphonifera	Globigerinoides ruber s.l.	Globorotalia truncatulinoides	Comment
  SR	Pliocene         	                 	N18               	N21           	115	 711	A	  1	H	 5	 105.00	      7.0500	Vincent  	Planktonic Foraminifers                      	               	VP                	                      	                       	                             	                         	                    	                           	                      	                              	                            	+?                        	+?                       	+?                  	+?                          	+?                       	+?                       	+?                        	                      	                 	                    	                          	                                  	                           	                          	                          	                             	benthic foraminifers few. radiolarians abundant. sponge spicules abundant. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 9. page 816.

  SR	Pliocene         	                 	N18               	N21           	115	 711	A	  1	H	CC	   0.00	      8.0300	Vincent  	Planktonic Foraminifers                      	               	VP                	                      	                       	                             	                         	                    	                           	                      	                              	                            	+                         	                         	+                   	+                           	+                        	+                        	+?                        	+?                    	                 	                    	                          	                                  	                           	                          	                          	                             	benthic foraminifers common. radiolarians common. sponge spicules few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 9. page 816.

  SR	Pliocene         	                 	N18               	N21           	115	 711	A	  2	H	 1	 105.00	      9.1500	Vincent  	Planktonic Foraminifers                      	               	VP                	                      	                       	                             	                         	                    	                           	                      	                              	                            	+                         	+?                       	+                   	+?                          	+                        	                         	                          	                      	                 	                    	                          	                                  	                           	                          	                          	                             	benthic foraminifers few. sponge spicules few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 9. page 816.

  SR	Pliocene         	                 	N18               	N21           	115	 711	A	  2	H	 2	 105.00	     10.6500	Vincent  	Planktonic Foraminifers                      	               	VP                	                      	                       	                             	                         	                    	                           	                      	                              	                            	+                         	+                        	                    	                            	                         	                         	                          	                      	                 	                    	                          	                                  	                           	                          	                          	                             	benthic foraminifers few. radiolarians few. sponge spicules few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 9. page 816.

  SR	Pliocene         	                 	N18               	N21           	115	 711	A	  2	H	 3	 105.00	     12.1500	Vincent  	Planktonic Foraminifers                      	               	VP                	                      	                       	                             	                         	                    	                           	                      	                              	                            	+                         	+                        	+                   	                            	                         	                         	                          	                      	                 	                    	                          	                                  	                           	                          	                          	                             	benthic foraminifers common. sponge spicules common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 9. page 816.

  SR	Pliocene         	                 	N18               	N21           	115	 711	A	  2	H	CC	   0.00	     13.0300	Vincent  	Planktonic Foraminifers                      	               	VP                	                      	                       	                             	                         	                    	                           	                      	                              	                            	+                         	                         	                    	                            	                         	                         	                          	                      	                 	                    	                          	                                  	                           	                          	                          	                             	benthic foraminifers common. radiolarians abundant. sponge spicules abundant. fish remains common. foraminifers embedded few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 9. page 816.

  SR	Late Miocene     	Pliocene         	N15               	N17           	115	 711	A	  4	H	CC	  17.00	     37.1100	Vincent  	Planktonic Foraminifers                      	               	VP                	                      	                       	                             	                         	                    	                           	                      	+?                            	+                           	                          	                         	                    	                            	                         	                         	                          	                      	                 	                    	                          	                                  	                           	                          	                          	                             	benthic foraminifers common. sponge spicules few. fish remains few. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 9. page 816.

  SR	Oligocene        	Early Miocene    	                  	              	115	 711	A	  8	H	 2	  60.00	     68.1000	Vincent  	Planktonic Foraminifers                      	               	VP                	+                     	                       	                             	                         	                    	                           	+                     	                              	                            	                          	                         	                    	                            	                         	                         	                          	                      	                 	                    	                          	                                  	                           	                          	                          	                             	pre N6 zone assignment. benthic foraminifers common. fish remains abundant. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 9. page 816.

  SR	Oligocene        	Early Miocene    	                  	              	115	 711	A	  8	H	CC	  25.00	     69.8300	Vincent  	Planktonic Foraminifers                      	               	VP                	+                     	                       	                             	                         	                    	                           	+                     	                              	                            	                          	                         	                    	                            	                         	                         	                          	                      	                 	                    	                          	                                  	                           	                          	                          	                             	pre N6 zone assignment. benthic foraminifers common. ostracodes rare. fish remains common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 9. page 816.

  SR	Oligocene        	Early Miocene    	                  	              	115	 711	A	  9	H	CC	  14.00	     85.0900	Vincent  	Planktonic Foraminifers                      	               	VP                	+                     	                       	                             	                         	                    	                           	+                     	                              	                            	                          	                         	                    	                            	                         	                         	                          	                      	                 	                    	                          	                                  	                           	                          	                          	                             	pre N6 zone assignment. benthic foraminifers abundant. radiolarians abundant. sponge spicules abundant. fish remains common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 9. page 816.

  SR	Oligocene        	Early Miocene    	                  	              	115	 711	A	 10	H	 3	 105.00	     89.2500	Vincent  	Planktonic Foraminifers                      	               	VP                	+                     	                       	                             	                         	                    	                           	+                     	                              	                            	                          	                         	                    	                            	                         	                         	                          	                      	                 	                    	                          	                                  	                           	                          	                          	                             	pre N6 zone assignment. benthic foraminifers common. radiolarians abundant. sponge spicules abundant. fish remains few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 9. page 816.

  SR	Oligocene        	Early Miocene    	                  	              	115	 711	A	 10	H	CC	  20.00	     95.0100	Vincent  	Planktonic Foraminifers                      	               	                  	+?                    	                       	                             	                         	                    	                           	                      	                              	                            	                          	                         	                    	                            	                         	                         	                          	                      	                 	                    	                          	                                  	                           	                          	                          	                             	pre N6 zone assignment. radiolarians abundant. sponge spicules abundant. from 115 SR. Chapter 45. Table 9. page 816.

  SR	Oligocene        	Early Miocene    	                  	              	115	 711	A	 11	H	 3	 105.00	     98.8500	Vincent  	Planktonic Foraminifers                      	               	VP                	+                     	+                      	+?                           	+                        	+                   	+                          	+                     	                              	                            	                          	                         	                    	                            	                         	                         	                          	                      	                 	                    	                          	                                  	                           	                          	                          	                             	pre N6 zone assignment. benthic foraminifers common. radiolarians common. sponge spicules abundant. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 9. page 816.

