Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Bolboforma indistincta,Bolboforma sp. B,Bolboforma lamari,Bolboforma sp. cf. B. geomaris,Bolboforma praespinosa,Bolboforma eocena,Bolboforma geomari,Comment
  SR,Late Eocene      ,                 ,B. eocena         ,              ,114, 702,B,  5,X, 4,   5.00,     39.3500,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,R               ,F                ,                              ,                      ,F                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,B. eocena         ,              ,114, 702,B,  5,X, 5,   5.00,     40.8500,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,R               ,                 ,                              ,                      ,F                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,B. eocena         ,              ,114, 702,B,  5,X, 6,   5.00,     42.3500,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,                ,                 ,                              ,                      ,A                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,B. eocena         ,              ,114, 702,B,  6,X, 1,  25.00,     44.5500,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,                ,R                ,R                             ,                      ,A                ,R                 ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,B. eocena         ,              ,114, 702,B,  6,X, 2,  25.00,     46.0500,Spiegler ,Bolboforms                                   ,               ,                  ,C                     ,R               ,                 ,R                             ,                      ,A                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,B. eocena         ,              ,114, 702,B,  7,X, 1, 130.00,     55.1000,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,R               ,                 ,R                             ,                      ,C                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. eocena         ,              ,114, 702,B,  7,X, 2,  40.00,     55.7000,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,                ,                 ,                              ,                      ,C                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. eocena         ,              ,114, 702,B,  8,X, 1,  60.00,     63.9000,Spiegler ,Bolboforms                                   ,               ,                  ,F                     ,                ,                 ,                              ,                      ,F                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. eocena         ,              ,114, 702,B,  8,X, 2,  60.00,     65.4000,Spiegler ,Bolboforms                                   ,               ,                  ,F                     ,                ,                 ,                              ,                      ,F                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. eocena         ,              ,114, 702,B,  8,X, 3,  60.00,     66.9000,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,                ,                 ,                              ,                      ,R                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. eocena         ,              ,114, 702,B,  8,X, 4,  60.00,     68.4000,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,                ,                 ,                              ,                      ,F                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. eocena         ,              ,114, 702,B,  8,X, 5,  60.00,     69.9000,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,R               ,                 ,R                             ,                      ,A                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. eocena         ,              ,114, 702,B,  8,X, 6,  60.00,     71.4000,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,                ,                 ,                              ,                      ,A                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. eocena         ,              ,114, 702,B,  9,X, 1,  70.00,     73.5000,Spiegler ,Bolboforms                                   ,               ,                  ,F                     ,                ,                 ,R                             ,                      ,R                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. eocena         ,              ,114, 702,B,  9,X, 2,  70.00,     75.0000,Spiegler ,Bolboforms                                   ,               ,                  ,                      ,                ,R                ,                              ,                      ,R                ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. indistincta    ,              ,114, 702,B,  9,X, 3,  70.00,     76.5000,Spiegler ,Bolboforms                                   ,               ,                  ,C                     ,R               ,                 ,                              ,                      ,                 ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. indistincta    ,              ,114, 702,B,  9,X, 4,  70.00,     78.0000,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,                ,                 ,                              ,                      ,                 ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. indistincta    ,              ,114, 702,B,  9,X, 5,  70.00,     79.5000,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,                ,                 ,                              ,R                     ,                 ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. indistincta    ,              ,114, 702,B,  9,X, 6,  70.00,     81.0000,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,R               ,                 ,F                             ,                      ,                 ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. indistincta    ,              ,114, 702,B, 10,X, 1, 120.00,     83.5000,Spiegler ,Bolboforms                                   ,               ,                  ,A                     ,R               ,                 ,R                             ,R                     ,R                ,                  ,transition of B. eocena to B. indistincta; from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. indistincta    ,              ,114, 702,B, 10,X, 2, 120.00,     85.0000,Spiegler ,Bolboforms                                   ,               ,                  ,A                     ,                ,R                ,                              ,R                     ,R                ,                  ,transition of B. eocena to B. indistincta; from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. indistincta    ,              ,114, 702,B, 10,X, 3, 120.00,     86.5000,Spiegler ,Bolboforms                                   ,               ,                  ,F                     ,                ,                 ,                              ,                      ,                 ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. indistincta    ,              ,114, 702,B, 10,X, 4, 120.00,     88.0000,Spiegler ,Bolboforms                                   ,               ,                  ,                      ,                ,                 ,R                             ,                      ,                 ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. indistincta    ,              ,114, 702,B, 10,X, 5, 120.00,     89.5000,Spiegler ,Bolboforms                                   ,               ,                  ,                      ,R               ,R                ,                              ,                      ,                 ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. indistincta    ,              ,114, 702,B, 10,X, 6, 120.00,     91.0000,Spiegler ,Bolboforms                                   ,               ,                  ,R                     ,                ,                 ,                              ,                      ,                 ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B. indistincta    ,              ,114, 702,B, 11,X, 3, 125.00,     96.0500,Spiegler ,Bolboforms                                   ,               ,                  ,F                     ,                ,                 ,                              ,                      ,                 ,                  ,from ODP Leg 114 SR Chapter 18 Table 4 p.329
,,,,,,,,,,,,,,,,,,,,,,,,
