Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassionema nitzschioides	Denticulopsis simonsenii	Denticulopsis dimorpha	Coscinodiscus marginatus	Chaetoceros spp. (resting spores)	Cavitatus jouseanus	Actinoptychus senarius	Actinocyclus ingens	Thalassiothrix longissima	Ikebea tenuis	Stephanopyxis turris	Nitzschia marina	Azpeitia nodulifera	Cyclotella striata	Thalassionema schraderi	Proboscia barboi	Rhizosolenia hebetata f. hiemalis	Denticulopsis katayamae	Cocconeis costata	Hemidiscus cuneiformis	Thalassiosira lineata	Rouxia californica	Paralia sulcata	Coscinodiscus radiatus	Nitzschia fossilis	Grammatophora spp.	Thalassiosira nidulus	Rhizosolenia bergonii	Nitzschia rolandii	Nitzschia reinholdii	Actinocyclus curvatulus	Neodenticula kamtschatica	Thalassiosira eccentrica	Koizumia tatsunokuchiensis	Asteromphalus flabellatus	Thalassiosira antiqua	Pyxidicula zabelinae	Delphineis surirella	Aulacoseira spp.	Actinocyclus ochotensis	Cymatosira debyi	Stephanopyxis horridus	Odontella aurita	Thalassiosira praeoestrupii	Comment
  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	  5	R	CC	  11.00	    740.0700	Ikeda    	Diatoms                                      	A              	G                 	F                          	                        	                      	C                       	R                                	                   	R                     	                   	                         	             	                    	                	                   	                  	                       	                	                                 	                       	                 	                      	R                    	                  	               	                      	                  	                  	R                    	                     	                  	F                   	                       	C                        	                        	                          	                         	R                    	F                   	R                   	                	                       	                	                      	R               	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	  6	R	CC	  15.00	    756.5400	Ikeda    	Diatoms                                      	A              	G                 	F                          	                        	                      	F                       	R                                	                   	                      	                   	                         	             	R                   	                	                   	                  	                       	                	                                 	                       	                 	R                     	R                    	                  	               	                      	                  	                  	R                    	                     	C                 	                    	                       	C                        	C                       	                          	                         	                     	                    	                    	                	                       	                	R                     	R               	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	  7	R	 1	 143.00	    759.3300	Ikeda    	Diatoms                                      	A              	G                 	F                          	                        	                      	F                       	F                                	                   	                      	                   	                         	             	                    	                	                   	                  	                       	                	                                 	                       	                 	R                     	                     	                  	               	                      	                  	                  	R                    	                     	R                 	                    	                       	C                        	                        	                          	                         	                     	R                   	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	  8	R	CC	  13.00	    770.0500	Ikeda    	Diatoms                                      	A              	M                 	C                          	                        	                      	F                       	R                                	                   	                      	                   	                         	R            	                    	                	R                  	                  	                       	                	                                 	                       	                 	                      	                     	                  	               	                      	                  	                  	R                    	                     	R                 	                    	R                      	C                        	                        	                          	                         	                     	F                   	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	  9	R	CC	  24.00	    781.4700	Ikeda    	Diatoms                                      	C              	G                 	F                          	                        	                      	F                       	R                                	                   	                      	                   	                         	             	                    	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	                  	               	                      	R                 	                  	R                    	                     	R                 	                    	                       	F                        	                        	R                         	                         	                     	F                   	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	 10	R	CC	  12.00	    791.0400	Ikeda    	Diatoms                                      	C              	M                 	F                          	                        	                      	R                       	R                                	                   	R                     	                   	                         	             	                    	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	                  	               	                      	                  	R                 	                     	                     	R                 	                    	                       	F                        	                        	                          	                         	F                    	F                   	                    	                	                       	                	                      	                	                           	reworking=trace (D. katayamae)

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	 11	R	CC	  18.00	    802.8200	Ikeda    	Diatoms                                      	C              	G                 	F                          	                        	                      	C                       	T                                	                   	                      	                   	R                        	             	                    	                	R                  	                  	                       	                	                                 	                       	                 	                      	R                    	                  	               	                      	                  	                  	                     	                     	F                 	                    	                       	F                        	R                       	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	 12	R	CC	   8.00	    811.9100	Ikeda    	Diatoms                                      	F              	M                 	R                          	                        	                      	F                       	T                                	                   	                      	                   	F                        	             	R                   	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	                  	               	                      	                  	                  	                     	                     	                  	R                   	                       	F                        	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	 13	R	CC	   0.00	    819.7800	Ikeda    	Diatoms                                      	C              	M                 	                           	                        	                      	C                       	R                                	                   	R                     	                   	R                        	             	                    	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	                  	T              	                      	                  	                  	                     	                     	R                 	                    	                       	R                        	                        	                          	                         	                     	                    	                    	                	                       	R               	                      	                	                           	reworking=trace (D. katayamae)

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	 14	R	CC	  20.00	    830.4800	Ikeda    	Diatoms                                      	A              	G                 	                           	                        	                      	C                       	R                                	                   	                      	                   	R                        	             	                    	                	                   	                  	                       	                	                                 	                       	                 	F                     	                     	                  	               	                      	                  	                  	                     	                     	F                 	                    	                       	R                        	R                       	                          	                         	                     	                    	                    	                	R                      	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	 15	R	CC	  21.00	    837.1500	Ikeda    	Diatoms                                      	F              	M                 	F                          	                        	                      	                        	F                                	                   	                      	                   	                         	             	                    	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	                  	               	                      	                  	                  	                     	                     	F                 	R                   	                       	R                        	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	 16	R	CC	  15.00	    852.2200	Ikeda    	Diatoms                                      	A              	G                 	C                          	                        	                      	A                       	F                                	                   	                      	                   	                         	             	                    	                	F                  	                  	                       	                	R                                	                       	                 	                      	                     	                  	R              	C                     	                  	                  	                     	                     	R                 	F                   	                       	F                        	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	 17	R	CC	   0.00	    859.5300	Ikeda    	Diatoms                                      	C              	M                 	F                          	                        	                      	F                       	R                                	                   	                      	                   	                         	             	                    	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	                  	R              	                      	                  	                  	                     	                     	                  	                    	                       	R                        	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	reworking=trace (D. katayamae)

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	 18	R	CC	  16.00	    868.0800	Ikeda    	Diatoms                                      	C              	G                 	F                          	                        	                      	                        	F                                	                   	R                     	                   	                         	             	                    	                	R                  	                  	                       	                	                                 	                       	R                	                      	                     	                  	R              	                      	R                 	                  	                     	                     	                  	R                   	                       	F                        	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	reworking=trace (D. katayamae, D. simonsenii)

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	 19	R	CC	  19.00	    877.5300	Ikeda    	Diatoms                                      	A              	G                 	F                          	                        	                      	F                       	F                                	                   	R                     	                   	                         	             	                    	                	                   	                  	                       	                	F                                	                       	R                	                      	                     	                  	               	                      	                  	                  	R                    	                     	                  	                    	                       	C                        	                        	                          	                         	                     	                    	R                   	R               	                       	                	                      	                	                           	reworking=trace (D. hyalina)

  IR	Late Miocene     	Late Miocene     	NPD 7Ba           	NPD 7Ba       	186	1150	B	 20	R	CC	  15.00	    893.0200	Ikeda    	Diatoms                                      	C              	M                 	C                          	                        	                      	F                       	R                                	                   	R                     	                   	                         	             	                    	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	                  	               	                      	                  	                  	                     	                     	F                 	F                   	                       	F                        	                        	                          	                         	                     	                    	T                   	R               	                       	                	                      	                	                           	reworking=trace (D. hyalina)

  IR	Late Miocene     	Late Miocene     	NPD 7A            	NPD 7A        	186	1150	B	 21	R	 3	  70.00	    896.4400	Ikeda    	Diatoms                                      	C              	M                 	F                          	                        	                      	R                       	R                                	                   	                      	                   	                         	             	                    	                	                   	                  	                       	                	R                                	                       	                 	                      	                     	R                 	T              	                      	                  	                  	                     	                     	T                 	                    	                       	R                        	                        	                          	                         	                     	F                   	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 7A            	NPD 7A        	186	1150	B	 21	R	CC	   0.00	    898.3200	Ikeda    	Diatoms                                      	C              	G                 	C                          	                        	                      	C                       	R                                	                   	F                     	                   	                         	             	                    	                	                   	                  	                       	R               	                                 	                       	                 	                      	                     	R                 	               	                      	                  	                  	T                    	                     	F                 	R                   	                       	C                        	                        	                          	                         	                     	F                   	                    	                	                       	                	                      	                	                           	reworking=trace (D. dimorpha), LCO R. californica (6.65 Ma)

  IR	Late Miocene     	Late Miocene     	NPD 7A            	NPD 7A        	186	1150	B	 22	R	CC	  13.00	    910.6700	Ikeda    	Diatoms                                      	C              	M                 	F                          	                        	                      	R                       	R                                	                   	R                     	                   	                         	             	                    	                	                   	                  	                       	                	                                 	                       	R                	                      	                     	R                 	               	                      	                  	                  	                     	                     	F                 	                    	                       	F                        	                        	R                         	                         	                     	                    	R                   	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 7A            	NPD 7A        	186	1150	B	 23	R	CC	  20.00	    919.7300	Ikeda    	Diatoms                                      	A              	G                 	C                          	                        	                      	                        	F                                	                   	                      	                   	                         	             	                    	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	R                 	               	                      	                  	                  	R                    	                     	                  	R                   	                       	F                        	                        	                          	                         	                     	R                   	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 7A            	NPD 7A        	186	1150	B	 24	R	CC	   0.00	    923.4600	Ikeda    	Diatoms                                      	A              	G                 	F                          	                        	                      	C                       	F                                	R                  	                      	                   	R                        	             	                    	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	T                 	               	R                     	                  	                  	                     	                     	F                 	R                   	                       	                         	                        	                          	                         	F                    	                    	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 7A            	NPD 7A        	186	1150	B	 25	R	CC	   0.00	    939.0700	Ikeda    	Diatoms                                      	A              	G                 	F                          	                        	                      	C                       	C                                	F                  	R                     	                   	                         	             	F                   	F               	                   	                  	                       	                	                                 	                       	                 	                      	                     	R                 	               	F                     	                  	                  	R                    	                     	R                 	                    	                       	                         	                        	R                         	R                        	                     	                    	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 7A            	NPD 7A        	186	1150	B	 26	R	 5	 146.00	    948.0000	Ikeda    	Diatoms                                      	C              	G                 	C                          	                        	                      	F                       	C                                	                   	F                     	                   	R                        	             	R                   	                	R                  	                  	                       	                	                                 	                       	                 	                      	                     	R                 	               	                      	                  	                  	                     	                     	R                 	                    	                       	R                        	R                       	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	reworking=trace (D. simonsenii)

  IR	Late Miocene     	Late Miocene     	NPD 7A            	NPD 7A        	186	1150	B	 27	R	CC	   0.00	    957.3100	Ikeda    	Diatoms                                      	C              	M                 	C                          	                        	                      	C                       	F                                	R                  	                      	                   	R                        	             	                    	                	                   	                  	                       	                	T                                	                       	                 	                      	                     	R                 	               	F                     	                  	                  	                     	                     	                  	                    	                       	R                        	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	reworking=trace (D. hyalina)

  IR	Late Miocene     	Late Miocene     	NPD 7A            	NPD 7A        	186	1150	B	 28	R	CC	  23.00	    968.8300	Ikeda    	Diatoms                                      	C              	G                 	C                          	                        	                      	F                       	C                                	F                  	R                     	R                  	                         	             	R                   	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	R                 	               	                      	                  	                  	R                    	                     	R                 	                    	                       	F                        	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	FO N. kamtschatica (7.3-7.4 Ma)

  IR	Late Miocene     	Late Miocene     	NPD 7A            	NPD 7A        	186	1150	B	 29	R	 3	  75.00	    972.8800	Ikeda    	Diatoms                                      	C              	G                 	F                          	                        	                      	C                       	F                                	R                  	T                     	                   	                         	             	                    	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	                  	R              	                      	                  	                  	T                    	                     	                  	                    	R                      	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	reworking=trace(T.schraderi)

  IR	Late Miocene     	Late Miocene     	NPD 7A            	NPD 7A        	186	1150	B	 29	R	CC	  21.00	    978.0200	Ikeda    	Diatoms                                      	C              	M                 	C                          	                        	                      	F                       	C                                	F                  	                      	                   	R                        	             	R                   	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	R                 	               	R                     	                  	                  	                     	                     	R                 	R                   	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	reworking=trace (D. simonsenii)

  IR	Late Miocene     	Late Miocene     	NPD 7A            	NPD 7A        	186	1150	B	 30	R	CC	  12.00	    987.8500	Ikeda    	Diatoms                                      	F              	M                 	                           	                        	                      	F                       	C                                	F                  	F                     	                   	                         	R            	                    	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	R                 	               	                      	                  	                  	                     	R                    	R                 	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	reworking=trace (D.simonsenii)

  IR	Late Miocene     	Late Miocene     	NPD 7A            	NPD 7A        	186	1150	B	 31	R	CC	  14.00	    992.3100	Ikeda    	Diatoms                                      	F              	M                 	R                          	                        	                      	C                       	F                                	R                  	                      	                   	R                        	             	                    	                	                   	                  	                       	                	                                 	                       	                 	                      	                     	R                 	               	                      	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	reworking=trace (D. hyalina)

  IR	Late Miocene     	Late Miocene     	NPD 6B            	NPD 6B        	186	1150	B	 32	R	 1	  60.00	    998.9000	Ikeda    	Diatoms                                      	C              	M                 	F                          	                        	                      	C                       	F                                	T                  	                      	                   	R                        	             	                    	                	                   	                  	R                      	                	R                                	                       	                 	                      	                     	T                 	T              	F                     	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 6B            	NPD 6B        	186	1150	B	 32	R	CC	  22.00	   1007.8200	Ikeda    	Diatoms                                      	C              	M                 	F                          	                        	                      	C                       	R                                	R                  	                      	R                  	F                        	             	R                   	                	                   	                  	R                      	                	R                                	                       	                 	                      	                     	                  	               	F                     	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	LO T. schraderi (7.6 Ma)

  IR	Late Miocene     	Late Miocene     	NPD 6B            	NPD 6B        	186	1150	B	 33	R	CC	  20.00	   1009.4700	Ikeda    	Diatoms                                      	A              	M                 	C                          	                        	                      	A                       	C                                	C                  	F                     	                   	R                        	             	R                   	                	                   	                  	R                      	R               	F                                	                       	                 	                      	                     	R                 	               	                      	R                 	                  	R                    	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	reworking=trace (D. simonsenii)

  IR	Late Miocene     	Late Miocene     	NPD 6B            	NPD 6B        	186	1150	B	 34	R	CC	  12.00	   1019.9900	Ikeda    	Diatoms                                      	A              	G                 	C                          	                        	                      	F                       	F                                	R                  	                      	                   	F                        	             	                    	                	                   	                  	                       	F               	R                                	                       	                 	                      	                     	F                 	               	R                     	                  	R                 	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	rewaorking=trace (D. katayamae, D. hyalina)

  IR	Late Miocene     	Late Miocene     	NPD 6B            	NPD 6B        	186	1150	B	 35	R	CC	   0.00	   1031.5000	Ikeda    	Diatoms                                      	C              	M                 	F                          	                        	                      	C                       	R                                	R                  	R                     	R                  	F                        	             	                    	                	                   	                  	                       	                	                                 	                       	R                	                      	                     	R                 	R              	                      	F                 	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	reworking=trace (D. katayamae)

  IR	Late Miocene     	Late Miocene     	NPD 6B            	NPD 6B        	186	1150	B	 36	R	CC	  20.00	   1044.7300	Ikeda    	Diatoms                                      	F              	G                 	F                          	                        	                      	C                       	R                                	R                  	                      	                   	                         	             	                    	                	                   	                  	C                      	                	                                 	                       	                 	                      	                     	                  	F              	                      	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 6B            	NPD 6B        	186	1150	B	 37	R	CC	  24.00	   1050.5100	Ikeda    	Diatoms                                      	F              	M                 	F                          	                        	                      	F                       	                                 	R                  	                      	R                  	                         	             	                    	                	                   	                  	R                      	                	                                 	                       	                 	                      	                     	R                 	               	                      	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	reworking=few (D. simonsenii, D. katayamae)

  IR	Late Miocene     	Late Miocene     	NPD 6B            	NPD 6B        	186	1150	B	 38	R	CC	  19.00	   1058.5601	Ikeda    	Diatoms                                      	C              	M                 	F                          	                        	                      	C                       	F                                	F                  	                      	F                  	F                        	             	R                   	                	                   	                  	C                      	R               	T                                	                       	                 	                      	                     	                  	R              	                      	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 6B            	NPD 6B        	186	1150	B	 39	R	CC	  20.00	   1070.8000	Ikeda    	Diatoms                                      	F              	P                 	F                          	                        	                      	C                       	F                                	F                  	                      	                   	                         	             	                    	                	                   	                  	R                      	                	                                 	                       	                 	                      	                     	                  	               	                      	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 6A            	NPD 6A        	186	1150	B	 40	R	CC	  21.00	   1079.2100	Ikeda    	Diatoms                                      	C              	M                 	R                          	                        	                      	F                       	F                                	F                  	                      	                   	                         	             	                    	                	                   	                  	R                      	R               	R                                	R                      	                 	                      	                     	                  	R              	R                     	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 6A            	NPD 6A        	186	1150	B	 41	R	 1	  68.00	   1085.9800	Ikeda    	Diatoms                                      	F              	M                 	R                          	R                       	                      	F                       	F                                	                   	                      	F                  	                         	             	                    	                	                   	                  	                       	R               	                                 	R                      	                 	                      	                     	T                 	               	                      	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 6A            	NPD 6A        	186	1150	B	 41	R	CC	  28.00	   1094.4700	Ikeda    	Diatoms                                      	C              	M                 	R                          	R                       	                      	F                       	F                                	F                  	R                     	R                  	F                        	             	                    	                	                   	                  	                       	                	                                 	R                      	                 	                      	                     	                  	               	                      	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	LCO D. simonsenii (8.6 Ma)

  IR	Late Miocene     	Late Miocene     	NPD 6A            	NPD 6A        	186	1150	B	 42	R	 1	  73.00	   1095.6300	Ikeda    	Diatoms                                      	C              	M                 	R                          	R                       	                      	C                       	F                                	                   	                      	R                  	T                        	             	                    	                	                   	                  	                       	                	                                 	R                      	                 	                      	                     	                  	               	                      	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	reworking=trace (C.nicobarica, D. lauta)

  IR	Late Miocene     	Late Miocene     	NPD 6A            	NPD 6A        	186	1150	B	 42	R	CC	  21.00	   1103.8700	Ikeda    	Diatoms                                      	C              	M                 	F                          	F                       	                      	F                       	F                                	F                  	R                     	F                  	                         	             	                    	                	                   	                  	                       	                	                                 	C                      	                 	                      	R                    	                  	               	                      	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 6A            	NPD 6A        	186	1150	B	 43	R	 1	  69.00	   1105.2900	Ikeda    	Diatoms                                      	C              	G                 	C                          	F                       	                      	                        	F                                	T                  	                      	T                  	                         	             	                    	                	                   	                  	                       	R               	                                 	C                      	                 	                      	                     	                  	               	                      	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 5D            	NPD 5D        	186	1150	B	 43	R	 3	  71.00	   1108.2600	Ikeda    	Diatoms                                      	C              	M                 	F                          	F                       	R                     	C                       	                                 	                   	                      	F                  	                         	             	                    	                	                   	                  	                       	T               	                                 	R                      	                 	                      	                     	                  	               	                      	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 5D            	NPD 5D        	186	1150	B	 43	R	CC	  18.00	   1111.2800	Ikeda    	Diatoms                                      	C              	M                 	C                          	C                       	                      	F                       	F                                	                   	                      	F                  	                         	             	                    	                	                   	                  	R                      	                	                                 	R                      	                 	R                     	                     	                  	               	                      	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	reworking=trace (D. dimorpha)

  IR	Late Miocene     	Late Miocene     	NPD 5D            	NPD 5D        	186	1150	B	 44	R	 1	  72.00	   1114.9200	Ikeda    	Diatoms                                      	C              	M                 	F                          	T                       	F                     	F                       	                                 	T                  	                      	C                  	                         	             	                    	                	                   	                  	                       	                	                                 	F                      	                 	                      	                     	                  	               	                      	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	       

  IR	Late Miocene     	Late Miocene     	NPD 5D            	NPD 5D        	186	1150	B	 44	R	CC	  15.00	   1115.7600	Ikeda    	Diatoms                                      	C              	G                 	F                          	C                       	F                     	                        	R                                	R                  	R                     	R                  	                         	             	                    	                	                   	                  	R                      	                	                                 	C                      	                 	                      	                     	                  	               	                      	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	reworking=trace (C. nicobarica), LO D. dimorpha (9.16 Ma)

  IR	Late Miocene     	Late Miocene     	NPD 5D            	NPD 5D        	186	1150	B	 45	R	CC	  21.00	   1129.8500	Ikeda    	Diatoms                                      	C              	M                 	C                          	R                       	F                     	                        	R                                	R                  	                      	F                  	                         	             	                    	                	                   	                  	                       	                	R                                	R                      	R                	                      	                     	                  	               	                      	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	reworking=trace (C. nicobarica)

  IR	Late Miocene     	Late Miocene     	NPD 5D            	NPD 5D        	186	1150	B	 46	R	CC	  18.00	   1138.9399	Ikeda    	Diatoms                                      	A              	G                 	C                          	F                       	F                     	R                       	R                                	R                  	                      	R                  	R                        	             	                    	                	                   	                  	R                      	R               	                                 	                       	                 	                      	                     	                  	               	                      	                  	                  	                     	                     	                  	                    	                       	                         	                        	                          	                         	                     	                    	                    	                	                       	                	                      	                	                           	reworking=trace (D. hyalina)

