Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Hedbergella similis,Hedbergella sigali,Hedbergella aptica,Gubkinella graysonensis,Gorbachikella sp.,Clavihedbergella semielongata,Clavihedbergella eocretacea,Hedbergella delrioensis,Globigerinelloides blowi,Hedbergella trocoidea,Globigerinelloides barri,Globigerinelloides aptiense,Ticinella roberti,Ticinella raynaudi,Ticinella primula,Hedbergella rischi,Hedbergella planispira,Globigerinelloides bentonensis,Ticinella praeticinensis,Ticinella madecassiana,Hedbergella simplex,Biticinella subbreggiensis,Biticinella breggiensis,Rotalipora appenninica,Praeglobotruncana delrioensis,Schackoina cenomana,Heterohelix moremani,Globigerinelloides ferreolensis,Hedbergella holmdelensis,Globigerinelloides ultramicrus,Globotruncanita stuartiformis,Globotruncanita elevata,Globotruncanita atlantica,Globotruncana ventricosa,Globotruncana orientalis,Globotruncana arca,Contusotruncana fornicata,Pseudotextularia nuttalli,Laeviheterohelix pulchra,Laeviheterohelix dentata,Heterohelix globulosa,Globotruncana linneiana,Globotruncana hilli,Globigerinelloides subcarinatus,Globigerinelloides messinae,Contusotruncana patelliformis,Schackoina multispinata,Heterohelix planata,Heterohelix dentata,Globotruncana bulloides,Globigerinelloides prairiehillensis,Praeorbulina glomerosa,Orbulina universa,Orbulina suturalis,Globigerinoides sacculifer,Globigerinita glutinata,Fohsella peripheroronda,Fohsella peripheroacuta,Dentoglobigerina altispira,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Campanian        ,Campanian        ,KS26              ,KS26          ,198,1207,B,  5,R,CC,  11.00,    199.2400,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                  ,                  ,                       ,                 ,                             ,                           ,                       ,                        ,                     ,                        ,                           ,                 ,                  ,                 ,                  ,                      ,                              ,                        ,                      ,                   ,                          ,                       ,                      ,                             ,R                  ,                    ,                               ,                        ,A                             ,A                            ,R                      ,F                        ,                        ,F                       ,P                 ,A                        ,                         ,+                       ,F                       ,A                    ,A                      ,                   ,P                              ,F                          ,F                            ,R                      ,F                  ,F                  ,P                      ,R                                  ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Campanian        ,Campanian        ,KS26              ,KS26          ,198,1207,B,  6,R,CC,  13.00,    210.2500,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                  ,                  ,                       ,                 ,                             ,                           ,                       ,                        ,                     ,                        ,                           ,                 ,                  ,                 ,                  ,                      ,                              ,                        ,                      ,                   ,                          ,                       ,                      ,                             ,                   ,                    ,                               ,R                       ,F                             ,F                            ,A                      ,                         ,                        ,R                       ,F                 ,A                        ,F                        ,+                       ,F                       ,R                    ,A                      ,P                  ,P                              ,F                          ,F                            ,                       ,                   ,                   ,                       ,                                   ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Campanian        ,Campanian        ,KS26              ,KS26          ,198,1207,B,  9,R,CC,  16.00,    230.8600,planks   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                  ,                       ,                 ,                             ,                           ,                       ,                        ,                     ,                        ,                           ,                 ,                  ,                 ,                  ,                      ,                              ,                        ,                      ,                   ,                          ,                       ,                      ,                             ,                   ,                    ,                               ,                        ,                              ,F                            ,R                      ,R                        ,P                       ,F                       ,F                 ,F                        ,                         ,                        ,                        ,                     ,                       ,                   ,                               ,                           ,                             ,                       ,                   ,                   ,                       ,                                   ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Coniacian        ,Campanian        ,KS23              ,G. elevata - KS25,198,1207,B, 18,R,CC,  37.00,    316.3700,planks   ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                  ,                  ,                       ,                 ,                             ,                           ,                       ,                        ,                     ,                        ,                           ,                 ,                  ,                 ,                  ,P                     ,                              ,                        ,                      ,                   ,                          ,                       ,                      ,                             ,                   ,                    ,                               ,F                       ,P                             ,                             ,                       ,                         ,                        ,                        ,                  ,                         ,                         ,                        ,                        ,                     ,                       ,                   ,                               ,                           ,                             ,                       ,                   ,                   ,                       ,                                   ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Albian           ,Albian           ,KS16              ,KS16          ,198,1207,B, 22,R,CC,   0.00,    354.5000,planks   ,Planktonic Foraminifers                      ,C              ,P                 ,F                  ,                  ,                  ,                       ,                 ,                             ,                           ,F                      ,                        ,                     ,                        ,                           ,                 ,                  ,                 ,                  ,                      ,F                             ,                        ,F                     ,                   ,                          ,                       ,F                     ,R                            ,R                  ,A                   ,+                              ,                        ,                              ,                             ,                       ,                         ,                        ,                        ,                  ,                         ,                         ,                        ,                        ,                     ,                       ,                   ,                               ,                           ,                             ,                       ,                   ,                   ,                       ,                                   ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Albian           ,Albian           ,KS16              ,KS16          ,198,1207,B, 24,R,CC,  22.00,    373.9200,planks   ,Planktonic Foraminifers                      ,F              ,P                 ,F                  ,                  ,                  ,                       ,                 ,                             ,                           ,F                      ,                        ,                     ,                        ,                           ,                 ,                  ,                 ,                  ,                      ,                              ,                        ,F                     ,F                  ,                          ,                       ,F                     ,R                            ,                   ,                    ,                               ,                        ,                              ,                             ,                       ,                         ,                        ,                        ,                  ,                         ,                         ,                        ,                        ,                     ,                       ,                   ,                               ,                           ,                             ,                       ,                   ,                   ,                       ,                                   ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1207,B, 25,R,CC,  33.00,    383.6300,planks   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                  ,                       ,                 ,                             ,                           ,                       ,                        ,                     ,                        ,                           ,                 ,                  ,                 ,                  ,P                     ,                              ,                        ,                      ,                   ,                          ,                       ,                      ,                             ,                   ,                    ,                               ,                        ,                              ,                             ,                       ,                         ,                        ,                        ,                  ,                         ,                         ,                        ,                        ,                     ,                       ,                   ,                               ,                           ,                             ,                       ,                   ,                   ,                       ,                                   ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Albian           ,Albian           ,KS14              ,KS14          ,198,1207,B, 28,R,CC,  11.00,    417.3400,planks   ,Planktonic Foraminifers                      ,F              ,M                 ,R                  ,                  ,                  ,                       ,                 ,                             ,                           ,F                      ,                        ,                     ,                        ,                           ,F                ,R                 ,R                ,                  ,F                     ,F                             ,R                       ,F                     ,F                  ,+                         ,F                      ,                      ,                             ,                   ,                    ,                               ,                        ,                              ,                             ,                       ,                         ,                        ,                        ,                  ,                         ,                         ,                        ,                        ,                     ,                       ,                   ,                               ,                           ,                             ,                       ,                   ,                   ,                       ,                                   ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1207,B, 30,R,CC,  19.00,    431.4900,planks   ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                  ,                       ,                 ,                             ,                           ,                       ,                        ,                     ,                        ,                           ,R                ,R                 ,A                ,R                 ,F                     ,R                             ,                        ,                      ,                   ,                          ,                       ,                      ,                             ,                   ,                    ,                               ,                        ,                              ,                             ,                       ,                         ,                        ,                        ,                  ,                         ,                         ,                        ,                        ,                     ,                       ,                   ,                               ,                           ,                             ,                       ,                   ,                   ,                       ,                                   ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Albian           ,Albian           ,KS13              ,KS13          ,198,1207,B, 33,R, 1, 103.00,    460.3300,planks   ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                  ,                  ,                       ,                 ,                             ,                           ,                       ,                        ,                     ,                        ,                           ,R                ,R                 ,R                ,                  ,                      ,                              ,                        ,                      ,                   ,                          ,                       ,                      ,                             ,                   ,                    ,                               ,                        ,                              ,                             ,                       ,                         ,                        ,                        ,                  ,                         ,                         ,                        ,                        ,                     ,                       ,                   ,                               ,                           ,                             ,                       ,                   ,                   ,                       ,                                   ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1207,B, 40,R,CC,   5.00,    526.5500,planks   ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                  ,                  ,                       ,                 ,                             ,                           ,                       ,                        ,R                    ,                        ,                           ,R                ,                  ,                 ,                  ,                      ,                              ,                        ,                      ,                   ,                          ,                       ,                      ,                             ,                   ,                    ,                               ,                        ,                              ,                             ,                       ,                         ,                        ,                        ,                  ,                         ,                         ,                        ,                        ,                     ,                       ,                   ,                               ,                           ,                             ,                       ,                   ,                   ,                       ,                                   ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Aptian           ,Aptian           ,KS9               ,KS10          ,198,1207,B, 40,R,CC,  15.00,    526.6500,planks   ,Planktonic Foraminifers                      ,R              ,M                 ,                   ,                  ,                  ,                       ,                 ,                             ,                           ,R                      ,R                       ,R                    ,R                       ,R                          ,                 ,                  ,                 ,                  ,                      ,                              ,                        ,                      ,                   ,                          ,                       ,                      ,                             ,                   ,                    ,                               ,                        ,                              ,                             ,                       ,                         ,                        ,                        ,                  ,                         ,                         ,                        ,                        ,                     ,                       ,                   ,                               ,                           ,                             ,                       ,                   ,                   ,                       ,                                   ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,benthics+rads
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Aptian           ,Aptian           ,KS9               ,KS9           ,198,1207,B, 43,R,CC,  20.00,    557.0200,planks   ,Planktonic Foraminifers                      ,T              ,M                 ,                   ,                  ,                  ,                       ,                 ,                             ,                           ,P                      ,P                       ,                     ,                        ,                           ,                 ,                  ,                 ,                  ,                      ,                              ,                        ,                      ,                   ,                          ,                       ,                      ,                             ,                   ,                    ,                               ,                        ,                              ,                             ,                       ,                         ,                        ,                        ,                  ,                         ,                         ,                        ,                        ,                     ,                       ,                   ,                               ,                           ,                             ,                       ,                   ,                   ,                       ,                                   ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Barremian        ,Aptian           ,                  ,KS6           ,198,1207,B, 47,R, 3,  79.00,    597.3800,planks   ,Planktonic Foraminifers                      ,A              ,P                 ,R                  ,F                 ,R                 ,R                      ,F                ,F                            ,F                          ,                       ,                        ,                     ,                        ,                           ,                 ,                  ,                 ,                  ,                      ,                              ,                        ,                      ,                   ,                          ,                       ,                      ,                             ,                   ,                    ,                               ,                        ,                              ,                             ,                       ,                         ,                        ,                        ,                  ,                         ,                         ,                        ,                        ,                     ,                       ,                   ,                               ,                           ,                             ,                       ,                   ,                   ,                       ,                                   ,                      ,                 ,                  ,                          ,                       ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
