Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Xanthiopyxis ovalis	Triceratium barbadense	Thalassiothrix longissima	Thalassiosira lineata	Thalassiosira leptopus	Thalassiosira lentiginosa	Thalassiosira eccentrica	Thalassiosira convexa	Thalassionema nitzschioides	Stephanopyxis turris turris	Simonseniella barboi	Rhaphoneis amphiceros	Paralia sulcata	Nitzschia reinholdii	Nitzschia panduriformis	Nitzschia marina	Nitzschia fossilis	Hyalodiscus sp.	Hemidiscus cuneiformis	Hemiaulus sp.	Grammatophora sp.	Diploneis sp.	Coscinodiscus radiatus	Cocconeis sp.	Azpeitia tabularis	Azpeitia nodulifera	Azpeitia africana	Actinocyclus ehrenbergii	Pseudoeunotia doliolus	Nitzschia barronii	Hemidiscus ovalis	Eunotia sp.	Chaetoceros spp. (resting spores)	Thalassiosira oestrupii	Nitzschia ritscherii	Stephanopyxis hyalomarginata	Rocella praenitida	Rhizosolenia hebetata f. hiemalis	Nitzschia cylindrica	Actinocyclus ingens	Nitzschia kerguelenis	Aulacosira granulata	Thalassionema bacillaris	Actinocyclus curvatulus	Actinoptychus senarius	Rhizosolenia bergonii	Pyxilla reticulata	Nitzschia kolackzeckii	Cyclotella striata	Comment
  IR	                 	                 	                  	              	181	1123	A	  5	H	CC	   0.00	     44.1900	diatoms  	Diatoms                                      	               	                  	                   	                      	R                        	                     	T                     	                         	R                       	T                    	R                          	R                          	                    	                     	T              	F                   	                       	F               	R                 	               	T                     	             	                 	             	F                     	             	                  	                   	                 	                        	R                     	                  	                 	           	                                 	                       	                    	                            	                  	R                                	                    	T                  	                     	                    	T                       	T                      	                      	                     	                  	                      	                  	       

  IR	                 	                 	                  	              	181	1123	A	  6	H	CC	   0.00	     53.7200	diatoms  	Diatoms                                      	               	                  	F                  	                      	R                        	                     	                      	                         	R                       	                     	R                          	R                          	                    	                     	               	F                   	T                      	R               	R                 	               	                      	             	                 	             	R                     	             	                  	R                  	                 	                        	                      	                  	                 	           	                                 	T                      	                    	                            	                  	                                 	                    	                   	R                    	T                   	                        	                       	                      	                     	                  	                      	                  	       

  IR	                 	                 	                  	              	181	1123	A	  7	H	CC	  11.00	     63.1500	diatoms  	Diatoms                                      	               	                  	R                  	T                     	R                        	                     	                      	                         	                        	                     	R                          	R                          	                    	                     	T              	F                   	                       	R               	                  	               	F                     	T            	                 	T            	                      	T            	R                 	T                  	                 	                        	R                     	T                 	                 	           	                                 	                       	R                   	R                           	T                 	T                                	T                   	T                  	                     	                    	                        	                       	                      	                     	                  	                      	                  	       

  IR	                 	                 	                  	              	181	1123	A	  8	H	CC	  11.00	     72.0200	diatoms  	Diatoms                                      	               	                  	R                  	                      	R                        	                     	T                     	                         	R                       	                     	                           	R                          	                    	R                    	R              	F                   	                       	F               	                  	               	F                     	             	                 	T            	T                     	             	R                 	                   	                 	                        	R                     	                  	                 	           	                                 	R                      	T                   	                            	                  	                                 	                    	                   	                     	                    	                        	                       	                      	                     	                  	                      	                  	       

  IR	                 	                 	                  	              	181	1123	A	  9	H	CC	  17.00	     82.3300	diatoms  	Diatoms                                      	               	                  	R                  	                      	R                        	T                    	R                     	                         	T                       	                     	F                          	R                          	F                   	                     	R              	F                   	                       	R               	                  	               	F                     	             	                 	T            	R                     	             	R                 	                   	                 	                        	R                     	R                 	R                	T          	R                                	                       	                    	                            	                  	                                 	                    	                   	                     	                    	                        	                       	                      	                     	                  	                      	                  	       

  IR	                 	                 	                  	              	181	1123	A	 10	H	CC	  15.00	     91.8800	diatoms  	Diatoms                                      	               	                  	T                  	T                     	R                        	T                    	R                     	T                        	T                       	R                    	C                          	T                          	T                   	R                    	T              	R                   	R                      	R               	T                 	T              	R                     	R            	T                	F            	R                     	T            	R                 	R                  	T                	R                       	                      	                  	                 	           	                                 	                       	                    	                            	                  	                                 	                    	                   	                     	                    	                        	                       	                      	                     	                  	                      	                  	       

