Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Nonionella miocenica	Fursenkoina glabra	Buliminella subfusiformis	Buliminella elegantissima	Bolivinellina humilis-rankini	Bolivina costata	Alexanderina viejoensis	Parabolivina peruensis	Nonionella auris	Pseudoparrella subperuviana	Buccella peruviana	Uvigerina sp.	Bolivinellina foraminata	Bulimina pulchella	Suggrunda eckisi	Buliminella elegantissima limbosa	Bolivinellina pacifica	Rosalina peruviana	Quinqueloculina araucana	Cancris inflatus	Valvulineria peruensis	Cassidulina pulchella	Buliminella curta var. basispinata	Epistominella afueraensis	Takayanagia delicata	Gyroidina rothwelli	Cancris carmenensis	Brizalina spissa	Brizalina interjuncta bicostata	Bolivinita minuta	Bolivina plicata	Angulogerina sp.	Angulogerina carinata	Globobulimina pacifica	Uvigerina striata	Planulina ornata	Coryphostoma clippertonensis	Brizalina pseudobeyrichi	Pullenia subcarinata	Planulina limbata	Globocassidulina quadrata	Cassidulina detierraensis	Brizalina interjuncta	Comment
  SR	Quaternary       	                 	                  	              	112	 687	A	  3	H	CC	   7.00	     26.6700	Resig    	Benthic Foraminifers                         	               	                  	                    	23                	                         	                         	49                           	8               	1                      	                      	4               	2                          	                  	             	                        	                  	                	9                                	                      	                  	                        	                	                      	4                    	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=220 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	  4	H	CC	  21.00	     36.3000	Resig    	Benthic Foraminifers                         	               	                  	                    	2                 	7                        	2                        	75                           	T               	T                      	                      	3               	1                          	1                 	             	                        	3                 	                	                                 	1                     	                  	                        	                	                      	1                    	                                  	2                        	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=387 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	  5	H	 6	  67.00	     44.1700	Resig    	Benthic Foraminifers                         	               	                  	                    	                  	                         	                         	91                           	4               	                       	                      	1               	                           	                  	             	                        	                  	                	                                 	                      	                  	                        	1               	                      	1                    	                                  	2                        	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=217 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	  5	H	CC	  10.00	     45.5000	Resig    	Benthic Foraminifers                         	               	                  	17                  	T                 	                         	1                        	62                           	2               	2                      	                      	12              	                           	                  	             	                        	T                 	                	                                 	                      	                  	                        	T               	                      	T                    	2                                 	2                        	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=240 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	  6	H	 1	   8.00	     45.5800	Resig    	Benthic Foraminifers                         	               	                  	T                   	                  	                         	                         	95                           	1               	                       	                      	3               	                           	                  	             	                        	                  	                	                                 	                      	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=262from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	  6	H	 3	 124.00	     49.7400	Resig    	Benthic Foraminifers                         	               	                  	T                   	                  	42                       	                         	55                           	T               	                       	                      	                	2                          	                  	             	                        	                  	                	                                 	                      	                  	                        	                	                      	                     	                                  	T                        	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=464 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	  6	H	CC	   0.00	     55.0700	Resig    	Benthic Foraminifers                         	               	                  	18                  	                  	                         	2                        	70                           	3               	                       	                      	5               	                           	                  	             	                        	                  	                	                                 	                      	                  	                        	T               	                      	T                    	1                                 	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=254 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	  7	X	 1	 113.00	     56.1300	Resig    	Benthic Foraminifers                         	               	                  	4                   	T                 	61                       	1                        	26                           	6               	                       	                      	                	T                          	                  	             	                        	                  	                	                                 	                      	                  	                        	T               	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=258 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	  7	X	CC	   5.00	     57.0500	Resig    	Benthic Foraminifers                         	               	                  	30                  	                  	4                        	                         	63                           	1               	                       	                      	                	                           	                  	             	                        	                  	                	                                 	                      	                  	                        	                	2                     	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=128 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	  8	X	CC	  20.00	     64.7000	Resig    	Benthic Foraminifers                         	               	                  	                    	                  	                         	                         	3                            	5               	2                      	                      	8               	                           	3                 	             	                        	                  	                	75                               	                      	4                 	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=180 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	  9	X	CC	   0.00	     74.0000	Resig    	Benthic Foraminifers                         	               	                  	T                   	                  	T                        	                         	1                            	25              	                       	                      	42              	                           	T                 	             	                        	                  	                	29                               	                      	T                 	2                       	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=578 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	 10	X	CC	  25.00	     83.7500	Resig    	Benthic Foraminifers                         	               	                  	4                   	1                 	T                        	                         	1                            	24              	                       	                      	35              	                           	3                 	             	                        	1                 	                	30                               	T                     	T                 	T                       	T               	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=417 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	 11	X	CC	  23.00	     93.2300	Resig    	Benthic Foraminifers                         	               	                  	1                   	2                 	                         	                         	3                            	7               	2                      	                      	11              	                           	5                 	             	                        	                  	                	69                               	                      	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=100 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	 12	X	CC	  12.00	    104.2700	Resig    	Benthic Foraminifers                         	               	                  	7                   	T                 	                         	                         	6                            	T               	2                      	                      	21              	T                          	                  	             	                        	                  	                	48                               	14                    	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=225 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	 13	X	 2	  48.00	    113.9800	Resig    	Benthic Foraminifers                         	               	                  	6                   	                  	                         	                         	5                            	10              	                       	                      	59              	                           	                  	             	                        	                  	                	19                               	T                     	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=399 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	 13	X	CC	  12.00	    121.2700	Resig    	Benthic Foraminifers                         	               	                  	5                   	8                 	1                        	                         	36                           	28              	T                      	                      	13              	7                          	                  	             	                        	                  	1               	                                 	                      	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=195 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	 14	X	 3	  83.00	    125.3300	Resig    	Benthic Foraminifers                         	               	                  	4                   	2                 	                         	11                       	1                            	5               	                       	                      	63              	                           	                  	             	                        	14                	                	                                 	                      	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=130 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Quaternary       	                 	                  	              	112	 687	A	 14	X	CC	  23.00	    128.1500	Resig    	Benthic Foraminifers                         	               	                  	7                   	T                 	1                        	1                        	28                           	49              	T                      	                      	13              	T                          	                  	T            	1                       	                  	                	                                 	                      	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=306 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Pliocene         	                 	                  	              	112	 687	A	 15	X	 1	  86.00	    131.8600	Resig    	Benthic Foraminifers                         	               	                  	2                   	                  	1                        	31                       	14                           	30              	                       	                      	22              	                           	                  	T            	                        	                  	                	                                 	                      	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=202 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Pliocene         	                 	                  	              	112	 687	A	 15	X	CC	  24.00	    133.6300	Resig    	Benthic Foraminifers                         	               	                  	3                   	2                 	30                       	T                        	28                           	26              	                       	                      	11              	                           	                  	             	                        	                  	                	                                 	                      	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=261 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Pliocene         	                 	                  	              	112	 687	A	 17	X	CC	  25.00	    158.5800	Resig    	Benthic Foraminifers                         	               	                  	T                   	                  	19                       	                         	4                            	57              	                       	T                     	19              	                           	                  	             	                        	                  	                	                                 	                      	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=180 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Pliocene         	                 	                  	              	112	 687	A	 18	X	CC	  12.00	    161.7700	Resig    	Benthic Foraminifers                         	               	                  	T                   	                  	10                       	                         	21                           	61              	                       	1                     	7               	                           	                  	             	                        	                  	                	                                 	                      	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=287 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Pliocene         	                 	                  	              	112	 687	A	 19	X	 2	 102.00	    171.5200	Resig    	Benthic Foraminifers                         	               	                  	5                   	2                 	59                       	8                        	4                            	1               	                       	3                     	18              	                           	                  	             	                        	                  	                	                                 	                      	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=237 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Pliocene         	                 	                  	              	112	 687	A	 19	X	 4	 145.00	    174.9500	Resig    	Benthic Foraminifers                         	               	                  	                    	4                 	32                       	1                        	13                           	39              	                       	7                     	4               	                           	                  	             	                        	                  	                	                                 	                      	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=501 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Pliocene         	                 	                  	              	112	 687	A	 20	X	CC	  15.00	    179.4000	Resig    	Benthic Foraminifers                         	               	                  	7                   	3                 	1                        	41                       	5                            	36              	T                      	                      	2               	T                          	3                 	             	                        	                  	                	                                 	                      	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=313 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Pliocene         	                 	                  	              	112	 687	A	 21	X	 1	  89.00	    188.8900	Resig    	Benthic Foraminifers                         	               	                  	6                   	11                	37                       	2                        	3                            	32              	                       	3                     	6               	                           	                  	             	                        	                  	                	                                 	                      	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=814 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Pliocene         	                 	                  	              	112	 687	A	 21	X	CC	  25.00	    193.6300	Resig    	Benthic Foraminifers                         	               	                  	6                   	3                 	50                       	                         	15                           	22              	                       	2                     	2               	                           	                  	             	                        	                  	                	                                 	                      	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=215 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Pliocene         	                 	                  	              	112	 687	A	 22	X	 3	  98.00	    201.4800	Resig    	Benthic Foraminifers                         	               	                  	38                  	1                 	12                       	35                       	3                            	11              	                       	T                     	T               	                           	                  	             	                        	                  	                	                                 	                      	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=256 from ODP Leg 112 SR Chapter 16 Table 6 p 280

  SR	Pliocene         	                 	                  	              	112	 687	A	 22	X	CC	  23.00	    202.2300	Resig    	Benthic Foraminifers                         	               	                  	46                  	8                 	5                        	30                       	1                            	9               	T                      	                      	                	                           	                  	             	                        	                  	                	                                 	                      	                  	                        	                	                      	                     	                                  	                         	                    	                   	                   	                	                               	                 	                	                	                     	                      	                 	                	                            	                        	                    	                 	                         	                         	                     	count=322 from ODP Leg 112 SR Chapter 16 Table 6 p 280

