Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spongurus bilobatus	Eusyringium striata exquisita	Buryella tetradica	Axocorys sp.	Dictyoprora amphora	Dictyomitra amygdala	Phormocyrtis embolum	Lithomitrella minuta	Lithomitrella elizabethae	Lithomitra  micropore	Gorgospyris hemisphaerica	Dictyoprora mongolfieri	Artobotrys auriculaleporis	Stylosphaera coronata	Theocyrtis litos	Dictyopora urceolus	Clathrocyclas universa	Lychnocanella babylonis	Stylosphaera minor	Clathrocyclas extensa	Spongosphaera pachystyla	Axoprunum bispiculum	Cenosphaera eocenica	Stylatractus ostracion	Comment
  SR	Middle Eocene    	                 	D. amphora        	              	145	 883	E	 11	R	 1	  70.00	    729.5000	Shilov   	Radiolarians                                 	A              	M                 	                   	                             	                  	            	R                  	R                   	                    	                    	                         	A                    	                         	R                      	R                         	C                    	                	                   	                      	R                      	                  	                     	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Middle Eocene    	                 	D. amphora        	              	145	 883	E	 11	R	 2	  70.00	    731.0000	Shilov   	Radiolarians                                 	C              	M                 	                   	                             	                  	            	R                  	                    	                    	                    	                         	C                    	                         	                       	R                         	R                    	R               	                   	                      	                       	                  	                     	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Middle Eocene    	                 	D. amphora        	              	145	 883	E	 11	R	 3	  70.00	    732.5000	Shilov   	Radiolarians                                 	R              	M                 	                   	                             	                  	            	                   	R                   	                    	                    	                         	R                    	                         	                       	                          	                     	                	R                  	                      	                       	                  	                     	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Middle Eocene    	                 	D. amphora        	              	145	 883	E	 11	R	CC	   9.00	    733.2300	Shilov   	Radiolarians                                 	R              	M                 	                   	                             	                  	            	                   	R                   	                    	                    	                         	                     	                         	                       	                          	                     	                	                   	                      	                       	                  	                     	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Middle Eocene    	                 	D. amphora        	              	145	 883	E	 12	R	 2	  70.00	    740.8000	Shilov   	Radiolarians                                 	R              	M                 	                   	                             	                  	            	                   	R                   	                    	                    	                         	R                    	                         	                       	                          	                     	                	                   	                      	                       	                  	                     	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Middle Eocene    	                 	D. amphora        	              	145	 883	E	 12	R	 3	  71.00	    742.3100	Shilov   	Radiolarians                                 	C              	M                 	                   	                             	                  	            	                   	A                   	                    	                    	                         	F                    	                         	                       	                          	R                    	                	                   	                      	                       	                  	                     	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Middle Eocene    	                 	D. amphora        	              	145	 883	E	 12	R	 4	  70.00	    743.8000	Shilov   	Radiolarians                                 	R              	M                 	                   	                             	                  	            	                   	R                   	                    	                    	                         	R                    	                         	                       	R                         	                     	                	                   	                      	                       	                  	                     	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Middle Eocene    	                 	D. amphora        	              	145	 883	E	 12	R	CC	  12.00	    748.3700	Shilov   	Radiolarians                                 	F              	P                 	                   	                             	                  	            	R                  	F                   	R                   	                    	                         	R                    	                         	F                      	R                         	                     	R               	R                  	R                     	                       	                  	                     	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Middle Eocene    	                 	D. amphora        	              	145	 883	E	 13	R	 2	  70.00	    750.6000	Shilov   	Radiolarians                                 	R              	M                 	                   	                             	                  	            	                   	                    	                    	                    	                         	R                    	                         	                       	                          	                     	                	                   	                      	                       	                  	                     	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Middle Eocene    	                 	D. amphora        	              	145	 883	E	 13	R	 3	  69.00	    752.0900	Shilov   	Radiolarians                                 	R              	M                 	                   	                             	                  	            	R                  	F                   	                    	                    	R                        	C                    	R                        	                       	                          	R                    	                	                   	                      	                       	                  	                     	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Middle Eocene    	                 	D. amphora        	              	145	 883	E	 13	R	 4	  70.00	    753.6000	Shilov   	Radiolarians                                 	F              	M                 	                   	                             	                  	            	R                  	R                   	                    	                    	                         	F                    	R                        	                       	                          	                     	                	                   	                      	                       	                  	                     	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Middle Eocene    	                 	D. amphora        	              	145	 883	E	 13	R	CC	  10.00	    755.6200	Shilov   	Radiolarians                                 	F              	P                 	                   	                             	                  	            	C                  	F                   	R                   	R                   	R                        	R                    	R                        	R                      	R                         	                     	                	                   	                      	                       	                  	                     	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Middle Eocene    	                 	D. amygdata       	              	145	 883	E	 14	R	CC	  15.00	    759.5500	Shilov   	Radiolarians                                 	R              	M                 	                   	                             	                  	            	R                  	R                   	                    	                    	                         	                     	                         	                       	                          	                     	                	                   	                      	                       	                  	                     	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

  SR	Early Eocene     	Middle Eocene    	                  	              	145	 883	E	 15	R	CC	  13.00	    772.5900	Shilov   	Radiolarians                                 	F              	P                 	R                  	R                            	R                 	R           	                   	                    	                    	                    	                         	                     	                         	                       	                          	                     	                	                   	                      	                       	                  	                     	                        	                    	                    	                      	from Leg 145 SR; Ch6; Table 2; p 123

