Expedition,Hole,"Core, section, interval (cm)",Depth CSF (m),Preservation,Abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus ,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster coalitus ,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Ceratolithus telesmus,Clausicoccus fenestratus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Coronocyclus nitescens (ellipical),Cyclicargolithus abisectus ,Cyclicargolithus floridanus,Dictyococcites antarcticus,Dictyococcites (<3 µm) ,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii ,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei ,Discoaster druggii,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,"Discoaster loeblichii
Discoaster prepentaradiatus",Discoaster neohamatus,Discoaster pentaradiatus ,Discoaster petaliformis,Discoaster prepentaradiatus,"Discoaster quinqueramus 
",Discoaster signus ,Discoaster surculus ,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis ,Emiliania huxleyi,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyrocapsa (>5.5 µm) ,Hayella challengeri,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera obliqua,Helicosphaera sellii,Neosphaera coccolithomorpha,Nicklithus amplificus,Orthorhabdus spp.,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra daviesii,Reticulofenestra haqii ,Reticulofenestra pseudoumbilicus,Scyphosphaera pulcherrima,Sphenolithus abies,Sphenolithus belemnos ,Sphenolithus conicus ,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus grandis,Sphenolithus heteromorphus,Sphenolithus moriformis ,Syracosphaera pulchra,Triquetrorhabdulus carinatus,Triquetrorhabdulus milowii,Triquetrorhabdulus rugosus,Umbilicosphaera jafari ,Umbilicosphaera rotula,Umbilicosphaera sibogae
321,U1337A,"6H-2, 16–18
6H-6, 129–131","45.16
52.30","P
P","F
F",,,,"C
C","F
F",,,,,,R,,,,F,,,,,,"A
A",,"R
R",,,,,"F
C",,,,,,,,,,R,,,,,"F
C",R,,F,,,,,,,,,"F
F",,,,,,,,,,,,,"F
F",,,,"C
C",,,,,,,,,,,,,,,,,R,
321,U1337A,6H-CC,53.45,P,C,,,,C,F,,,,,,F,,,,,,,,,,,,F,,,,,C,,,,,,,,,,R,,,,,C,F,R,R,,,,,,,,,,,,,,,,,,,,R,,,,,,A,,,1,,,,,,,,,,,,,,,
321,U1337A,"7H-1, 99",53.99,P,F,,,,C,F,,,,,,C,,,,,,,,,,D,,F,,,,,F,,,,,,,,,,R,,,,,F,,,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,R,
321,U1337A,"7H-4, 90",58.40,P,F,,,,C,C,,,,,,C,,,,,,,,,,A,,C,,,,,C,,,,,,,,,,C,,,,,F,,,F,,,,,,,,,R,,,,,,,,,,,,,F,,,,F,C,,F,,,,,,,,,R,,,,,,
321,U1337A,7H-CC,62.86,P,F,,,,C,F,,,,,,F,,,,,,,,,,F,,R,,,,,F,,,,,,,,,,R,,,,,F,R,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,F,F,,F,,,,,,,,,,,,,,R,
321,U1337A,"8H-2, 119–121",65.19,P,C,,,,C,R,,,,,,F,,,,,,,,,,A,,R,,,,,C,,R,,,,,,,,F,,,,,F,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,F,C,,A,,,,,,,,,,,,,,,
321,U1337A,"8H-4, 110",68.10,P,C,,,,C,F,,,,,,F,,,,,,,,,,A,C,,,,,,C,,R,,,,,,,,R,,,,,F,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,,C,,C,,,,,,,,,,,,,,,
321,U1337A,8H-CC,71.55,P,F,,,,C,R,,,,,,C,,,,,,,,,,C,F,,,,,,C,,,,,,,,,,F,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,C,,,,,,,,,,,,,,,
321,U1337A,"9H-3, 105",76.05,P–M,C,R,,,C,F,,,,,,C,,,,,,,,,F,A,C,,,,,,C,,R,,,,,,,,F,,,,,C,,R,C,,,,,,,,,R,,,,,,,,,,,,,,,,,A,C,,A,,,,,,,,,,,,,,,
321,U1337A,"9H-5, 75",78.75,P,C,,,,C,F,,,,,,C,,,,,,,,,C,A,F,,,,,,C,,,,,,,,,,C,,,,,C,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,A,A,,C,,,,,,,,,,,,,,,
321,U1337A,9H-CC,81.94,M,C,,,,F,F,,,,,,F,,,,,,,,,R,A,,,,,,,F,,,,,,,,,,F,,,,,C,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,A,F,,C,,,,,,,,,,,,,,F,
321,U1337A,"10H-2, 100",84.00,P,C,,R,R,F,C,,,,,,C,,,,,,,,,A,A,,,,,,,C,,,,,,,,,,F,,,,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,,
321,U1337A,"10H-3, 90",85.40,P–M,C,,,,C,F,,,,C,,,,,,R,,,,,A,C,,,,,,,C,,,,,,,,,,F,,,,,C,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,,A,,R,C,,,,,,,,,,,,,,,
321,U1337A,"10H-CC
11H-2, 43–45","91.53
92.93","P
P","F
C",R,F,,"F
C","R
F",,,,F,,,,,,R,,,,,"C
C","C
C",,,,,,,"F
F",,,,,,,,,,"R
F",,,,,"F
F",,,"F
C",,,,,,,,,,,,,,,,,,,,,,,,,,"C
A","C
C",,"F
C",,,,,,,,,,,,"R
R",,"R
R",
321,U1337A,"11H-3, 65",94.65,M,C,F,F,,C,,,,,,,,,,,R,,,,,F,A,,,,,,,,,,,,,,,,,R,,,,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,C,,,,,,,,,,,,F,,,
321,U1337A,"11H-5, 65",97.65,P–M,C,R,,,C,,,,,,,,,,,R,,,,,F,A,,,,,,,F,,R,,,,,,,,R,,,R,,C,,,C,,,,,,,,,,,R,,,,,,,,,,,,,,,C,A,,C,,,,,,,,,,,,F,,,
321,U1337A,"11H-6, 147",99.20,P,C,,,,C,,,,,,,,,,,,,,,,C,C,,,,,,,F,,R,,,,,,,,R,,,C,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,A,,,,,,,,,,,,F,,,
321,U1337A,11H-CC,101.00,P,R,,,,F,R,,,,,,,,,,,,,,,F,F,,,,,,,R,,,,,,,,,,R,,,1,,R,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,C,R,,F,,,,,,,,,,,,,,,
321,U1337A,"12H-4, 40",105.40,P–M,C,R,R,,C,,,,,,,,,,,,,,,,F,A,,,,,,,F,,,,,,,,,,R,,,R,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,A,,,,,,,,,,,,F,,,
321,U1337A,"12H-5, 60",107.40,M,A,,,,C,,,,,,,,,,,,,,,,,C,,,,F,,,,,,,,,,,,,,,,F,,C,,,C,,,,,,,R,,,,,,,,,,F,,,,,,,,,A,A,,A,,,,,,,,,R,,,F,,,
321,U1337A,12H-CC,110.40,P,C,R,1,,R,F,,,,,,,,,,R,,,,,,A,,,,,,,F,,,,,,,,,,R,,,R,,C,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,,C,F,,F,,,,,,,,,,,,,,,
321,U1337A,13H-CC,119.84,M,C,,R,,C,F,,,,,,,,,,R,,,,,R,C,,,,F,,,F,,,,,,,,,,,,,C,,F,,,C,,,,,,,,,,,R,,,,,,F,,,,,,,,,A,,,F,,,,,,,,,,,,,,,
321,U1337A,"14H-2, 43
14H-4, 63","121.43
124.63","M
P","C
C",,R,,"F
C",R,,"F
F",,,,,,,,"F
F",,,,,"C
F","A
A",,,,,,,"C
F",,,,,,,,,,,,,"F
R",,"C
R",,,"C
C",,,,,,,,,,,,,,,,,,,,,,,,,,"A
A","F
C",,"C
C",,,,,,,,,,,,F,,F,
321,U1337A,14H-CC,129.37,M,C,F,,,C,F,,,,,,,,,,C,,,,,,A,,,,F,,,C,,,,,,,,,,,,,,,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,A,,,,,,,,,,,,,,,
321,U1337A,"15H-2, 27",130.77,M,C,,R,,C,,,C,,,,,,,,C,,,,,F,A,,,,R,,,C,,,,,,,,,,R,,,R,,F,,R,C,,,,,,,,,F,,,,,,,,,,,,,,,,,A,,,A,,,,,,,,,,,,,,R,
321,U1337A,"15H-4, 10",133.60,P,C,,,,F,,,F,,,,,,,,F,,,,,,C,,,,,,,C,,,,,,,,,,,,,R,,C,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,A,,,C,,,,,,,,,,,,,,,
321,U1337A,15H-CC,138.82,M–P,C,,,,F,F,,,,,,,,,,F,,,,,,C,,,,R,,,F,,,,,,,,,,,,,,,F,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,C,,,,,,,,,,,,F,,,
321,U1337A,16H-CC,148.52,P,C,,,,F,F,,,,,,,,,,C,,,,,,A,,,,F,,,F,,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,F,,,,,,,,,,,,,,,D,,,A,,,,,,,,,,,,,,,
321,U1337A,"17H-3, 69–70",151.70,M,C,,,,C,,,F,,,,,,,,C,,,,,C,A,,,F,R,,,C,,R,,,,,,,,,,,,,F,,,C,,,,,,,,,F,,R,,,,,,,,,,,,,,,A,,,A,,,,,,,,,,,,,,,
321,U1337A,"17H-5, 85–86
17H-CC
18H-3, 82","154.86
157.99
162.64","M M
P","C A
C",,,,"C C
F",F,,"F C
C",,,,,,,,"C C
F",1,,,,F,"A D
A",,,"R A
A",,,,"C C
C",,R,,,,,,F,,,,,,,F,,,"A C
C",,,,,,,,,"F F
F",,,,,,,,,,,,,,,,,A,C,,"A A
A",,,,,,,,,,,,"F F
F",,,
321,U1337A,"18H-5, 75",164.29,P,C,,,,C,,,C,,,,,,,,C,,,,,F,A,,,A,,,,C,,,,,,,,,,,,,,,,,R,C,,,,,,,,,R,,,,,,,,,,,,,,,,,C,C,,A,,,,,,,,,,,,C,,,
321,U1337A,18H-CC,167.50,P,C,,,,R,F,,,,,,,,,,1,,,,,,,,,R,,,,C,F,,,,,,,F,R,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,,A,,,,,,,,,,,,F,,,
321,U1337A,"19H-2, 70",169.20,P,C,,,,F,,,F,,,,,,,,,,,,,F,A,,,R,,,,C,,R,,,,,,,,,,R,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,C,,,,,,,,,,,,F,,,
321,U1337A,"19H-4, 70",172.20,P,C,,,,,,,F,,,,,,,,F,,,,,C,C,,,,,,,C,,,,,,,,,F,,,R,,,,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,A,A,,C,,,,,,,,,,,,R,,R,
321,U1337A,19H-CC,177.00,P,C,,,,,F,,R,,,,,,,,F,,,,,,,,,F,,,,C,F,,,,,R,,,R,,,,,R,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,F,,,,,,,,,,,,R,,,
321,U1337A,"20H-3, 5",179.55,P,C,,,,F,F,,,,,,,,,,,,,,,C,F,,,F,,,,R,,,,,F,F,,,R,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,F,,,,,,,,,,,,,,,
321,U1337A,"20H-5, 60",183.10,P,C,,,,F,F,,,R,,,,,,,,,,,,C,F,,,,,,,,,,,,F,F,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,F,,,,,,,,,,,,,,,
321,U1337A,20H-CC,186.38,P,R,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,
321,U1337A,"21H-3, 80",189.80,P,C,,,,,F,,F,R,,,,,,,F,,,,,A,C,,,,,,,,,,,,F,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,C,,,,,,,,,,,,,,,
321,U1337A,"21H-5, 90",192.91,P,C,,,,,F,,R,,,,,,,,R,,,,,A,,,,,,,,,,,,,F,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,C,,,,,,,,,,,,,,,
321,U1337A,21H-CC,195.62,M,A,,,,R,F,,,1,,,,,,,R,,,,,C,C,,,F,,,,,,,,,,F,,,,,,,,,,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,A,C,,C,,,,,,,,,,,,,R,,
321,U1337A,"22X-1, 53",196.03,M,A,,,,F,F,,R,R,,,,,,,F,,,,,A,,,,,,,,,,,,,F,F,,,R,,R,,,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,,C,C,,C,,,,,,,,,,,,,,,
321,U1337A,22X-CC,198.04,P,R,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,
321,U1337A,"23X-2, 40",206.20,P,C,,,,,F,,,,,,,,,F,F,,,,,A,,,,,,,,,,,,,F,,?F,,,,R,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,C,,,,,,,,,,,,,,,
321,U1337A,"23X-4, 40",209.20,P,A,,,,,,,,,,,,,,F,F,,,,,C,,,,,,,,,,,,,F,,,,,,R,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,C,,,,,,,,,,,,,,,
321,U1337A,23X-CC,213.87,M,A,,,,R,F,,,,,,,,,C,F,,,,,A,,,,,,,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,,,,,,,,,,,F,,,
321,U1337A,"24X-2, 80
24X-CC","216.20
218.98","M
M","D
A",,,,,"C
F",,"F
R",,,,,,,"C
F","F
R",,,,,"A
A","A
A",,,,,R,,,,,F,,F,,1,,,,,,,,,,,"C
C",,,,,,,,,,,,,,,,,,,,,,,,,,"A
F","C
C",,"C
C",,,,,,,,,,,,R,,R,
321,U1337A,"25X-3, 40",226.80,M,D,,,,R,F,,R,,,,,,,F,C,,,,,A,A,,,,,,,,,,,,,,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,A,,,,,,,,,,,,,,,
321,U1337A,"25X-5, 37",226.77,M,A,,,,R,F,,R,,,,,,,F,A,,,,,A,A,,,,,,,,,,,,R,,C,,,,,,,,,,,C,,,,,,,,,F,,R,R,,,,,,,,,,,,,,A,A,,A,,,,,,,,,,,,,,,
321,U1337A,25X-CC,232.87,M,D,,,,R,F,,R,,,,,,,F,C,,,,,A,C,,,,,,,,,,F,,,,C,,,,,,,,,,,F,,,,,,,,,R,,R,,,,,,,,,,,,,,,F,C,,A,,,,,,,,F,,,,C,,R,
321,U1337A,"26X-3, 45",236.45,M,A,,,,F,F,,F,,,,,,,C,A,,,,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,C,C,,A,,,,,,,,F,,,,,,,
321,U1337A,"26X-5, 45",239.45,M,A,,,,F,F,R,F,,,,,,,C,C,R,R,,F,A,C,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,R,,R,,,,,,,,,,,,,,,A,C,,A,,,,,,,,R,,,,,,,
321,U1337A,26X-CC,242.42,M,D,,,,R,F,F,R,,,,,,,C,F,R,,,,A,A,,,,,,,,,,F,,C,,,,,,F,,,,,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,C,C,,A,,,,,,,,F,,,,C,,R,
321,U1337A,"27X-1, 48",242.68,M,C,,,,R,F,R,R,,,,,,,C,C,R,F,,,A,D,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,R,,,,,,,,,,,,,,C,C,,C,,,,,,,,,,,,C,,,
321,U1337A,27X-CC,243.46,P,C,,,,F,F,R,,,,,,,,F,C,R,,,R,A,D,,,,,,,,,,F,,,,,,,,R,,,,,,,F,,,,,,,,,R,,R,,,,,,,,,,,,,,,C,F,,C,,,,,,,,,,,,R,,,
321,U1337A,"28X-2, 74–75",253.94,M,A,,,,F,,F,,,,,,,,F,C,F,,,R,A,C,,,,,,,,,,R,,,,,,,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,?,C,C,,A,,,,,,,,R,,,,,,,
321,U1337A,28X-CC,256.37,P,A,,,,C,F,F,,,,,,,,C,C,R,,,R,A,C,,,,,,,,,,F,,F,,,,,,R,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,,C,,,,,,,,,,,,,,,
321,U1337A,"29X-3, 44–45",264.74,M,A,,,,F,,R,,,,,,,,C,C,R,,,R,A,C,,,,,,,,,,,,F,,,,,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,A,F,,C,,,,,,,,F,,,,,,,
321,U1337A,"29X-5, 36–37",267.66,M,A,,,,F,,F,,,,,,,,C,C,R,F,,R,A,C,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,F,,F,,,,,,,,,,,,,,,C,F,,A,,,,,,,,R,,,,,,,
321,U1337A,29X-CC,270.80,M,C,,,,,,F,,,,,,,,C,C,R,,,R,A,R,,,,,,,,,,F,,,,,,,,R,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,C,,,,,,,,F,,,,,,,
321,U1337A,"30X-2, 30
30X-5, 30
30X-CC","272.60
277.10
280.49","M
M M","A
A A",,,,"F
F F","F
F F","F
C F",,,,,,,,"F
C F","C
A C","F
F F",F,,"R
F C","A
A A","C
R C",,,,,,,,,,F,,F,,,,,,,,,,,,,"F
F F",,,,,,,,,F F,,"F
F",,,,,,,,,,,,,,"?
?","C
C C","C
F F",,"C
C C",,,,,,,,R C,,,,,,,
321,U1337A,"31X-3, 75",284.25,M,A,,,,C,R,F,,,,,,,,F,A,R,F,,C,A,A,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,C,F,,C,,,,,,,C,F,,,,,,,
321,U1337A,"31X-5, 75",287.25,M,A,,,,F,,,,,,,,,,C,C,F,,,C,A,A,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,,,R,,,,,C,C,,F,,,,,,,C,F,,,,,,,
321,U1337A,31X-CC,289.47,M,A,,,,R,,,,,,,,,,C,C,R,R,,C,A,F,,,,,,,,,,,,,,,,,,R,,,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,,C,,,F,,,,,,,C,C,,,,,,,
321,U1337A,"32X-2, 75",292.45,M,A,,,,F,,R,,,,,,,,F,C,,F,,A,A,C,,,,,,,,,,,,,,,,,,F,,,,,,,C,,,,,,,,,R,,,,,,,,,,,,R,,,,,C,F,,,,,,,,,A,C,,,,,,,
321,U1337A,"32X-4, 75",295.45,M,A,,,,F,,,,,,,,,,F,C,R,R,,A,A,C,,,,,,,,,,,,R,,,,,,,,,,,,,C,,,,,,,,,F,,F,,,,,,,,,,,,,,,C,F,,,,,,,,,A,C,,,,,,,
321,U1337A,32X-CC,297.17,M,A,,,,R,,F,,,,,,,,C,C,C,C,,C,A,,,,,,,,,,,,,R,,,,,,R,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,C,,,,,,,A,C,,,,,,,
321,U1337A,"33X-3, 62",303.32,M,A,,,,F,,,,,,,,,,C,C,F,F,,C,C,C,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,F,,R,,,,,,,,,,,,,,,C,F,,,,,,,,,A,A,,,,,,,
321,U1337A,"33X-5, 75",306.45,M,A,,,,F,,F,,,,,,,,C,A,F,F,,C,A,A,,,,,,,,,,,,F,,,,,,F,,,,,,,C,,,,,,,,,F,,,,,,,,,,,,,,,,,C,F,,,,,,,,,C,C,,,,,,,
321,U1337A,33X-CC,309.25,M,A,,,,,,,,,,,,,,C,A,R,,,C,C,A,,,,,,,,,,,,,,,,,,R,,,,,,,F,,,,,,,,,F,,F,,,,,,,,,,,,,,,C,,,,,,,,,,C,C,,,,,,,
321,U1337A,"34X-2, 70",311.50,M,A,,,,,,,,,,,,,,C,C,F,,,C,A,A,,,,,,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,F,,,,,,,,,,,,,,,,,C,,,,,,,,,,C,A,,,,,,,
321,U1337A,"34X-4, 70",314.50,M,A,,,,R,,,,,,,,,,C,C,F,F,,C,C,A,,,,,,,,,,,,R,,,,,,,,,,,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,A,,,,,,,,,,C,C,,,,,,,
321,U1337A,34X-CC,318.36,M,A,,,,F,,F,,,,,,,,C,A,F,F,,C,A,C,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,R,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,
321,U1337A,"35X-3, 75",322.65,M,A,,,,F,,F,,,,,,,,C,A,F,R,,A,A,C,,,,,,,,,,F,,,,,,,,,,,,,,,C,,,,,,,,,R,,F,,,,,,,,,,,,,,,C,,,,,,,,,,C,C,,,,,,,
321,U1337A,"35X-5, 75",325.65,M,A,,,,,,R,,,,,,,,C,C,,,,A,C,C,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,,,,,F,,,,,,,,,,R,,,,,A,F,,,,,,,,,A,C,,,,,,,
321,U1337A,35X-CC,327.23,M,A,,,,,,,,,,,,,,C,A,F,R,,C,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,R,,,F,F,,,,,,,,,,,,,,A,F,,,,,,,,,A,A,,,,,,,
