Expedition,Hole,Core,Type,Section,Depth top CSF-A (m),Depth bottom CSF-A (m),Preservation,Total radiolarians,Actinomma boreale,Actinomma medianum,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Collosphaera pyloma,Cycladophora cornutoides,Cycladophora cosma,Cycladophora davisiana,Cycladophora sakaii,Cyrtocapsella japonica,Dendrospyris sakaii,Dictyophimus bullatus,Dictyophimus hirundo,Eucyrtidium asanoi,Eucyrtidium inflatum,Eucyrtidium matuyamai,Lamprocyrtis heteroporos,Larcopyle buetschlii,Lipmanella redondoensis,Lithelius barbatus,Lychnocanomma magnacornuta,Lychnocanomma nipponica sakaii,Lychnocanomma parallelipes,Phormostichoartus fistula,Porodiscus circularis,Sphaeropyle langii/robusta group,Spongodiscus sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stichocorys delmontensis,Stichocorys peregrina,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Thecosphaera akitaensis,,
323,U1343E,9,H,CC,84.05,84.15,M,C,C,,,,,F,,F,,C,,,,,F,,,,,,,,,,,,,F,C,,F,F,,,,,F,,,
323,U1343E,10,H,CC,90.9,91,G,C,F,,,F,,C,,F,,F,,,,,,,,,,,,,,,,,,F,C,,F,,,,,,C,,,
323,U1343E,11,H,CC,101.67,101.77,M,C,C,,F,,F,F,,F,,,,,,,,,,,,F,,,,F,,,,,C,,F,F,,,,C,F,,,
323,U1343E,12,H,CC,106.59,106.69,M,C,F,,,F,F,C,,,,F,,,,,,,,,,,,,,,,,,F,C,,,,,,F,,,,,
323,U1343E,14,H,CC,115.95,116.05,M,C,F,,,F,,C,,F,,A,,,,,F,,,,,F,,,,F,,,,F,C,,F,,,,F,,F,,,
323,U1343E,15,H,CC,123.35,123.45,M,F,F,,,F,,F,,F,,C,,,,,F,,,,,,,,,,,,,F,F,,F,,,,F,,,,,
323,U1343E,16,H,CC,129.46,129.56,M,C,F,,,F,,C,,F,,F,,,,,C,,,,,F,,,,,,,,F,C,,F,F,,,,,,,,
323,U1343E,17,H,CC,138.34,138.44,M,F,F,,,,,,,,,C,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,
323,U1343E,18,H,CC,148.21,148.31,P,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,
323,U1343E,19,H,CC,155.87,155.97,M,F,,,,,,F,,,,F,,,,,F,,,,,F,,,,,,,,,F,,,,,,,,,,,
323,U1343E,20,H,CC,164.89,164.99,M,A,C,,,F,,C,,,,A,,,,,C,,,,,F,,,,,,,,C,A,,F,F,,,,,F,,,
323,U1343E,21,H,CC,175.07,175.17,M,C,F,,,,,C,,,,C,,,,,F,,,,,,,,,,,,,F,,,,,,,,,F,,,
323,U1343E,22,H,CC,183.76,183.86,M,F,,,,F,,F,,F,,F,,,,,F,,,,,,,,,,,,,,F,,F,F,,,,,,,,
323,U1343E,23,H,CC,193.31,193.41,M,C,F,,,F,,F,,F,,A,,,,,F,,,,,,,,,,,,,F,C,,F,F,,,,,,,,
323,U1343E,24,H,CC,197.47,197.57,M,F,F,,,F,,,,,,C,,,,,F,,,,,,,,,,,,,F,F,,F,,,,,,F,,,
323,U1343E,25,H,CC,207.99,208.09,M,F,F,,,,,,,,,F,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,
323,U1343E,26,H,CC,217.04,217.14,G,C,,,,F,,F,,,,A,,,,,,,,,,F,,,,,,,,,F,,F,,,,,,F,,,
323,U1343E,27,H,CC,226.01,226.11,G,C,F,,,F,,C,,,,A,,,,,,,,,,,,,,,,,,,F,,F,F,,,,,,,,
323,U1343E,28,H,CC,234.72,234.82,M,F,F,,,,,F,,F,,C,,,,,,,,,,,,,,,,,,,F,,F,F,,,,,,,,
323,U1343E,29,H,CC,245.49,245.59,M,F,,,,,,,,,,C,,,,,F,,,,,,,,,,,,,,F,,F,,,,,,F,,,
323,U1343E,30,H,CC,254.21,254.31,M,F,F,,,,,F,,,,F,F,,,,,,,,,,,,,,,,,F,F,,F,F,,,,,,,,
323,U1343E,31,H,CC,263.75,263.85,M,C,F,,,,,F,,F,,,,,,,,,,,,F,,,,,,,,,,F,F,,,,F,,F,,,
323,U1343E,32,H,CC,272.49,272.59,M,F,F,,,,,,,,,F,F,,,,,,,,,,,,,,,,,F,,,F,,,,,,F,,,
323,U1343E,33,H,CC,282.2,282.3,M,F,F,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,
323,U1343E,34,H,CC,291.18,291.28,M,F,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,,,,,,,,
323,U1343E,35,H,CC,301.39,301.49,M,F,F,,,,,,,F,,F,,,,,,,,F,,F,,,,,,,,F,,F,F,F,,,,,,,,
323,U1343E,36,H,CC,311.1,311.2,P,F,F,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
323,U1343E,37,H,CC,320.19,320.29,M,F,F,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
323,U1343E,38,H,CC,329.74,329.84,P,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
323,U1343E,39,H,CC,338.41,338.51,P,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,
323,U1343E,40,H,CC,346.74,346.84,M,F,,,,F,,F,,,,C,F,,,,F,,,,,,,,,,,,,F,,,F,,,,,,,,,
323,U1343E,41,H,CC,354.32,354.42,P,F,,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,F,,,,,,,,,
323,U1343E,42,X,CC,359.57,359.67,M,F,F,,,F,,F,,,,C,F,,,,F,,,F,,,,,,,,,,F,,F,F,F,,,,F,F,,,
323,U1343E,43,X,CC,367.32,367.42,P,F,,,,F,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,
323,U1343E,44,X,CC,376.59,376.69,M,F,,,,F,,F,,F,,F,,,,,F,,,,,,,,,,,,,,,,F,F,,,,,,,,
323,U1343E,45,X,CC,388.26,388.36,P,F,,,,F,,F,,,,,,,,,F,,,,,,,,,,,,,,,,F,F,,,,,,,,
323,U1343E,46,H,CC,398.57,398.67,M,C,F,,,F,,F,,F,,C,F,,,,F,,,,,F,,,,,,,,F,,F,C,F,,,,,F,,,
323,U1343E,47,H,CC,405.99,406.09,M,F,,,,,,F,,F,,F,F,,,,F,,,,,,,,,,,,,,,F,F,F,,,,,,,,
323,U1343E,48,H,CC,412.33,412.43,M,F,,,,F,,F,,F,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,
323,U1343E,49,H,CC,418.44,418.54,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,
323,U1343E,50,X,CC,428.5,428.6,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
323,U1343E,51,X,CC,435.85,435.95,M,F,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,F,F,,,,F,F,F,,,
323,U1343E,52,X,CC,446.16,446.21,M,F,,,,F,,F,,F,,C,,,,,,,,,,,,,,,,,,,,F,F,,,,,F,,,,
323,U1343E,53,X,CC,455.88,455.98,-,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1343E,54,X,CC,463.39,463.49,P,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
323,U1343E,55,X,CC,475.6,475.7,P,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1343E,56,X,CC,482.57,482.67,P,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
323,U1343E,57,X,CC,493.97,494.07,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,F,,F,,,
323,U1343E,58,X,CC,502.88,502.98,M,F,,,,F,,F,,,,F,,,,,,,,,,,,,,,,,,,,F,F,,,,,,F,,,
323,U1343E,59,X,CC,512.52,512.62,M,F,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,F,,,
323,U1343E,60,X,CC,521.9,522,M,F,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,
323,U1343E,61,X,CC,532.41,532.51,P,F,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
323,U1343E,62,X,CC,541.78,541.88,M,F,,,,F,,F,,,,F,,,,,F,,,,,,,,,,,,,,,,F,,,,,,,,,
323,U1343E,63,X,CC,550.54,550.64,M,F,,,,,,F,,,,F,F,,,,F,,,,,,,,,,,,,,,,F,,,,,,F,,,
323,U1343E,64,X,CC,561.05,561.15,M,F,,,,F,,,,,,F,,,,,,,,F,,,,,,,,,,,,F,F,,,,,,,,,
323,U1343E,65,X,CC,568.77,568.87,M,F,,,,F,,,,,,,,,,,,,,,,F,,,,,,,,,,F,F,F,,,,,F,,,
323,U1343E,66,X,CC,581.04,581.14,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,
323,U1343E,67,X,CC,588.5,588.6,M,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
323,U1343E,68,X,CC,599.26,599.36,M,F,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,
323,U1343E,69,X,CC,606.84,606.94,G,F,F,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,
323,U1343E,70,X,CC,617.9,618,P,F,,,,F,,,,,,,,,,,,,,F,,F,,,,,,,,,,,F,F,,,,,F,,,
323,U1343E,71,X,CC,628.16,628.26,P,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
323,U1343E,72,X,CC,634.44,634.54,P,F,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
323,U1343E,73,X,CC,643.79,643.89,P,F,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
323,U1343E,74,X,CC,657.41,657.51,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,
323,U1343E,75,X,CC,667.09,667.19,P,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
323,U1343E,76,X,CC,674.96,675.06,M,F,F,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1343E,77,X,CC,686.37,686.37,P,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,
323,U1343E,78,X,CC,695.2,695.3,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,
323,U1343E,79,X,CC,705.72,705.82,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,U1343E,80,X,CC,713.8,713.9,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
323,U1343E,81,X,CC,724.96,725.06,M,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,
323,U1343E,82,X,CC,734.41,734.51,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,
323,U1343E,83,X,CC,743.9,744,P,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
