Sample,top depth,bottom depth,Radiolarian zone,Abundance,Preservation,Mixing,Acrocubus octopylus,Amphirhopalum ypsilon,Anthocyrtidium angulare,Anthocyrtidum pliocenica,Botryostrobus miralestensis,Calocycletta caepa,Calocycletta costata,Calocycletta robusta,Calocycletta virginis,Carpocanopsis cingulata,Carpocanopsis cristata,Centrobotris petrushevskayae,Collosphaera tuberosa,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Didymocyrtis antipenultima,Didymocyrtis avita,Didymocyrtis bassanii,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetratharamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris praeforcipata,Dorcadospyris scambos,Eucyrtidium diaphanes,Lamaprocyrtis heteroporos,Lamaprocyrtis neoheteroporos,Liriospyris parkerae,Liriospyris stauropora,Lithopera neotera,Lithopera renzae,Lophocyrtis leptetrum,Lophocyrtis pegetrum,Lychnocanoma elongata,Lychnodictyum audax,Nephrospyris renila,Phormostichoartus doliolum,Phormostichoartus fistula,Pterocanium prismatium,Solenosphaera omnitubus,Spongaster berminghami,Spongaster pentas,Spongaster tetras tetras,Stichocorys armata,Stichocorys delmontensis,Stichocorys johnsoni,Stichocorys pergrina,Stichocorys wolffii,Stylatractus universus,Theocorythium trachelium,Theocorythium vetulum,Theocyrtis annosa
321-U1337A-16H-CC,148.52,148.52,RN7,A,M,,,,,,,F,,,,,,,,,,,,F,,R,,,F,,F,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,C,,,,,,,
321-U1337A-17H-CC,157.99,157.99,RN7,A,M,,,,,,,R,,,,,,,,,,,,F,,R,,,F,,F,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,C,,,,,,,
321-U1337A-18H-CC,167.5,167.5,RN7,C,M,,,,,,R,,,,,,,,,,,,,F,R,R,,,F,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,C,,,,,,,
321-U1337A-19H-CC,177,177,RN6,C,M,,,,,,R,R,,,,,,,,,,,,,F,R,,,F,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,C,,,,,,,
321-U1337A-20H-CC,186.38,186.38,RN6,R,G,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,R,,,,,,,
321-U1337A-21H-CC,195.62,195.62,RN6,A,G,,,,,,R,R,,,,,,,,,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,C,,,,
321-U1337A-22X-CC,198.04,198.04,RN6,R,G,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,
321-U1337A-23X-CC,213.87,213.87,RN6,C,M,,,,,,F,R,,,,,R,,,,,R,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,,C,,,,
321-U1337A-24X-CC,218.98,218.98,RN6,A,G,,,,,,F,R,,,,,,,,,,C,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,F,,,,
321-U1337A-25X-CC,232.87,232.87,RN6,A,G,,,,,,R,R,,,,,R,,,,,C,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,C,,,F,,,,
321-U1337A-26X-CC,242.42,242.42,RN6,A,G,,,,,,R,R,,,,,,,,,R,,F,,R,,,,R,,,,,,,,,,,,,,,,R,,,,,,,R,R,,,,,,,C,,,R,,,,
321-U1337A-27X-CC,243.46,243.46,RN6,R,G,,,,,,,R,,,,,R,,,,,,R,,R,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,R,,,,
321-U1337A-28X-CC,256.37,256.37,RN5,A,G,,,,,,R,R,,,,,,,,,R,,R,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,R,R,,,,,,,F,,,,,,,
321-U1337A-29X-CC,270.8,270.8,RN5,A,G,,,,,,R,R,,,,,R,,,,R,,R,,,,,,R,,,,,,,,,,,,,,,,R,R,,,,R,,R,,,,,,,,C,,,,,,,
321-U1337A-30X-CC,280.49,280.49,RN5,A,M,,,,,,R,R,,R,,,R,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,F,,,R,,,,
321-U1337A-31X-CC,289.47,289.47,RN5,A,M,,R,,,,R,,,R,,,,,,,,,F,,,,,,R,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,R,F,,,,,,,
321-U1337A-32X-CC,297.17,297.17,RN5,A,M,,R,,,,R,,,R,,,,,,,R,,R,,,,,R,R,,,,,,,,,,,,,,R,,,R,,,,R,,,,,,,,,,F,,,,,,,
321-U1337A-33X-CC,309.25,309.25,RN5,A,M,,R,,,,R,,,F,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,R,,,,R,,R,R,,,,,,,F,,,R,,,,
321-U1337A-34X-CC,318.36,318.36,RN4,A,G,,R,,,,R,,C,R,R,,,,,,R,,R,,,,,R,,R,,R,,R,R,R,,,,,,,,R,,R,,,,,,,,,,,,,,F,,,,,,,
321-U1337A-35X-CC,327.23,327.23,RN4,A,M,,R,,,,,,R,R,R,,,,,,R,,R,,,,,,,R,,,,,R,R,,,,,,,,R,,R,,,,R,,,,,,,,,,F,,,,,,,
321-U1337A-36X-CC,338.15,338.15,RN4,A,M,,,,,,R,,R,R,R,R,,,,,R,,R,,,,,R,,,,R,,,R,R,,,,,,,,R,,R,R,,,R,,R,,,,,,,,F,,,R,,,,
321-U1337A-37X-CC,347.64,347.64,RN4,A,M,,,,,,,,R,F,R,R,,,,,R,,R,,,,,,,R,,R,,R,R,R,,,,,,,,R,,,R,,R,,,,,,,,,,,F,,,R,,,,
321-U1337A-38X-CC,352.65,352.65,RN4,A,M,,,,,,,,R,R,R,R,,,,,R,,C,,,,,,,,,R,,R,R,R,,,,,,,,R,,,,,,,,,,,,,,,,F,,,R,,,,
321-U1337A-39X-CC,366.85,366.85,RN3,A,M,,,,,,,,,F,R,R,,R,,,R,,C,,,,,,,R,,R,,,R,,R,,,,,,,,,,R,,,,,,,,,,,,,F,,,R,,,,
321-U1337A-40X-CC,376.47,376.47,RN2,A,M,,,,,,,,,R,,R,,,,,R,,F,,,,,,,,,R,,,R,,R,,,,,,,,,,R,,R,R,,,,,,,,,,F,,,R,,,,
321-U1337A-41X-CC,386.06,386.06,RN2,A,M,,,,,,,,,F,R,R,,,,,F,,F,,,,,,,,,,,R,R,,,,R,,,,,,,,,,R,,,R,R,,,,,,,F,,,R,,,,
321-U1337A-42X-CC,394.23,394.23,RN2,A,G,,,,,,,,,R,R,R,,,,,R,,F,,,,,R,,,,R,,R,,,,,R,,,,,,,,,,R,,,,,,,,,,,F,,,,,,,
321-U1337A-43X-CC,405.14,405.14,RN2,A,M,,,,,,,,,R,R,R,,R,,,F,,F,,,,,,,,,R,,R,,,R,,R,,,,,,,,R,,R,,,,,,,,,,,F,,,,,,,
321-U1337A-44X-CC,414.54,414.54,RN2,A,M,,,,,,,,,R,R,R,,R,,,R,,F,,,,,,,,,R,,R,,,,,R,,,,,,,,R,,R,,,,,,,,,,,F,,,,,,,
321-U1337A-45X-CC,424.19,424.19,RN2,A,G,,,,,,,,,R,R,,,R,,,R,,R,,,,,R,,,,R,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,
321-U1337A-46X-CC,433.49,433.49,RN1,A,G,,,,,,,,,R,,,,,,,F,,F,,,,,R,,,,R,,R,,,,R,R,R,,,,,,,,R,R,,,,,,,,,,,,,,,,,,R
321-U1337A-47X-CC,443.45,443.45,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1337A-48X-CC,449.32,449.32,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
