Sample,Depth CSF (m),Zone name (short),Preservation,Group abundance,Acarinina cf. medizzi,Catapsydrax dissimilis,Catapsydrax unicavus,Catapsydrax spp.,Chiloguembelina cubensis,Chiloguembelina otara,Clavigerinella spp. (fragments),Dentoglobigerina altispira,Dentoglobigerina baroemoensis,Dentoglobigerina galavisi,Dentoglobigerina globularis,Dentoglobigerina tripartita,Dentoglobigerina pseudovenezuelana,Dentoglobigerina spp.,Globigerina angulisuturalis,Globigerina ciperoensis,Globigerina officianilis,Globigerina praebulloides,Globigerina spp.,Globigerinoides altiapertura,Globigerinoides immaturus,Globigerinoides primordius,Globigerinoides spp.,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina euapertura,Globoquadrina praedehiscens,Globoquadrina rohri,Globoquadrina sellii,Globoquadrina spp.,Globoquadrina tapuriensis,Globoquadrina venezuelana,Globorotalia (Fohsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Hirsutella) scitula,Globoturborotalita anguliofficinalis,Globoturborotalita brazeri,Globoturborotalita ouachitaensis,Globoturborotalita woodi,Paragloborotalia bella,Paragloborotalia continuosa,Paragloborotalia nana,Paragloborotalia griffinoides,Paragloborotalia kugleri,Paragloborotalia opima,Paragloborotalia opima-nana transition,Paragloborotalia pseudocontinuosa,Paragloborotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis/mayeri,"Parasubbotina varianta
Paragloborotalia spp.",Parasubbotina griffinae,Praeorbulina sicana,Spharoidinellopsis disjuncta,Subbotina angiporoides,Subbotina eoceana,Subbotina linaperta,Subbotina utilisindex,Subbotina spp.,Turborotalia ampliapertura,Turborotalia increbescans,Turborotalia pomeroli,Turborotalia spp.,Tenuitellinata angustiumbilicata,Tenuitella munda,Tenuitutella spp.,
320-U1334A-4H-CC,37.18,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"320-U1334A-5H-4, 39–41",41.59,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"320-U1334A-5H-6, 39–41",44.59,M1b,M,2,,P,P,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,P,P,,,,,,,,,,,,P,,,,P,P,P,,,,,,,,,,,,,,,,,
320-U1334A-5H-CC,46.78,M1b,G,50,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,P,,P,,,,P,,,,,,,,,,,,,,,,,,,
"320-U1334A-6H-2, 38–40",48.08,M1b,M,15,,P,P,,,,,,,,,P,,,,,,P,,,,,,,P,,,P,,,P,P,,,,,,,,,,P,,,,,,P,P,P,,,,,,,,,,,,,,,,,
"320-U1334A-6H-4, 38–40",51.08,M1b,G,20,,P,P,,,,,,,,P,,,P,,,,,,,,,,P,,,,P,,,P,P,,,,,,,,,P,P,,,,,,P,P,P,,,,,,,,,,,,,,,,,
320-U1334A-6H-CC,56.20,M1b,M,30,,,P,,,,,,,,P,P,,,,P,,,,,,P,,,,P,,,,,P,P,,,,,,,,,,,,P,,,,P,P,,,,,,,,,,,,,,,,,,
"320-U1334A-7H-3, 39–41",59.09,M1b,G,20,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,
"320-U1334A-7H-5, 38–40",62.08,M1b,G,20,,,P,,,,,,,,,P,,,,,,,,,,,,,P,,,P,P,,P,,,,,,,,,,P,,,,,,,P,P,P,,,,,,,,,,,,,,,,,
320-U1334A-7H-CC,65.66,M1b,M,20,,,,,,,,,,,,,,P,,,,,,P,,P,,,P,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,
"320-U1334A-8H-2, 38–40",67.08,M1b,M,15,,P,,,,,,,,,,P,,,P,,,P,,,,,,,,R,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,P,,
"320-U1334A-8H-5, 38–39",71.58,M1b,M,5,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-8H-CC,75.06,M1b,M,20,,P,P,,,,,,,,P,P,,,P,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,
"320-U1334A-9H-2, 38–40",76.58,M1,P,<1,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"320-U1334A-9H-4, 38–40",79.58,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-9H-CC,84.74,M1a,P,<1,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"320-U1334A-10H-2, 38–39",86.08,M1a,G,5,,P,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,,P,P,,,,,,,,,,,,P,,,,P,P,,,,,,,,,,,,,,,,,,
"320-U1334A-10H-5, 38–40",90.58,O6,M,<5,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,P,,,,,,P,P,P,,,,,,,,,,,,,,,,,
320-U1334A-10H-CC,93.95,O6,G,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,P,,,,,,,,,,,,,,,,,,,
320-U1334A-11H-CC,103.75,O6,M,<1,,P,P,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,
"320-U1334A-12H-4, 105–107",108.75,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-12H-CC,112.58,O6,M,10,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,
"320-U1334A-13H-2, 38–40",113.58,O6,M,5,,,P,,,,,,,,,,P,P,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,P,,P,,,,,,,,,,,,,,,,,
"320-U1334A-13H-4, 38–40",116.58,O6,P,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-13H-CC,122.55,O6,M,15,,,,,,,,,P,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,P,,P,,,,,,,,,,,,,,,P,
320-U1334A-14H-CC,131.96,O6,P,2,,P,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-15H-CC,141.20,O6,M,15,,P,P,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-16H-CC,149.57,O6,M,20,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"320-U1334A-17H-2, 38–40",152.58,O4–O5,M,40,,P,P,,,,,,,P,,,,,,,,,P,,,,,,,P,,,,,,P,,,,,,,,,,P,,,P,,P,,P,,P,,,,,,,,,,,,,P,,,
"320-U1334A-17H-4, 38–40",155.58,O4–O5,M,1,,P,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,
320-U1334A-17H-CC,159.42,O4–O5,G,80,,,P,,,,,,,,,P,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,P,,P,,,P,,,,,,,,,,,P,,,,,,
"320-U1334A-18H-2, 38–40",162.08,O4–O5,M,10,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,P,,,,P,,,,,,,,,,,,,,,,,,
"320-U1334A-18H-4, 38–40",165.08,O4–O5,M,10,,,,,,,,,,,,P,,,P,,,,,,,,,,,P,,P,P,,,P,,,,,,,,,,P,,,P,,,,P,,,,,,,,,,,,,,,,P,,
320-U1334A-18H-CC,170.17,O4–O5,G,>80,,P,P,,,,,,,,,P,,P,P,,,,,,,,,,,P,,,P,,,P,,,,,,P,,,,P,,,P,,P,,,,,,,,,,,,,,P,,,,,,
"320-U1334A-19H-2, 38–40",172.18,O4–O5,G,70,,,P,,,,,,,,,P,,,P,,,P,,,,,,,,P,,,,,,,,,,,,,,,,P,,,P,,R,,,,,,,,P,,,,,,P,,,,P,,
"320-U1334A-19H-4, 38–40",175.18,O3,M,50,,R,,,,,,,,,P,P,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-19H-CC,178.49,O3,G,>90,,P,P,,,,,,P,,,P,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,
"320-U1334A-20H-2, 38–40",181.08,O3,M,10,,,,,,,,,,P,P,P,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,P,P,,,P,,P,,P,P,P,,,,,,,,,,P,,,,,,
"320-U1334A-20H-4, 38–40",184.08,O3,M,20,,P,P,,,,,,,P,,P,P,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,P,,,P,,,,,P,,,,,,,,,,,,,,,,,
320-U1334A-20H-CC,188.63,O3,M,50,,,P,,,,,,,P,P,P,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,
"320-U1334A-21H-2, 38–40",190.58,O3,M,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,
"320-U1334A-21H-4, 38–40",193.58,O3,M,15,,P,P,,,,,,,P,,P,,,,,,,,,,,,,,P,,,,P,P,P,,,,,,,,,,,,,,,P,,,,P,,,,P,,,P,,,,,,,,,
320-U1334A-21H-CC,198.48,O2–O4,M,30,,P,P,,,,,,,P,P,P,,,,,,P,,,,,,,,P,,,,,,P,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,P,,
"320-U1334A-22H-2, 93–95",200.63,O3,P,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"320-U1334A-22H-4, 38–40",203.08,O3,M,20,,P,P,P,,,,,,P,,P,P,,,,P,P,,,,,,,,P,,,,,,P,,,,,,,,,,P,,,P,,,,,,,,,,,P,,,,,,,,,,,
320-U1334A-22H-CC,206.86,O3 or younger,M,15,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,P,,,,,,,,P,,,,
"320-U1334A-23X-2, 38–40",208.78,O1–O2,P,<1,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,P,,,,,,,,,,,,
"320-U1334A-23X-4, 98–100",212.38,O1–O2,P,<1,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-23X-CC,216.17,O1–O2,M,35,,,P,,,,,,,,P,P,,P,,,P,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,
320-U1334A-24X-CC,224.22,O1–O2,M,15,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,
320-U1334A-25X-CC,233.79,O1–O2,M,5,,,P,,,,,,,P,,P,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-26X-CC,243.36,E15–O2,M,5,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,,,,,,,
320-U1334A-27X-CC,250.74,E11–O2,P,<1,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,
"320-U1334A-28X-5, 37–39",259.17,E13–O4,P,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,
320-U1334A-28X-CC,262.62,E10–E16,P,1,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,
"320-U1334A-29X-2, 27–29",263.62,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"320-U1334A-29X-4, 39–41",265.80,B,B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-29X-CC,272.00,Eocene,P,1,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,
"320-U1334A-30X-2, 24–25",273.84,E13–E14,P,2,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,P,P,,P,,P,P,,,,,
"320-U1334A-30X-6, 48–50",280.08,E13–E14,M,25,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,P,P,,,P,P,P,,P,,P,P,,,,,
320-U1334A-30X-CC,281.50,E13–E14,M,2,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,P,,,,,P,P,,,,,,,,,,
"320-U1334A-31X-1, 25–27",282.05,E13–E15,P,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-31X-CC,283.89,E7 or younger,P,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,
