Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tabulozoans/Bryozoans (unspecified taxon or taxa),Sphinctozoan (unspecified taxon or taxa)(sponge),Salzburgia (unspecified taxon or taxa)(sponge),Retiophyllia sp. (cnidarian),Peronidella (unspecified taxon or taxa)(sponge),Inozoans (unspecified taxon or taxa)(sponge),Hydrozoans (unspecified taxon or taxa)(cnidarian),Sestrostomella (unspecified taxon or taxa)(sponge),Spongiomorpha ramosa (cnidarian),Disjectopora (unspecified taxon or taxa)(sponge),Molengraaffia (unspecified taxon or taxa)(sponge),Calcisponges (unspecified taxon or taxa)(sponge),Astreomorpha crassisepta (cnidarian),Stromatomorpha rhaetica (cnidarian),Spongiomorphids (unspecified taxon or taxa)(cnidarian),Retiophyllia paraclathrata (cnidarian),Corals (other)  (cnidarian),Margarosmilia gr. charlyana (cnidarian),Astreomorpha confusa (cnidarian),Chondrocoenia schafhaeutli (cnidarian),Thamnasteroid corals  (cnidarian),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 11,R, 1,  84.00,     99.3400,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,K                           ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,uncertain identity of Retiophyllia sp.; from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 12,R, 1,  10.00,    108.1000,Sarti    ,Macrofossils                                 ,               ,                  ,+                                                ,                                                ,                                              ,K                           ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,K                                     ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 13,R, 1,   3.00,    117.5300,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,K                          ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 14,R,CC,   1.00,    127.0100,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,Y                               ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 14,R,CC,   2.00,    127.0200,Sarti    ,Macrofossils                                 ,               ,                  ,+                                                ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 14,R,CC,  14.00,    127.1400,Sarti    ,Macrofossils                                 ,               ,                  ,+                                                ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 18,R,CC,   5.00,    160.5500,Sarti    ,Macrofossils                                 ,               ,                  ,+                                                ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 18,R,CC,  14.00,    160.6400,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,+                          ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 18,R,CC,  14.00,    160.6400,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,+                                                     ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 18,R,CC,  18.00,    160.6800,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,K                          ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 20,R, 1,  81.00,    175.8100,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,+                                ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 20,R, 1,  84.00,    175.8400,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,+                           ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,Y                          ,                                       ,                                ,                                      ,                                 ,uncertain identity of Retiophyllia sp.; from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 20,R, 1,  94.00,    175.9400,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,Y                               ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 20,R, 1, 106.00,    176.0600,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,Y                               ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 21,R,CC,   2.00,    184.5200,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,+                                ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 21,R,CC,  21.00,    184.7100,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,K                          ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 22,R, 1,   1.00,    194.0100,Sarti    ,Macrofossils                                 ,               ,                  ,K                                                ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,K                          ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 22,R, 1,   4.00,    194.0400,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,+                                                     ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 22,R, 1,   5.00,    194.0500,Sarti    ,Macrofossils                                 ,               ,                  ,+                                                ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,K                                               ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 23,R, 1,   8.00,    203.5800,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,+                                   ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 23,R, 1,  26.00,    203.7600,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,Y                           ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,uncertain identity of Retiophyllia sp.; from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 23,R, 1,  34.00,    203.8400,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,+                                   ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 23,R, 1,  48.00,    203.9800,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,+                                     ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 23,R, 1,  49.00,    203.9900,Sarti    ,Macrofossils                                 ,               ,                  ,+                                                ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 23,R, 1,  52.00,    204.0200,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,+                                     ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 23,R, 1,  84.00,    204.3400,Sarti    ,Macrofossils                                 ,               ,                  ,+                                                ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,+                               ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 23,R, 1,  94.00,    204.4400,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,K                                                     ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 23,R, 1,  98.00,    204.4800,Sarti    ,Macrofossils                                 ,               ,                  ,+                                                ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 24,R, 1,   1.00,    213.0100,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,+                                               ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,+                               ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,+                                     ,                           ,                                       ,                                ,                                      ,                                 ,uncertain identity of Spinctozoans; from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 24,R, 1, 123.00,    214.2300,Sarti    ,Macrofossils                                 ,               ,                  ,+                                                ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 24,R, 1, 127.00,    214.2700,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,+                                     ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 24,R, 1, 131.00,    214.3100,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,+                           ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 25,R, 1,  19.00,    222.6900,Sarti    ,Macrofossils                                 ,               ,                  ,+                                                ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,Y                               ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 25,R, 1,  44.00,    222.9400,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,+                                              ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,K                                               ,                                    ,                                   ,                                                      ,                                      ,K                          ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 25,R, 1,  71.00,    223.2100,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,+                               ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 25,R, 1,  97.00,    223.4700,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,+                                      ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 26,R, 1,  40.00,    232.4000,Sarti    ,Macrofossils                                 ,               ,                  ,+                                                ,                                                ,                                              ,                            ,                                               ,                                            ,+                                                ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,uncertain identity of Hydrozoans; from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 26,R, 1,  42.00,    232.4200,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,+                                               ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 26,R, 1,  46.00,    232.4600,Sarti    ,Macrofossils                                 ,               ,                  ,+                                                ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 26,R, 1,  53.00,    232.5300,Sarti    ,Macrofossils                                 ,               ,                  ,+                                                ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 27,R, 1,   0.00,    241.5000,Sarti    ,Macrofossils                                 ,               ,                  ,+                                                ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,K                          ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 27,R, 1,   3.00,    241.5300,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,+                           ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,K                                               ,                                    ,                                   ,+                                                     ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,uncertain identity of Spongomorphids; from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 27,R, 1,  18.00,    241.6800,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,+                           ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 27,R, 1,  22.00,    241.7200,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,+                                     ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 27,R, 1,  33.00,    241.8300,Sarti    ,Macrofossils                                 ,               ,                  ,Y                                                ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 27,R, 1,  63.00,    242.1300,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,+                                                ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 27,R, 1,  73.00,    242.2300,Sarti    ,Macrofossils                                 ,               ,                  ,+                                                ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
