Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis spp.,Stephanopyxis dimorpha,Proboscia curvirostris,Neodenticula seminae,Coscinodiscus marginatus,Thalassionema nitzschioides,Proboscia barboi,Neodenticula kamtschatica,Fragilariopsis reinholdii,Comment
  IR,                 ,                 ,                  ,              ,204,1245,B, 10,H,CC,  31.00,     94.7100,Watanabe ,Diatoms                                      ,T              ,P                 ,                  ,T                     ,                      ,                    ,                        ,                           ,+               ,+                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 11,H,CC,  20.00,    104.3100,Watanabe ,Diatoms                                      ,R              ,P                 ,T                 ,R                     ,T                     ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 12,H,CC,  24.00,    113.8400,Watanabe ,Diatoms                                      ,R              ,P                 ,T                 ,R                     ,T                     ,T                   ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 13,H,CC,  21.00,    122.7000,Watanabe ,Diatoms                                      ,R              ,P                 ,T                 ,R                     ,T                     ,T                   ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 14,H,CC,  17.00,    127.7900,Watanabe ,Diatoms                                      ,F              ,P                 ,T                 ,R                     ,T                     ,T                   ,                        ,R                          ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 15,X,CC,  13.00,    132.0300,Watanabe ,Diatoms                                      ,C              ,M                 ,R                 ,C                     ,R                     ,R                   ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 16,X,CC,  33.00,    144.8200,Watanabe ,Diatoms                                      ,C              ,P                 ,R                 ,C                     ,T                     ,T                   ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 18,X,CC,  31.00,    156.7200,Watanabe ,Diatoms                                      ,F              ,P                 ,R                 ,F                     ,T                     ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 19,X,CC,  27.00,    163.2300,Watanabe ,Diatoms                                      ,C              ,M                 ,R                 ,C                     ,R                     ,T                   ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 20,X,CC,  32.00,    174.4700,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 21,X,CC,  21.00,    182.5800,Watanabe ,Diatoms                                      ,R              ,P                 ,T                 ,R                     ,T                     ,T                   ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 22,X,CC,  30.00,    195.1000,Watanabe ,Diatoms                                      ,T              ,M                 ,T                 ,T                     ,                      ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 23,X,CC,   0.00,    203.7000,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 24,X, 7, 150.00,            ,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,R                     ,                      ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 24,X,CC,  31.00,    213.9500,Watanabe ,Diatoms                                      ,R              ,P                 ,T                 ,T                     ,                      ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 25,X,CC,  23.00,    223.6400,Watanabe ,Diatoms                                      ,R              ,P                 ,T                 ,R                     ,                      ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 26,X,CC,  80.00,    232.3800,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 27,X,CC,   0.00,    242.7300,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 31,X,CC,  18.00,    280.3300,Watanabe ,Diatoms                                      ,R              ,P                 ,T                 ,R                     ,                      ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 32,X,CC,  31.00,    290.8300,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 34,X,CC,  26.00,    302.5700,Watanabe ,Diatoms                                      ,R              ,P                 ,T                 ,R                     ,                      ,                    ,T                       ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 35,X,CC,  52.00,    310.5100,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,T                       ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 36,X,CC,  34.00,    319.7200,Watanabe ,Diatoms                                      ,R              ,P                 ,T                 ,R                     ,T                     ,T                   ,T                       ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 37,X,CC,  16.00,    329.6100,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,T                       ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 38,X,CC,  27.00,    339.4700,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,T                       ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 39,X,CC,  38.00,    348.9300,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,T                       ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 40,X,CC,  73.00,    357.5100,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,T                       ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 41,X,CC,  33.00,    363.6800,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 42,X,CC,  33.00,    376.3100,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,T                       ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 43,X,CC,  31.00,    385.1100,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 44,X,CC,  40.00,    394.7000,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 45,X,CC,  30.00,    404.3100,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 47,X,CC,  33.00,    412.8700,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,T                       ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 48,X,CC,  29.00,    423.9900,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 49,X,CC,  37.00,    432.5700,Watanabe ,Diatoms                                      ,T              ,P                 ,T                 ,T                     ,                      ,                    ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 51,X, 3,  20.00,    448.4000,Watanabe ,Diatoms                                      ,R              ,P                 ,T                 ,T                     ,T                     ,T                   ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B, 53,X, 5,  68.00,    470.4400,Watanabe ,Diatoms                                      ,R              ,P                 ,T                 ,T                     ,T                     ,T                   ,T                       ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
