Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeugrhabdotus embergeri,Watznaueria barnesae,Tranolithus phacelosus,Tranolithus gabalus,Thoracosphaera sp.,Stradneria crenulata,Reinhardtites levis,Reinhardtites anthophorus,Prediscosphaera stoveri,Prediscosphaera honjoi,Prediscosphaera cretacea,Placozygus fibuliformis,Monomarginatus pectinatus,Micula decussata,Microrhabdulus decoratus,Kamptnerius magnificus,Gartnerago obliquum,Eiffellithus turriseiffelii,Eiffellithus gorkae,Corollithion signum,Chiastozygus sp.,Chiastozygus amphipons,Biscutum magnum,Biscutum dissimilis,Biscutum constans,Biscutum castrorum,Arkhangelskiella specillata,Arkhangelskiella cymbiformis,Ahmuellerella octoradiata,Prediscosphaera spinosa,Cribrosphaerella ehrenbergii,Biscutum coronum,Tranolithus exiguus,Zygodiscus xenotus,Broinsonia enormis,Vekshinella parma,Phanulithus obscurus,Lucianorhabdus cayeuxii,Cretarhabdus conicus,Staurolithus sp.,Repagalum parvidentatum,Prediscosphaera bukryi,Glaukolithus diplogrammus,Glaukolithus compactus,Chiastozygus garrisonii,Thoracosphaera operculata,Reinhardtites sp. aff. Reinhardtites anthophorus,Prediscosphaera arkhangelskyi,Placozygus sigmoides,Scampanella cornuta,Rhagodiscus angustus,Quadrum trifidum,Misceomarginatus pleniporus,Lithraphidites carniolensis,Braarudosphaera bigelowii,Aspidolithus parcus constrictus,Quadrum sissinghii,Eiffellithus eximius,Broinsonia furtiva,Prediscosphaera grandis,Chiastozygus litterarius,Markalius inversus,Cretarhabdus loriei,Rhagodiscus splendens,Rhagodiscus sp.,Cretarhabdus angustiforatus,Biscutum notaculum,Phanulithus ovalis,Micula murus,Manivitella pemmatoidea,Nephrolithus corystus,Lapideacassis mariae,Prediscosphaera intercisa,Ceratolithoides aculeus,Cribrosphaerella daniae,Lithraphidites quadratus,Monomarginatus quaternarius,Lucianorhabdus arcuatus,Comment
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 758,A, 33,X, 5,  47.00,    311.7700,Resiwati ,Nannofossils                                 ,A              ,P/M               ,                       ,C                   ,R                     ,                   ,                  ,A                   ,R                  ,                         ,R                      ,                      ,C                       ,                       ,R                        ,A               ,C                       ,A                     ,R                  ,A                          ,C                  ,                   ,C               ,                      ,C              ,F                  ,R                ,                  ,A                          ,                            ,A                        ,R                      ,C                           ,F               ,                   ,F                 ,F                 ,                 ,F                   ,A                      ,C                   ,                ,R                      ,R                     ,                         ,R                     ,                       ,                         ,C                                               ,                             ,R                   ,                   ,R                   ,                ,                           ,F                          ,                         ,F                              ,R                 ,                    ,C                 ,C                      ,                        ,R                 ,C                  ,                     ,               ,F                          ,                  ,F                 ,            ,R                      ,C                    ,                    ,                         ,F                      ,R                      ,                        ,                           ,                       ,from ODP Leg 121 SR Chapter 5 Table 5 p 159-161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 758,A, 33,X, 6,  47.00,    313.2700,Resiwati ,Nannofossils                                 ,A              ,M                 ,R                      ,C                   ,                      ,                   ,                  ,C                   ,C                  ,                         ,F                      ,                      ,C                       ,                       ,R                        ,A               ,A                       ,C                     ,F                  ,C                          ,R                  ,                   ,C               ,                      ,C              ,R                  ,C                ,                  ,C                          ,                            ,C                        ,F                      ,A                           ,                ,                   ,C                 ,C                 ,                 ,C                   ,C                      ,F                   ,                ,R                      ,                      ,                         ,F                     ,C                      ,                         ,F                                               ,F                            ,F                   ,                   ,                    ,                ,                           ,C                          ,R                        ,F                              ,R                 ,                    ,C                 ,C                      ,                        ,                  ,R                  ,                     ,C              ,C                          ,                  ,                  ,            ,R                      ,R                    ,                    ,                         ,                       ,                       ,                        ,                           ,                       ,from ODP Leg 121 SR Chapter 5 Table 5 p 159-161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 758,A, 33,X,CC,  42.00,    314.9100,Resiwati ,Nannofossils                                 ,A              ,M                 ,                       ,C                   ,C                     ,                   ,                  ,C                   ,F                  ,                         ,                       ,                      ,C                       ,                       ,F                        ,                ,C                       ,C                     ,F                  ,F                          ,F                  ,                   ,                ,                      ,C              ,F                  ,                 ,                  ,A                          ,C                           ,C                        ,F                      ,C                           ,                ,                   ,F                 ,                  ,                 ,                    ,C                      ,                    ,                ,                       ,                      ,                         ,C                     ,                       ,                         ,C                                               ,                             ,                    ,                   ,R                   ,F               ,                           ,C                          ,                         ,R                              ,F                 ,                    ,C                 ,C                      ,C                       ,R                 ,C                  ,                     ,R              ,F                          ,                  ,                  ,            ,R                      ,                     ,                    ,                         ,                       ,                       ,                        ,                           ,                       ,from ODP Leg 121 SR Chapter 5 Table 5 p 159-161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 758,A, 33,X,CC,  44.00,    314.9300,Resiwati ,Nannofossils                                 ,               ,                  ,                       ,A                   ,                      ,                   ,                  ,                    ,                   ,                         ,                       ,                      ,                        ,                       ,                         ,A               ,F                       ,                      ,                   ,F                          ,                   ,                   ,                ,                      ,C              ,R                  ,                 ,                  ,A                          ,                            ,                         ,                       ,                            ,                ,                   ,                  ,                  ,                 ,                    ,                       ,                    ,                ,                       ,                      ,                         ,                      ,                       ,                         ,                                                ,                             ,                    ,                   ,                    ,                ,                           ,                           ,                         ,                               ,                  ,                    ,                  ,                       ,                        ,                  ,                   ,                     ,               ,                           ,                  ,                  ,            ,                       ,                     ,                    ,                         ,                       ,                       ,                        ,                           ,                       ,from ODP Leg 121 SR Chapter 5 Table 5 p 159-161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 758,A, 34,X, 1,  37.00,    315.2700,Resiwati ,Nannofossils                                 ,A              ,G                 ,C                      ,C                   ,                      ,                   ,                  ,C                   ,C                  ,                         ,                       ,                      ,R                       ,                       ,F                        ,A               ,C                       ,C                     ,F                  ,C                          ,                   ,                   ,C               ,                      ,F              ,F                  ,                 ,C                 ,C                          ,C                           ,C                        ,A                      ,R                           ,                ,                   ,                  ,                  ,                 ,                    ,F                      ,C                   ,                ,R                      ,                      ,                         ,F                     ,                       ,                         ,F                                               ,?                            ,                    ,                   ,                    ,R               ,                           ,F                          ,                         ,F                              ,F                 ,                    ,C                 ,C                      ,C                       ,                  ,C                  ,R                    ,               ,F                          ,                  ,                  ,            ,                       ,R                    ,                    ,                         ,                       ,                       ,                        ,                           ,                       ,from ODP Leg 121 SR Chapter 5 Table 5 p 159-161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
