Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis	Sphaeroidinella dehiscens	Menardella limbata	Globigerinoides obliquus	Menardella multicamerata	Menardella miocenica	Hirsutella hirsuta	Globoquadrina venezuelana	Globigerinoides extremus	Dentoglobigerina altispira	Menardella exilis	Menardella pertenuis	Globigerinoides fistulosus	Globigerina falconensis	Globoconella inflata	Pulleniatina obliquiloculata	Truncorotalia truncatulinoides (sin.)	Truncorotalia truncatulinoides (dex.)	Globigerina bulloides	Neogloboquadrina pachyderma	Globoturborotalita rubescens	Globorotalia tumida	Globoturborotalita woodi	Menardella menardii (sinistral)	Menardella menardii (dextral)	Globigerinella calida	Truncorotalia crassaformis hessi	Globorotalia tumida flexuosa	Globigerina bermudezi	Hastigerina pelagica	Comment
  IR	                 	Pleistocene      	                  	N22           	172	1061	A	  3	H	CC	  22.00	     29.0000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	-                         	-                        	                  	                        	                        	                    	R                 	                         	                        	                          	                 	                    	                          	-                      	+                   	-                           	-                                    	R                                    	-                    	R                          	-                           	-                  	                        	-                              	-                            	R                    	                                	                            	-                    	                    	mica; pyrite burrows; rads

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	  4	H	CC	   0.00	     38.1200	Chaisson 	Planktonic Foraminifers                      	F              	M                 	-                         	-                        	                  	                        	                        	                    	F                 	                         	                        	                          	                 	                    	                          	R                      	F                   	-                           	R                                    	F                                    	R                    	-                          	R                           	-                  	                        	-                              	-                            	R                    	                                	                            	-                    	                    	mica; rads; black crud (iron-rich clay)

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	  5	H	CC	  20.00	     48.0200	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                         	-                        	                  	                        	                        	                    	F                 	                         	                        	                          	                 	                    	                          	R                      	F                   	-                           	-                                    	F                                    	R                    	-                          	R                           	R                  	                        	-                              	-                            	R                    	                                	R                           	-                    	                    	Uvigerina present

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	  6	H	CC	  10.00	     57.1200	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	-                        	                  	                        	                        	                    	R                 	                         	                        	                          	                 	                    	                          	-                      	+                   	-                           	R                                    	-                                    	-                    	-                          	R                           	R                  	                        	-                              	-                            	-                    	                                	R                           	                     	                    	Uvigerina present; rads present, but fewer than in previous cc's of this hole

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	  7	H	CC	  23.00	     67.0500	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	-                        	                  	                        	                        	                    	R                 	                         	                        	                          	                 	                    	                          	-                      	F                   	-                           	R                                    	R                                    	-                    	R                          	-                           	-                  	                        	-                              	-                            	-                    	                                	                            	                     	                    	-huge numbers of diatoms; some rads-examined the >250 micron fraction to remove diatom fragments

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	  8	H	CC	  18.00	     76.2800	Chaisson 	Planktonic Foraminifers                      	F              	P                 	-                         	-                        	                  	                        	                        	                    	-                 	                         	                        	                          	                 	                    	                          	-                      	A                   	-                           	-                                    	R                                    	-                    	R                          	R                           	-                  	                        	-                              	-                            	-                    	                                	                            	                     	                    	Uvigerina present dissolution has removed susceptible spp.

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	  9	H	CC	  22.00	     86.1200	Chaisson 	Planktonic Foraminifers                      	F              	P                 	R                         	R                        	                  	                        	                        	                    	-                 	                         	                        	                          	                 	                    	                          	-                      	F                   	-                           	F                                    	-                                    	-                    	-                          	R                           	-                  	                        	-                              	-                            	-                    	+                               	                            	                     	                    	mica, diatoms, rads, sponge spicules

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 10	H	 3	  70.00	     89.2000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	                          	                         	                  	                        	                        	                    	+                 	                         	                        	                          	                 	                    	                          	                       	+                   	                            	+                                    	+                                    	                     	                           	                            	+                  	                        	+                              	                             	                     	                                	F                           	                     	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 10	H	 4	  70.00	     90.7000	Chaisson 	Planktonic Foraminifers                      	F              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	                            	R                                    	                                     	                     	F                          	R                           	                   	                        	                               	                             	                     	                                	                            	                     	                    	no flexuosa

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 10	H	 5	  70.00	     92.2000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	 almost no forams pk

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 10	H	 6	  70.00	     93.7000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	R                      	F                   	                            	                                     	R                                    	                     	F                          	R                           	                   	                        	                               	                             	                     	                                	                            	                     	                    	no flexuosa

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 10	H	CC	  20.00	     95.4700	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	R                        	                  	                        	                        	                    	-                 	                         	                        	                          	                 	                    	                          	R                      	F                   	-                           	R                                    	R                                    	-                    	R                          	-                           	R                  	                        	-                              	-                            	-                    	R                               	R                           	                     	                    	       

  IR	                 	                 	                  	              	172	1061	A	 11	H	 3	  70.00	     98.7000	Chaisson 	Planktonic Foraminifers                      	               	                  	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	+                      	+                   	                            	                                     	+                                    	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 11	H	CC	  14.00	    105.0400	Chaisson 	Planktonic Foraminifers                      	F              	P                 	R                         	R                        	                  	                        	                        	                    	-                 	                         	                        	                          	                 	                    	                          	-                      	-                   	-                           	-                                    	R                                    	-                    	-                          	-                           	-                  	                        	-                              	-                            	-                    	                                	                            	                     	                    	clay, mica, rads and no inflata

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 12	H	CC	   9.00	    114.3900	Chaisson 	Planktonic Foraminifers                      	F              	P                 	R                         	-                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	-                      	A                   	-                           	-                                    	R                                    	-                    	R                          	-                           	-                  	                        	-                              	-                            	-                    	                                	                            	                     	                    	mica

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 13	H	CC	  27.00	    124.2300	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	                            	F                                    	                                     	F                    	R                          	R                           	R                  	                        	                               	                             	                     	R                               	                            	                     	                    	pyrite

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 14	H	CC	  21.00	    132.9500	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	                                     	+                                    	                     	                           	                            	R                  	                        	                               	                             	                     	                                	                            	                     	                    	pyrite Uvigerina abundant

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 15	H	CC	  19.00	    143.0700	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	+                                    	+                                    	                     	                           	                            	1                  	                        	                               	                             	                     	                                	                            	                     	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 16	H	 5	  68.00	    147.1600	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	                                     	                                     	                     	R                          	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	basically just inflata remains

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 16	H	 6	  68.00	    148.6600	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                         	R                        	                  	                        	                        	                    	                  	                         	r                       	                          	                 	                    	                          	                       	F                   	R                           	                                     	R                                    	                     	                           	R                           	F                  	                        	R                              	                             	                     	R                               	                            	                     	                    	hessi present

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 16	H	 7	  70.00	    150.1800	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	R                           	R                                    	                                     	                     	R                          	R                           	                   	                        	                               	                             	                     	                                	                            	                     	                    	no crassaformis

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 16	H	CC	  64.00	    151.6200	Chaisson 	Planktonic Foraminifers                      	R              	M                 	+                         	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	A                   	                            	                                     	+                                    	                     	                           	                            	R                  	                        	                               	                             	                     	                                	                            	                     	                    	pyrite, mica, quartz or feldspath Uvigerina present

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 17	X	 1	  68.00	    152.6800	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	                                     	                                     	                     	                           	                            	+                  	                        	                               	                             	                     	                                	                            	                     	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 17	X	 2	  68.00	    154.1800	Chaisson 	Planktonic Foraminifers                      	T              	M                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	                            	                                     	+                                    	                     	R                          	R                           	                   	                        	                               	                             	                     	                                	                            	                     	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 17	X	 3	  68.00	    155.6800	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	+                      	+                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 17	X	CC	   0.00	    157.0900	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	A                   	                            	                                     	R                                    	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite very abundant all forams are rare

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 18	X	CC	  16.00	    164.9000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	+                           	                                     	+                                    	                     	                           	                            	                   	                        	                               	+                            	                     	                                	                            	                     	                    	clays pyrite

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 19	X	CC	  27.00	    175.4300	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	R                      	A                   	                            	                                     	+                                    	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	almost no forams

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 20	X	CC	  33.00	    183.7900	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	+                                    	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	hematite? very few forams...

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 21	X	CC	  19.00	    194.2100	Chaisson 	Planktonic Foraminifers                      	R              	P                 	-                         	-                        	                  	                        	                        	                    	-                 	                         	                        	                          	                 	                    	                          	-                      	A                   	-                           	F                                    	-                                    	-                    	-                          	-                           	-                  	                        	-                              	-                            	                     	                                	                            	                     	                    	pyrite

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 22	X	CC	  34.00	    203.4400	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	-                        	                  	                        	                        	                    	-                 	                         	                        	                          	                 	                    	                          	-                      	+                   	+                           	-                                    	A                                    	-                    	-                          	-                           	-                  	                        	-                              	-                            	-                    	                                	                            	                     	                    	Uvigerina present

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 23	X	CC	  23.00	    212.0100	Chaisson 	Planktonic Foraminifers                      	R              	P                 	R                         	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	mostly pyrite and mica

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 24	X	CC	  13.00	    222.4200	Chaisson 	Planktonic Foraminifers                      	R              	P                 	R                         	R                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	                            	                                     	R                                    	                     	R                          	R                           	                   	                        	                               	                             	                     	                                	                            	                     	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 25	X	 2	  62.00	    226.9200	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	1                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 25	X	 3	  59.00	    228.3900	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 25	X	 4	  66.00	    229.9600	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	+                           	                                     	+                                    	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	 25	X	CC	  38.00	    231.4800	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	R                        	                  	+                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	R                      	+                   	                            	                                     	R                                    	R                    	F                          	R                           	                   	                        	                               	                             	                     	                                	                            	                     	                    	       

  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1061	A	 26	X	 1	  70.00	    235.2000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                         	                  	1                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	11                  	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite

  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1061	A	 26	X	CC	  28.00	    241.3400	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	R                        	                  	R                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	                            	                                     	F                                    	                     	R                          	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       

  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1061	A	 27	X	CC	  61.00	    251.6100	Chaisson 	Planktonic Foraminifers                      	R              	P                 	F                         	R                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	R                      	+                   	                            	                                     	                                     	                     	F                          	R                           	                   	                        	+                              	                             	                     	                                	                            	                     	                    	no truncat

  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1061	A	 28	X	CC	  77.00	    261.0000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	R                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	F                      	R                   	                            	                                     	                                     	R                    	F                          	F                           	R                  	+                       	                               	                             	                     	                                	                            	                     	                    	Uvigerina; mica; pyritized burrows no obliquus found

  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1061	A	 29	X	CC	  24.00	    271.5000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	R                        	                  	R                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	R                      	F                   	                            	                                     	                                     	R                    	R                          	F                           	R                  	                        	                               	                             	                     	                                	                            	                     	                    	slim tumida no truncat

  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1061	A	 30	X	CC	  39.00	    281.6600	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                         	                  	R                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	                            	                                     	R                                    	F                    	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	mica	

  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1061	A	 31	X	CC	  48.00	    289.2300	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       

  IR	Late Pliocene    	Pleistocene      	                  	N22           	172	1061	A	 32	X	CC	  13.00	    292.5300	Chaisson 	Planktonic Foraminifers                      	R              	P                 	F                         	                         	                  	R                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	R                      	R                   	                            	R                                    	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	mica

  IR	                 	Late Pliocene    	                  	N22           	172	1061	A	 33	X	 1	  67.00	    302.6700	Chaisson 	Planktonic Foraminifers                      	T              	P                 	1                         	22                       	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	 around 30 forams only

  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	 33	X	 2	  80.00	    304.3000	Chaisson 	Planktonic Foraminifers                      	A              	G                 	A                         	A                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	R                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	no truncat.

  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	 33	X	 3	  65.00	    305.6500	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	+                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	no truncat

  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	 33	X	 4	  63.00	    307.1300	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	almost nothing

  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	 33	X	CC	  28.00	    308.2800	Chaisson 	Planktonic Foraminifers                      	T              	P                 	F                         	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	F                   	R                           	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	mica pyrite inflata present

  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	 34	X	 1	  65.00	    312.3500	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	1                   	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	 34	X	 2	  65.00	    313.8500	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	+                        	                  	                        	                        	                    	                  	                         	R                       	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite (burrows)

  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	 34	X	CC	  30.00	    315.4900	Chaisson 	Planktonic Foraminifers                      	R              	M                 	+                         	+                        	                  	R                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	R                      	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	mica pyrite no trunc. or inflata

  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	 35	X	 1	  68.00	    321.9800	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	around 20 forams

  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	 35	X	 2	  66.00	    323.4600	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	+                        	                  	+                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       

  IR	                 	Late Pliocene    	                  	N21           	172	1061	A	 35	X	CC	  28.00	    326.4700	Chaisson 	Planktonic Foraminifers                      	A              	VG                	+                         	                         	                  	                        	                        	F                   	                  	                         	                        	R                         	F                	R                   	1                         	+                      	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite/ ostracodes

  IR	                 	                 	                  	              	172	1061	A	 36	X	 1	  68.00	    331.5800	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite

  IR	                 	Middle Pliocene  	                  	N20           	172	1061	A	 36	X	 2	  61.00	    333.0100	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	+                        	+                 	+                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite

  IR	                 	Middle Pliocene  	                  	N20           	172	1061	A	 36	X	 3	  62.00	    334.4700	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                         	+                 	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite

  IR	                 	Middle Pliocene  	                  	N20           	172	1061	A	 36	X	 4	  64.00	    335.6100	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	+                        	                  	                        	                        	                    	+                 	                         	                        	1                         	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1061	A	 36	X	 5	  66.00	    337.1300	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	A                        	                  	                        	                        	                    	                  	                         	                        	                          	1                	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	       

  IR	                 	Middle Pliocene  	                  	N20           	172	1061	A	 36	X	CC	  37.00	    338.7000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	+                         	                         	+                 	                        	+                       	+                   	+                 	+                        	+                       	+                         	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite/ ostracodes>3.1 Ma

  IR	                 	Middle Pliocene  	                  	N20           	172	1061	A	 37	X	CC	  37.00	    346.3400	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	+                        	1                 	+                       	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	                                     	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	forams diluted by abundant pyrite

