Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster druggii,Discoaster deflandrei,Coccolithus pelagicus,Helicosphaera euphratis,Cyclicargolithus floridanus,Coronocyclus nitescens,Sphenolithus moriformis,Sphenolithus disbelemnos,Reticulofenestra haqii,Calcidiscus leptoporus,Hughesius tasmaniae,Hayella challengeri,Coccolithus miopelagicus,Reticulofenestra minuta,Sphenolithus spp.,Sphenolithus heteromorphus,Sphenolithus grandis,Sphenolithus delphix,Helicosphaera mediterranea,Helicosphaera ampliaperta,Umbilicosphaera rotula,Helicosphaera scissura,Helicosphaera perch-nielseniae,Discoaster spp.,Discoaster musicus,Triquetrorhabdulus milowii,Syracosphaera spp.,Cryptococcolithus mediaperforatus,Umbilicosphaera jafari,Reticulofenestra pseudoumbilica(5-7microns),Pontosphaera multipora,Discoaster exilis,Discoaster petaliformis,Calcidiscus premacintyrei,Reticulofenestra pseudoumbilica (>7microns),Helicosphaera intermedia,Sphenolithus dissimilis,Helicosphaera carteri,Helicosphaera stalis,Florisphaera profunda,Pontosphaera japonica,Discoaster challengeri,Helicosphaera walbersdorfensis,Helicosphaera orientalis,Umbilicosphaera rotaria,Discoaster bollii,Helicosphaera granulata,Braarudosphaera bigelowii,Discoaster kugleri,Triquetrorhabdulus rugosus,Sphenolithus ciperoensis,Sphenolithus abies,Reticulofenestra spp.,Discoaster prepentaradiatus,Discoaster pansus,Discoaster calcaris,Discoaster brouweri,Discoaster braarudii,Ceratolithus atlanticus,Calcidiscus tropicus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster bergenii,Calcidiscus macintyrei,Gephyrocapsa spp. (small),Discoaster surculus,Discoaster neorectus,Discoaster variabilis,Amaurolithus primus,Amaurolithus delicatus,Discoaster triradiatus,Reticulofenestra minutula,Pseudoemiliania ovata,Scapholithus fossilis,Pseudoemiliania lacunosa,Discoaster asymmetricus,Amaurolithus tricorniculatus,Coccolithus pelagicus (with bar),Helicosphaera sellii,Ceratolithus cristatus,Umbilicosphaera sibogae var. sibogae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A,  4,R,CC,  21.00,    337.2400,Boeckel  ,Nannofossils                                 ,R              ,M                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,                      ,C                     ,                   ,                   ,                        ,A                      ,                 ,                          ,                    ,                    ,                          ,                         ,F                     ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,R                     ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,A                    ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,F                  ,                    ,                       ,                    ,                       ,C                       ,                   ,                      ,A                        ,                   ,                    ,                     ,                   ,                      ,                      ,A                        ,C                    ,                     ,C                       ,                       ,                            ,A                               ,R                   ,R                     ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN17              ,NN17          ,190,1177,A,  5,R,CC,  21.00,    344.2400,nannos   ,Nannofossils                                 ,T              ,M                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,                      ,C                     ,                   ,                   ,                        ,A                      ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,D                    ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,F                  ,                    ,                       ,                    ,                       ,C                       ,                   ,                      ,C                        ,F                  ,                    ,                     ,                   ,                      ,F                     ,C                        ,C                    ,                     ,C                       ,                       ,                            ,C                               ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN17              ,NN17          ,190,1177,A,  6,R,CC,  23.00,    351.6300,nannos   ,Nannofossils                                 ,T              ,M                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,A                     ,C                     ,                   ,                   ,                        ,A                      ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,C                 ,                                 ,                      ,F                                          ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,A                    ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,F                  ,                    ,                       ,                    ,                       ,F                       ,                   ,                      ,                         ,F                  ,                    ,                     ,                   ,                      ,                      ,A                        ,                     ,                     ,C                       ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A,  7,R, 4,  75.00,    362.5500,Boeckel  ,Nannofossils                                 ,F              ,M                 ,                  ,                     ,F                    ,                       ,                           ,                      ,                       ,                        ,                      ,C                     ,                   ,                   ,                        ,A                      ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,C                    ,                    ,A                    ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,C                       ,                   ,F                     ,A                        ,F                  ,                    ,F                    ,                   ,                      ,F                     ,A                        ,                     ,                     ,F                       ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A,  7,R,CC,  26.00,    367.1100,Boeckel  ,Nannofossils                                 ,C              ,G                 ,                  ,                     ,F                    ,                       ,                           ,                      ,                       ,                        ,                      ,C                     ,                   ,                   ,                        ,A                      ,                 ,                          ,                    ,                    ,                          ,                         ,F                     ,                      ,                              ,               ,                  ,                          ,F                 ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,A                    ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,F                  ,                    ,                       ,                    ,                       ,C                       ,                   ,                      ,C                        ,R                  ,                    ,                     ,                   ,                      ,                      ,A                        ,C                    ,F                    ,C                       ,R                      ,R                           ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A,  8,R,CC,  16.00,    376.6700,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,                      ,C                     ,                   ,                   ,                        ,                       ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,F                  ,                    ,                       ,                    ,                       ,C                       ,                   ,                      ,A                        ,F                  ,                    ,                     ,                   ,                      ,                      ,A                        ,C                    ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A,  9,R, 3,  75.00,    380.3500,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,                      ,F                     ,                   ,                   ,                        ,C                      ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,F              ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,A                  ,                    ,                       ,                    ,                       ,C                       ,                   ,C                     ,C                        ,C                  ,                    ,F                    ,                   ,                      ,                      ,C                        ,A                    ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A,  9,R,CC,  24.00,    385.2600,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,                      ,                      ,                   ,                   ,                        ,A                      ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,A                    ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,C                  ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,A                        ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 12,R,CC,  30.00,    410.6900,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,                      ,A                     ,                   ,                   ,                        ,A                      ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,A                                          ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 13,R, 3,  75.00,    418.6500,Boeckel  ,Nannofossils                                 ,F              ,P                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,A                     ,                      ,                   ,                   ,                        ,                       ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,F                                          ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,C                  ,                    ,                       ,                    ,                       ,A                       ,                   ,                      ,                         ,A                  ,                    ,A                    ,                   ,F                     ,F                     ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 13,R,CC,  36.00,    424.8600,Boeckel  ,Nannofossils                                 ,R              ,M                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,D                     ,                      ,                   ,                   ,                        ,A                      ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 14,R,CC,  31.00,    433.3300,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,C                    ,                       ,                           ,                      ,                       ,                        ,                      ,C                     ,                   ,                   ,                        ,                       ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,F              ,                  ,                          ,                  ,                                 ,                      ,A                                          ,                      ,C                ,                       ,                         ,D                                          ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,F                 ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,C                      ,                        ,                   ,                      ,                         ,C                  ,                    ,C                    ,F                  ,F                     ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 18,R,CC,  13.00,    464.0400,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,A                     ,                      ,                   ,                   ,                        ,                       ,A                ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,C                   ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 19,R,CC,  23.00,    482.4600,Boeckel  ,Nannofossils                                 ,R              ,M                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,A                     ,                      ,                   ,                   ,                        ,                       ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,A                  ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 21,R, 1,  76.00,    492.7600,Boeckel  ,Nannofossils                                 ,R              ,M                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,                      ,C                     ,                   ,                   ,                        ,A                      ,                 ,                          ,                    ,                    ,                          ,                         ,C                     ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,C                    ,                    ,C                    ,                     ,F                     ,                              ,                        ,F                      ,                 ,                       ,                         ,                  ,                          ,                        ,C                 ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,A                        ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 23,R, 1,  74.00,    511.8400,Boeckel  ,Nannofossils                                 ,R              ,M                 ,                  ,                     ,C                    ,                       ,                           ,                      ,R                      ,                        ,F                     ,R                     ,                   ,                   ,                        ,D                      ,F                ,                          ,                    ,                    ,                          ,                         ,R                     ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,F                                          ,F                     ,                 ,                       ,                         ,R                                          ,                        ,                       ,R                    ,                    ,                     ,                     ,F                     ,                              ,                        ,                       ,R                ,                       ,                         ,                  ,                          ,                        ,F                 ,                     ,                           ,F                ,                   ,C                  ,                    ,                       ,                    ,R                      ,R                       ,F                  ,R                     ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 23,R,CC,  27.00,    513.2400,Boeckel  ,Nannofossils                                 ,F              ,M                 ,                  ,                     ,                     ,                       ,                           ,                      ,F                      ,                        ,C                     ,                      ,                   ,                   ,                        ,D                      ,                 ,                          ,R                   ,                    ,                          ,                         ,F                     ,                      ,                              ,F              ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,R                                          ,                        ,                       ,R                    ,                    ,C                    ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,C                 ,                     ,C                          ,R                ,F                  ,F                  ,F                   ,R                      ,F                   ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A, 26,R, 1,  49.00,    540.5900,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,                      ,                      ,                   ,                   ,                        ,                       ,D                ,C                         ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,C                                          ,                      ,                 ,                       ,                         ,C                                          ,                        ,                       ,                     ,                    ,                     ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,                   ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,                         ,                     ,                     ,                        ,                       ,                            ,                                ,                    ,                      ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
