Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia pomeroli,Turborotalia cerroazulensis,Subbotina praeturritilina,Subbotina linaperta,Subbotina hagni,Subbotina eocaena,Pseudohastigerina micra,Morozovella spinulosa,Morozovella lehneri,Hantkenina alabamensis,Globigerinatheka subconglobata,Globigerinatheka mexicana,Chiloguembelina cubensis,Catapsydrax dissimilis,Acarinina bullbrooki,Turborotalia possagnoensis,Globigerinatheka index,Acarinina collactea,Truncorotaloides rohri,Turborotalia cocoaensis,Porticulasphaera semiinvoluta,Subbotina venezuelana,Globigerinoides trilobus,Globigerinoides mitra,Dentoglobigerina altispira altispira,Globorotalia truncatulinoides,Globorotalia inflata,Globoquadrina dehiscens,Comment
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,B,  4,H,CC,  28.00,     33.7200,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,F                    ,F                          ,                         ,F                  ,               ,                 ,F                      ,                     ,                   ,P                     ,                              ,                         ,F                       ,F                     ,                    ,                          ,                      ,                   ,                      ,                       ,F                            ,                     ,                        ,                     ,                                    ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,B,  5,H,CC,  23.00,     43.3500,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                    ,F                          ,                         ,F                  ,F              ,F                ,R                      ,                     ,                   ,R                     ,                              ,                         ,                        ,F                     ,                    ,                          ,                      ,                   ,                      ,                       ,R                            ,F                    ,                        ,                     ,                                    ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Early Eocene     ,                  ,P15           ,171,1052,B,  6,H,CC,   0.00,     52.3400,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                    ,F                          ,                         ,F                  ,F              ,F                ,R                      ,                     ,                   ,R                     ,                              ,                         ,                        ,F                     ,                    ,                          ,                      ,                   ,                      ,                       ,R                            ,F                    ,                        ,                     ,                                    ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,B,  7,H,CC,   9.00,     61.9500,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,F                    ,A                          ,F                        ,A                  ,               ,                 ,                       ,                     ,                   ,R                     ,                              ,                         ,                        ,F                     ,                    ,                          ,                      ,                   ,                      ,                       ,F                            ,                     ,                        ,                     ,                                    ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,B,  8,H,CC,   8.00,     62.4100,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,F                    ,A                          ,F                        ,A                  ,               ,                 ,                       ,                     ,                   ,R                     ,                              ,                         ,                        ,F                     ,                    ,                          ,                      ,                   ,                      ,                       ,F                            ,                     ,                        ,                     ,                                    ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,B,  9,H,CC,  23.00,     71.9800,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,F                    ,A                          ,F                        ,A                  ,F              ,F                ,                       ,                     ,                   ,R                     ,                              ,                         ,                        ,F                     ,                    ,                          ,                      ,                   ,                      ,                       ,F                            ,                     ,                        ,                     ,                                    ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Eocene      ,Middle Eocene    ,                  ,P15           ,171,1052,B, 10,H,CC,  15.00,     81.7000,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,F                    ,                           ,                         ,F                  ,               ,                 ,                       ,                     ,                   ,R                     ,                              ,F                        ,                        ,F                     ,                    ,                          ,R                     ,                   ,                      ,R                      ,                             ,                     ,                        ,                     ,                                    ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1052,B, 11,H,CC,  17.00,     91.2500,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,F                    ,F                          ,                         ,                   ,               ,F                ,F                      ,P                    ,                   ,                      ,                              ,F                        ,                        ,                      ,F                   ,                          ,                      ,                   ,F                     ,                       ,                             ,                     ,                        ,                     ,                                    ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1052,B, 12,H,CC,   0.00,    100.4900,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,F                    ,F                          ,                         ,                   ,               ,                 ,F                      ,R                    ,                   ,R                     ,                              ,F                        ,                        ,                      ,A                   ,                          ,R                     ,R                  ,                      ,                       ,                             ,                     ,                        ,                     ,                                    ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1052,B, 13,H,CC,  10.00,    109.3100,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,F                    ,                           ,                         ,                   ,               ,                 ,                       ,P                    ,                   ,R                     ,                              ,F                        ,                        ,F                     ,R                   ,F                         ,                      ,                   ,                      ,                       ,                             ,                     ,                        ,                     ,                                    ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1052,B, 14,H,CC,  14.00,    119.7000,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                    ,R                          ,R                        ,F                  ,F              ,F                ,R                      ,R                    ,P                  ,R                     ,R                             ,R                        ,R                       ,F                     ,R                   ,                          ,                      ,                   ,                      ,                       ,                             ,                     ,                        ,                     ,                                    ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
