Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys peregrina,Spongoplegma variabile,Spongoplegma churchii,Spongoplegma antarcticum,Lychnocanoma grande,Haliommetta miocenica,Eucyrtidium cienkowskii,Eucyrtidium biconicum,Dictyophimus splendens,Desmospyris spongiosa,Cycladophora spongothorax,Carpocanistrum ob,Botryostrobus aquilonaris,Anthocyrtidium ehrenbergi,Acrosphaera murrayana,Triceraspyris antarctica,Theocorythium vetulum,Stylacontarium acquilonium,Sphaeropyle robusta,Ommatartus sp D,Cycladophora pliocenica,Theocorythium trachelium trachelium,Stichocorys spp. group,Stichocorys delmontensis,Phormostichoartus fistula,Didymocyrtis penultima,Diartus hughesi,Cycladophora humerus,Stylatractus neptunus,Lithelius nautiloides,Druppatractus irregularis,Cyrtocapsella japonica,Thecosphaera japonica,Saturnalis circularis,Lamprocyrtis heteroporos,Eucyrtidium teuscheri group,Sphaeropyle langii,Cyrtocapsella tetrapera,Botryostrobus bramlettei pretumidulus,Botryostrobus auritus/australis,Actinomma popofskii,Eucyrtidium teuscheri orthoporus,Lamprocyrtis neoheteroporos,Botryostrobus bramlettei seriatus,Lipmanella deflandrei,Pseudocubus vema,Axoprunum angelinum,Antarctissa denticulata,Spongoplegma medianum,Eucyrtidium calvertense,Antarctissa strelkovi,Cycladophora davisiana,Saccospyris antarctica,Pterocanium charybdeum trilobum,Antarctissa sp. G,Didymocyrtis tetrathalamus tetrathalamus,Amphirhopalum praeypsilon,Stylatractus universus,Sphaeropyle antarctica,Botryostrobus bramlettei tumidulus,Sphaeropyle boreale,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  5,H,CC,  13.00,     42.6600,rads     ,Radiolarians                                 ,C              ,G                 ,                     ,                      ,                     ,C                       ,                   ,R                    ,R                      ,C                    ,                      ,                     ,                         ,                 ,                         ,                         ,                     ,T                       ,R                    ,R                         ,                   ,               ,R                      ,                                   ,                      ,T                       ,                         ,                      ,               ,T                   ,                     ,R                    ,R                        ,                      ,                     ,                     ,R                       ,                           ,R                 ,                       ,R                                    ,T                              ,                   ,                                ,                           ,                                 ,R                    ,                ,                   ,                       ,                     ,R                      ,R                    ,R                     ,R                     ,F                              ,T                ,                                        ,                         ,                      ,                      ,                                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  6,H,CC,   0.00,     52.5500,rads     ,Radiolarians                                 ,C              ,G                 ,                     ,                      ,                     ,C                       ,                   ,                     ,R                      ,C                    ,                      ,                     ,F                        ,                 ,                         ,                         ,                     ,R                       ,R                    ,                          ,                   ,               ,F                      ,F                                  ,                      ,                        ,                         ,                      ,               ,                    ,                     ,R                    ,                         ,                      ,                     ,                     ,F                       ,T                          ,                  ,                       ,R                                    ,R                              ,R                  ,                                ,                           ,                                 ,                     ,R               ,                   ,                       ,R                    ,                       ,                     ,                      ,T                     ,R                              ,R                ,                                        ,                         ,                      ,                      ,                                  ,                   ,5/6 LO P. vema
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  7,H,CC,  14.00,     62.1800,rads     ,Radiolarians                                 ,C              ,G                 ,R                    ,                      ,                     ,                        ,                   ,                     ,T                      ,R                    ,                      ,                     ,R                        ,                 ,                         ,R                        ,                     ,T                       ,R                    ,T                         ,                   ,               ,R                      ,                                   ,                      ,                        ,                         ,                      ,               ,                    ,R                    ,R                    ,                         ,                      ,                     ,R                    ,F                       ,R                          ,R                 ,                       ,                                     ,F                              ,R                  ,                                ,                           ,                                 ,                     ,R               ,                   ,                       ,                     ,                       ,                     ,T                     ,                      ,                               ,                 ,                                        ,                         ,                      ,                      ,                                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  8,H,CC,  10.00,     71.7800,rads     ,Radiolarians                                 ,C              ,G                 ,T                    ,                      ,                     ,F                       ,                   ,                     ,R                      ,A                    ,                      ,T                    ,F                        ,                 ,                         ,T                        ,                     ,                        ,R                    ,R                         ,                   ,               ,R                      ,                                   ,                      ,                        ,                         ,                      ,               ,R                   ,T                    ,T                    ,                         ,                      ,                     ,                     ,R                       ,T                          ,R                 ,                       ,                                     ,R                              ,R                  ,T                               ,                           ,                                 ,                     ,T               ,T                  ,                       ,T                    ,T                      ,R                    ,                      ,                      ,                               ,                 ,                                        ,                         ,                      ,                      ,                                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  9,H,CC,  29.00,     80.9600,rads     ,Radiolarians                                 ,C              ,G                 ,                     ,                      ,                     ,R                       ,                   ,                     ,F                      ,C                    ,                      ,F                    ,C                        ,                 ,                         ,                         ,                     ,                        ,R                    ,T                         ,                   ,               ,R                      ,                                   ,                      ,                        ,                         ,                      ,               ,R                   ,T                    ,T                    ,                         ,                      ,                     ,T                    ,R                       ,                           ,R                 ,                       ,                                     ,R                              ,F                  ,R                               ,                           ,                                 ,T                    ,T               ,R                  ,R                      ,                     ,                       ,                     ,                      ,                      ,                               ,                 ,                                        ,                         ,                      ,                      ,                                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B, 10,H,CC,  18.00,     90.7800,rads     ,Radiolarians                                 ,C              ,G                 ,T                    ,                      ,                     ,                        ,F                  ,                     ,F                      ,C                    ,                      ,C                    ,                         ,T                ,                         ,                         ,                     ,                        ,R                    ,R                         ,                   ,               ,F                      ,                                   ,                      ,                        ,                         ,                      ,               ,                    ,R                    ,F                    ,                         ,                      ,                     ,                     ,F                       ,                           ,R                 ,                       ,                                     ,                               ,F                  ,                                ,                           ,                                 ,T                    ,                ,                   ,                       ,                     ,                       ,                     ,                      ,                      ,                               ,                 ,                                        ,                         ,                      ,                      ,                                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B, 11,H,CC,  20.00,    100.2400,rads     ,Radiolarians                                 ,C              ,G                 ,T                    ,                      ,                     ,                        ,T                  ,                     ,F                      ,C                    ,                      ,F                    ,                         ,T                ,                         ,                         ,                     ,T                       ,R                    ,T                         ,                   ,               ,R                      ,R                                  ,                      ,                        ,                         ,                      ,               ,                    ,R                    ,F                    ,                         ,                      ,                     ,T                    ,F                       ,T                          ,R                 ,                       ,                                     ,                               ,T                  ,                                ,R                          ,T                                ,                     ,                ,                   ,                       ,                     ,                       ,                     ,                      ,                      ,                               ,                 ,                                        ,                         ,                      ,                      ,                                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B, 12,H,CC,  17.00,    109.7100,rads     ,Radiolarians                                 ,C              ,P                 ,                     ,                      ,                     ,                        ,                   ,                     ,T                      ,C                    ,                      ,T                    ,                         ,T                ,                         ,                         ,                     ,                        ,R                    ,F                         ,                   ,               ,T                      ,R                                  ,                      ,                        ,                         ,                      ,               ,R                   ,R                    ,R                    ,T                        ,                      ,                     ,                     ,                        ,                           ,                  ,                       ,                                     ,                               ,R                  ,                                ,                           ,                                 ,                     ,                ,                   ,                       ,                     ,                       ,                     ,                      ,                      ,                               ,                 ,                                        ,                         ,                      ,                      ,                                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B, 13,H,CC,   0.00,    118.9200,rads     ,Radiolarians                                 ,C              ,G                 ,                     ,                      ,                     ,                        ,                   ,T                    ,R                      ,R                    ,                      ,T                    ,                         ,T                ,                         ,                         ,                     ,                        ,                     ,R                         ,                   ,               ,T                      ,                                   ,                      ,                        ,                         ,                      ,               ,                    ,R                    ,F                    ,T                        ,                      ,                     ,                     ,                        ,                           ,T                 ,                       ,                                     ,                               ,                   ,T                               ,                           ,                                 ,                     ,                ,                   ,                       ,                     ,                       ,                     ,                      ,                      ,                               ,                 ,                                        ,                         ,                      ,                      ,                                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B, 14,H,CC,  13.00,    128.6100,rads     ,Radiolarians                                 ,C              ,M                 ,R                    ,                      ,                     ,T                       ,T                  ,R                    ,T                      ,R                    ,                      ,T                    ,                         ,R                ,                         ,                         ,                     ,                        ,T                    ,R                         ,                   ,               ,R                      ,T                                  ,                      ,R                       ,                         ,                      ,               ,                    ,F                    ,F                    ,                         ,                      ,                     ,                     ,T                       ,T                          ,T                 ,T                      ,T                                    ,T                              ,T                  ,                                ,                           ,                                 ,                     ,                ,                   ,                       ,                     ,                       ,                     ,                      ,                      ,                               ,                 ,                                        ,                         ,                      ,                      ,                                  ,                   ,13/14 LO S. delmontensis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B, 15,H,CC,  23.00,    138.2300,rads     ,Radiolarians                                 ,C              ,M                 ,F                    ,                      ,                     ,                        ,R                  ,                     ,F                      ,C                    ,                      ,T                    ,                         ,T                ,                         ,R                        ,                     ,                        ,R                    ,F                         ,R                  ,               ,R                      ,R                                  ,                      ,R                       ,                         ,                      ,               ,                    ,C                    ,F                    ,                         ,                      ,R                    ,T                    ,F                       ,T                          ,                  ,                       ,                                     ,                               ,                   ,                                ,                           ,                                 ,                     ,                ,                   ,                       ,                     ,                       ,                     ,                      ,                      ,                               ,                 ,                                        ,                         ,                      ,                      ,                                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B, 16,H,CC,  13.00,    145.3000,rads     ,Radiolarians                                 ,C              ,P                 ,F                    ,                      ,                     ,                        ,                   ,F                    ,T                      ,C                    ,                      ,T                    ,                         ,T                ,                         ,                         ,                     ,                        ,T                    ,T                         ,R                  ,               ,T                      ,T                                  ,C                     ,R                       ,                         ,                      ,               ,                    ,F                    ,R                    ,T                        ,T                     ,                     ,                     ,                        ,                           ,                  ,                       ,                                     ,                               ,                   ,                                ,                           ,                                 ,                     ,                ,                   ,                       ,                     ,                       ,                     ,                      ,                      ,                               ,                 ,                                        ,                         ,                      ,                      ,                                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B, 17,H,CC,  13.00,    156.8800,rads     ,Radiolarians                                 ,C              ,G                 ,R                    ,                      ,                     ,                        ,R                  ,R                    ,F                      ,R                    ,T                     ,                     ,                         ,R                ,C                        ,F                        ,                     ,                        ,                     ,R                         ,T                  ,               ,T                      ,F                                  ,F                     ,F                       ,R                        ,C                     ,C              ,T                   ,                     ,                     ,                         ,                      ,                     ,                     ,                        ,                           ,                  ,                       ,                                     ,                               ,                   ,                                ,                           ,                                 ,                     ,                ,                   ,                       ,                     ,                       ,                     ,                      ,                      ,                               ,                 ,                                        ,                         ,                      ,                      ,                                  ,                   ,16/17 LO D splendeus 17->7.7Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B, 18,H,CC,  16.00,    166.7000,rads     ,Radiolarians                                 ,C              ,G                 ,A                    ,                      ,                     ,                        ,R                  ,                     ,T                      ,                     ,                      ,                     ,                         ,                 ,                         ,                         ,                     ,T                       ,R                    ,R                         ,T                  ,R              ,T                      ,                                   ,                      ,                        ,                         ,                      ,               ,                    ,                     ,                     ,                         ,                      ,                     ,                     ,                        ,                           ,                  ,                       ,                                     ,                               ,                   ,                                ,                           ,                                 ,                     ,                ,                   ,                       ,                     ,                       ,                     ,                      ,                      ,                               ,                 ,                                        ,                         ,                      ,                      ,                                  ,                   ,temperate fauna
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B, 19,H,CC,   0.00,    176.0200,rads     ,Radiolarians                                 ,C              ,G                 ,T                    ,T                     ,T                    ,T                       ,C                  ,T                    ,R                      ,T                    ,T                     ,T                    ,R                        ,T                ,R                        ,R                        ,F                    ,                        ,                     ,                          ,                   ,               ,                       ,                                   ,                      ,                        ,                         ,                      ,               ,                    ,                     ,                     ,                         ,                      ,                     ,                     ,                        ,                           ,                  ,                       ,                                     ,                               ,                   ,                                ,                           ,                                 ,                     ,                ,                   ,                       ,                     ,                       ,                     ,                      ,                      ,                               ,                 ,                                        ,                         ,                      ,                      ,                                  ,                   ,Reworked fauna
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
