Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae var. sibogae,Umbilicosphaera sibogae var. foliosa,Syracosphaera spp.,Rhabdosphaera clavigera,Reticulofenestra minutula,Reticulofenestra minuta,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Helicosphaera carteri,Gephyrocapsa spp. medium,Gephyrocapsa spp. (small),Gephyrocapsa oceanica ss,Gephyrocapsa caribbeanica,Florisphaera profunda,Ceratolithus cristatus,Calcidiscus leptoporus,Reticulofenestra producta,Coccolithus pelagicus,Calciosolenia murrayi,Cyclicargolithus floridanus,Braarudosphaera bigelowii,Neosphaera coccolithomorpha,Helicosphaera pavimentum,Reticulofenestra perplexa,Helicosphaera inversa,Umbilicosphaera hulburtiana,Gephyrocapsa margerelii/muellerae,Umbellosphaera tenuis,Umbellosphaera irregularis,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,                  ,              ,164, 996,A,  4,X,CC,   0.00,     19.0000,Okada    ,Nannofossils                                 ,R              ,P                 ,                                    ,                                    ,                  ,                       ,                         ,                       ,                       ,                        ,                      ,                     ,                      ,                     ,                        ,                         ,                        ,                         ,                     ,                      ,                      ,                         ,?                    ,                     ,                           ,                         ,                           ,                        ,?                        ,                     ,                           ,                                 ,                     ,                          ,                 ,zonal assignment uncertain. from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CN14a             ,              ,164, 996,A,  8,H, 1,  38.00,     48.8800,Okada    ,Nannofossils                                 ,A              ,G                 ,F                                   ,F                                   ,C                 ,F                      ,                         ,A                      ,rR                     ,C                       ,                      ,F                    ,R                     ,F                    ,A                       ,A                        ,A                       ,F                        ,A                    ,                      ,F                     ,                         ,                     ,                     ,                           ,R                        ,                           ,R                       ,                         ,                     ,                           ,                                 ,                     ,                          ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CN14a             ,              ,164, 996,A,  8,H, 3,  39.00,     50.2200,Okada    ,Nannofossils                                 ,C              ,G                 ,F                                   ,F                                   ,C                 ,F                      ,                         ,A                      ,rR                     ,A                       ,                      ,R                    ,R                     ,F                    ,A                       ,A                        ,A                       ,F                        ,A                    ,                      ,F                     ,R                        ,                     ,R                    ,                           ,R                        ,R                          ,                        ,                         ,                     ,                           ,                                 ,                     ,                          ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,CN14a             ,              ,164, 996,A,  8,H,CC,   0.00,     53.7800,Okada    ,Nannofossils                                 ,A              ,G                 ,F                                   ,F                                   ,F                 ,R                      ,C                        ,A                      ,C                      ,A                       ,                      ,R                    ,R                     ,F                    ,A                       ,A                        ,C                       ,C                        ,A                    ,                      ,C                     ,                         ,                     ,R                    ,                           ,R                        ,                           ,                        ,                         ,                     ,                           ,                                 ,                     ,                          ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,CN14a             ,              ,164, 996,A,  9,H, 1,  39.00,     58.3900,Okada    ,Nannofossils                                 ,A              ,G                 ,F                                   ,F                                   ,F                 ,R                      ,                         ,A                      ,C                      ,A                       ,                      ,R                    ,R                     ,F                    ,A                       ,A                        ,C                       ,C                        ,A                    ,R                     ,F                     ,C                        ,                     ,R                    ,rR                         ,                         ,                           ,                        ,                         ,                     ,                           ,                                 ,                     ,                          ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,CN14a             ,              ,164, 996,A,  9,H, 3,  39.00,     61.0700,Okada    ,Nannofossils                                 ,A              ,G                 ,F                                   ,F                                   ,C                 ,R                      ,                         ,A                      ,F                      ,C                       ,                      ,R                    ,R                     ,F                    ,A                       ,A                        ,C                       ,C                        ,A                    ,                      ,F                     ,F                        ,R                    ,R                    ,                           ,                         ,                           ,                        ,                         ,                     ,                           ,                                 ,                     ,                          ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,CN14a             ,              ,164, 996,A,  9,H, 6,  39.00,     62.6400,Okada    ,Nannofossils                                 ,A              ,G                 ,F                                   ,F                                   ,C                 ,R                      ,C                        ,A                      ,C                      ,A                       ,R                     ,R                    ,R                     ,C                    ,A                       ,A                        ,C                       ,C                        ,A                    ,R                     ,C                     ,                         ,                     ,                     ,                           ,                         ,                           ,                        ,                         ,                     ,                           ,                                 ,                     ,                          ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
