Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Lenticulina sp. A	Glomospira irregularis	Dentalina-Marginulina group	Vaginulina manubrium	Trochilina (?) spp.	Spirillina polygyrata	Saracenaria spp.	Ophthalmidium oxfordianum	Nodosaria raphanistriformis	Neobulimina atlantica	Lagena ex gr. hauteriviana	Glomospira variabilis	Glomospira charoides	Epistomina uhligi	Epistomina spp.	Vaginulina cf. jurassica	Paleogaudryina magharensis	Nodobacularia bulbifera	Lenticulina muensteri	Lenticulina quenstedti	Ophthalmidium oxfordianum	Marginulinopsis phragmites	Lingulina franconica	Lagena ex gr. sulcata	Eoguttulina aff. liassica	Bolivina aff. liasica	Lagena ex gr. ovata	Planularia sp. A	Dentalina debilis	Frondicularia spp.	Comment
  SR	Tithonian        	                 	E. uhligi-L. franc.	              	149	 901	A	  3	R	 1	  87.00	    192.1700	Collins  	Benthic Foraminifers                         	               	                  	                 	                      	                           	                    	                   	1                    	                	                         	                           	                     	1                         	                     	                    	1                	               	                        	                          	                       	                     	                      	                         	                          	                    	                     	                         	                     	                   	                	                 	                  	2 planktonic forams. from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	E. uhligi-L. franc.	              	149	 901	A	  5	R	 1	  50.00	    220.3000	Collins  	Benthic Foraminifers                         	               	                  	                 	                      	1                          	                    	3                  	12                   	                	                         	                           	                     	                          	                     	                    	2                	               	                        	                          	                       	                     	                      	                         	                          	                    	                     	                         	                     	                   	                	1                	                  	from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	E. uhligi-L. franc.	              	149	 901	A	  5	R	 1	  73.00	    220.5300	Collins  	Benthic Foraminifers                         	               	                  	3                	                      	                           	1                   	2                  	                     	1               	1                        	                           	                     	                          	2                    	                    	8                	               	                        	                          	3                      	                     	                      	2                        	                          	                    	1                    	                         	                     	                   	1               	                 	                  	1 Ostracoda. from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	E. uhligi-L. franc.	              	149	 901	A	  5	R	 1	  99.00	    220.7900	Collins  	Benthic Foraminifers                         	               	                  	                 	                      	                           	                    	                   	19                   	                	                         	                           	                     	1                         	2                    	                    	                 	               	                        	                          	                       	                     	                      	                         	                          	                    	                     	                         	                     	                   	                	                 	                  	2 planktonic forams. 4 Ostracoda. from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	E. uhligi-L. franc.	              	149	 901	A	  5	R	 1	 125.00	    221.0500	Collins  	Benthic Foraminifers                         	               	                  	                 	                      	4                          	                    	7                  	73                   	3               	                         	1                          	                     	                          	3                    	                    	1                	               	                        	                          	1                      	                     	                      	4                        	                          	                    	                     	                         	                     	2                  	                	                 	                  	11 Ostracoda. from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	E. uhligi-L. franc.	              	149	 901	A	  5	R	 1	 139.00	    221.1900	Collins  	Benthic Foraminifers                         	               	                  	1                	1                     	                           	                    	2                  	29                   	                	                         	                           	                     	                          	3                    	                    	1                	               	                        	                          	1                      	                     	                      	4                        	                          	                    	                     	                         	                     	1                  	                	                 	                  	3 planktonic forams. from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	E. uhligi-L. franc.	              	149	 901	A	  5	R	 1	 142.00	    221.2200	Collins  	Benthic Foraminifers                         	               	                  	2                	                      	3                          	                    	11                 	35                   	1               	1                        	1                          	                     	4                         	1                    	                    	                 	4              	1                       	1                         	5                      	                     	                      	3                        	                          	1                   	                     	                         	2                    	                   	                	                 	                  	31 planktonic forams. 5 Ostracoda. from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	E. uhligi-L. franc.	              	149	 901	A	  5	R	 1	 144.00	    221.2400	Collins  	Benthic Foraminifers                         	               	                  	1                	                      	8                          	1                   	35                 	99                   	10              	8                        	                           	                     	1                         	9                    	                    	18               	               	                        	                          	14                     	                     	                      	15                       	                          	1                   	                     	                         	1                    	                   	                	                 	                  	2 planktonic forams. 17 Ostracoda. from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	E. uhligi-L. franc.	              	149	 901	A	  5	R	 2	   4.00	    221.3400	Collins  	Benthic Foraminifers                         	               	                  	1                	                      	3                          	                    	18                 	54                   	5               	3                        	                           	                     	                          	9                    	                    	4                	               	                        	2                         	20                     	                     	                      	23                       	                          	2                   	                     	2                        	1                    	                   	                	                 	                  	4 Ostracoda. from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	E. uhligi-L. franc.	              	149	 901	A	  5	R	 2	   4.00	    221.3400	Collins  	Benthic Foraminifers                         	               	                  	3                	                      	2                          	                    	5                  	13                   	2               	                         	                           	                     	                          	1                    	1                   	                 	4              	                        	1                         	4                      	                     	1                     	3                        	                          	1                   	                     	                         	2                    	                   	                	                 	                  	1 planktonic foram. 4 Ostracoda. from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	E. uhligi-L. franc.	              	149	 901	A	  5	R	 2	  15.00	    221.4500	Collins  	Benthic Foraminifers                         	               	                  	                 	                      	                           	                    	2                  	10                   	                	                         	                           	                     	                          	1                    	                    	                 	               	                        	                          	                       	                     	1                     	                         	                          	                    	                     	                         	                     	                   	                	                 	                  	from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	E. uhligi-L. franc.	              	149	 901	A	  5	R	CC	  11.00	    221.6700	Collins  	Benthic Foraminifers                         	               	                  	1                	                      	                           	                    	1                  	4                    	                	                         	                           	                     	                          	                     	                    	1                	               	1                       	                          	1                      	                     	                      	                         	                          	                    	                     	                         	                     	                   	                	                 	                  	1 Ostracoda. from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	E. uhligi-L. franc.	              	149	 901	A	  6	R	 1	   8.00	    229.4800	Collins  	Benthic Foraminifers                         	               	                  	                 	                      	4                          	                    	10                 	86                   	12              	                         	1                          	                     	                          	11                   	                    	1                	               	                        	2                         	1                      	                     	                      	8                        	1                         	2                   	4                    	1                        	1                    	                   	                	                 	                  	4 planktonic forams. from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	E. uhligi-L. franc.	              	149	 901	A	  6	R	 1	   8.00	    229.4800	Collins  	Benthic Foraminifers                         	               	                  	                 	                      	                           	                    	                   	10                   	                	                         	1                          	                     	                          	2                    	                    	                 	1              	                        	                          	                       	                     	                      	                         	                          	                    	                     	                         	1                    	                   	                	                 	                  	7 planktonic forams. from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	E. uhligi-L. franc.	              	149	 901	A	  6	R	 1	  25.00	    229.6500	Collins  	Benthic Foraminifers                         	               	                  	                 	                      	                           	                    	                   	1                    	                	                         	                           	                     	                          	                     	                    	                 	               	                        	                          	                       	                     	1                     	                         	                          	                    	                     	                         	                     	                   	                	                 	                  	from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	E. uhligi-L. franc.	              	149	 901	A	  6	R	 1	  74.00	    230.1400	Collins  	Benthic Foraminifers                         	               	                  	1                	                      	                           	                    	                   	2                    	                	                         	                           	                     	1                         	                     	1                   	                 	               	                        	                          	                       	                     	                      	                         	                          	                    	                     	                         	                     	                   	                	                 	                  	from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	N. atlantica      	              	149	 901	A	  6	R	 1	  98.00	    230.3800	Collins  	Benthic Foraminifers                         	               	                  	4                	                      	                           	                    	                   	1                    	                	                         	                           	2                    	                          	                     	                    	                 	               	                        	                          	                       	                     	                      	                         	                          	                    	                     	                         	                     	                   	                	                 	                  	from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	N. atlantica      	              	149	 901	A	  6	R	 1	 128.00	    230.6800	Collins  	Benthic Foraminifers                         	               	                  	1                	                      	                           	                    	5                  	21                   	3               	                         	                           	1                    	1                         	                     	                    	                 	               	1                       	2                         	3                      	1                    	                      	                         	                          	                    	                     	                         	                     	                   	                	                 	                  	from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	N. atlantica      	              	149	 901	A	  7	R	 1	  16.00	    238.2600	Collins  	Benthic Foraminifers                         	               	                  	                 	                      	                           	                    	1                  	3                    	                	                         	                           	                     	                          	                     	                    	                 	               	                        	                          	                       	                     	                      	                         	                          	                    	                     	                         	                     	                   	                	                 	                  	1 planktonic foram. from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	N. atlantica      	              	149	 901	A	  7	R	 1	  30.00	    238.4000	Collins  	Benthic Foraminifers                         	               	                  	11               	                      	                           	1                   	2                  	19                   	1               	1                        	2                          	1                    	2                         	5                    	2                   	7                	2              	                        	                          	                       	                     	                      	                         	                          	                    	                     	                         	                     	                   	                	                 	                  	4 Dentalina seorsa (fragments). 3 planktonic forams. from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	N. atlantica      	              	149	 901	A	  7	R	 1	  37.00	    238.4700	Collins  	Benthic Foraminifers                         	               	                  	1                	1                     	2                          	                    	                   	                     	                	                         	                           	                     	                          	                     	                    	                 	               	                        	                          	                       	                     	                      	                         	                          	                    	                     	                         	                     	                   	                	                 	                  	from 149 SR. Chapter 7. Table 1. page 195.

