Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiphora pelagica,Thalassiphora delicata,Thalassiphora cf. T. pansa,Tectatodinium pellitum,Spiniferites ramosus,Spiniferites membranaceus,Reticulatosphaera actinocoronata,Polysphaeridium zoharyi,Pentadinium laticinctum,Operculodinium centrocarpum,Nematosphaeropsis labyrinthea,Incertae sedis sp.1,Impagidinium? pallidum,Impagidinium velorum,Impagidinium aspinatum,Hystrichokolpoma rigaudiae,Hystrichokolpoma cinctum,Homotryblium floripes,Distatodinium paradoxum,Dapsilidinium pseudocolligerum,Dapsilidinium pastielsii,Cyclopsiella granosa,Chiropteridium mespilanum,Cannosphaeropsis cf. C. utinensis,Caligodinium pychnum,Apteodinium spiridoides,Apteodinium australiense,Tuberculodinium vancampoae,Palaeocystodinium golzowense,Operculodinium janduchenei,Impagidinium patulum,Dapsilidinium sp. ,Batiacasphaera sphaerica,Apteodinium sp. A,Spiniferites rubinus,Polysphaeridium congregatum,Nematosphaeropsis major,Micrhystridium sp.,Impagidinium aliferum,Homotryblium vallum,Homotryblium tenuispinosum,Bitectatodinium spp.,Amiculosphaera umbracula,Spiniferites spp.,Lingulodinium machaerophorum,Hystrichosphaeropsis obscura,Operculodinium? eirikianum,Operculodinium israelianum/crassum,Hystrichokolpoma denticulatum,Habibacysta tectata,Filisphaera filifera,Bitectatodinium tepikiense,Achomosphaera andalousiensis,Selenopemphix nephroides,Cymatiosphaera invaginata,Sumatradinium hispidum,Spiniferites mirabilis,Spiniferites elongatus,Operculodinium psilatum,Nematosphaeropsis oblonga,Multispinula minuta,Invertocysta lacrymosa,Impagidinium strialatum,Impagidinium bacatum,Impagidinium aculeatum,Lejeunecysta communis,Impagidinium sp. F ,Impagidinium sphaericum,Impagidinium japonicum,Galeacysta etrusca,Achomosphaera ramulifera,Melitasphaeridium choanophorum,Selenopemphix brevispinosa,Stelladinium stellatum,Spiniferites bentorii,Multispinula quanta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  1,H, 6,   3.00,      7.5300,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,F                          ,F                            ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,F                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,                    ,                        ,R                ,F                           ,                            ,                          ,R                                 ,                             ,R                  ,                    ,F                         ,A                           ,                        ,                         ,                      ,R                     ,                      ,                       ,                         ,                   ,                      ,R                      ,                    ,R                     ,                     ,                   ,R                      ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,2.87 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  2,H, 2, 142.00,     12.1200,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,F                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,C                   ,                        ,A                ,                            ,                            ,                          ,                                  ,                             ,                   ,                    ,                          ,C                           ,R                       ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,1.18 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  2,H, 3,  38.00,     12.5800,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,F                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,R                   ,                        ,A                ,R                           ,                            ,                          ,                                  ,                             ,                   ,                    ,C                         ,F                           ,                        ,                         ,                      ,F                     ,R                     ,                       ,                         ,                   ,                      ,R                      ,                    ,F                     ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,0.47 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  2,H, 3,  98.00,     13.1800,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,R                   ,                         ,                                ,                       ,                       ,F                          ,R                            ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,F                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,F                   ,                        ,C                ,                            ,                            ,                          ,F                                 ,                             ,                   ,                    ,C                         ,F                           ,R                       ,                         ,                      ,R                     ,                      ,                       ,                         ,                   ,                      ,R                      ,                    ,R                     ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,R                     ,                     ,                   ,1.43 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  2,H, 4,  62.00,     14.3200,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,R                   ,                         ,                                ,                       ,                       ,F                          ,R                            ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,A                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,                    ,                        ,C                ,F                           ,                            ,                          ,F                                 ,                             ,                   ,                    ,F                         ,F                           ,                        ,                         ,                      ,R                     ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,R                     ,                     ,                   ,F                      ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,2.21 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  2,H, 4,  92.00,     14.6200,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,R                   ,                         ,                                ,                       ,                       ,R                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,                    ,                        ,C                ,                            ,                            ,                          ,                                  ,                             ,                   ,                    ,C                         ,F                           ,                        ,                         ,                      ,R                     ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,A                     ,                     ,                   ,R                      ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,3.13 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  3,H, 3,  57.00,     22.2900,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,F                   ,                         ,                                ,                       ,                       ,R                          ,R                            ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,R                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,                    ,                        ,A                ,                            ,                            ,                          ,                                  ,                             ,                   ,                    ,F                         ,                            ,                        ,                         ,                      ,R                     ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,1.5 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  3,H, 5,  17.00,     24.8900,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,R                     ,R                   ,                         ,                                ,                       ,                       ,F                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,F                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,F                   ,                        ,C                ,                            ,                            ,                          ,                                  ,                             ,                   ,                    ,A                         ,R                           ,                        ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,F                     ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,0.7 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  4,H, 2, 137.00,     31.0700,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,F                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,                    ,                        ,A                ,                            ,                            ,                          ,                                  ,                             ,                   ,                    ,C                         ,F                           ,                        ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,C                     ,                     ,                   ,R                      ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,0.88 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  4,H, 3,  19.00,     31.3900,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,C                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,                    ,                        ,A                ,                            ,                            ,                          ,                                  ,                             ,                   ,                    ,F                         ,F                           ,                        ,                         ,                      ,                      ,                      ,                       ,                         ,F                  ,                      ,                       ,                    ,F                     ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,0.97 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  4,H, 6,  46.00,     36.1600,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,R                     ,                    ,                         ,                                ,R                      ,                       ,F                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,R                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,F                   ,                        ,A                ,F                           ,                            ,                          ,                                  ,                             ,                   ,                    ,A                         ,F                           ,                        ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,F                     ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,1.6 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  5,H, 1,  33.00,     38.0300,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,F                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,A                   ,                        ,C                ,                            ,                            ,                          ,                                  ,                             ,                   ,                    ,F                         ,                            ,                        ,                         ,                      ,                      ,                      ,                       ,                         ,R                  ,                      ,                       ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,11 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  5,H, 2, 116.00,     40.3600,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,                           ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,A                   ,                        ,A                ,R                           ,                            ,                          ,                                  ,                             ,                   ,                    ,R                         ,                            ,                        ,                         ,                      ,                      ,                      ,                       ,                         ,R                  ,                      ,                       ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,R                  ,9.98 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A,  5,H, 3,  51.00,     41.2100,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,R                     ,R                   ,                         ,                                ,                       ,                       ,R                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,A                   ,                        ,C                ,R                           ,                            ,                          ,                                  ,                             ,                   ,                    ,C                         ,R                           ,R                       ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,                      ,R                    ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,0.2 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A,  5,H, 5,  87.00,     44.6000,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,                           ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,R                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,A                   ,                        ,                 ,R                           ,                            ,                          ,                                  ,                             ,                   ,                    ,                          ,                            ,R                       ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,R                         ,R                     ,                     ,                   ,11.1 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A,  5,H, 7,  38.00,     47.1300,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,                           ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,F                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,A                   ,                        ,F                ,                            ,                            ,                          ,                                  ,                             ,                   ,                    ,                          ,                            ,                        ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,F                     ,                     ,                   ,32.6 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone IV           ,              ,149, 898,A,  6,H, 3, 134.00,     51.5500,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,F                   ,                         ,                                ,                       ,                       ,F                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,F                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,C                   ,                        ,C                ,R                           ,                            ,                          ,R                                 ,                             ,                   ,                    ,F                         ,R                           ,R                       ,                         ,                      ,F                     ,                      ,                       ,                         ,                   ,                      ,R                      ,                    ,F                     ,                     ,                   ,R                      ,                      ,                  ,                        ,                              ,                          ,R                     ,                     ,R                  ,4.35 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
