Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Dictyomitra sp	Spongodiscus cruciferus	Cyclampterium(?) milowi	Calocyclas aff. australis	Spongatractus balbis	Amphisphaera goruna	Theocorys robusta	Spongatractus pachystylus	Lithomitrissa conica	Eusyringium lagena	Pterocodon (?) ampla	Theocampe vanderhoofi	Corythospyris jubata	Phormocyrtis aff. striata striata	Lychnocanoma amphitrite	Eucyrtidium cheni	Theocorys saginata	Corythospyris aff. jubata	Eusyringium fistuligerum	Eucyrtidium antiquum	Lychnocanoma bellum	Heliodiscus tunicatus	Eucyrtidium spinosum	Sethocytris cavipodis	Lithomelissa sphaerocephalis	Lamprocyclas matakohe	Axoprunum irregularis	Lychnocanoma conica	Cenosphaera coronataformis	Cenosphaera coronata	Cyrtocapsella tetrapera	Cyrtocapsella japonica	Lychnocanoma nipponica nipponica	Eucyrtidium cienkowskii	Ommatartus sp D	Eucyrtidium biconicum	Stichocorys peregrina	Stichocorys delmontensis	Ommatartus sp C	Spongoplegma churchii	Didymocyrtis laticonus	Stylatractus universus	Lychnocanoma grande	Cannartus sp. C	Dictyophimus splendens	Spongoplegma medianum	Stylacontarium acquilonium	Spongoplegma antarcticum	Didymocyrtis penultima	Didymocyrtis antepenultima	Diartus hughesi	Axoprunum angelinum	Lamprocyrtis heteroporos	Didymocyrtis tetrathalamus tetrathalamus	Comment

  IR	                 	                 	                  	              	189	1172	A	  9	H	CC	   0.00	     82.5200	rads     	Radiolarians                                 	R              	M                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	R                         	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 11	H	CC	   7.00	    101.3400	rads     	Radiolarians                                 	C              	M                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	T                    	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 13	H	CC	  26.00	    120.7600	rads     	Radiolarians                                 	C              	G                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	R                      	               	                     	C                    	T                       	               	                     	                      	                      	R                  	               	R                     	                     	T                         	T                       	R                     	F                         	F              	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 14	H	CC	  10.00	    129.2400	rads     	Radiolarians                                 	C              	G                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	R                      	               	                     	C                    	F                       	               	R                    	                      	                      	F                  	               	R                     	R                    	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 15	H	CC	  22.00	    139.7900	rads     	Radiolarians                                 	C              	G                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	R                      	               	R                    	F                    	R                       	               	                     	                      	                      	R                  	               	R                     	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 16	H	CC	  22.00	    149.2200	rads     	Radiolarians                                 	C              	G                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	R                      	               	R                    	R                    	R                       	               	                     	                      	T                     	T                  	R              	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 17	H	CC	  19.00	    158.2700	rads     	Radiolarians                                 	C              	G                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	R                      	               	R                    	F                    	R                       	               	                     	                      	T                     	R                  	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 18	H	CC	   0.00	    167.8500	rads     	Radiolarians                                 	C              	G                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	T                      	               	R                    	T                    	R                       	R              	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 19	H	CC	  28.00	    177.7600	rads     	Radiolarians                                 	C              	G                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	T                    	T                    	                        	F              	T                    	T                     	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 20	H	CC	   5.00	    186.4400	rads     	Radiolarians                                 	C              	G                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	R                    	R                    	                        	T              	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 21	H	CC	  33.00	    196.8100	rads     	Radiolarians                                 	C              	G                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	T                     	                                	T                      	               	F                    	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 22	H	CC	  21.00	    206.1800	rads     	Radiolarians                                 	C              	M                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	C                     	                                	R                      	               	T                    	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 23	H	CC	  12.00	    215.2700	rads     	Radiolarians                                 	R              	M                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	C                     	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 24	H	CC	  15.00	    225.1500	rads     	Radiolarians                                 	F              	M                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	C                     	                                	                       	               	R                    	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 25	X	CC	  14.00	    228.0100	rads     	Radiolarians                                 	F              	M                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	C                     	                                	F                      	               	R                    	T                    	T                       	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 26	X	CC	  29.00	    235.8400	rads     	Radiolarians                                 	F              	M                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	C                     	                                	R                      	               	R                    	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 27	X	CC	  25.00	    246.8600	rads     	Radiolarians                                 	C              	M                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	C                      	T                     	R                               	T                      	F              	T                    	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	26/27 RD C tetrapera

  IR	                 	                 	                  	              	189	1172	A	 28	X	CC	  16.00	    255.6500	rads     	Radiolarians                                 	C              	M                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	F                      	R                     	R                               	R                      	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 29	X	CC	  22.00	    266.2700	rads     	Radiolarians                                 	C              	M                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	C                      	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 31	X	CC	  21.00	    285.9000	rads     	Radiolarians                                 	F              	M                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	F                      	T                     	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 38	X	CC	  24.00	    353.7600	rads     	Radiolarians                                 	C              	M                 	              	                       	                       	                         	                    	                   	T                	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	T                  	                     	                    	                     	                            	                     	T                    	T                  	T                         	F                   	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 39	X	CC	  27.00	    364.3400	rads     	Radiolarians                                 	C              	M                 	              	                       	F                      	                         	                    	                   	C                	                         	                    	                  	T                   	                     	                    	                                 	                       	                 	F                 	F                        	                        	R                   	                   	T                    	R                   	                     	                            	R                    	R                    	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 40	X	CC	  26.00	    374.0000	rads     	Radiolarians                                 	C              	M                 	              	                       	F                      	                         	                    	                   	T                	                         	                    	                  	T                   	                     	                    	                                 	T                      	                 	F                 	F                        	                        	R                   	                   	T                    	R                   	T                    	R                           	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 41	X	CC	  31.00	    383.4500	rads     	Radiolarians                                 	C              	M                 	              	                       	F                      	                         	                    	                   	                 	                         	                    	                  	F                   	                     	                    	                                 	T                      	R                	F                 	F                        	                        	                    	T                  	F                    	R                   	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	40/41 LO L amphitrite 32.8 and FO E antiquum 32.96

  IR	                 	                 	                  	              	189	1172	A	 42	X	CC	  51.00	    393.1800	rads     	Radiolarians                                 	F              	P                 	              	F                      	F                      	                         	                    	                   	R                	                         	                    	                  	                    	                     	                    	                                 	F                      	R                	                  	                         	                        	T                   	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	FO E. spinosum 37.0

  IR	                 	                 	                  	              	189	1172	A	 43	X	CC	  33.00	    402.8300	rads     	Radiolarians                                 	F              	P                 	              	R                      	R                      	                         	                    	                   	R                	                         	                    	                  	T                   	                     	                    	                                 	C                      	F                	                  	R                        	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 44	X	CC	  32.00	    412.4700	rads     	Radiolarians                                 	F              	P                 	              	                       	R                      	                         	                    	                   	F                	                         	                    	                  	                    	                     	                    	                                 	C                      	                 	                  	                         	T                       	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 45	X	CC	  41.00	    422.1100	rads     	Radiolarians                                 	R              	P                 	              	                       	R                      	                         	                    	                   	                 	                         	                    	                  	F                   	                     	                    	                                 	R                      	                 	T                 	T                        	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 46	X	CC	  36.00	    431.6600	rads     	Radiolarians                                 	F              	P                 	              	                       	R                      	                         	                    	                   	                 	                         	                    	                  	F                   	                     	R                   	T                                	F                      	T                	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 47	X	CC	  36.00	    441.2900	rads     	Radiolarians                                 	F              	M                 	              	                       	R                      	                         	                    	                   	                 	                         	                    	                  	R                   	T                    	R                   	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 48	X	CC	  36.00	    450.8500	rads     	Radiolarians                                 	C              	M                 	              	                       	R                      	C                        	                    	                   	                 	                         	F                   	                  	F                   	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 49	X	CC	  43.00	    460.4500	rads     	Radiolarians                                 	C              	M                 	              	                       	F                      	F                        	                    	                   	T                	R                        	R                   	T                 	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	LO S. pachystylus 37.3-38.8

  IR	                 	                 	                  	              	189	1172	A	 50	X	CC	   0.00	    460.2000	rads     	Radiolarians                                 	C              	M                 	              	                       	F                      	F                        	                    	                   	                 	R                        	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 51	X	CC	  43.00	    476.1900	rads     	Radiolarians                                 	C              	P                 	              	                       	R                      	R                        	T                   	T                  	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 52	X	CC	  39.00	    488.6500	rads     	Radiolarians                                 	C              	P                 	              	C                      	R                      	R                        	R                   	C                  	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 53	X	CC	  34.00	    498.8000	rads     	Radiolarians                                 	C              	P                 	T             	C                      	F                      	R                        	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 54	X	CC	  12.00	    504.4400	rads     	Radiolarians                                 	R              	P                 	R             	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	 56	X	CC	  23.00	    518.2300	rads     	Radiolarians                                 	R              	P                 	F             	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	                          	                        	                      	                          	               	                   	                        	                                        	       

