Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina linaperta	Globoquadrina venezuelana	Subbotina patagonica	Globigerinatheka index	Subbotina angiporoides	Catapsydrax dissimilis	Globorotaloides suteri	Paragloborotalia pseudocontinuosa	Paragloborotalia nana	Globigerina officinalis	Catapsydrax unicavus	Globorotalia (Fohsella) cf. pseudokugleri	Globigerina praebulloides	Turborotalia euapertura	Tenuitella gemma	Globoquadrina dehiscens	Globigerinita glutinata	Globigerina quinqueloba	Dentoglobigerina praedehiscens	Catapsydrax stainforthi	Tenuitellinata angustiumbilicata	Tenuitella minutissima	Paragloborotalia continuosa	Paragloborotalia bella	Globoturborotalita woodi	Globoturborotalita connecta	Globorotalia zealandica	Globorotalia praescitula	Globorotalia panda	Praeorbulina curva	Globorotalia praemenardii	Globorotalia miozea	Globigerina bulloides	Paragloborotalia nympha	Globoturborotalita decoraperta	Globoturborotalita brazieri	Globigerinoides trilobus	Globorotalia scitula	Globorotalia peripheroronda	Paragloborotalia mayeri	Orbulina suturalis	Orbulina universa	Globorotalia miotumida	Globorotalia conoidea	Globigerinita uvula	Globigerinoides parawoodi	Globorotalia conica	Globigerinella praesiphonifera	Globorotalia explicationis	Globigerinoides quadrilobatus	Pulleniatina primalis	Pulleniatina obliquiloculata	Neogloboquadrina humerosa	Neogloboquadrina pachyderma (sinistral)	Globorotalia limbata	Globigerinella obesa	Globoturborotalita apertura	Globorotalia conomiozea	Globorotalia sphericomiozea	Neogloboquadrina pachyderma	Globorotalia puncticuloides	Globorotalia puncticulata	Globorotalia pliozea	Globorotalia crassaformis	Globigerina falconensis	Globorotalia crassaconica	Globorotalia crassula	Globorotalia crassacarina	Globigerinoides obliquus	Globigerinella aequilateralis	Globorotalia triangula	Globorotalia inflata	Globigerina umbilicata	Globorotalia truncatulinoides	Globigerinita parkerae	Comment

  IR	                 	                 	                  	SN13          	189	1172	A	  5	H	CC	   0.00	     44.5000	forams   	Planktonic Foraminifers                      	A              	G                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	+                      	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	+                    	                       	                              	                           	                        	+                   	                           	                       	                  	+                	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	+                                      	                    	                    	                           	                       	                           	                           	+                          	+                        	                    	+                        	+                      	                         	+                    	                         	                        	+                            	+                     	+                   	                      	                             	                      	Gr. puncticulioindes and Gr. punct. abundant, some dissolution (etched tests)

  IR	                 	                 	                  	SN12b         	189	1172	A	  6	H	CC	  11.00	     53.9700	forams   	Planktonic Foraminifers                      	A              	G                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	+                      	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	+                    	                       	                              	                           	                        	+                   	                           	                       	                  	+                	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	+                        	+                                      	                    	                    	                           	                       	                           	                           	+                          	+                        	                    	+                        	+                      	+                        	                     	+                        	                        	+                            	                      	                    	                      	                             	                      	       

  IR	                 	                 	                  	SN12b         	189	1172	A	  7	H	CC	  27.00	     63.7900	forams   	Planktonic Foraminifers                      	A              	G                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	+                      	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	+                    	                       	                              	                           	                        	                    	                           	                       	                  	+                	                      	                     	+                  	                         	                   	                              	                          	                             	                     	                            	+                        	+                                      	                    	+                   	                           	                       	                           	                           	+                          	+                        	                    	+                        	+                      	                         	+                    	+                        	+                       	                             	                      	                    	                      	                             	                      	Some fragmentation in -250um micron fractions

  IR	                 	                 	                  	SN12a         	189	1172	A	  8	H	CC	  15.00	     73.2200	forams   	Planktonic Foraminifers                      	A              	G                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	+                      	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	+                    	                       	                              	                           	                        	+                   	                           	                       	                  	+                	                      	                     	+                  	                         	                   	                              	+                         	                             	                     	                            	+                        	+                                      	                    	+                   	+                          	                       	+                          	+                          	+                          	+                        	+                   	+                        	+                      	+                        	                     	                         	                        	                             	                      	                    	                      	                             	                      	Some fragmentation in -250um micron fractions

  IR	                 	                 	                  	SN12a         	189	1172	A	  9	H	CC	   0.00	     82.5200	forams   	Planktonic Foraminifers                      	A              	G                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	+                      	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	+                    	                       	                              	                           	                        	                    	                           	                       	                  	+                	                      	                     	+                  	                         	                   	                              	+                         	                             	                     	                            	                         	+                                      	                    	+                   	+                          	                       	+                          	+                          	+                          	+                        	+                   	+                        	+                      	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	Some fragmentation in -250um micron fractions

  IR	                 	                 	                  	SN11          	189	1172	A	 10	H	CC	  15.00	     92.1000	forams   	Planktonic Foraminifers                      	A              	G                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	+                      	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	+                    	                       	                              	                           	                        	                    	                           	                       	                  	+                	                      	                     	+                  	                         	                   	                              	                          	                             	                     	                            	                         	+                                      	                    	                    	+                          	+                      	+                          	+                          	+                          	+                        	+                   	+                        	+                      	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	Much fragmentation in -250um micron fractions

  IR	                 	                 	                  	SN11          	189	1172	A	 11	H	CC	   7.00	    101.3400	forams   	Planktonic Foraminifers                      	A              	M                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	+                      	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	+                    	                       	                              	                           	                        	                    	                           	                       	                  	+                	+                     	                     	+                  	                         	                   	                              	                          	                             	                     	                            	                         	+                                      	                    	                    	+                          	+                      	+                          	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	Much fragmentation in -250um micron fractions

  IR	                 	                 	                  	SN11          	189	1172	A	 12	H	CC	  10.00	    110.0500	forams   	Planktonic Foraminifers                      	A              	M                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	+                      	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	+                    	                       	                              	                           	                        	                    	                           	                       	                  	+                	+                     	                     	+                  	                         	                   	                              	                          	                             	                     	                            	                         	+                                      	                    	                    	+                          	+                      	+                          	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	Much fragmentation in -250um micron fractions

  IR	                 	                 	                  	SN11          	189	1172	A	 13	H	CC	  26.00	    120.7600	forams   	Planktonic Foraminifers                      	C              	M                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	+                      	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	+                    	                       	                              	                           	                        	                    	                           	                       	                  	+                	+                     	                     	+                  	                         	                   	                              	                          	                             	                     	                            	                         	+                                      	                    	                    	+                          	+                      	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	Strong fragmentation in -250um micron fractions

  IR	                 	                 	                  	SN10          	189	1172	A	 14	H	CC	  10.00	    129.2400	forams   	Planktonic Foraminifers                      	C              	M                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	+                      	                              	                       	                                	                      	                           	                      	+                       	                           	                       	                        	                  	                  	                         	                   	+                    	                       	+                             	                           	                        	                    	                           	                       	                  	+                	+                     	                     	+                  	                         	                   	                              	                          	                             	                     	                            	                         	+                                      	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	Much fragmentation in -250um micron fractions

  IR	                 	                 	                  	SN10          	189	1172	A	 15	H	CC	  22.00	    139.7900	forams   	Planktonic Foraminifers                      	C              	G                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	+                      	                              	                       	                                	                      	                           	                      	+                       	                           	                       	                        	                  	                  	                         	                   	+                    	                       	                              	                           	                        	                    	                           	                       	                  	+                	+                     	                     	+                  	                         	                   	                              	                          	                             	                     	                            	                         	+                                      	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	Some fragmentation in -250um micron fractions

  IR	                 	                 	                  	SN9           	189	1172	A	 16	H	CC	  22.00	    149.2200	forams   	Planktonic Foraminifers                      	C              	G                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	+                      	                              	                       	                                	                      	+                          	                      	+                       	                           	                       	                        	                  	                  	                         	                   	+                    	                       	                              	                           	                        	+                   	                           	                       	                  	+                	+                     	                     	+                  	                         	                   	                              	+                         	                             	                     	                            	+                        	+                                      	+                   	+                   	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	Some fragmentation in -250um micron fractions

  IR	                 	                 	                  	SN9           	189	1172	A	 17	H	CC	  19.00	    158.2700	forams   	Planktonic Foraminifers                      	C              	G                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	+                      	                              	                       	                                	                      	+                          	                      	+                       	                           	                       	                        	                  	                  	                         	                   	+                    	                       	                              	                           	+                       	                    	                           	                       	+                 	+                	+                     	+                    	                   	                         	                   	                              	+                         	                             	                     	+                           	+                        	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	Possible downhole contamination (minor)

  IR	                 	                 	                  	SN8           	189	1172	A	 18	H	CC	   0.00	    167.8500	forams   	Planktonic Foraminifers                      	C              	G                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	+                      	+                      	                       	                              	                       	                                	                      	+                          	                      	+                       	                           	                       	                        	+                 	                  	                         	                   	+                    	+                      	+                             	                           	                        	+                   	                           	                       	                  	+                	                      	+                    	                   	                         	                   	                              	+                         	                             	+                    	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	                  	SN8           	189	1172	A	 19	H	CC	  28.00	    177.7600	forams   	Planktonic Foraminifers                      	C              	G                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	+                        	                       	                	                       	+                      	+                      	                              	                       	                                	                      	+                          	                      	+                       	                           	                       	                        	+                 	                  	                         	                   	+                    	                       	+                             	                           	                        	+                   	                           	                       	                  	+                	+                     	+                    	+                  	                         	                   	                              	+                         	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	                  	SN7           	189	1172	A	 20	H	CC	   5.00	    186.4400	forams   	Planktonic Foraminifers                      	C              	M                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	+                      	+                      	                       	                              	                       	                                	                      	+                          	                      	+                       	                           	                       	                        	+                 	                  	                         	                   	+                    	+                      	+                             	                           	+                       	                    	                           	+                      	                  	+                	                      	+                    	+                  	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	                  	SN7           	189	1172	A	 21	H	CC	  33.00	    196.8100	forams   	Planktonic Foraminifers                      	C              	M                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	+                        	                       	                	+                      	+                      	+                      	                              	                       	                                	                      	+                          	                      	+                       	                           	                       	                        	+                 	                  	                         	                   	+                    	                       	+                             	                           	+                       	+                   	                           	+                      	                  	+                	+                     	+                    	+                  	                         	                   	                              	+                         	+                            	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	P. mayeri (sensu lato)???

  IR	                 	                 	                  	SN7           	189	1172	A	 22	H	CC	  21.00	    206.1800	forams   	Planktonic Foraminifers                      	C              	M                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	+                        	                       	                	+                      	+                      	                       	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	+                 	                  	                         	+                  	+                    	                       	                              	                           	                        	                    	                           	+                      	                  	+                	+                     	+                    	+                  	                         	+                  	+                             	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	P. mayeri very rare (sensu lato)

  IR	                 	                 	                  	SN7           	189	1172	A	 23	H	CC	  12.00	    215.2700	forams   	Planktonic Foraminifers                      	C              	G                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	+                        	                       	                	                       	+                      	+                      	                              	                       	                                	                      	+                          	                      	+                       	                           	                       	                        	+                 	                  	                         	+                  	+                    	+                      	                              	                           	                        	                    	                           	+                      	                  	+                	+                     	+                    	                   	+                        	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	                  	SN7           	189	1172	A	 24	H	CC	  15.00	    225.1500	forams   	Planktonic Foraminifers                      	A              	G                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	+                        	                       	                	                       	+                      	+                      	                              	                       	                                	+                     	+                          	                      	+                       	+                          	                       	                        	+                 	                  	                         	+                  	+                    	+                      	                              	                           	                        	                    	                           	+                      	                  	+                	+                     	+                    	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	                  	SN7           	189	1172	A	 25	X	CC	  14.00	    228.0100	forams   	Planktonic Foraminifers                      	A              	VG                	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	+                        	                       	                	                       	+                      	+                      	                              	                       	                                	                      	+                          	                      	+                       	+                          	                       	                        	                  	                  	                         	+                  	+                    	+                      	                              	                           	                        	                    	                           	+                      	                  	+                	+                     	+                    	+                  	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	Large nos, typical Pa mayeri

  IR	                 	                 	                  	SN7           	189	1172	A	 26	X	CC	  29.00	    235.8400	forams   	Planktonic Foraminifers                      	A              	VG                	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	+                        	                       	                	                       	+                      	+                      	                              	                       	                                	+                     	+                          	                      	+                       	+                          	                       	                        	+                 	                  	                         	+                  	+                    	+                      	                              	                           	                        	                    	                           	+                      	                  	                 	+                     	+                    	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	Large nos, typical Pa mayeri

  IR	                 	                 	                  	SN7           	189	1172	A	 27	X	CC	  25.00	    246.8600	forams   	Planktonic Foraminifers                      	A              	VG                	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	+                        	                       	                	                       	+                      	+                      	                              	                       	                                	+                     	+                          	                      	+                       	+                          	                       	                        	+                 	                  	                         	+                  	+                    	+                      	                              	+                          	                        	                    	+                          	+                      	                  	+                	+                     	+                    	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	Large nos, typical Pa mayeri

  IR	                 	                 	                  	SN6           	189	1172	A	 28	X	CC	  16.00	    255.6500	forams   	Planktonic Foraminifers                      	A              	VG                	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	+                        	                       	                	                       	+                      	+                      	                              	                       	                                	+                     	+                          	                      	+                       	+                          	+                      	+                       	+                 	                  	                         	+                  	+                    	+                      	                              	                           	                        	+                   	+                          	                       	+                 	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	Large nos, typical Pa mayeri

  IR	                 	                 	                  	SN5           	189	1172	A	 29	X	CC	  22.00	    266.2700	forams   	Planktonic Foraminifers                      	A              	VG                	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	+                        	                       	                	                       	+                      	+                      	                              	                       	                                	+                     	                           	                      	+                       	                           	+                      	+                       	+                 	                  	                         	+                  	+                    	                       	                              	                           	                        	+                   	+                          	+                      	                  	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	                  	SN5           	189	1172	A	 30	X	CC	  10.00	    276.4500	forams   	Planktonic Foraminifers                      	A              	VG                	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	+                        	                       	                	                       	+                      	+                      	                              	                       	                                	+                     	                           	                      	+                       	+                          	+                      	+                       	+                 	+                 	                         	+                  	+                    	+                      	                              	                           	                        	+                   	+                          	                       	                  	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	                  	SN5           	189	1172	A	 31	X	CC	  21.00	    285.9000	forams   	Planktonic Foraminifers                      	A              	VG                	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	+                        	                       	                	                       	+                      	+                      	                              	                       	                                	+                     	+                          	                      	+                       	+                          	+                      	                        	+                 	+                 	                         	+                  	+                    	+                      	+                             	+                          	+                       	                    	                           	                       	                  	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	                  	SN5           	189	1172	A	 32	X	CC	  31.00	    295.7900	forams   	Planktonic Foraminifers                      	A              	M                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	+                        	                       	                	                       	+                      	+                      	                              	                       	                                	+                     	+                          	                      	+                       	+                          	+                      	                        	+                 	+                 	                         	+                  	+                    	+                      	                              	                           	                        	                    	                           	                       	                  	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	                  	SN5           	189	1172	A	 33	X	CC	  19.00	    306.3700	forams   	Planktonic Foraminifers                      	A              	M                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	+                        	                       	                	+                      	+                      	+                      	                              	                       	                                	+                     	+                          	+                     	+                       	+                          	+                      	+                       	+                 	+                 	+                        	+                  	+                    	                       	                              	                           	                        	                    	                           	                       	                  	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	                  	SN3           	189	1172	A	 34	X	CC	  23.00	    316.3400	forams   	Planktonic Foraminifers                      	A              	M                 	                   	                         	                    	                      	                      	+                     	                      	                                 	                     	                       	                    	                                         	+                        	                       	                	+                      	+                      	+                      	                              	                       	                                	+                     	+                          	+                     	+                       	+                          	+                      	+                       	+                 	                  	                         	                   	                     	                       	                              	                           	                        	                    	                           	                       	                  	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	                  	SN3           	189	1172	A	 35	X	CC	  24.00	    324.9200	forams   	Planktonic Foraminifers                      	A              	M                 	                   	                         	                    	                      	                      	+                     	                      	                                 	                     	                       	                    	                                         	+                        	                       	                	+                      	+                      	+                      	                              	                       	                                	+                     	+                          	+                     	+                       	+                          	                       	                        	                  	                  	                         	                   	                     	                       	                              	                           	                        	                    	                           	                       	                  	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	                  	SN1           	189	1172	A	 36	X	CC	  21.00	    335.0800	forams   	Planktonic Foraminifers                      	A              	M                 	                   	                         	                    	                      	                      	+                     	+                     	                                 	                     	                       	                    	                                         	+                        	+                      	+               	+                      	+                      	+                      	                              	+                      	+                               	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	                     	                       	                              	                           	                        	                    	                           	                       	                  	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

  IR	                 	                 	                  	SN1           	189	1172	A	 37	X	CC	  38.00	    345.1000	forams   	Planktonic Foraminifers                      	A              	M                 	                   	                         	                    	                      	                      	+                     	                      	                                 	                     	                       	                    	                                         	+                        	+                      	+               	+                      	+                      	+                      	+                             	+                      	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	                     	                       	                              	                           	                        	                    	                           	                       	                  	                 	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	                                       	                    	                    	                           	                       	                           	                           	                           	                         	                    	                         	                       	                         	                     	                         	                        	                             	                      	                    	                      	                             	                      	       

