Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis turris turris,Pyxilla reticulata,Paralia sulcata,Hemiaulus sp.,Hemiaulus caracteristicus,Actinocyclus ingens,Simonseniella barboi,Actinoptychus senarius,Coscinodiscus marginatus,Nitzschia weaveri,Thalassiothrix longissima,Thalassionema nitzschioides,Denticulopsis dimorpha,Azpeitia endoi,Thalassionema nitzschioides  var. parva,Hemidiscus ovalis,Diploneis sp.,Denticulopsis meridionalis,Denticulopsis hustedtii,Craspedodiscus sp.,Thalassiosira insigna,Hyalodiscus sp.,Azpeitia tabularis,Thalassiosira oestrupii,Thalassiosira lentiginosa,Nitzschia barronii,Chaetoceros spp. (resting spores),Thalassiosira kolbei,Eucampia antarctica,Actinocyclus curvatulus,Xanthiopyxis ovalis,Rhizosolenia styliformis,Rhaphoneis surirelloides,Nitzschia ritscherii,Thalassiosira fasciculata,Nitzschia panduriformis,Nitzschia kerguelenis,Cestodiscus reticulatus,Actinoptychus splendens,Thalassiosira elliptipora,Cymbella sp.,Rhizosolenia hebetata f. hiemalis,Actinocyclus oculatus,Actinocyclus actinochilus,Cyclotella striata,Coscinodiscus radiatus,Coscinodiscus asteromphalus,Thalassiosira gracilis,Cocconeis sp.,Chaetoceros sp.,Aulacosira granulata,Nitzschia separanda,Hemidiscus karstenii,Hemidiscus karstenii f.1,Comment
  IR,                 ,                 ,                  ,              ,181,1122,C, 46,X,CC,  24.00,    412.4400,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,               ,T            ,                         ,C                  ,R                   ,                      ,                        ,                 ,C                        ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,R              ,                  ,                       ,R                        ,C                 ,R                                ,R                   ,R                  ,R                      ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 47,X,CC,  32.00,    421.5600,diatoms  ,Diatoms                                      ,               ,                  ,T                          ,                  ,T              ,             ,                         ,                   ,                    ,                      ,R                       ,                 ,R                        ,                           ,T                     ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,                       ,                         ,R                 ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 49,X,CC,  21.00,    444.4100,diatoms  ,Diatoms                                      ,               ,                  ,R                          ,                  ,               ,             ,                         ,R                  ,                    ,                      ,                        ,                 ,R                        ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,                       ,                         ,                  ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 50,X,CC,  29.00,    452.1800,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,               ,             ,                         ,                   ,                    ,                      ,R                       ,                 ,                         ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,R              ,                  ,                       ,                         ,                  ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 51,X,CC,  21.00,    463.6100,diatoms  ,Diatoms                                      ,               ,                  ,T                          ,                  ,               ,             ,                         ,C                  ,R                   ,                      ,T                       ,                 ,F                        ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,T                    ,R              ,                  ,R                      ,R                        ,C                 ,R                                ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 52,X,CC,  18.00,    472.7800,diatoms  ,Diatoms                                      ,               ,                  ,R                          ,                  ,R              ,             ,                         ,T                  ,                    ,                      ,R                       ,                 ,R                        ,                           ,T                     ,              ,                                       ,                 ,             ,T                         ,                       ,                  ,T                    ,T              ,T                 ,                       ,                         ,                  ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 54,X,CC,   0.00,    488.1500,diatoms  ,Diatoms                                      ,               ,                  ,R                          ,T                 ,R              ,             ,                         ,R                  ,                    ,                      ,R                       ,                 ,R                        ,                           ,                      ,              ,T                                      ,T                ,T            ,T                         ,T                      ,T                 ,                     ,               ,                  ,                       ,                         ,                  ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 55,X,CC,  18.00,    499.9400,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,T              ,             ,                         ,                   ,                    ,                      ,                        ,                 ,                         ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,                       ,                         ,                  ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
