Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (dextral)	Globorotalia inflata	Globigerina bulloides	Sphaeroidinellopsis seminulina	Globorotalia puncticulata	Globigerinoides ruber	Orbulina universa	Globorotalia tosaensis	Globorotalia crassaformis	Globigerina falconensis	Globorotalia truncatulinoides	Globorotalia crassula	Globigerina quinqueloba	Globorotalia scitula	Globigerinoides trilobus	Zeaglobigerina rubescens	Orbulina suturalis	Globorotalia ungulata	Globigerinella obesa	Globigerinita glutinata	Globigerinella siphonifera	Globigerinoides tenellus	Comment
  IR	                 	Quaternary       	                  	Pt1b          	182	1129	C	  8	H	CC	  38.00	     74.3800	Li       	Planktonic Foraminifers                      	C              	P                 	P                                    	F                   	F                    	                              	                         	F                    	P                	                      	                         	                       	R                            	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	warty overgrowth, mnay bryozoans, dark-filled tests

  IR	                 	Quaternary       	                  	Pt1b          	182	1129	C	  9	H	CC	   0.00	     82.0800	Li       	Planktonic Foraminifers                      	C              	P                 	F                                    	A                   	F                    	                              	                         	A                    	P                	                      	P                        	R                      	R                            	                     	P                      	                    	                        	                        	                  	                     	                    	                       	                          	P                       	frosted forams, fewer bryozoans, gastro, bf

  IR	                 	Quaternary       	                  	Pt1b          	182	1129	C	 10	H	CC	   0.00	     93.0600	Li       	Planktonic Foraminifers                      	C              	P                 	F                                    	A                   	F                    	                              	                         	A                    	                 	                      	                         	                       	P                            	                     	P                      	                    	                        	                        	                  	                     	                    	                       	                          	P                       	frosted and crusted forams

  IR	                 	Quaternary       	                  	Pt1b          	182	1129	C	 11	H	CC	   5.00	    101.6100	Li       	Planktonic Foraminifers                      	C              	P                 	                                     	A                   	                     	                              	                         	A                    	P                	                      	                         	                       	P                            	                     	                       	P                   	                        	                        	                  	                     	                    	                       	                          	                        	frosted and crusted forams

  IR	                 	Quaternary       	                  	Pt1b          	182	1129	C	 12	H	CC	   0.00	    111.8000	Li       	Planktonic Foraminifers                      	C              	P                 	F                                    	A                   	F                    	                              	                         	A                    	                 	                      	                         	                       	P                            	                     	                       	                    	                        	P                       	                  	                     	                    	                       	                          	                        	frosted and crusted forams

  IR	                 	Pleistocene      	                  	              	182	1129	C	 13	H	CC	   0.00	    121.0900	Li       	Planktonic Foraminifers                      	C              	P                 	P                                    	A                   	P                    	                              	P                        	A                    	                 	                      	                         	P                      	P                            	                     	P                      	                    	P                       	P                       	                  	P                    	                    	P                      	P                         	                        	overgrown

  IR	                 	Pleistocene      	                  	              	182	1129	C	 14	H	CC	  10.00	    130.9700	Li       	Planktonic Foraminifers                      	C              	M                 	P                                    	A                   	F                    	                              	P                        	F                    	P                	                      	                         	F                      	R                            	                     	P                      	                    	                        	                        	                  	P                    	                    	P                      	R                         	                        	       

  IR	                 	Pleistocene      	                  	              	182	1129	C	 15	H	CC	  22.00	    140.5300	Li       	Planktonic Foraminifers                      	F              	P                 	P                                    	F                   	P                    	                              	P                        	P                    	P                	                      	                         	P                      	F                            	                     	P                      	                    	                        	                        	                  	P                    	                    	                       	                          	                        	reworked dutertrei

  IR	                 	Pleistocene      	                  	              	182	1129	C	 16	H	CC	   0.00	    149.9000	Li       	Planktonic Foraminifers                      	C              	P                 	P                                    	F                   	P                    	                              	P                        	P                    	P                	                      	                         	P                      	P                            	                     	                       	                    	                        	                        	                  	P                    	P                   	                       	                          	                        	       

  IR	                 	Pleistocene      	                  	              	182	1129	C	 17	H	CC	  13.00	    159.0500	Li       	Planktonic Foraminifers                      	C              	P                 	                                     	F                   	P                    	                              	P                        	P                    	P                	                      	P                        	                       	P                            	                     	P                      	                    	                        	                        	                  	                     	                    	                       	                          	                        	       

  IR	                 	Pleistocene      	                  	              	182	1129	C	 18	H	CC	   8.00	    168.8500	Li       	Planktonic Foraminifers                      	R              	P                 	                                     	P                   	                     	                              	                         	P                    	                 	                      	                         	                       	                             	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	strongly cemented

  IR	                 	Pleistocene      	                  	              	182	1129	C	 19	H	CC	   0.00	    178.3100	Li       	Planktonic Foraminifers                      	T              	P                 	                                     	P                   	                     	                              	                         	                     	                 	                      	                         	P                      	P                            	                     	                       	                    	                        	                        	                  	P                    	                    	                       	                          	                        	       

  IR	                 	Pleistocene      	                  	              	182	1129	C	 20	H	CC	   5.00	    188.0300	Li       	Planktonic Foraminifers                      	R              	P                 	                                     	P                   	                     	                              	P                        	P                    	P                	                      	                         	P                      	                             	                     	P                      	                    	                        	                        	                  	P                    	                    	                       	                          	                        	       

  IR	                 	Pleistocene      	                  	              	182	1129	C	 21	H	CC	   0.00	    194.1600	Li       	Planktonic Foraminifers                      	C              	P                 	                                     	F                   	P                    	                              	                         	P                    	P                	                      	                         	                       	F                            	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	       

  IR	                 	Pleistocene      	                  	              	182	1129	C	 22	H	CC	   0.00	    204.7300	Li       	Planktonic Foraminifers                      	F              	P                 	                                     	P                   	P                    	                              	P                        	P                    	P                	                      	                         	                       	P                            	                     	                       	                    	                        	                        	                  	P                    	                    	                       	                          	                        	       

  IR	                 	Pleistocene      	                  	              	182	1129	C	 23	H	CC	   0.00	    214.4800	Li       	Planktonic Foraminifers                      	F              	P                 	                                     	F                   	P                    	                              	                         	P                    	P                	                      	                         	P                      	P                            	                     	                       	                    	                        	                        	                  	P                    	                    	                       	                          	                        	       

  IR	                 	Pleistocene      	                  	              	182	1129	C	 24	X	CC	  16.00	    216.4600	Li       	Planktonic Foraminifers                      	F              	P                 	                                     	F                   	P                    	                              	                         	P                    	P                	                      	                         	                       	F                            	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	       

  IR	                 	Pleistocene      	                  	              	182	1129	C	 25	X	CC	  25.00	    231.6200	Li       	Planktonic Foraminifers                      	F              	P                 	                                     	F                   	                     	                              	                         	P                    	P                	                      	                         	P                      	P                            	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	       

  IR	                 	Pleistocene      	                  	              	182	1129	C	 26	X	CC	  19.00	    240.5000	Li       	Planktonic Foraminifers                      	C              	P                 	P                                    	A                   	P                    	                              	                         	F                    	P                	                      	P                        	P                      	P                            	                     	P                      	                    	                        	                        	                  	                     	                    	                       	                          	                        	       

  IR	                 	Pleistocene      	                  	              	182	1129	C	 27	X	CC	  24.00	    252.3400	Li       	Planktonic Foraminifers                      	F              	P                 	                                     	P                   	P                    	                              	                         	P                    	P                	                      	                         	                       	P                            	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	       

  IR	                 	Pleistocene      	                  	              	182	1129	C	 28	X	CC	  14.00	    262.1800	Li       	Planktonic Foraminifers                      	F              	P                 	                                     	P                   	                     	                              	                         	                     	                 	                      	                         	                       	P                            	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	intense overgrowths with sponge spicules

  IR	                 	                 	                  	              	182	1129	C	 29	X	CC	  15.00	    271.6400	Li       	Planktonic Foraminifers                      	F              	P                 	                                     	                    	                     	                              	                         	                     	P                	                      	                         	                       	                             	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	intense overgrowths with sponge spicules

  IR	                 	Pleistocene      	                  	Pt1           	182	1129	C	 30	X	CC	  30.00	    281.1400	Li       	Planktonic Foraminifers                      	F              	M                 	F                                    	A                   	P                    	                              	                         	A                    	                 	                      	P                        	P                      	P                            	                     	                       	                    	P                       	P                       	P                 	                     	                    	                       	                          	                        	overgrowths on test surfaces much less than above

  IR	                 	Pleistocene      	                  	Pt1           	182	1129	C	 31	X	CC	  13.00	    282.9300	Li       	Planktonic Foraminifers                      	F              	P                 	P                                    	P                   	                     	                              	                         	P                    	                 	                      	                         	                       	P                            	                     	                       	                    	P                       	                        	                  	                     	                    	                       	                          	                        	intense overgrowths with sponge spicules

  IR	                 	Pleistocene      	                  	Pt1           	182	1129	C	 33	X	CC	  29.00	    307.9000	Li       	Planktonic Foraminifers                      	F              	P                 	                                     	                    	                     	                              	                         	                     	                 	                      	                         	                       	P                            	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	intense overgrowths with sponge spicules

  IR	                 	Pleistocene      	                  	Pt1           	182	1129	C	 34	X	CC	  20.00	    317.3300	Li       	Planktonic Foraminifers                      	F              	P                 	                                     	P                   	                     	                              	                         	                     	                 	                      	                         	                       	P                            	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	intense overgrowths with sponge spicules

  IR	                 	                 	                  	              	182	1129	C	 35	X	CC	  25.00	    328.4700	Li       	Planktonic Foraminifers                      	F              	P                 	P                                    	P                   	                     	                              	                         	P                    	                 	                      	                         	                       	                             	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	intense overgrowths with sponge spicules

  IR	                 	Pleistocene      	                  	Pt1           	182	1129	C	 36	X	CC	  27.00	    335.8300	Li       	Planktonic Foraminifers                      	F              	P                 	P                                    	                    	                     	                              	                         	                     	                 	                      	                         	                       	P                            	                     	                       	P                   	                        	                        	                  	                     	                    	                       	                          	                        	intense overgrowths with sponge spicules

  IR	                 	Pleistocene      	                  	Pt1           	182	1129	C	 37	X	CC	  24.00	    347.4700	Li       	Planktonic Foraminifers                      	F              	P                 	                                     	P                   	                     	                              	                         	P                    	P                	P                     	P                        	                       	P                            	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	intense overgrowths with sponge spicules

  IR	                 	Pleistocene      	                  	Pt1           	182	1129	C	 38	X	CC	  33.00	    352.3600	Li       	Planktonic Foraminifers                      	R              	P                 	                                     	P                   	                     	                              	                         	P                    	                 	                      	                         	                       	P                            	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	       

  IR	                 	                 	                  	              	182	1129	C	 40	X	CC	  11.00	    371.2800	Li       	Planktonic Foraminifers                      	T              	P                 	                                     	P                   	                     	                              	                         	P                    	                 	                      	P                        	                       	                             	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1129	C	 41	X	CC	   4.00	    374.5400	Li       	Planktonic Foraminifers                      	R              	P                 	P                                    	P                   	                     	                              	                         	P                    	                 	                      	                         	                       	P                            	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	       

  IR	                 	                 	                  	              	182	1129	C	 43	X	CC	  30.00	    395.7600	Li       	Planktonic Foraminifers                      	T              	P                 	                                     	P                   	                     	                              	                         	                     	                 	                      	P                        	                       	                             	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	       

  IR	                 	Pleistocene      	                  	              	182	1129	C	 44	X	CC	  13.00	    403.7300	Li       	Planktonic Foraminifers                      	F              	P                 	                                     	F                   	P                    	                              	                         	P                    	                 	                      	                         	F                      	P                            	P                    	P                      	                    	                        	                        	                  	                     	                    	                       	                          	                        	       

  IR	                 	Pleistocene      	                  	              	182	1129	C	 45	X	CC	   6.00	    413.8600	Li       	Planktonic Foraminifers                      	F              	P                 	                                     	P                   	P                    	                              	P                        	P                    	P                	                      	R                        	F                      	P                            	P                    	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	       

  IR	Pliocene         	Pleistocene      	                  	              	182	1129	C	 46	X	CC	  53.00	    432.9300	Li       	Planktonic Foraminifers                      	F              	P                 	                                     	P                   	                     	                              	P                        	F                    	P                	P                     	P                        	P                      	                             	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	       

  IR	                 	                 	                  	              	182	1129	C	 47	X	CC	  39.00	    433.4500	Li       	Planktonic Foraminifers                      	T              	P                 	                                     	                    	                     	P                             	P                        	P                    	                 	                      	                         	                       	                             	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	       

  IR	                 	                 	                  	              	182	1129	C	 48	X	CC	  32.00	    444.8800	Li       	Planktonic Foraminifers                      	T              	P                 	P                                    	P                   	P                    	                              	                         	                     	                 	                      	                         	                       	                             	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	       

