Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globanomalina ovalis,Globanomalina australiformis,Pseudohastigerina wilcoxensis,Subbotina linaperta,Acarinina primitiva,Acarinina wilcoxensis,Subbotina patagonica,Acarinina pentacamerata,Acarinina bullbrooki,Morozovella spinulosa,Globanomalina planoconica,Muricoglobigerina senni,Acarinina spinuloinflata,Acarinina collactea,Subbotina frontosa,Pseudohastigerina micra,Morozovella lehneri,Globorotalia pseudoscitula,Globanomalina chapmani,Truncorotaloides rohri,Subbotina angiporoides,Catapsydrax unicavus,Globorotaloides suteri,Globigerina officinalis,Turborotalia euapertura,Tenuitellinata angustiumbilicata,Tenuitella munda,Tenuitella gemma,Globigerinita glutinata,Globigerina praebulloides,Globigerina eamesi,Dentoglobigerina praedehiscens,Catapsydrax dissimilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,SP10              ,SP13          ,189,1171,D,  8,R,CC,   0.00,    307.8400,forams   ,Planktonic Foraminifers                      ,R              ,G                 ,                    ,                            ,                             ,+                  ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,+                     ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,SP10              ,SP11          ,189,1171,D, 14,R,CC,  16.00,    363.2800,forams   ,Planktonic Foraminifers                      ,R              ,G                 ,                    ,                            ,                             ,+                  ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,SP10              ,SP11          ,189,1171,D, 17,R,CC,  24.00,    398.4000,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                    ,                            ,                             ,+                  ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,+                   ,+                     ,+                      ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,SP8               ,SP10          ,189,1171,D, 18,R,CC,   0.00,    401.2000,forams   ,Planktonic Foraminifers                      ,R              ,M                 ,                    ,                            ,                             ,+                  ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP10          ,189,1171,D, 19,R,CC,   0.00,    417.6300,forams   ,Planktonic Foraminifers                      ,T              ,G                 ,                    ,                            ,                             ,                   ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,+                     ,                      ,+                   ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,SP8               ,SP10          ,189,1171,D, 22,R,CC,  12.00,    448.8400,forams   ,Planktonic Foraminifers                      ,R              ,G                 ,                    ,                            ,                             ,+                  ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,+                      ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,SP8               ,SP11          ,189,1171,D, 23,R,CC,  10.00,    453.5700,forams   ,Planktonic Foraminifers                      ,R              ,G                 ,                    ,                            ,                             ,+                  ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,AP11              ,AP9           ,189,1171,D, 31,R,CC,  28.00,    533.7300,forams   ,Planktonic Foraminifers                      ,T              ,P                 ,                    ,                            ,                             ,+                  ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,+                      ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,AP9               ,AP6           ,189,1171,D, 33,R,CC,   0.00,    555.0200,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                    ,+                           ,                             ,+                  ,                   ,                     ,                    ,+                      ,+                   ,                     ,                         ,                       ,                        ,+                  ,                  ,                       ,                   ,                          ,                      ,+                     ,+                     ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,AP6b          ,189,1171,D, 34,R,CC,   0.00,    564.7900,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                    ,+                           ,                             ,+                  ,                   ,+                    ,                    ,+                      ,                    ,                     ,                         ,                       ,                        ,+                  ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,AP10          ,189,1171,D, 35,R,CC,   7.00,    573.8600,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                    ,+                           ,                             ,+                  ,                   ,                     ,+                   ,+                      ,+                   ,                     ,+                        ,                       ,                        ,+                  ,+                 ,+                      ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,AP10              ,AP9           ,189,1171,D, 36,R,CC,  13.00,    584.1000,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,+                   ,+                           ,                             ,+                  ,                   ,                     ,+                   ,+                      ,+                   ,                     ,                         ,                       ,                        ,+                  ,+                 ,+                      ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,AP6           ,189,1171,D, 37,R,CC,  17.00,    593.5600,forams   ,Planktonic Foraminifers                      ,R              ,G                 ,                    ,                            ,                             ,+                  ,                   ,+                    ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,AP6b          ,189,1171,D, 38,R,CC,   0.00,    603.2200,forams   ,Planktonic Foraminifers                      ,R              ,G                 ,                    ,+                           ,                             ,+                  ,                   ,+                    ,+                   ,+                      ,                    ,                     ,                         ,                       ,+                       ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,AP10          ,189,1171,D, 39,R,CC,   0.00,    611.8500,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                    ,+                           ,+                            ,+                  ,                   ,                     ,+                   ,+                      ,                    ,                     ,                         ,                       ,+                       ,+                  ,+                 ,+                      ,+                  ,+                         ,+                     ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,AP6           ,189,1171,D, 40,R,CC,  19.00,    622.7000,forams   ,Planktonic Foraminifers                      ,R              ,G                 ,                    ,                            ,                             ,+                  ,                   ,+                    ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,AP6           ,189,1171,D, 41,R,CC,  12.00,    631.1400,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                    ,+                           ,+                            ,+                  ,                   ,                     ,+                   ,                       ,+                   ,                     ,                         ,                       ,                        ,                   ,+                 ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,AP9               ,AP8           ,189,1171,D, 42,R,CC,  13.00,    641.8100,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                    ,+                           ,+                            ,                   ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,+                 ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,AP6           ,189,1171,D, 43,R,CC,   9.00,    651.0100,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                    ,+                           ,                             ,+                  ,                   ,+                    ,                    ,                       ,                    ,                     ,                         ,+                      ,+                       ,+                  ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,AP6           ,189,1171,D, 46,R,CC,   0.00,    677.7900,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,+                           ,+                            ,+                  ,                   ,+                    ,                    ,+                      ,+                   ,+                    ,+                        ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,AP6           ,189,1171,D, 47,R,CC,  17.00,    690.2400,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,                    ,+                           ,+                            ,                   ,                   ,+                    ,+                   ,+                      ,+                   ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 48,R,CC,   0.00,    699.5000,forams   ,Planktonic Foraminifers                      ,T              ,P                 ,                    ,                            ,+                            ,                   ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,AP6a          ,189,1171,D, 51,R,CC,   0.00,    726.9400,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,+                   ,+                           ,                             ,                   ,                   ,+                    ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,AP6           ,189,1171,D, 52,R,CC,   8.00,    738.1100,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                    ,+                           ,                             ,+                  ,                   ,+                    ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,SP8               ,SP7           ,189,1171,D, 54,R,CC,   9.00,    757.2600,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                    ,+                           ,                             ,+                  ,+                  ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,SP7               ,SP6           ,189,1171,D, 55,R,CC,  11.00,    766.9500,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                    ,+                           ,+                            ,                   ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,AP6a          ,189,1171,D, 64,R,CC,   9.00,    852.0100,forams   ,Planktonic Foraminifers                      ,T              ,P                 ,+                   ,+                           ,                             ,                   ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,AP6a          ,189,1171,D, 65,R,CC,  20.00,    863.0000,forams   ,Planktonic Foraminifers                      ,T              ,P                 ,+                   ,+                           ,                             ,                   ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
