Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Heterohelix globulosa	Whiteinella baltica	Hedbergella delrioensis	Archaeoglobigerina bosquensis	Whiteinella inornata	Whiteinella archaeocretacea	Pseudotextularia elegans	Globotruncanita stuarti	Gansserina gansseri	Contusotruncana fornicata	Contusotruncana contusa	Archaeoglobigerina cretacea	Abathomphalus mayaroensis	Rugoglobigerina rugosa	Rugoglobigerina scotti	Rugoglobigerina rotundata	Pseudoguembelina excolata	Globotruncana aegyptiaca	Globigerinelloides prairiehillensis	Praemurica taurica	Praemurica inconstans	Parasubbotina pseudobulloides	Subbotina triloculinoides	Praemurica pseudoinconstans	Globanomalina compressa	Subbotina patagonica	Parasubbotina varianta	Morozovella allisonensis	Acarinina soldadoensis	Acarinina sibaiyaensis	Acarinina africana	Morozovella subbotinae	Morozovella aequa	Chiloguembelina wilcoxensis	Acarinina coalingensis	Morozovella velascoensis	Igorina broedermanni	Acarinina wilcoxensis	Acarinina quetra	Morozovella marginodentata	Morozovella gracilis	Subbotina triangularis	Morozovella lensiformis	Morozovella formosa	Morozovella aragonensis	Comment
  IR	                 	                 	                  	              	207	1259	C	  5	R	CC	  21.00	    354.7400	forams   	Planktonic Foraminifers                      	C              	M                 	                     	                   	                       	                             	                    	                           	                        	                       	                   	                         	                       	                           	                         	                      	                      	                         	                         	                        	                                   	                  	                     	                             	                         	                           	                       	                    	                      	                        	P                     	                      	                  	P                     	P                	                           	                      	                        	                    	P                    	P               	                          	                    	                      	                       	                   	                       	       

  IR	                 	                 	                  	              	207	1259	C	  6	R	CC	  10.00	    363.4900	forams   	Planktonic Foraminifers                      	A              	M                 	                     	                   	                       	                             	                    	                           	                        	                       	                   	                         	                       	                           	                         	                      	                      	                         	                         	                        	                                   	                  	                     	                             	                         	                           	                       	                    	                      	P                       	P                     	                      	                  	P                     	P                	P                          	P                     	P                       	P                   	P                    	                	                          	                    	                      	                       	                   	                       	       

  IR	                 	                 	                  	              	207	1259	C	  7	R	 2	   0.00	    365.3500	forams   	Planktonic Foraminifers                      	F              	P                 	                     	                   	                       	                             	                    	                           	                        	                       	                   	                         	                       	                           	                         	                      	                      	                         	                         	                        	                                   	                  	                     	                             	                         	                           	                       	                    	                      	                        	P                     	                      	                  	P                     	P                	P                          	P                     	                        	                    	                     	                	                          	                    	                      	                       	                   	                       	       

  IR	                 	                 	                  	              	207	1259	C	  7	R	 2	  70.00	    366.0500	forams   	Planktonic Foraminifers                      	A              	M                 	                     	                   	                       	                             	                    	                           	                        	                       	                   	                         	                       	                           	                         	                      	                      	                         	                         	                        	                                   	                  	                     	                             	                         	                           	                       	P                   	P                     	P                       	P                     	P                     	P                 	                      	                 	                           	                      	                        	                    	                     	                	                          	                    	                      	                       	                   	                       	       

  IR	                 	                 	                  	              	207	1259	C	  8	R	 1	  89.00	    436.8900	forams   	Planktonic Foraminifers                      	A              	P                 	                     	                   	                       	                             	                    	                           	                        	                       	                   	                         	                       	                           	                         	                      	                      	                         	                         	                        	                                   	                  	P                    	                             	P                        	P                          	P                      	                    	                      	                        	                      	                      	                  	                      	                 	                           	                      	                        	                    	                     	                	                          	                    	                      	                       	                   	                       	       

  IR	                 	                 	                  	              	207	1259	C	  8	R	 3	  20.00	    439.2000	forams   	Planktonic Foraminifers                      	A              	P                 	                     	                   	                       	                             	                    	                           	                        	                       	                   	                         	                       	                           	                         	                      	                      	                         	                         	                        	                                   	P                 	P                    	P                            	                         	                           	                       	                    	                      	                        	                      	                      	                  	                      	                 	                           	                      	                        	                    	                     	                	                          	                    	                      	                       	                   	                       	       

  IR	                 	                 	                  	              	207	1259	C	  8	R	 7	  66.00	    445.1500	forams   	Planktonic Foraminifers                      	A              	P                 	                     	                   	                       	                             	                    	                           	P                       	P                      	                   	                         	                       	                           	P                        	P                     	P                     	P                        	P                        	P                       	P                                  	                  	                     	                             	                         	                           	                       	                    	                      	                        	                      	                      	                  	                      	                 	                           	                      	                        	                    	                     	                	                          	                    	                      	                       	                   	                       	       

  IR	                 	                 	                  	              	207	1259	C	  8	R	CC	  16.00	    445.9500	forams   	Planktonic Foraminifers                      	A              	P                 	                     	                   	                       	                             	                    	                           	P                       	P                      	P                  	                         	P                      	                           	P                        	P                     	                      	                         	                         	                        	                                   	                  	                     	                             	                         	                           	                       	                    	                      	                        	                      	                      	                  	                      	                 	                           	                      	                        	                    	                     	                	                          	                    	                      	                       	                   	                       	       

  IR	                 	                 	                  	              	207	1259	C	 10	R	CC	   0.00	    490.2600	forams   	Planktonic Foraminifers                      	B              	                  	                     	                   	                       	                             	                    	                           	                        	                       	                   	                         	                       	                           	+                        	                      	                      	                         	                         	                        	                                   	                  	                     	                             	                         	                           	                       	                    	                      	                        	                      	                      	                  	                      	                 	                           	                      	                        	                    	                     	                	                          	                    	                      	                       	                   	                       	       

  IR	                 	                 	                  	              	207	1259	C	 11	R	 5	 106.00	    496.0200	forams   	Planktonic Foraminifers                      	C              	M                 	P                    	                   	                       	                             	                    	                           	+                       	+                      	+                  	P                        	+                      	P                          	+                        	                      	                      	                         	                         	                        	                                   	                  	                     	                             	                         	                           	                       	                    	                      	                        	                      	                      	                  	                      	                 	                           	                      	                        	                    	                     	                	                          	                    	                      	                       	                   	                       	       

  IR	                 	                 	                  	              	207	1259	C	 12	R	CC	  21.00	    501.9100	forams   	Planktonic Foraminifers                      	C              	P                 	P                    	                   	                       	                             	                    	                           	                        	                       	                   	                         	                       	                           	                         	                      	                      	                         	                         	                        	                                   	                  	                     	                             	                         	                           	                       	                    	                      	                        	                      	                      	                  	                      	                 	                           	                      	                        	                    	                     	                	                          	                    	                      	                       	                   	                       	       

  IR	                 	                 	                  	              	207	1259	C	 13	R	CC	   0.00	    505.7500	forams   	Planktonic Foraminifers                      	R              	P                 	P                    	P                  	                       	                             	                    	                           	                        	                       	                   	                         	                       	                           	                         	                      	                      	                         	                         	                        	                                   	                  	                     	                             	                         	                           	                       	                    	                      	                        	                      	                      	                  	                      	                 	                           	                      	                        	                    	                     	                	                          	                    	                      	                       	                   	                       	       

  IR	                 	                 	                  	              	207	1259	C	 15	R	 2	 141.00	    516.7100	forams   	Planktonic Foraminifers                      	C              	G                 	P                    	                   	P                      	                             	P                   	P                          	                        	                       	                   	                         	                       	                           	                         	                      	                      	                         	                         	                        	                                   	                  	                     	                             	                         	                           	                       	                    	                      	                        	                      	                      	                  	                      	                 	                           	                      	                        	                    	                     	                	                          	                    	                      	                       	                   	                       	       

  IR	                 	                 	                  	              	207	1259	C	 16	R	CC	   5.00	    527.3800	forams   	Planktonic Foraminifers                      	C              	G                 	P                    	P                  	P                      	P                            	                    	                           	                        	                       	                   	                         	                       	                           	                         	                      	                      	                         	                         	                        	                                   	                  	                     	                             	                         	                           	                       	                    	                      	                        	                      	                      	                  	                      	                 	                           	                      	                        	                    	                     	                	                          	                    	                      	                       	                   	                       	       

  IR	                 	                 	                  	              	207	1259	C	 17	R	CC	  26.00	    535.6200	forams   	Planktonic Foraminifers                      	R              	P                 	P                    	                   	                       	                             	                    	                           	                        	                       	                   	                         	                       	                           	                         	                      	                      	                         	                         	                        	                                   	                  	                     	                             	                         	                           	                       	                    	                      	                        	                      	                      	                  	                      	                 	                           	                      	                        	                    	                     	                	                          	                    	                      	                       	                   	                       	       

