Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spiniferites ramosus	Pyxidinopsis waipawaensis	Phthanoperidinium spp.	Operculodinium sp. A	Enneadocysta partridgei	Deflandrea phosphoritica group	Thalassiphora pelagica	Selenopemphix nephroides	Lejeunecysta spp.	Cerebrocysta bartonensis	Operculodinium centrocarpum	Impagidinium dispertitum	Batiacasphaera compta	Vozzhennikovia spp.	Turbiosphaera filosa	Spinidinium macmurdoense	Octodinium askiniae	Impagidinium victorianum	Impagidinium sp.	Elytrocysta spp.	Alterbidinium spp.	Alterbidinium distinctum	Spinidinium luciae	Operculodinium sp. B	Impagidinium sp. a	Enneadocysta pectiniformis	Corrudinium sp.	Areosphaeridium diktyoplokus	Systematophora placacantha	Spiniferites pseudofurcatus	Schematophora speciosa	Operculodinium janduchenei	Impagidinium aculeatum	Hystrichostrogylon spp.	Hemiplacophora semilunifera	Gelatia inflata	Corrudinium sp. A	Aireiana verrucosa	Achomosphaera alcicornu	Stoveracysta kakanuiensis	Brigantedinium? sp.	Impagidinium paradoxum	Spiniferites mirabilis	Multispinula quanta	Impagidinium patulum	Brigantedinium spp.	Comment
  IR	                 	                 	                  	              	189	1172	A	 39	X	 6	  64.00	    362.7400	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	A              	G                 	                    	                         	4                     	1                   	2                      	60                            	1                     	3                       	1                	                        	1                          	1                       	                     	17                 	                    	105                     	15                 	1                       	                	1               	7                 	1                       	3                 	1                   	1                 	1                         	               	1                           	                          	                           	                      	                          	                      	                       	                           	               	                 	                  	                       	                         	                   	                      	                      	                   	                    	                   	       

  IR	                 	                 	                  	              	189	1172	A	 39	X	CC	  27.00	    364.3400	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	A              	G                 	1                   	                         	17                    	6                   	6                      	130                           	                      	1                       	1                	                        	                           	                        	                     	11                 	                    	19                      	1                  	1                       	                	3               	2                 	1                       	1                 	1                   	1                 	3                         	1              	                            	                          	                           	                      	                          	                      	                       	                           	               	                 	                  	                       	                         	                   	                      	                      	                   	                    	                   	       

  IR	                 	                 	                  	              	189	1172	A	 40	X	CC	  26.00	    374.0000	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	A              	G                 	2                   	                         	5                     	1                   	10                     	150                           	                      	                        	1                	                        	1                          	                        	                     	25                 	1                   	1                       	5                  	1                       	1               	3               	10                	1                       	                  	                    	                  	                          	               	                            	                          	                           	                      	                          	                      	                       	                           	               	                 	                  	                       	                         	                   	                      	                      	                   	                    	                   	       

  IR	                 	                 	                  	              	189	1172	A	 50	X	CC	   0.00	    460.2000	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	A              	G                 	2                   	                         	1                     	                    	205                    	30                            	1                     	                        	                 	6                       	                           	1                       	1                    	                   	                    	                        	                   	                        	                	                	                  	                        	                  	                    	                  	                          	               	                            	                          	                           	                      	                          	                      	                       	                           	               	                 	                  	                       	                         	                   	                      	                      	                   	                    	                   	       

  IR	                 	                 	                  	              	189	1172	A	 51	X	CC	  43.00	    476.1900	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	A              	G                 	3                   	                         	32                    	1                   	31                     	180                           	1                     	                        	                 	2                       	1                          	1                       	                     	                   	                    	                        	                   	                        	                	                	                  	                        	                  	                    	                  	                          	               	                            	                          	                           	                      	                          	                      	                       	                           	               	                 	                  	                       	                         	                   	                      	                      	                   	                    	                   	       

  IR	                 	                 	                  	              	189	1172	A	 53	X	CC	  34.00	    498.8000	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	A              	G                 	2                   	1                        	25                    	                    	20                     	175                           	1                     	1                       	1                	3                       	                           	                        	                     	                   	                    	                        	                   	                        	                	                	                  	                        	                  	                    	                  	                          	               	                            	                          	                           	                      	                          	                      	                       	                           	               	                 	                  	                       	                         	                   	                      	                      	                   	                    	                   	       

  IR	                 	                 	                  	              	189	1172	A	 56	X	CC	  23.00	    518.2300	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	C              	G                 	7                   	3                        	6                     	6                   	23                     	1854                          	                      	                        	                 	                        	                           	                        	                     	                   	                    	                        	                   	                        	                	                	                  	                        	                  	                    	                  	                          	               	                            	                          	                           	                      	                          	                      	                       	                           	               	                 	                  	                       	                         	                   	                      	                      	                   	                    	                   	       

