Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Elphidium saginatum	Cibicidoides spp.	Pleurostomella spp.	Globobulimina spp.	Dentalina spp.	Bathysiphon spp.	Ostracoda spp.	Melonis barleeanus	Globocassidulina subglobosa	Uvigerina peregrina	Unilocular species	Pullenia spp.	Gyroidinoides spp.	Eggerella bradyi	Stilostomella spp.	Nodosaria spp.	Unidentified benthic forams	Ceratobulimina spp.	Oridorsalis umbonatus	Hanzawaia mantaensis	Fontbotia wuellerstorfi	Cibicidoides mundulus	Rectuvigerina spp.	Osangularia culter	Laticarinina pauperata	Ehrenbergina spp.	Hopkinsina mioindex	Uvigerina hispida	Sigmoilopsis schlumbergeri	Pullenia bulloides	Chilostomella oolina	Comment
  IR	                 	                 	                  	              	189	1172	A	 15	H	CC	  22.00	    139.7900	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	              	                  	                           	R                  	                  	             	                  	                	                  	              	                           	                   	                     	                    	                       	T                    	                  	                  	R                     	                 	T                  	                 	                          	                  	                    	tiny sample

  IR	                 	                 	                  	              	189	1172	A	 17	H	CC	  19.00	    158.2700	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	T             	                  	                           	                   	                  	             	                  	                	                  	              	                           	                   	                     	                    	T                      	R                    	                  	                  	                      	                 	                   	                 	                          	                  	                    	small sample

  IR	                 	                 	                  	              	189	1172	A	 19	H	CC	  28.00	    177.7600	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	F             	                  	                           	R                  	                  	             	                  	                	                  	              	                           	                   	                     	                    	T                      	T                    	                  	                  	R                     	                 	                   	                 	                          	                  	                    	       

  IR	                 	                 	                  	              	189	1172	A	 21	H	CC	  33.00	    196.8100	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	R             	                  	R                          	                   	                  	             	                  	                	                  	              	                           	                   	                     	                    	F                      	T                    	                  	                  	R                     	                 	                   	                 	                          	                  	                    	       

  IR	                 	                 	                  	              	189	1172	A	 23	H	CC	  12.00	    215.2700	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	              	                  	R                          	                   	                  	             	                  	                	                  	              	                           	                   	                     	                    	R                      	R                    	                  	                  	R                     	                 	                   	                 	                          	                  	                    	       

  IR	                 	                 	                  	              	189	1172	A	 25	X	CC	  14.00	    228.0100	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	              	                  	R                          	R                  	                  	             	                  	                	                  	              	                           	                   	R                    	                    	                       	T                    	                  	                  	R                     	                 	                   	                 	                          	                  	                    	       

  IR	                 	                 	                  	              	189	1172	A	 27	X	CC	  25.00	    246.8600	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	R             	                  	R                          	                   	                  	             	                  	                	                  	              	                           	                   	                     	                    	R                      	R                    	                  	                  	                      	R                	                   	                 	                          	                  	                    	       

  IR	                 	                 	                  	              	189	1172	A	 29	X	CC	  22.00	    266.2700	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	R             	                  	R                          	                   	                  	             	                  	                	                  	              	                           	                   	                     	                    	R                      	R                    	                  	                  	                      	                 	                   	                 	                          	                  	                    	       

  IR	                 	                 	                  	              	189	1172	A	 31	X	CC	  21.00	    285.9000	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	              	                  	                           	                   	                  	             	                  	                	                  	              	                           	                   	                     	                    	                       	R                    	                  	R                 	R                     	                 	                   	                 	                          	                  	                    	       

  IR	                 	                 	                  	              	189	1172	A	 33	X	CC	  19.00	    306.3700	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	R             	                  	R                          	                   	                  	             	                  	                	                  	              	                           	                   	                     	                    	T                      	R                    	T                 	                  	                      	                 	                   	                 	                          	                  	                    	       

  IR	                 	                 	                  	              	189	1172	A	 35	X	CC	  24.00	    324.9200	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	F             	                  	R                          	                   	                  	             	                  	                	                  	              	                           	                   	R                    	                    	R                      	R                    	                  	                  	                      	                 	                   	                 	                          	                  	                    	       

  IR	                 	                 	                  	              	189	1172	A	 37	X	CC	  38.00	    345.1000	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	F             	                  	R                          	                   	                  	             	                  	                	                  	              	                           	                   	R                    	R                   	R                      	T                    	                  	                  	                      	                 	                   	                 	                          	                  	                    	       

  IR	                 	                 	                  	              	189	1172	A	 38	X	CC	  24.00	    353.7600	benthics 	Benthic Foraminifers                         	R              	M                 	                   	T                	                   	                  	              	                	              	                  	R                          	                   	R                 	             	T                 	                	R                 	              	R                          	                   	                     	                    	                       	                     	                  	                  	                      	                 	                   	                 	                          	                  	                    	very few planktics, lots of glassy spicules

  IR	                 	                 	                  	              	189	1172	A	 39	X	CC	  27.00	    364.3400	benthics 	Benthic Foraminifers                         	R              	P                 	                   	R                	                   	                  	R             	                	              	                  	R                          	                   	T                 	             	                  	                	                  	              	R                          	T                  	                     	                    	                       	                     	                  	                  	                      	                 	                   	                 	                          	                  	                    	very few planktics, glauconite

  IR	                 	                 	                  	              	189	1172	A	 40	X	CC	  26.00	    374.0000	benthics 	Benthic Foraminifers                         	F              	M                 	                   	R                	                   	                  	              	                	              	                  	F                          	R                  	T                 	T            	                  	                	T                 	T             	                           	                   	                     	                    	                       	                     	                  	                  	                      	                 	                   	                 	                          	                  	                    	very few planktics, gastropods, glauconite

  IR	                 	                 	                  	              	189	1172	A	 41	X	CC	  31.00	    383.4500	benthics 	Benthic Foraminifers                         	R              	M                 	                   	R                	                   	                  	              	                	              	                  	                           	R                  	T                 	T            	T                 	T               	                  	              	                           	                   	                     	                    	                       	                     	                  	                  	                      	                 	                   	                 	                          	                  	                    	very few planktics

  IR	                 	                 	                  	              	189	1172	A	 42	X	CC	  51.00	    393.1800	benthics 	Benthic Foraminifers                         	T              	P                 	                   	T                	                   	                  	              	T               	T             	T                 	T                          	                   	                  	             	                  	                	                  	              	                           	                   	                     	                    	                       	                     	                  	                  	                      	                 	                   	                 	                          	                  	                    	very few planktics, wood

  IR	                 	                 	                  	              	189	1172	A	 43	X	CC	  33.00	    402.8300	benthics 	Benthic Foraminifers                         	T              	M                 	                   	T                	R                  	T                 	T             	T               	              	                  	                           	                   	                  	             	                  	                	                  	              	                           	                   	                     	                    	                       	                     	                  	                  	                      	                 	                   	                 	                          	                  	                    	very few planktics

  IR	                 	                 	                  	              	189	1172	A	 53	X	CC	  34.00	    498.8000	benthics 	Benthic Foraminifers                         	               	                  	R                  	                 	                   	                  	              	                	              	                  	                           	                   	                  	             	                  	                	                  	              	                           	                   	                     	                    	                       	                     	                  	                  	                      	                 	                   	                 	                          	                  	                    	C

  IR	                 	                 	                  	              	189	1172	A	 56	X	CC	  23.00	    518.2300	benthics 	Benthic Foraminifers                         	               	                  	T                  	T                	                   	                  	              	                	              	                  	                           	                   	                  	             	                  	                	                  	              	                           	                   	                     	                    	                       	                     	                  	                  	                      	                 	                   	                 	                          	                  	                    	C + A, tiny sample

