Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina peregrina	Uvigerina mediterranea	Uvigerina hispida	Stilostomella consobrina	Stilostomella adolphina	Sigmoilina tenuis	Pullenia quinqueloba	Pullenia bulloides	Pseudoeponides sp.	Melonis parkerae	Lagena striata	Globocassidulina subglobosa	Globobulimina sp.	Fursenkoina schreibersiana	Fissurina kerguelenensis	Fissurina cf. F. orbignyana	Eponides tenera	Cibicidoides mundulus	Cassidulina laevigata	Bulimina marginata	Bolivina cf. subspinescens	Bolivina cf. striatula	Lagena sp.	Lagena laevis	Gyroidinoides neosoldanii	Fontbotia wuellerstorfi	Fissurina cf. submarginata	Eponides spp.	Dentalina vertebralis	Cibicides refulgens	Cancris sp.	Bulimina rostrata	Bulimina aculeata	Amphicoryna hirsuta	Pyrgo murrhina	Nodosaria vertebralis	Dentalina guttifera	Dentalina communis	Quinqueloculina venusta	Pyrgo depressa	Heterolepa sp.	Fissurina marginata	Dentalina sp.	Dentalina intorta	Lagena hispidula	Hoeglundina elegans	Fissurina lacunata	Epistominella exigua	Bolivina sp.	Nonion sp.	Fursenkoina complanata	Frondicularia sp.	Eponides repandus	Dentalina subsoluta	Nodosaria subsoluta	Melonis pompilioides	Stomatorbina concentrica	Martinottiella communis	Fursenkoina sp.	Lenticulina gibba	Lagena sulcata	Gyroidina umbonata	Bulimina exilis	Polymorphinid taxa	Lagena gracilis	Uvigerina ampullacea	Oolina williamsoni	Cassidulinoides parkerianus	Bulimina clava	Pyrgo serrata	Bolivina pseudoplicata	Sigmoilopsis schlumbergeri	Oolina melo	Comment

  SR	Pleistocene      	                 	CN14a             	              	159	 959	A	  1	H	 5	  40.00	      6.4000	Levy     	Benthic Foraminifers                         	               	                  	54                 	                      	5                	                        	                       	1                	1                   	4                 	                  	15              	              	                           	                 	                          	                        	                           	9              	                     	24                   	1                 	                          	                      	          	             	                         	                       	                          	             	                     	                   	           	                 	3                	                   	1             	                     	                   	                  	                       	              	              	                   	             	1                	                	                   	                  	                    	            	          	1                     	                 	                 	                   	                   	                    	                        	                       	               	1                	1             	4                 	2              	                  	               	                    	                  	                           	              	             	                      	                          	           	Total count = 107; From Leg 159SR Ch 44 Table 1

  SR	Pleistocene      	                 	CN14a             	              	159	 959	A	  1	H	 6	  40.00	      7.9000	Levy     	Benthic Foraminifers                         	               	                  	6                  	                      	6                	                        	1                      	                 	                    	                  	                  	17              	              	                           	                 	                          	                        	                           	               	                     	14                   	4                 	1                         	2                     	          	             	                         	3                      	                          	             	                     	1                  	           	2                	14               	                   	2             	                     	                   	                  	                       	              	16            	                   	             	                 	1               	                   	                  	29                  	            	          	4                     	                 	                 	                   	                   	6                   	3                       	1                      	1              	                 	              	                  	               	                  	               	                    	                  	                           	              	             	                      	                          	           	Total count = 79; From Leg 159SR Ch 44 Table 1

  SR	Pleistocene      	                 	CN13a             	              	159	 959	A	  2	H	 1	  40.00	      9.5000	Levy     	Benthic Foraminifers                         	               	                  	14                 	                      	4                	6                       	6                      	                 	                    	2                 	                  	9               	              	                           	                 	                          	                        	                           	               	                     	13                   	                  	4                         	                      	          	             	                         	3                      	                          	             	                     	                   	           	1                	                 	                   	2             	                     	2                  	                  	                       	              	7             	                   	             	                 	1               	1                  	                  	18                  	            	          	                      	                 	5                	                   	1                  	2                   	                        	                       	               	                 	              	                  	               	                  	               	                    	                  	                           	              	             	                      	                          	           	Total count = 60; From Leg 159SR Ch 44 Table 1

  SR	Pleistocene      	                 	CN13a             	              	159	 959	A	  2	H	 2	  40.00	     11.0000	Levy     	Benthic Foraminifers                         	               	                  	32                 	                      	3                	                        	16                     	                 	                    	8                 	                  	1               	              	                           	                 	                          	                        	                           	60             	                     	29                   	1                 	                          	3                     	          	             	2                        	                       	                          	             	                     	                   	           	2                	                 	1                  	              	                     	                   	                  	                       	              	1             	                   	             	                 	                	                   	                  	10                  	            	2         	3                     	2                	2                	5                  	                   	                    	                        	                       	               	                 	              	                  	               	                  	               	                    	                  	                           	              	             	                      	                          	           	Total count = 134; From Leg 159SR Ch 44 Table 1

  SR	Pleistocene      	                 	CN13b             	              	159	 959	A	  2	H	 3	  40.00	     12.5000	Levy     	Benthic Foraminifers                         	               	                  	33                 	                      	5                	                        	10                     	1                	2                   	1                 	                  	4               	              	1                          	                 	                          	1                       	                           	4              	                     	8                    	13                	5                         	                      	          	1            	                         	                       	                          	             	                     	                   	           	1                	                 	                   	              	                     	                   	                  	                       	              	6             	2                  	1            	                 	3               	3                  	1                 	5                   	1           	          	                      	                 	                 	                   	                   	                    	                        	                       	               	                 	              	                  	               	                  	               	                    	                  	                           	              	             	                      	                          	           	Total count = 84; From Leg 159SR Ch 44 Table 1

  SR	Pleistocene      	                 	CN13b             	              	159	 959	A	  2	H	 4	  40.00	     14.0000	Levy     	Benthic Foraminifers                         	               	                  	7                  	                      	1                	                        	8                      	                 	2                   	                  	                  	7               	              	3                          	                 	                          	1                       	                           	20             	5                    	16                   	1                 	3                         	1                     	          	1            	17                       	1                      	2                         	             	                     	                   	           	4                	1                	                   	1             	                     	                   	                  	1                      	1             	2             	2                  	2            	3                	                	                   	                  	                    	            	          	                      	                 	                 	                   	                   	                    	                        	                       	               	                 	              	                  	               	                  	               	                    	                  	                           	              	             	                      	                          	           	Total count = 85; From Leg 159SR Ch 44 Table 1

  SR	Pleistocene      	                 	CN13b             	              	159	 959	A	  2	H	 5	  40.00	     15.5000	Levy     	Benthic Foraminifers                         	               	                  	4                  	                      	16               	6                       	12                     	                 	1                   	1                 	                  	6               	              	3                          	                 	4                         	                        	                           	14             	4                    	17                   	                  	                          	                      	          	             	8                        	                       	                          	             	                     	1                  	           	4                	                 	3                  	1             	8                    	1                  	2                 	                       	              	              	                   	             	                 	                	                   	                  	                    	            	          	                      	                 	                 	                   	                   	                    	                        	                       	               	                 	              	                  	               	                  	               	                    	                  	                           	              	             	                      	                          	           	Total count = 94; From Leg 159SR Ch 44 Table 1

  SR	Pleistocene      	                 	CN13b             	              	159	 959	A	  2	H	 6	  40.00	     17.0000	Levy     	Benthic Foraminifers                         	               	                  	11                 	1                     	18               	9                       	7                      	                 	                    	3                 	                  	6               	              	1                          	1                	6                         	                        	                           	8              	3                    	10                   	3                 	                          	1                     	1         	1            	4                        	3                      	1                         	1            	1                    	1                  	2          	1                	1                	2                  	              	                     	                   	                  	                       	              	              	                   	             	                 	                	                   	                  	                    	            	          	                      	                 	                 	                   	                   	                    	                        	                       	               	                 	              	                  	               	                  	               	                    	                  	                           	              	             	                      	                          	           	Total count = 94; From Leg 159SR Ch 44 Table 1

  SR	Pleistocene      	                 	CN13b             	              	159	 959	A	  2	H	 7	  40.00	     18.5000	Levy     	Benthic Foraminifers                         	               	                  	20                 	1                     	15               	4                       	6                      	1                	1                   	4                 	4                 	7               	1             	1                          	2                	5                         	2                       	2                          	20             	2                    	4                    	2                 	1                         	1                     	          	             	                         	                       	                          	             	                     	                   	           	                 	                 	                   	              	                     	                   	                  	                       	              	              	                   	             	                 	                	                   	                  	                    	            	          	                      	                 	                 	                   	                   	                    	                        	                       	               	                 	              	                  	               	                  	               	                    	                  	                           	              	             	                      	                          	           	Total count = 110; From Leg 159SR Ch 44 Table 1

