Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix miocenica	Thalassiothrix longissima	Thalassiosira vulnifica	Thalassiosira torokina	Thalassiosira sp. cf. T.vulnifica	Thalassiosira lentiginosa var. ovalis	Thalassiosira lentiginosa	Thalassiosira kolbei	Thalassiosira insigna	Thalassiosira elliptipora	Thalassionema nitzschioides  var. parva	Thalassionema nitzschioides	Stephanopyxis turris	Simonseniella praebarboi	Simonseniella barboi	Rouxia spp.	Rocella vigilans (large)	Rocella gelida	Rhizosolenia styliformis	Pyxilla fragments	Nitzschia weaveri	Nitzschia sp. 19	Nitzschia reinholdii	Nitzschia pusilla	Nitzschia praeinterfrigidaria	Nitzschia marina	Nitzschia kerguelenis	Nitzschia interfrigidaria	Nitzschia efferans	Nitzschia denticuloides	Nitzschia angulata	Neobrunia mirabilis	Lithodesmium sp.	Lisitzinia ornata	Hemidiscus karstenii f.1	Hemidiscus karstenii	Hemidiscus cuneiformis	Eucampia antarctica	Denticulopsis sp. (copulae)	Denticulopsis lauta	Denticulopsis hustedtii	Denticulopsis dimorpha	Craspedodiscus coscinodiscus	Coscinodiscus rhombicus	Coscinodiscus marginatus	Coscinodiscus endoi	Charcotia actinochilus	Actinocyclus ingens	Actinocyclus ingens var. planus	Coscinodiscus insignis	Comment

  SR	                 	                 	                  	              	114	 699	A	  1	H	 3	  73.00	      3.7300	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                      	                                 	                                     	                         	                    	                     	.3%                      	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	                    	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	4.2%                           	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	T. lentiginosa    	              	114	 699	A	  1	H	 3	 140.00	      4.4000	Ciesielski	Diatoms                                      	               	M                 	-                       	C                        	-                      	-                     	-                                	-                                    	C                        	-                   	-                    	-                        	-                                      	-                          	-                   	-                       	-                   	-          	-                       	-             	-                       	-                	-                	-               	-                   	-                	-                            	-               	D                    	-                        	-                 	-                      	-                 	-                  	-               	-                	-                       	-                   	-                     	D                  	-                          	-                  	-                      	-                     	-                           	-                      	-                       	-                  	C                     	-                  	                               	                      	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757

  SR	                 	                 	                  	              	114	 699	A	  1	H	 4	   9.00	      4.5900	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                      	                                 	                                     	                         	                    	                     	                         	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	.3%                 	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	                               	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	                  	              	114	 699	A	  1	H	 4	  24.00	      4.7400	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                      	                                 	                                     	                         	                    	                     	                         	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	2.0%                	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	                               	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	                  	              	114	 699	A	  1	H	 4	  75.00	      5.2500	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                      	                                 	                                     	                         	                    	                     	                         	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	.2%                 	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	                               	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	                  	              	114	 699	A	  1	H	 4	 126.00	      5.7600	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                      	                                 	                                     	                         	                    	                     	                         	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	.0%                 	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	.4%                            	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	T. lentiginosa    	              	114	 699	A	  1	H	 4	 140.00	      5.9000	Ciesielski	Diatoms                                      	               	G                 	-                       	C                        	-                      	-                     	-                                	-                                    	A                        	-                   	-                    	-                        	-                                      	-                          	-                   	-                       	-                   	-          	-                       	-             	-                       	-                	-                	-               	-                   	-                	-                            	-               	D                    	-                        	-                 	-                      	VR                	-                  	-               	-                	-                       	-                   	-                     	C                  	-                          	-                  	-                      	-                     	-                           	-                      	-                       	-                  	F                     	-                  	                               	                      	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757

  SR	                 	                 	                  	              	114	 699	A	  1	H	 5	  25.00	      6.2500	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                      	                                 	                                     	                         	                    	                     	                         	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	.3%                 	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	                               	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	                  	              	114	 699	A	  1	H	 5	  75.00	      6.7500	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                      	                                 	                                     	                         	                    	                     	                         	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	                    	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	.1%                            	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	                  	              	114	 699	A	  1	H	 5	 135.00	      7.3500	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                      	                                 	                                     	                         	                    	                     	                         	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	                    	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	.3%                            	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	T.elliptip/A.ingens	              	114	 699	A	  1	H	 5	 139.00	      7.3900	Ciesielski	Diatoms                                      	               	G                 	-                       	C                        	-                      	-                     	-                                	-                                    	C                        	rVR                 	-                    	-                        	-                                      	-                          	-                   	-                       	-                   	-          	-                       	-             	-                       	-                	-                	-               	-                   	-                	-                            	-               	D                    	-                        	-                 	-                      	-                 	-                  	-               	-                	-                       	S                   	-                     	C                  	-                          	-                  	-                      	-                     	-                           	-                      	-                       	-                  	S                     	-                  	                               	                      	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757

  SR	                 	                 	                  	              	114	 699	A	  1	H	 6	  35.00	      7.8500	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                      	                                 	                                     	                         	                    	                     	                         	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	                    	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	1.7%                           	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	T.elliptip/A.ingens	              	114	 699	A	  1	H	 6	  40.00	      7.9000	Ciesielski	Diatoms                                      	               	G                 	-                       	C                        	-                      	-                     	-                                	-                                    	C                        	-                   	-                    	S                        	-                                      	-                          	rVR                 	-                       	-                   	-          	-                       	-             	-                       	-                	-                	-               	-                   	-                	-                            	-               	D                    	-                        	-                 	-                      	S                 	-                  	-               	-                	-                       	-                   	-                     	A                  	-                          	-                  	-                      	-                     	-                           	-                      	-                       	-                  	S                     	S                  	                               	                      	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757

  SR	                 	                 	                  	              	114	 699	A	  1	H	 6	  75.00	      8.2500	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                      	                                 	                                     	                         	                    	                     	.3%                      	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	                    	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	.3%                            	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	                  	              	114	 699	A	  1	H	CC	  10.00	      8.6100	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                      	                                 	                                     	                         	                    	                     	.3%                      	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	                    	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	6.5%                           	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	T.elliptip/A.ingens	              	114	 699	A	  2	H	 1	 110.00	      9.7000	Ciesielski	Diatoms                                      	               	P                 	-                       	S                        	-                      	-                     	-                                	-                                    	F                        	-                   	-                    	F                        	-                                      	-                          	-                   	-                       	-                   	-          	-                       	-             	-                       	-                	-                	-               	-                   	-                	-                            	-               	C                    	-                        	-                 	-                      	-                 	-                  	-               	-                	-                       	R                   	-                     	F                  	-                          	-                  	-                      	-                     	-                           	-                      	-                       	-                  	-                     	F                  	                               	                      	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757

  SR	                 	                 	                  	              	114	 699	A	  2	H	 2	  15.00	     10.2500	Fenner   	Diatoms                                      	               	                  	                        	                         	1.5%                   	                      	                                 	                                     	                         	                    	                     	8.5%                     	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	                    	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	4.1%                           	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	                  	              	114	 699	A	  2	H	 2	  15.00	     10.2500	Fenner   	Diatoms                                      	               	                  	                        	                         	.6%                    	                      	                                 	                                     	                         	                    	                     	4.2%                     	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	                    	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	2.4%                           	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	                  	              	114	 699	A	  2	H	 2	  35.00	     10.4500	Fenner   	Diatoms                                      	               	                  	                        	                         	1.7%                   	                      	                                 	                                     	                         	                    	                     	21.6%                    	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	                    	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	5.8%                           	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	                  	              	114	 699	A	  2	H	 2	  85.00	     10.9500	Fenner   	Diatoms                                      	               	                  	                        	                         	4.4%                   	                      	                                 	                                     	                         	                    	                     	5.9%                     	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	                    	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	2.9%                           	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	T.elliptip/A.ingens	              	114	 699	A	  2	H	 2	 110.00	     11.2000	Ciesielski	Diatoms                                      	               	G                 	-                       	C                        	C                      	-                     	C                                	-                                    	C                        	-                   	-                    	C                        	-                                      	-                          	-                   	-                       	-                   	F          	-                       	-             	-                       	-                	-                	-               	-                   	-                	-                            	-               	A                    	-                        	-                 	-                      	R                 	-                  	-               	-                	-                       	-                   	-                     	C                  	-                          	-                  	-                      	-                     	-                           	-                      	-                       	-                  	R                     	C                  	                               	                      	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757

  SR	                 	                 	                  	              	114	 699	A	  2	H	 2	 142.00	     11.5200	Fenner   	Diatoms                                      	               	                  	                        	                         	.7%                    	                      	                                 	                                     	                         	                    	                     	                         	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	                    	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	2.9%                           	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	                  	              	114	 699	A	  2	H	 2	 143.00	     11.5300	Fenner   	Diatoms                                      	               	                  	                        	                         	1.3%                   	                      	                                 	                                     	                         	                    	                     	.7%                      	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	                    	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	7.7%                           	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	                  	              	114	 699	A	  2	H	 2	 145.00	     11.5500	Fenner   	Diatoms                                      	               	                  	                        	                         	.5%                    	                      	                                 	                                     	                         	                    	                     	.8%                      	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	                    	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	8.3%                           	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	                  	              	114	 699	A	  2	H	 2	 145.00	     11.5500	Fenner   	Diatoms                                      	               	                  	                        	                         	.6%                    	                      	                                 	                                     	                         	                    	                     	.2%                      	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	                    	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	13.6%                          	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	                  	              	114	 699	A	  2	H	 2	 147.00	     11.5700	Fenner   	Diatoms                                      	               	                  	                        	                         	.6%                    	                      	                                 	                                     	                         	                    	                     	.0%                      	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	                    	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	9.2%                           	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	                  	              	114	 699	A	  2	H	 3	  34.00	     11.9400	Fenner   	Diatoms                                      	               	                  	                        	                         	4.9%                   	                      	                                 	                                     	                         	                    	                     	1.4%                     	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	                    	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	30.1%                          	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118
