Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus moriformis	Sphenolithus ciperoensis	Reticulofenestra bisecta	Reticulofenestra abisecta	Discolithina enormis	Cyclicargolithus floridanus	Coccolithus sp.	Coccolithus pelagicus	Zygrhablithus bijugatus	Helicosphaera intermedia	Triquetrorhabdulus carinatus	Sphenolithus belemnos	Helicosphaera parallela	Helicosphaera kamptneri	Discoaster deflandrei	Reticulofenestra sp.	Coronocyclus nitescens	Sphenolithus heteromorphus	Discoaster variabilis	Discoaster bellus	Cyclococcolithus leptoporus	Discoaster adamanteus	Comment
  SR	Early Miocene    	                 	NN3               	              	101	 626	D	 13	R	 1	  40.00	    293.6000	Watkins  	Nannofossils                                 	               	M                 	R                      	                        	R                       	                         	                    	C                          	F              	R                    	                       	                        	                            	F                    	                       	                       	R                    	                    	                      	                          	                     	                 	                           	                     	from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69

  SR	Early Miocene    	                 	NN3               	              	101	 626	D	 13	R	CC	  12.00	    294.6200	Watkins  	Nannofossils                                 	               	M                 	                       	                        	R                       	                         	                    	R                          	F              	R                    	                       	                        	                            	R                    	                       	                       	R                    	                    	                      	                          	                     	                 	                           	                     	from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69

  SR	Early Miocene    	                 	NN3               	              	101	 626	D	 14	R	CC	  15.00	    304.0200	Watkins  	Nannofossils                                 	               	M                 	R                      	                        	                        	                         	                    	R                          	R              	                     	                       	                        	                            	R                    	                       	                       	R                    	                    	                      	                          	                     	                 	                           	                     	from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69

  SR	Early Miocene    	                 	NN1               	NN2           	101	 626	D	 19	R	CC	  29.00	    351.2900	Watkins  	Nannofossils                                 	               	M                 	R                      	                        	R                       	                         	                    	R                          	R              	R                    	                       	                        	R                           	R                    	R                      	R                      	R                    	                    	                      	                          	                     	                 	                           	                     	from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69

  SR	Early Miocene    	                 	NN1               	NN2           	101	 626	D	 20	R	CC	  38.00	    361.2300	Watkins  	Nannofossils                                 	               	M                 	F                      	                        	                        	                         	                    	R                          	               	                     	                       	                        	                            	                     	                       	                       	                     	                    	                      	                          	                     	                 	                           	                     	from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69

  SR	Late Oligocene   	                 	NP25              	              	101	 626	D	 21	R	CC	   8.00	    371.3000	Watkins  	Nannofossils                                 	               	M                 	C                      	                        	R                       	F                        	                    	C                          	               	                     	                       	R                       	R                           	R                    	                       	                       	                     	                    	                      	                          	                     	                 	                           	                     	from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69

  SR	Late Oligocene   	                 	NP25              	              	101	 626	D	 23	R	CC	   5.00	    390.6300	Watkins  	Nannofossils                                 	               	P                 	C                      	R                       	R                       	R                        	R                   	C                          	               	R                    	R                      	R                       	                            	                     	                       	                       	                     	                    	                      	                          	                     	                 	                           	                     	from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69

  SR	Late Oligocene   	                 	NP25              	              	101	 626	D	 27	R	CC	  16.00	    428.1800	Watkins  	Nannofossils                                 	               	M                 	F                      	R                       	R                       	R                        	R                   	R                          	R              	R                    	                       	                        	                            	                     	                       	                       	                     	                    	                      	                          	                     	                 	                           	                     	from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69

