Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster calculosus,Sphenolithus heteromorphus,Sphenolithus abies,Reticulofenestra pseudoumbilica,Discoaster deflandrei,Cyclicargolithus floridanus,Discoaster tristellifer,Sphenolithus moriformis,Coccolithus pelagicus,Coronocyclus nitescens,Coccolithus miopelagicus,Helicosphaera obliqua,Helicosphaera intermedia,Helicosphaera carteri,Discoaster variabilis,Reticulofenestra minutula,Sphenolithus distentus,Reticulofenestra minuta,Helicosphaera granulata,Helicosphaera ampliaperta,Discoaster exilis,Pontosphaera pachymorpha,Discoaster bollii,Calcidiscus leptoporus,Catinaster coalitus,Scyphosphaera pulcherrima,Discoaster adamanteus,Discolithina sp.,Discoaster druggii,Discoaster kugleri,Discoaster sp. cf. Discoaster bellus,Discoaster brouweri,Discoaster bellus,Sphenolithus predistentus,Discoaster hamatus,Discoaster quinqueramus,Discoaster prepentaradiatus,Discoaster surculus,Discoaster berggrenii,Amaurolithus primus,Discoaster neohamatus,Amaurolithus delicatus,Discoaster pentaradiatus,Ceratolithus cristatus,Discoaster asymmetricus (grainy),Pseudoemiliania lacunosa,Calcidiscus tropicus,Gephyrocapsa spp. (small),Gephyrocapsa oceanica s.l.,Umbilicosphaera sibogae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12a             ,CN14a         ,116, 718,C,  4,X,CC,  25.00,     38.7200,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,T                              ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,T                       ,                    ,R                        ,F                         ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12a             ,CN14a         ,116, 718,C,  9,X,CC,   1.00,     85.3100,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,T                 ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,T                    ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,R                     ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,T                       ,                    ,R                        ,F                         ,T                      ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12a             ,CN14a         ,116, 718,C, 10,X, 1,  20.00,     95.0000,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,R                    ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,F                       ,                    ,                         ,C                         ,R                      ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12a             ,CN14a         ,116, 718,C, 11,X, 1,   2.00,    104.3200,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,F                     ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,F                       ,                    ,F                        ,F                         ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12a             ,CN14a         ,116, 718,C, 11,X,CC,  21.00,    109.7300,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,T                     ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,R                       ,                    ,R                        ,R                         ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12a             ,CN14a         ,116, 718,C, 13,X, 2, 126.00,    126.0600,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,A                 ,R                              ,                     ,T                          ,                       ,                       ,R                    ,                      ,                        ,                     ,                        ,F                    ,                     ,A                        ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,F                     ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,F                  ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,C                       ,                      ,                                ,F                       ,R                   ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN10a             ,CN11b         ,116, 718,C, 13,X,CC,   8.00,    126.3800,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,T                       ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,D. pentaradiatus presence is uncertain from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN10a             ,CN11b         ,116, 718,C, 14,X, 2, 128.00,    135.5800,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,R                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,R                  ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,T                       ,T                     ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN10a             ,CN11b         ,116, 718,C, 14,X, 3,  32.00,    136.1200,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,T                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,F                  ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,R                       ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN10a             ,CN11b         ,116, 718,C, 14,X, 5, 140.00,    140.2000,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,C                      ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,R                  ,                 ,                         ,                  ,                       ,                           ,R                  ,                     ,                   ,                     ,                      ,                        ,                      ,R                               ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN10a             ,CN11b         ,116, 718,C, 14,X,CC,  30.00,    141.0100,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,R                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,T                  ,                 ,                         ,                  ,                       ,                           ,T                  ,                     ,                   ,                     ,                      ,T                       ,T                     ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN10a             ,CN11b         ,116, 718,C, 15,X, 1,  44.00,    142.7400,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,T                 ,T                              ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,T                     ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,T                  ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN10a             ,CN11b         ,116, 718,C, 15,X, 1, 100.00,    143.3000,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,C                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,R                  ,                 ,                         ,                  ,                       ,                           ,F                  ,                     ,                   ,                     ,                      ,R                       ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN10a             ,CN11b         ,116, 718,C, 16,X, 2,  15.00,    153.4500,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,R                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,T                  ,                 ,                         ,                  ,                       ,                           ,R                  ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN10a             ,CN11b         ,116, 718,C, 16,X, 4,  68.00,    156.9800,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,A                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,R                  ,                 ,                         ,                  ,                       ,                           ,C                  ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,116, 718,C, 16,X, 5, 148.00,    159.2800,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,F                 ,F                              ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,T                    ,                     ,F                        ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,F                      ,                           ,R                  ,                     ,                   ,                     ,                      ,T                       ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,116, 718,C, 16,X, 6,  28.00,    159.5800,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,T                        ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,T                  ,                 ,                         ,                  ,R                      ,                           ,T                  ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,116, 718,C, 17,X, 6,  20.00,    169.0000,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,A                 ,C                              ,                     ,                           ,                       ,                       ,R                    ,                      ,                        ,                     ,                        ,C                    ,F                    ,C                        ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,C                     ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,R                  ,                 ,                         ,                  ,A                      ,R                          ,F                  ,C                    ,T                  ,R                    ,T                     ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,116, 718,C, 17,X,CC,  35.00,    170.5500,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,R                    ,T                        ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,R                  ,                 ,                         ,                  ,R                      ,                           ,T                  ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,116, 718,C, 18,X,CC,  26.00,    171.0600,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,C                 ,F                              ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,R                    ,                     ,                         ,                      ,C                      ,                       ,                         ,                 ,                        ,                 ,R                     ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,F                  ,                 ,                         ,                  ,C                      ,                           ,F                  ,F                    ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,116, 718,C, 19,X, 3,  30.00,    183.6000,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,F                              ,                     ,                           ,                       ,                       ,T                    ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,F                  ,                 ,                         ,                  ,C                      ,                           ,C                  ,                     ,F                  ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,116, 718,C, 21,X,CC,   0.00,    199.3000,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,R                 ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,R                        ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,T                     ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,T                          ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,116, 718,C, 21,X,CC,   2.00,    199.3200,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,R                 ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,R                        ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,R                  ,                 ,                         ,                  ,R                      ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,116, 718,C, 23,X,CC,   0.00,    218.3000,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,R                 ,                               ,                     ,                           ,                       ,                       ,T                    ,                      ,                        ,                     ,                        ,                     ,T                    ,R                        ,                      ,R                      ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,R                      ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,116, 718,C, 24,X, 1,   0.00,    227.8000,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,C                 ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,R                    ,C                        ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,F                     ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,C                  ,                 ,                         ,                  ,A                      ,                           ,C                  ,C                    ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,116, 718,C, 25,X,CC,  13.00,    239.2300,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,F                 ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,C                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,A                  ,                 ,                         ,                  ,A                      ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,116, 718,C, 26,X, 1,   7.00,    246.8700,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,R                 ,                               ,                     ,                           ,F                      ,                       ,T                    ,                      ,                        ,                     ,                        ,                     ,R                    ,                         ,                      ,R                      ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,R                  ,                 ,                         ,                  ,F                      ,                           ,R                  ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,116, 718,C, 26,X,CC,  35.00,    247.4100,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,F                 ,                               ,                     ,                           ,                       ,                       ,T                    ,                      ,                        ,                     ,                        ,                     ,R                    ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,R                     ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,F                      ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,                          ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
