Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa spp. (small),Gephyrocapsa muellerae,Gephyrocapsa caribbeanica,Emiliania huxleyi,Coccolithus pelagicus,Pseudoemiliania lacunosa,Gephyrocapsa oceanica,Syracosphaera spp.(small),Braarudosphaera bigelowii,Calcidiscus leptoporus,Comment
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  3,H, 2,  52.00,     15.5200,Su       ,Nannofossils                                 ,C              ,G                 ,                         ,C                     ,                         ,A                ,R                    ,                        ,R                    ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  3,H, 4,  40.00,     18.4000,Su       ,Nannofossils                                 ,F              ,M-G               ,F                        ,A                     ,F                        ,C                ,R                    ,T                       ,F                    ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  3,H, 6,  78.00,     21.7800,Su       ,Nannofossils                                 ,F              ,M-G               ,F                        ,A                     ,                         ,C                ,F                    ,R                       ,F                    ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  3,H,CC,   9.00,     23.3100,Su       ,Nannofossils                                 ,R              ,M-G               ,                         ,F                     ,                         ,C                ,A                    ,                        ,                     ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  4,H, 1,  44.00,     23.4400,Su       ,Nannofossils                                 ,F              ,G                 ,F                        ,F                     ,                         ,D                ,F                    ,                        ,                     ,                         ,                         ,R                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  4,H, 2,  90.00,     25.4000,Su       ,Nannofossils                                 ,C              ,M-G               ,C                        ,D                     ,                         ,                 ,R                    ,F                       ,T                    ,                         ,T                        ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  4,H, 3, 109.00,     27.0900,Su       ,Nannofossils                                 ,R              ,M-G               ,A                        ,F                     ,                         ,C                ,F                    ,                        ,                     ,F                        ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  4,H, 4, 110.00,     28.6000,Su       ,Nannofossils                                 ,A              ,G                 ,?                        ,F                     ,                         ,F                ,F                    ,                        ,                     ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  4,H, 5,  37.00,     29.3700,Su       ,Nannofossils                                 ,A              ,G                 ,D                        ,R                     ,R                        ,                 ,R                    ,                        ,                     ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  4,H, 6, 110.00,     31.6000,Su       ,Nannofossils                                 ,D              ,G                 ,F                        ,F                     ,D                        ,                 ,R                    ,                        ,                     ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  4,H,CC,   5.00,     32.7400,Su       ,Nannofossils                                 ,C              ,M-G               ,C                        ,C                     ,C                        ,                 ,R                    ,R                       ,F                    ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  5,H, 2,  44.00,     34.4400,Su       ,Nannofossils                                 ,C              ,M-G               ,C                        ,C                     ,A                        ,                 ,R                    ,F                       ,                     ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  5,H, 4,  67.00,     37.6700,Su       ,Nannofossils                                 ,D              ,M-G               ,?                        ,F                     ,F                        ,                 ,R                    ,?                       ,                     ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  5,H, 6,  80.00,     40.8000,Su       ,Nannofossils                                 ,D              ,M-G               ,?                        ,R                     ,R                        ,                 ,R                    ,?                       ,                     ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  5,H,CC,  10.00,     42.0600,Su       ,Nannofossils                                 ,A              ,G                 ,?                        ,F                     ,R                        ,C                ,R                    ,                        ,                     ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
