Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trinovantedinium capitatum,Tectatodinium sp. III,Tectatodinium sp. II,Tectatodinium sp. I,Tectatodinium sp.,Tectatodinium simplex,Tectatodinium pellitum,Systematophora placacantha,Stelladinium reidii,Spiniferites spp.,"Spiniferites sp. ""TS""",Spiniferites scabratus,Spiniferites rubinus,Spiniferites pachyderma,Spiniferites elongatus,Spiniferites bentorii,Selenopemphix nephroides,Reticulatosphaera actinocoronata,Polysphaeridium zoharyi,Platycystidia sp. 1,Peridinium faeroense,Pentadinium laticinctum,Pediastrum sp.,Palaeostomocystis spp.,Operculodinium wallii,Operculodinium sp.,Operculodinium sp.,Operculodinium longispinigerum,Operculodinium israelianum,Operculodinium echigoense,Operculodinium crassum,Operculodinium centrocarpum,Nematosphaeropsis oblonga,Nematosphaeropsis lemniscata,Nematosphaeropsis labyrinthea,Multispinula minuta,Melitasphaeridium choanophorum,Lingulodinium machaerophorum,Labyrinthodinium truncatum,Impletosphaeridium spp.,Impagidinium spp.,Impagidinium sphaericum,Impagidinium pallidum,Impagidinium multiplexum,Impagidinium aquaeductum,Hystrichosphaeropsis pontiana,Hystrichokolpoma sp.,Hystrichokolpoma rigaudiae,Filisphaera filifera,Dinocyst sp. 1,Dapsilidinium pastielsii,Cymatiosphaera sp. 1,Cyclopsiella elliptica,Corrudinium harlandii,Brigantedinium sp. group B,Brigantedinium sp. group A,Brigantedinium simplex,Bitectatodinium tepikiense,Batiacasphaera sphaerica,Batiacasphaera sp. II,Ataxiodinium choanum,Amiculosphaera umbracula,Achomosphaera sp. A,Achomosphaera ramulifera,Achomosphaera andalousiensis,?Pyxidiella sp. 1,?Labyrinthodinium sp. 1,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  2,H, 4,  41.00,      9.7100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,R                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,R                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,R                          ,-                        ,-                           ,R                            ,C                  ,-                             ,R                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,R                     ,C                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  2,H, 5,  41.00,     11.2100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,-                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,C                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,A                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  2,H, 6,  41.00,     12.7100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,C                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,R             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,C                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,C                         ,-                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  3,H, 1,  40.00,     14.7000,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,C                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,A                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,C                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  3,H, 2,  40.00,     16.2000,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,A                         ,C                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  3,H, 3,  40.00,     17.7000,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                         ,-                    ,-                   ,-                  ,-                ,-                    ,R                     ,-                         ,R                  ,C                ,-                    ,-                     ,-                   ,-                      ,-                     ,R                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,A                          ,-                        ,-                           ,R                            ,R                  ,-                             ,R                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,R                         ,-                     ,R                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  3,H, 4,  40.00,     19.2000,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,C                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,A                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,R                         ,R                     ,C                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  3,H,CC,  14.00,     20.4400,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,C                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,A                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  4,H, 1,  40.00,     21.1000,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,-                          ,-                        ,-                           ,-                            ,C                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,A                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  4,H, 2,  40.00,     22.6000,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,R                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,A                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  4,H, 3,  40.00,     24.1000,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,R                     ,-                         ,-                  ,R                ,-                    ,-                     ,-                   ,-                      ,-                     ,R                    ,-                       ,-                               ,-                      ,-                  ,R                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,A                          ,-                        ,-                           ,-                            ,R                  ,-                             ,R                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,R                         ,-                     ,C                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  4,H, 4,  40.00,     25.6000,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,R                     ,-                         ,-                  ,R                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,A                          ,-                        ,-                           ,C                            ,-                  ,-                             ,R                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,C                         ,C                     ,C                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,B,  4,H, 5,  40.00,     27.1000,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,B              ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,-                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  4,H, 6,  40.00,     28.6000,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,A                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,-                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,A                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  4,H,CC,  15.00,     29.7400,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,C                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,C                         ,-                     ,C                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  5,H, 1,  71.00,     30.1100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,C                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,C                            ,-                  ,-                             ,C                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,C                         ,-                         ,-                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  5,H, 2,  71.00,     31.6100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,C                         ,-                    ,R                   ,R                  ,-                ,-                    ,-                     ,-                         ,-                  ,C                ,-                    ,-                     ,R                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,R                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  5,H, 3,  71.00,     33.1100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,C                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,C                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,-                  ,-                             ,C                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,C                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,C                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
