Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina woodi,Zeaglobigerina nepenthes,Zeaglobigerina decoraperta,Orbulina universa,Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Globorotalia plesiotumida,Globorotalia margaritae,Globorotalia cibaoensis,Globoconella conomiozea,Globoconella conoidea,Globigerinoides trilobus,Globigerinoides sacculifer,Globigerinoides ruber,Globigerinoides quadrilobatus,Globigerinita glutinata,Globigerina quinqueloba,Globigerina falconensis,Globigerina bulloides,Pulleniatina obliquiloculata,Globorotalia pliozea,Globorotalia mons,Globigerinoides extremus,Globorotalia crassula,Globigerinella obesa,Sphaeroidinellopsis seminulina,Globorotalia puncticulata,Globorotalia menardii,Globorotalia crassaformis,Globigerinoides conglobatus,Neogloboquadrina pachyderma (sinistral),Globorotalia tumida,Globigerinoides obliquus,Globigerinella siphonifera,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia sp. cf. tosaensis,Globorotalia inflata,Neogloboquadrina dutertrei,Globigerinoides tenellus,Zeaglobigerina rubescens,Globorotalia hirsuta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1130,B,  5,H,CC,  18.00,     41.9200,Li       ,Planktonic Foraminifers                      ,C              ,VG                ,                    ,                        ,                          ,P                ,P                                    ,P                   ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,F                    ,                             ,P                      ,F                      ,F                      ,P                    ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,P                         ,F                            ,                      ,                              ,F                   ,                          ,                        ,P                       ,P                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1b          ,182,1130,B,  6,H,CC,  50.00,     49.3000,Li       ,Planktonic Foraminifers                      ,C              ,VG                ,                    ,                        ,                          ,                 ,F                                    ,                    ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,F                    ,                             ,                       ,                       ,                       ,                     ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,P                         ,F                            ,                      ,                              ,F                   ,                          ,                        ,                        ,                    ,"bryozoans, shell fragments, ben forams, sponge spicules"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1b          ,182,1130,B,  7,H,CC,   0.00,     60.6400,Li       ,Planktonic Foraminifers                      ,C              ,VG                ,                    ,                        ,                          ,P                ,F                                    ,                    ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,F                    ,                             ,P                      ,P                      ,P                      ,P                    ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,P                         ,F                            ,                      ,                              ,F                   ,                          ,P                       ,                        ,                    ,"shell fragments, ben forams, sponge spicules"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1b          ,182,1130,B,  8,H,CC,  14.00,     70.6000,Li       ,Planktonic Foraminifers                      ,C              ,VG                ,                    ,                        ,                          ,P                ,                                     ,                    ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,F                    ,                             ,                       ,                       ,                       ,P                    ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,P                         ,R                            ,                      ,                              ,A                   ,                          ,                        ,                        ,                    ,"bryozoans, shell fragments, ben forams, sponge spicules"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1b          ,182,1130,B,  9,H,CC,   4.00,     80.4100,Li       ,Planktonic Foraminifers                      ,C              ,VG                ,                    ,                        ,                          ,                 ,F                                    ,                    ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,R                    ,                             ,R                      ,                       ,R                      ,R                    ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,P                         ,R                            ,                      ,                              ,F                   ,                          ,P                       ,P                       ,                    ,"shell fragments, ben forams"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1b          ,182,1130,B, 10,H,CC,  15.00,     89.1300,Li       ,Planktonic Foraminifers                      ,C              ,VG                ,                    ,                        ,                          ,P                ,F                                    ,P                   ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,F                    ,                             ,P                      ,P                      ,P                      ,P                    ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,P                         ,R                            ,                      ,                              ,F                   ,                          ,                        ,P                       ,                    ,"bryozoans, shell fragments, ben forams, sponge spicules"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1b          ,182,1130,B, 11,H,CC,   5.00,     99.0800,Li       ,Planktonic Foraminifers                      ,C              ,VG                ,                    ,                        ,                          ,                 ,F                                    ,                    ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,F                    ,                             ,F                      ,                       ,F                      ,                     ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,P                  ,                        ,                          ,P                            ,                      ,                              ,F                   ,                          ,                        ,                        ,                    ,"shell fragments, ben forams, bryozoans, sponge spicules"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1b          ,182,1130,B, 12,H,CC,  22.00,    107.9100,Li       ,Planktonic Foraminifers                      ,C              ,VG                ,                    ,                        ,                          ,                 ,F                                    ,P                   ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,F                    ,                             ,                       ,                       ,F                      ,R                    ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,P                         ,R                            ,                      ,                              ,F                   ,                          ,                        ,                        ,                    ,"bryozoans, shell fragments, ben forams, sponge spicules"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1b          ,182,1130,B, 13,H,CC,  16.00,    118.4300,Li       ,Planktonic Foraminifers                      ,A              ,G                 ,                    ,                        ,                          ,P                ,R                                    ,P                   ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,F                    ,                             ,P                      ,                       ,F                      ,R                    ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,                          ,F                            ,                      ,P                             ,F                   ,                          ,                        ,                        ,                    ,"bryozoans, shell fragments, ben forams, sponge spicules"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1b          ,182,1130,B, 14,H,CC,  24.00,    127.8400,Li       ,Planktonic Foraminifers                      ,A              ,G                 ,                    ,                        ,                          ,                 ,F                                    ,                    ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,F                    ,                             ,                       ,                       ,F                      ,                     ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,P                         ,R                            ,                      ,P                             ,A                   ,                          ,                        ,                        ,                    ,"bryozoans, shell fragments, ben forams, sponge spicules"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1b          ,182,1130,B, 15,H,CC,  12.00,    137.3300,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                    ,                        ,                          ,                 ,F                                    ,                    ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,R                    ,                             ,                       ,                       ,R                      ,                     ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,                          ,F                            ,                      ,P                             ,A                   ,                          ,P                       ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1130,B, 16,H,CC,  18.00,    146.1200,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                        ,                          ,                 ,F                                    ,                    ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,                     ,                             ,                       ,                       ,                       ,                     ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,P                         ,F                            ,P                     ,P                             ,A                   ,                          ,P                       ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1130,B, 17,H,CC,  19.00,    156.2000,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                    ,                        ,                          ,P                ,F                                    ,                    ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,F                    ,                             ,                       ,                       ,R                      ,R                    ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,R                        ,                           ,                                       ,                   ,                        ,                          ,F                            ,                      ,P                             ,A                   ,P                         ,                        ,                        ,                    ,"ben forams, ostracodes, sponge spicules, frosted"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1130,B, 18,X,CC,  34.00,    165.8600,Li       ,Planktonic Foraminifers                      ,F              ,P                 ,                    ,                        ,                          ,P                ,                                     ,                    ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,                     ,                             ,                       ,                       ,P                      ,                     ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,                          ,R                            ,P                     ,P                             ,F                   ,                          ,                        ,                        ,                    ,"poorly diaggregated, urchin spines"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1130,B, 19,X,CC,  33.00,    175.4100,Li       ,Planktonic Foraminifers                      ,F              ,P                 ,                    ,                        ,                          ,                 ,F                                    ,                    ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,R                    ,                             ,                       ,                       ,                       ,P                    ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,R                                      ,                   ,                        ,                          ,R                            ,P                     ,                              ,F                   ,                          ,                        ,                        ,                    ,poorly disaggregated.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1130,B, 20,X,CC,  31.00,    184.9300,Li       ,Planktonic Foraminifers                      ,F              ,P                 ,                    ,                        ,                          ,                 ,                                     ,                    ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,                     ,                             ,                       ,                       ,                       ,                     ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,R                        ,                           ,                                       ,                   ,                        ,                          ,R                            ,                      ,                              ,F                   ,                          ,                        ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,182,1130,B, 21,X,CC,  33.00,    194.8300,Li       ,Planktonic Foraminifers                      ,F              ,P                 ,                    ,                        ,                          ,                 ,P                                    ,                    ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,                     ,                             ,                       ,                       ,                       ,                     ,                            ,                    ,                 ,                        ,P                    ,                    ,                              ,                         ,                     ,R                        ,                           ,                                       ,                   ,                        ,                          ,                             ,                      ,                              ,                    ,P                         ,                        ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1130,B, 23,X,CC,  28.00,    214.0300,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                    ,                        ,                          ,F                ,P                                    ,P                   ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,F                    ,                             ,                       ,P                      ,A                      ,P                    ,                            ,                    ,                 ,                        ,P                    ,P                   ,                              ,A                        ,                     ,P                        ,                           ,                                       ,                   ,                        ,                          ,F                            ,P                     ,P                             ,P                   ,                          ,                        ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,Pleistocene      ,                  ,              ,182,1130,B, 26,X,CC,  27.00,    243.2400,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                        ,                          ,P                ,P                                    ,                    ,                         ,                       ,                       ,                       ,                     ,P                       ,P                         ,P                    ,                             ,P                      ,                       ,F                      ,P                    ,                            ,                    ,                 ,                        ,P                    ,                    ,                              ,P                        ,                     ,P                        ,                           ,                                       ,                   ,                        ,                          ,                             ,                      ,                              ,                    ,                          ,                        ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,Pleistocene      ,                  ,              ,182,1130,B, 27,X,CC,  35.00,    252.9500,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                        ,                          ,F                ,P                                    ,P                   ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,P                    ,                             ,                       ,P                      ,P                      ,P                    ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,P                        ,                     ,P                        ,                           ,                                       ,                   ,                        ,P                         ,                             ,                      ,                              ,                    ,                          ,                        ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,PL2           ,182,1130,B, 28,X,CC,  37.00,    262.5300,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                    ,                        ,                          ,P                ,P                                    ,                    ,                         ,F                      ,                       ,                       ,                     ,                        ,                          ,F                    ,                             ,P                      ,P                      ,A                      ,P                    ,                            ,F                   ,                 ,                        ,                     ,                    ,                              ,F                        ,                     ,A                        ,                           ,P                                      ,P                  ,P                       ,                          ,                             ,                      ,                              ,                    ,                          ,                        ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,              ,182,1130,B, 29,X,CC,  32.00,    272.1200,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                    ,                        ,                          ,                 ,                                     ,                    ,                         ,P                      ,                       ,                       ,                     ,                        ,                          ,                     ,                             ,                       ,                       ,                       ,                     ,                            ,F                   ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,                          ,                             ,                      ,                              ,                    ,                          ,                        ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,PL1           ,182,1130,B, 30,X,CC,  37.00,    281.7900,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,P                   ,P                       ,P                         ,F                ,P                                    ,                    ,                         ,P                      ,                       ,                       ,P                    ,P                       ,                          ,P                    ,P                            ,                       ,                       ,A                      ,P                    ,                            ,F                   ,P                ,                        ,                     ,                    ,P                             ,P                        ,P                    ,P                        ,P                          ,                                       ,                   ,                        ,                          ,                             ,                      ,                              ,                    ,                          ,                        ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,                  ,Pl1a          ,182,1130,B, 31,X,CC,  35.00,    291.4600,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,P                   ,P                       ,                          ,F                ,P                                    ,P                   ,                         ,F                      ,P                      ,                       ,P                    ,P                       ,                          ,P                    ,P                            ,                       ,                       ,F                      ,P                    ,                            ,P                   ,P                ,P                       ,P                    ,P                   ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,                          ,                             ,                      ,                              ,                    ,                          ,                        ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Early Pliocene   ,                  ,Pl1a          ,182,1130,B, 32,X,CC,  37.00,    301.0500,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,P                   ,P                       ,P                         ,P                ,P                                    ,P                   ,                         ,F                      ,P                      ,                       ,                     ,P                       ,                          ,P                    ,                             ,                       ,                       ,F                      ,P                    ,P                           ,P                   ,P                ,P                       ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,                          ,                             ,                      ,                              ,                    ,                          ,                        ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,Mt10              ,Pl1a          ,182,1130,B, 33,X,CC,  37.00,    310.5300,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,P                   ,P                       ,P                         ,P                ,P                                    ,P                   ,P                        ,F                      ,F                      ,P                      ,P                    ,P                       ,P                         ,P                    ,P                            ,P                      ,P                      ,P                      ,P                    ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,                          ,                             ,                      ,                              ,                    ,                          ,                        ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
