Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma,Neogloboquadrina incompta,Neogloboquadrina dutertrei,Hastigerinopsis riedeli,Globorotalia obesa,Globorotalia inflata,Globigerinita glutinata,Globigerina rubescens,Globigerina quinqueloba,Globigerina megastoma,Globigerina falconensis,Globigerina calida,Globigerina bulloides,Globorotalia cultrata menardii,Globigerinoides tenellus,Globigerinita iota,Globigerina decoraperta,Globorotalia crassaformis crassaformis,Globigerinita uvula,Neogloboquadrina blowi,Globorotaloides hexagona,Globorotalia scitula,Globigerinoides obliquus obliquus,Turborotalita humilis,Orbulina universa,Globorotalia pumilio,Globorotalia bermudezi,Globigerinoides elongatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 687,B, 10,H,CC,  23.00,     91.0900,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,A                          ,A                        ,                          ,                       ,T                 ,                    ,A                      ,                     ,T                      ,                     ,T                      ,                  ,T                    ,                              ,                        ,                  ,                       ,T                                     ,                   ,T                     ,T                       ,                    ,                                 ,                     ,                 ,                    ,                      ,                         ,from ODP Leg 112 SR Chapter 15 Table 9 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 687,B, 11,H,CC,   0.00,     90.7000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                          ,T                        ,                          ,                       ,T                 ,                    ,                       ,                     ,                       ,                     ,                       ,                  ,                     ,                              ,                        ,                  ,                       ,                                      ,                   ,                      ,                        ,                    ,                                 ,                     ,                 ,                    ,                      ,                         ,from ODP Leg 112 SR Chapter 15 Table 9 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 687,B, 12,X,CC,  14.00,     98.4200,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                          ,T                        ,                          ,                       ,                  ,                    ,                       ,                     ,                       ,                     ,                       ,                  ,T                    ,                              ,                        ,                  ,                       ,                                      ,T                  ,                      ,                        ,                    ,                                 ,                     ,                 ,                    ,                      ,                         ,from ODP Leg 112 SR Chapter 15 Table 9 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 687,B, 13,X,CC,  25.00,    100.5500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                          ,T                        ,                          ,                       ,                  ,                    ,                       ,                     ,                       ,                     ,                       ,                  ,                     ,                              ,                        ,                  ,                       ,                                      ,                   ,                      ,                        ,                    ,                                 ,                     ,                 ,                    ,                      ,                         ,from ODP Leg 112 SR Chapter 15 Table 9 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 687,B, 14,X,CC,  18.00,    110.4000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,T                        ,                          ,                       ,                  ,                    ,T                      ,                     ,                       ,                     ,                       ,                  ,                     ,                              ,                        ,                  ,                       ,T                                     ,                   ,                      ,                        ,                    ,                                 ,                     ,                 ,                    ,                      ,                         ,from ODP Leg 112 SR Chapter 15 Table 9 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 687,B, 15,X,CC,  30.00,    122.5800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,A                          ,A                        ,                          ,                       ,F                 ,T                   ,F                      ,                     ,C                      ,                     ,F                      ,                  ,C                    ,                              ,                        ,T                 ,T                      ,                                      ,                   ,                      ,                        ,                    ,                                 ,                     ,                 ,                    ,                      ,                         ,from ODP Leg 112 SR Chapter 15 Table 9 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 687,B, 16,X,CC,  25.00,    130.2600,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,A                          ,A                        ,                          ,                       ,A                 ,                    ,F                      ,                     ,                       ,                     ,C                      ,F                 ,A                    ,T                             ,T                       ,                  ,                       ,                                      ,                   ,                      ,                        ,                    ,                                 ,                     ,                 ,                    ,                      ,                         ,from ODP Leg 112 SR Chapter 15 Table 9 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 687,B, 20,X,CC,  27.00,    168.1700,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,C                          ,A                        ,T                         ,T                      ,C                 ,T                   ,C                      ,A                    ,T                      ,F                    ,A                      ,C                 ,A                    ,                              ,                        ,                  ,                       ,                                      ,                   ,                      ,                        ,                    ,                                 ,                     ,                 ,                    ,                      ,                         ,from ODP Leg 112 SR Chapter 15 Table 9 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
